# Date: 20210517
# Operator: DCC
# Notes: post test 
# Tap_cm: 1.0
# Sample: DCC_Ni_009
# Fit of Tap:
#	Ic = 104 +/- 1.1 A
#	n = 50 +/- 0.85 
#	Vc = 1.5 uV
#	Vfloor = 6.23 +/- 1.4e+116 uV
#	R = 6.7 +/- 5e+114 Ohms
Tap [uV],Shunt [A],Supply [A],Input_5 [uV],Time [S],Hall [A],Cernox [T]
1.600000,0.250000,0.000000,-10.800000,0.054446,8.910000,-4.395722
1.300000,0.270000,0.083333,-9.000000,0.083368,8.950000,-4.315508
1.600000,0.290000,0.166667,-9.000000,0.092886,8.870000,-4.333333
1.500000,0.350000,0.250000,-8.600000,0.103283,8.870000,-4.404635
1.800000,0.390000,0.333333,-8.400000,0.118771,8.950000,-4.374332
1.800000,0.510000,0.416667,-8.600000,0.135931,8.910000,-4.377897
1.500000,0.650000,0.500000,-8.800000,0.150567,8.930000,-4.317291
1.700000,0.610000,0.583333,-8.600000,0.167146,8.970000,-4.319073
1.600000,0.710000,0.666667,-9.000000,0.183398,8.930000,-4.295900
1.800000,0.850000,0.750000,-8.800000,0.208711,8.910000,-4.336898
1.700000,0.910000,0.833333,-8.800000,0.219180,8.950000,-4.365419
1.700000,1.070000,0.916667,-9.000000,0.239113,8.890000,-4.393939
1.800000,1.070000,1.000000,-9.000000,0.248917,8.890000,-4.278075
1.600000,1.110000,1.083333,-8.600000,0.263473,8.890000,-4.253119
1.800000,1.190000,1.166667,-8.800000,0.278588,8.870000,-4.262032
1.800000,1.250000,1.250000,-8.800000,0.295204,8.870000,-4.263815
1.800000,1.330000,1.333333,-9.000000,0.311382,8.830000,-4.270945
1.600000,1.470000,1.416667,-8.600000,0.327662,8.890000,-4.276292
1.600000,1.530000,1.500000,-9.000000,0.343604,8.870000,-4.295900
1.600000,1.470000,1.583333,-9.200000,0.358780,8.910000,-4.329768
1.700000,1.610000,1.666667,-9.000000,0.374863,8.850000,-4.356506
1.600000,1.750000,1.750000,-8.800000,0.391737,8.850000,-4.358289
1.600000,1.870000,1.833333,-8.800000,0.406838,8.830000,-4.386809
1.500000,1.870000,1.916667,-9.000000,0.422986,8.830000,-4.402852
1.500000,2.010000,2.000000,-9.200000,0.441972,8.850000,-4.352941
1.700000,2.010000,2.083333,-8.800000,0.454940,8.850000,-4.393939
1.500000,2.110000,2.166667,-8.600000,0.470988,8.930000,-4.395722
1.700000,2.290000,2.250000,-8.800000,0.497935,8.890000,-4.258467
1.600000,2.350000,2.333333,-8.800000,0.512130,8.890000,-4.249554
1.600000,2.450000,2.416667,-8.800000,0.527332,8.870000,-4.274510
1.700000,2.570000,2.500000,-8.600000,0.541946,8.770000,-4.347594
1.500000,2.610000,2.583333,-8.600000,0.556752,8.870000,-4.390374
1.700000,2.690000,2.666667,-8.800000,0.571255,8.850000,-4.408200
1.700000,2.850000,2.750000,-8.600000,0.587095,8.890000,-4.393939
1.800000,2.910000,2.833333,-8.800000,0.602851,8.870000,-4.386809
1.900000,2.950000,2.916667,-8.800000,0.618815,8.890000,-4.361854
2.000000,3.050000,3.000000,-8.600000,0.635225,8.850000,-4.340463
1.900000,3.190000,3.083333,-8.600000,0.653323,8.890000,-4.390374
2.000000,3.230000,3.166667,-8.800000,0.675008,8.950000,-4.345811
1.800000,3.370000,3.250000,-9.000000,0.690159,8.850000,-4.392157
1.900000,3.390000,3.333333,-8.800000,0.705526,8.850000,-4.399287
2.000000,3.470000,3.416667,-8.800000,0.720816,8.870000,-4.390374
2.100000,3.510000,3.500000,-8.800000,0.736304,8.910000,-4.385027
2.200000,3.630000,3.583333,-8.200000,0.751137,8.890000,-4.342246
2.200000,3.670000,3.666667,-9.000000,0.760666,8.830000,-4.292335
2.300000,3.810000,3.750000,-8.600000,0.775155,8.810000,-4.351159
2.100000,3.890000,3.833333,-9.200000,0.800125,8.890000,-4.319073
2.100000,3.910000,3.916667,-8.800000,0.810300,8.750000,-4.311943
2.300000,4.010000,4.000000,-9.200000,0.822976,8.870000,-4.409982
2.300000,4.170000,4.083333,-9.000000,0.838451,8.830000,-4.411765
2.200000,4.290000,4.166667,-9.000000,0.860282,8.870000,-4.303030
2.500000,4.270000,4.250000,-9.000000,0.870890,8.910000,-4.409982
2.200000,4.390000,4.333333,-9.000000,0.887429,8.910000,-4.409982
2.100000,4.490000,4.416667,-8.800000,0.902998,8.930000,-4.388592
2.100000,4.550000,4.500000,-8.600000,0.918571,8.950000,-4.367201
2.300000,4.570000,4.583333,-8.600000,0.935033,8.910000,-4.367201
