# Date: 20210517
# Operator: DCC
# Notes: post test 
# Tap_cm: 1.0
# Sample: DCC_Ni_007
# Fit of Tap:
#	Ic = 159 +/- 4 A
#	n = 7.57 +/- 0.89 
#	Vc = 1.5 uV
#	Vfloor = 14.6 +/- 0.15 uV
#	R = 0.0252 +/- 0.0022 Ohms
Tap [uV],Shunt [A],Supply [A],Input_5 [uV],Time [S],Hall [A],Cernox [T]
0.800000,0.230000,0.000000,-9.000000,0.057416,8.750000,-4.253119
0.700000,0.350000,0.166667,-8.800000,0.089965,8.810000,-4.267380
0.900000,0.390000,0.333333,-9.200000,0.105202,8.790000,-4.299465
0.800000,0.570000,0.500000,-8.800000,0.121784,8.770000,-4.301248
0.800000,0.690000,0.666667,-8.800000,0.137012,8.810000,-4.356506
1.100000,0.930000,0.833333,-8.600000,0.162858,8.850000,-4.335116
0.800000,1.050000,1.000000,-8.600000,0.178959,8.850000,-4.310160
0.900000,1.210000,1.166667,-9.000000,0.189940,8.810000,-4.270945
0.700000,1.290000,1.333333,-8.800000,0.200990,8.870000,-4.406417
0.700000,1.590000,1.500000,-8.800000,0.222909,8.830000,-4.281640
1.000000,1.650000,1.666667,-9.000000,0.232911,8.810000,-4.408200
0.800000,1.890000,1.833333,-8.600000,0.249048,8.870000,-4.402852
0.800000,2.010000,2.000000,-8.600000,0.265223,8.830000,-4.392157
1.000000,2.230000,2.166667,-8.600000,0.281800,8.890000,-4.393939
0.600000,2.350000,2.333333,-8.600000,0.298085,8.870000,-4.377897
0.800000,2.510000,2.500000,-8.800000,0.313617,8.830000,-4.352941
0.800000,2.690000,2.666667,-8.600000,0.330000,8.930000,-4.347594
1.100000,2.950000,2.833333,-9.400000,0.347841,8.930000,-4.368984
0.800000,3.030000,3.000000,-8.800000,0.362983,8.870000,-4.333333
0.700000,3.190000,3.166667,-8.800000,0.378070,8.850000,-4.281640
0.800000,3.450000,3.333333,-8.800000,0.395965,8.890000,-4.327986
1.100000,3.490000,3.500000,-8.600000,0.413039,8.930000,-4.335116
0.700000,3.750000,3.666667,-9.000000,0.427973,8.830000,-4.292335
1.000000,3.790000,3.833333,-9.000000,0.442958,8.910000,-4.253119
0.800000,4.090000,4.000000,-8.800000,0.467941,8.870000,-4.392157
0.800000,4.210000,4.166667,-8.800000,0.488954,8.910000,-4.286988
