# Date: 20210517
# Operator: DCC
# Notes: post test 
# Tap_cm: 1.0
# Sample: DCC_Ni_020
# Fit of Tap:
#	Ic = 152 +/- 1.5 A
#	n = 58.9 +/- 21 
#	Vc = 1.5 uV
#	Vfloor = 0.937 +/- 0.016 uV
#	R = 0.0363 +/- 0.00019 Ohms
Tap [uV],Shunt [A],Supply [A],Input_5 [uV],Time [S],Hall [A],Cernox [T]
1.000000,0.230000,0.000000,-11.200000,0.055691,8.870000,-4.265597
0.800000,0.270000,0.166667,-10.800000,0.078320,8.770000,-4.392157
0.800000,0.350000,0.333333,-9.200000,0.089298,8.830000,-4.262032
1.000000,0.510000,0.500000,-8.600000,0.099644,8.830000,-4.402852
1.200000,0.690000,0.666667,-8.800000,0.113866,8.810000,-4.426025
0.900000,0.890000,0.833333,-8.800000,0.129046,8.870000,-4.418895
0.600000,1.010000,1.000000,-8.800000,0.145187,8.870000,-4.401070
0.800000,1.170000,1.166667,-8.800000,0.160837,8.890000,-4.385027
0.900000,1.310000,1.333333,-8.600000,0.177026,8.910000,-4.374332
0.900000,1.550000,1.500000,-8.400000,0.193819,8.830000,-4.376114
0.900000,1.690000,1.666667,-8.600000,0.215654,8.870000,-4.422460
1.000000,1.850000,1.833333,-8.600000,0.226309,8.850000,-4.340463
0.800000,2.030000,2.000000,-8.600000,0.241719,8.870000,-4.317291
1.000000,2.150000,2.166667,-8.400000,0.257022,8.850000,-4.281640
0.800000,2.350000,2.333333,-9.200000,0.280574,8.790000,-4.424242
0.800000,2.490000,2.500000,-8.800000,0.291042,8.890000,-4.292335
0.900000,2.750000,2.666667,-8.600000,0.315018,8.810000,-4.438503
0.800000,2.950000,2.833333,-9.200000,0.330185,8.890000,-4.434938
1.100000,2.990000,3.000000,-9.200000,0.340992,8.870000,-4.292335
0.700000,3.130000,3.166667,-9.200000,0.353048,8.810000,-4.313725
1.000000,3.370000,3.333333,-8.800000,0.369515,8.850000,-4.329768
0.800000,3.490000,3.500000,-8.800000,0.384315,8.830000,-4.365419
1.000000,3.670000,3.666667,-8.800000,0.401298,8.830000,-4.358289
1.000000,3.850000,3.833333,-8.800000,0.420984,8.850000,-4.267380
0.800000,4.090000,4.000000,-9.000000,0.436251,8.870000,-4.301248
0.900000,4.170000,4.166667,-9.000000,0.448451,8.810000,-4.415330
