# Date: 20210517
# Operator: DCC
# Notes: post test 
# Tap_cm: 0.5
# Sample: W 2/3 SOX 853-L
# Fit of Tap:
#	Ic = 157 +/- 1.7 A
#	n = 14.6 +/- 0.89 
#	Vc = 0.75 uV
#	Vfloor = 17.2 +/- 0.12 uV
#	R = 0.0372 +/- 0.0014 Ohms
Tap [uV],Shunt [A],Supply [A],Input_5 [uV],Time [S],Hall [A],Cernox [T]
1.400000,0.290000,0.000000,-9.000000,0.046286,8.850000,-4.347594
1.300000,0.310000,0.166667,-9.000000,0.061062,8.870000,-4.295900
1.400000,0.410000,0.333333,-8.600000,0.077582,8.850000,-4.297683
1.500000,0.570000,0.500000,-8.800000,0.093209,8.870000,-4.270945
1.700000,0.710000,0.666667,-8.800000,0.109747,8.870000,-4.267380
1.300000,0.890000,0.833333,-8.800000,0.125349,8.890000,-4.253119
1.600000,1.110000,1.000000,-8.800000,0.141007,8.870000,-4.244207
1.600000,1.190000,1.166667,-8.600000,0.157316,8.850000,-4.247772
1.700000,1.390000,1.333333,-8.600000,0.173522,8.810000,-4.245989
1.800000,1.590000,1.500000,-9.600000,0.189633,8.870000,-4.251337
1.500000,1.690000,1.666667,-8.600000,0.205557,8.810000,-4.270945
1.600000,1.850000,1.833333,-8.800000,0.221580,8.810000,-4.294118
1.400000,2.050000,2.000000,-8.800000,0.242556,8.890000,-4.263815
1.600000,2.290000,2.166667,-8.800000,0.267526,8.790000,-4.372549
1.400000,2.390000,2.333333,-9.000000,0.284466,8.810000,-4.370766
1.600000,2.510000,2.500000,-8.800000,0.294895,8.910000,-4.306595
1.600000,2.610000,2.666667,-8.800000,0.304751,8.870000,-4.286988
1.400000,2.910000,2.833333,-9.000000,0.322869,8.830000,-4.256684
1.200000,2.990000,3.000000,-8.800000,0.337994,8.790000,-4.288770
1.800000,3.210000,3.166667,-8.800000,0.353560,8.810000,-4.319073
1.600000,3.370000,3.333333,-9.000000,0.369329,8.810000,-4.340463
1.500000,3.530000,3.500000,-8.800000,0.384868,8.830000,-4.367201
1.200000,3.710000,3.666667,-8.800000,0.400385,8.830000,-4.386809
1.600000,3.790000,3.833333,-8.600000,0.415924,8.830000,-4.397504
1.400000,4.070000,4.000000,-8.600000,0.431503,8.810000,-4.404635
1.600000,4.230000,4.166667,-9.000000,0.449880,8.770000,-4.395722
1.500000,4.430000,4.333333,-9.200000,0.472337,8.730000,-4.279857
1.500000,4.510000,4.500000,-9.400000,0.488891,8.770000,-4.294118
1.300000,4.710000,4.666667,-8.800000,0.505301,8.810000,-4.290553
1.600000,4.810000,4.833333,-9.000000,0.520735,8.790000,-4.311943
1.300000,5.010000,5.000000,-8.400000,0.536287,8.810000,-4.338681
1.500000,5.150000,5.166667,-8.600000,0.545997,8.850000,-4.351159
1.700000,5.390000,5.333333,-9.000000,0.576538,8.870000,-4.283422
1.300000,5.550000,5.500000,-9.000000,0.595828,8.850000,-4.324421
1.300000,5.730000,5.666667,-8.600000,0.611899,8.830000,-4.310160
1.200000,5.850000,5.833333,-8.800000,0.628138,8.790000,-4.304813
1.600000,6.070000,6.000000,-8.600000,0.644138,8.850000,-4.288770
1.300000,6.210000,6.166667,-8.800000,0.664292,8.850000,-4.377897
1.600000,6.330000,6.333333,-8.800000,0.680145,8.890000,-4.360071
1.700000,6.470000,6.500000,-8.800000,0.696297,8.810000,-4.360071
1.400000,6.670000,6.666667,-8.800000,0.712126,8.850000,-4.333333
1.300000,6.870000,6.833333,-8.800000,0.728160,8.850000,-4.311943
1.500000,7.030000,7.000000,-9.000000,0.744260,8.830000,-4.297683
1.700000,7.190000,7.166667,-8.600000,0.760057,8.850000,-4.281640
1.400000,7.350000,7.333333,-8.600000,0.776242,8.830000,-4.274510
1.800000,7.530000,7.500000,-8.800000,0.792110,8.890000,-4.262032
1.300000,7.710000,7.666667,-8.600000,0.808116,8.870000,-4.254902
1.600000,7.890000,7.833333,-8.600000,0.823688,8.830000,-4.253119
1.300000,7.950000,8.000000,-9.200000,0.833301,8.850000,-4.392157
1.400000,8.250000,8.166667,-8.800000,0.868062,8.810000,-4.372549
1.500000,8.350000,8.333333,-8.400000,0.884739,8.870000,-4.377897
1.500000,8.510000,8.500000,-9.800000,0.901077,8.870000,-4.393939
