# Date: 20210518
# Operator: DCC
# Notes: post test 
# Tap_cm: 0.5
# Sample: DCC_Ni_005
# Fit of Tap:
#	Ic = 95.2 +/- 1 A
#	n = 38.3 +/- 4.3 
#	Vc = 0.75 uV
#	Vfloor = 5.15 +/- 0.48 uV
#	R = 0.127 +/- 0.0087 Ohms
Tap [uV],Shunt [A],Supply [A],Input_5 [uV],Time [S],Hall [A],Cernox [T]
1.600000,0.270000,0.000000,-13.400000,0.055759,8.850000,-4.377897
1.600000,0.410000,0.166667,-15.200000,0.075405,8.870000,-4.377897
1.600000,0.170000,0.333333,-11.400000,0.092835,8.830000,-4.363636
1.600000,0.510000,0.500000,-11.400000,0.102914,8.850000,-4.311943
1.800000,0.730000,0.666667,-9.400000,0.120361,8.890000,-4.315508
1.600000,0.930000,0.833333,-8.800000,0.137593,8.850000,-4.335116
1.800000,1.050000,1.000000,-8.600000,0.153912,8.890000,-4.324421
1.700000,1.270000,1.166667,-9.000000,0.173931,8.870000,-4.370766
1.500000,1.390000,1.333333,-8.800000,0.186330,9.010000,-4.297683
1.500000,1.530000,1.500000,-9.200000,0.201346,8.850000,-4.265597
1.700000,1.670000,1.666667,-8.800000,0.217341,8.850000,-4.249554
1.500000,1.910000,1.833333,-8.800000,0.239387,8.870000,-4.351159
1.500000,1.970000,2.000000,-8.600000,0.249064,8.890000,-4.206774
1.400000,2.250000,2.166667,-8.800000,0.265620,8.890000,-4.212121
1.500000,2.350000,2.333333,-8.800000,0.281102,8.870000,-4.231729
1.700000,2.590000,2.500000,-8.800000,0.297087,8.870000,-4.237077
1.600000,2.710000,2.666667,-9.200000,0.313732,8.870000,-4.245989
1.300000,2.890000,2.833333,-9.000000,0.329121,8.850000,-4.274510
1.500000,3.030000,3.000000,-9.000000,0.345186,8.850000,-4.290553
1.600000,3.210000,3.166667,-8.800000,0.361568,8.830000,-4.290553
1.600000,3.390000,3.333333,-8.600000,0.388190,8.910000,-4.344029
1.500000,3.390000,3.500000,-8.800000,0.399010,8.850000,-4.221034
1.400000,3.610000,3.666667,-9.000000,0.408623,8.830000,-4.354724
1.500000,3.830000,3.833333,-9.000000,0.425277,8.850000,-4.354724
1.700000,4.010000,4.000000,-9.000000,0.444034,8.870000,-4.308378
1.200000,4.190000,4.166667,-9.200000,0.457562,8.810000,-4.356506
1.600000,4.390000,4.333333,-9.200000,0.473062,8.890000,-4.358289
1.400000,4.550000,4.500000,-8.800000,0.489503,8.850000,-4.352941
1.500000,4.670000,4.666667,-8.600000,0.504980,8.910000,-4.340463
1.600000,4.830000,4.833333,-8.800000,0.521469,8.910000,-4.349376
1.600000,5.010000,5.000000,-8.800000,0.536954,8.850000,-4.324421
1.700000,5.110000,5.166667,-9.000000,0.553590,8.910000,-4.324421
1.500000,5.350000,5.333333,-8.400000,0.569224,8.910000,-4.294118
1.400000,5.570000,5.500000,-8.800000,0.585753,8.870000,-4.288770
1.300000,5.670000,5.666667,-8.800000,0.601184,8.910000,-4.251337
1.700000,5.790000,5.833333,-9.200000,0.617608,8.890000,-4.244207
1.800000,6.050000,6.000000,-8.800000,0.633095,8.910000,-4.231729
1.500000,6.190000,6.166667,-9.400000,0.652809,8.870000,-4.301248
1.500000,6.270000,6.333333,-9.000000,0.664996,8.870000,-4.231729
1.700000,6.530000,6.500000,-9.000000,0.690117,8.870000,-4.392157
1.700000,6.590000,6.666667,-9.400000,0.700632,8.890000,-4.260250
1.600000,6.830000,6.833333,-8.800000,0.718836,8.870000,-4.294118
1.700000,6.990000,7.000000,-8.600000,0.733960,8.850000,-4.254902
1.400000,7.190000,7.166667,-9.000000,0.749152,8.870000,-4.233512
1.800000,7.330000,7.333333,-9.600000,0.764577,8.830000,-4.237077
1.500000,7.470000,7.500000,-9.400000,0.779863,8.790000,-4.258467
1.500000,7.610000,7.666667,-9.000000,0.795209,8.730000,-4.292335
1.600000,7.830000,7.833333,-9.600000,0.810466,8.890000,-4.342246
1.700000,7.950000,8.000000,-8.800000,0.826112,8.890000,-4.367201
1.600000,8.230000,8.166667,-9.000000,0.841194,8.830000,-4.392157
1.500000,8.350000,8.333333,-8.600000,0.866153,8.910000,-4.237077
1.500000,8.510000,8.500000,-8.800000,0.881437,8.890000,-4.229947
1.700000,8.550000,8.666667,-9.000000,0.896826,8.830000,-4.249554
1.500000,8.730000,8.833333,-9.000000,0.906637,8.890000,-4.383244
1.500000,9.010000,9.000000,-8.800000,0.921772,8.910000,-4.370766
1.600000,9.130000,9.166667,-8.600000,0.937180,8.870000,-4.344029
1.600000,9.470000,9.333333,-9.400000,0.957227,8.830000,-4.379679
1.500000,9.430000,9.500000,-9.800000,0.972247,8.830000,-4.370766
1.500000,9.690000,9.666667,-9.000000,1.002828,8.890000,-4.311943
1.600000,9.810000,9.833333,-9.000000,1.018734,8.930000,-4.285205
1.700000,9.970000,10.000000,-8.600000,1.039056,8.910000,-4.374332
1.700000,10.030000,10.166667,-8.800000,1.054350,8.870000,-4.352941
1.600000,10.410000,10.333333,-8.600000,1.079174,8.850000,-4.283422
1.400000,10.510000,10.500000,-8.800000,1.094420,8.810000,-4.315508
1.800000,10.650000,10.666667,-8.800000,1.109799,8.850000,-4.340463
1.500000,10.810000,10.833333,-9.200000,1.125257,8.810000,-4.368984
1.700000,11.010000,11.000000,-8.800000,1.140602,8.850000,-4.370766
1.500000,11.170000,11.166667,-9.000000,1.156355,8.890000,-4.368984
1.700000,11.370000,11.333333,-8.800000,1.171881,8.910000,-4.360071
1.800000,11.490000,11.500000,-8.800000,1.187478,8.810000,-4.342246
1.600000,11.670000,11.666667,-8.400000,1.202942,8.890000,-4.310160
1.600000,11.830000,11.833333,-9.400000,1.218324,8.870000,-4.272727
1.700000,12.030000,12.000000,-9.000000,1.233896,8.890000,-4.254902
1.600000,12.150000,12.166667,-8.800000,1.249097,8.890000,-4.233512
1.500000,12.270000,12.333333,-9.000000,1.258777,8.870000,-4.358289
1.400000,12.530000,12.500000,-8.600000,1.296492,8.850000,-4.260250
1.500000,12.650000,12.666667,-8.600000,1.312846,8.810000,-4.262032
1.600000,12.830000,12.833333,-9.000000,1.328317,8.850000,-4.295900
1.700000,13.010000,13.000000,-9.200000,1.344884,8.810000,-4.295900
1.800000,13.130000,13.166667,-8.800000,1.360324,8.890000,-4.317291
1.600000,13.330000,13.333333,-8.800000,1.376802,8.850000,-4.319073
1.800000,13.450000,13.500000,-8.600000,1.393314,8.830000,-4.329768
1.700000,13.610000,13.666667,-8.800000,1.409037,8.850000,-4.349376
1.500000,13.830000,13.833333,-8.800000,1.424502,8.890000,-4.358289
1.400000,13.950000,14.000000,-8.800000,1.441042,8.890000,-4.363636
1.800000,14.170000,14.166667,-9.000000,1.456466,8.870000,-4.361854
1.700000,14.310000,14.333333,-9.000000,1.472882,8.830000,-4.360071
1.700000,14.530000,14.500000,-8.600000,1.492347,8.810000,-4.340463
1.600000,14.670000,14.666667,-8.800000,1.504974,8.850000,-4.349376
1.500000,14.830000,14.833333,-8.800000,1.520387,8.890000,-4.320856
1.400000,15.030000,15.000000,-8.800000,1.536861,8.830000,-4.315508
1.400000,15.090000,15.166667,-9.000000,1.552264,8.850000,-4.283422
1.400000,15.350000,15.333333,-8.800000,1.568738,8.870000,-4.276292
1.500000,15.550000,15.500000,-8.800000,1.592184,8.830000,-4.342246
1.300000,15.590000,15.666667,-8.800000,1.602282,8.910000,-4.285205
1.900000,15.770000,15.833333,-8.600000,1.616832,8.850000,-4.229947
1.700000,15.970000,16.000000,-8.800000,1.632271,8.890000,-4.217469
1.700000,16.090000,16.166667,-8.600000,1.648856,8.850000,-4.222816
1.500000,16.330000,16.333333,-8.800000,1.664423,8.930000,-4.215686
1.300000,16.490000,16.500000,-8.800000,1.684153,8.890000,-4.251337
1.700000,16.610000,16.666667,-8.800000,1.696755,8.850000,-4.237077
1.500000,16.830000,16.833333,-8.800000,1.713177,8.810000,-4.235294
1.800000,17.050000,17.000000,-8.600000,1.728591,8.810000,-4.272727
1.600000,17.190000,17.166667,-9.200000,1.745103,8.850000,-4.272727
1.700000,17.310000,17.333333,-8.800000,1.760509,8.810000,-4.306595
1.500000,17.450000,17.500000,-8.800000,1.777037,8.810000,-4.304813
1.700000,17.670000,17.666667,-8.800000,1.792556,8.830000,-4.340463
1.700000,17.790000,17.833333,-8.800000,1.809058,8.870000,-4.347594
