# Date: 20210518
# Operator: DCC
# Notes: post test 
# Tap_cm: 1.0
# Sample: 1-PP
# Fit of Tap:
#	Ic = 180 +/- 0.13 A
#	n = 18.9 +/- 0.19 
#	Vc = 1.5 uV
#	Vfloor = 1.46 +/- 0.01 uV
#	R = 0.00696 +/- 0.00011 Ohms
Tap [uV],Shunt [A],Supply [A],Input_5 [uV],Time [S],Hall [A],Cernox [T]
1.700000,0.230000,0.000000,-11.000000,0.057320,8.950000,-4.272727
1.500000,0.270000,0.166667,-11.200000,0.079335,8.970000,-4.374332
1.500000,0.370000,0.333333,-11.400000,0.087329,8.890000,-4.324421
1.300000,0.610000,0.500000,-10.800000,0.096943,8.930000,-4.402852
1.600000,0.710000,0.666667,-11.000000,0.112514,8.970000,-4.368984
1.400000,0.930000,0.833333,-11.200000,0.130001,8.970000,-4.386809
1.500000,1.050000,1.000000,-8.600000,0.147479,8.950000,-4.388592
1.600000,1.190000,1.166667,-8.600000,0.163102,8.930000,-4.368984
1.600000,1.330000,1.333333,-8.400000,0.179721,8.950000,-4.360071
1.700000,1.510000,1.500000,-8.600000,0.195357,8.930000,-4.329768
1.300000,1.710000,1.666667,-8.800000,0.210999,8.890000,-4.308378
1.500000,1.810000,1.833333,-9.000000,0.233943,8.910000,-4.417112
1.200000,1.990000,2.000000,-8.800000,0.244238,8.910000,-4.319073
1.400000,2.290000,2.166667,-8.800000,0.270303,8.870000,-4.352941
1.400000,2.310000,2.333333,-8.800000,0.281570,8.910000,-4.408200
1.400000,2.470000,2.500000,-8.800000,0.291863,8.850000,-4.263815
1.500000,2.710000,2.666667,-8.600000,0.307604,8.930000,-4.263815
1.600000,2.830000,2.833333,-8.800000,0.323249,8.890000,-4.270945
1.600000,3.070000,3.000000,-8.800000,0.338964,8.870000,-4.290553
1.600000,3.210000,3.166667,-8.800000,0.355717,8.910000,-4.281640
1.600000,3.410000,3.333333,-8.800000,0.371478,8.890000,-4.317291
1.500000,3.530000,3.500000,-8.800000,0.387143,8.870000,-4.335116
1.600000,3.810000,3.666667,-8.800000,0.403837,8.890000,-4.340463
1.700000,3.870000,3.833333,-8.600000,0.419466,8.890000,-4.372549
1.700000,3.970000,4.000000,-8.800000,0.441744,8.970000,-4.269162
1.500000,4.130000,4.166667,-8.600000,0.452064,8.950000,-4.388592
1.400000,4.350000,4.333333,-8.800000,0.467376,8.870000,-4.397504
1.700000,4.490000,4.500000,-9.000000,0.483045,8.910000,-4.415330
1.500000,4.730000,4.666667,-8.800000,0.499795,8.890000,-4.409982
1.600000,4.870000,4.833333,-8.800000,0.515484,8.950000,-4.399287
1.600000,4.990000,5.000000,-8.600000,0.531168,8.910000,-4.397504
1.800000,5.110000,5.166667,-8.800000,0.546989,9.010000,-4.377897
1.600000,5.390000,5.333333,-9.000000,0.580175,8.950000,-4.386809
1.600000,5.550000,5.500000,-10.000000,0.599901,8.870000,-4.415330
1.500000,5.690000,5.666667,-9.000000,0.615205,8.810000,-4.404635
1.700000,5.870000,5.833333,-9.000000,0.630381,8.970000,-4.383244
1.500000,6.070000,6.000000,-9.000000,0.653148,8.870000,-4.367201
1.600000,6.110000,6.166667,-9.400000,0.663604,9.010000,-4.385027
1.500000,6.310000,6.333333,-8.800000,0.678874,8.870000,-4.351159
1.400000,6.530000,6.500000,-8.600000,0.694216,8.870000,-4.308378
1.700000,6.670000,6.666667,-8.600000,0.709359,9.010000,-4.279857
1.500000,6.810000,6.833333,-8.800000,0.724840,8.970000,-4.279857
1.500000,6.950000,7.000000,-8.800000,0.741047,9.030000,-4.269162
1.500000,7.190000,7.166667,-8.800000,0.756519,8.890000,-4.279857
1.400000,7.350000,7.333333,-9.000000,0.773544,9.010000,-4.272727
1.600000,7.550000,7.500000,-8.600000,0.790128,8.950000,-4.278075
1.400000,7.650000,7.666667,-8.600000,0.806708,8.810000,-4.283422
1.500000,7.870000,7.833333,-8.800000,0.822796,8.810000,-4.286988
1.400000,8.070000,8.000000,-9.000000,0.839002,8.810000,-4.297683
1.700000,8.270000,8.166667,-8.400000,0.869275,8.930000,-4.383244
1.600000,8.390000,8.333333,-8.800000,0.892791,8.930000,-4.285205
1.700000,8.490000,8.500000,-8.400000,0.908807,8.930000,-4.281640
1.600000,8.630000,8.666667,-8.600000,0.924878,8.950000,-4.279857
1.600000,8.890000,8.833333,-8.800000,0.940640,8.890000,-4.286988
1.500000,9.010000,9.000000,-8.800000,0.961953,8.930000,-4.363636
1.300000,9.130000,9.166667,-9.000000,0.977899,8.970000,-4.336898
1.600000,9.330000,9.333333,-8.800000,0.993936,8.910000,-4.310160
1.600000,9.470000,9.500000,-8.800000,1.009861,8.930000,-4.290553
1.500000,9.710000,9.666667,-8.800000,1.026018,8.890000,-4.281640
1.700000,9.850000,9.833333,-9.200000,1.042225,8.890000,-4.276292
1.600000,9.950000,10.000000,-8.800000,1.061177,8.990000,-4.331551
1.600000,10.170000,10.166667,-9.000000,1.088650,8.930000,-4.306595
1.700000,10.330000,10.333333,-8.800000,1.109069,9.010000,-4.295900
1.500000,10.510000,10.500000,-8.800000,1.124640,8.950000,-4.283422
1.600000,10.690000,10.666667,-8.800000,1.139850,8.930000,-4.276292
1.300000,10.890000,10.833333,-8.600000,1.164709,8.930000,-4.415330
1.700000,11.030000,11.000000,-8.800000,1.179949,8.930000,-4.377897
1.800000,11.130000,11.166667,-8.600000,1.195845,8.910000,-4.358289
1.500000,11.410000,11.333333,-9.000000,1.211160,8.970000,-4.322638
1.600000,11.490000,11.500000,-8.800000,1.226549,8.930000,-4.292335
1.500000,11.630000,11.666667,-8.600000,1.241899,8.930000,-4.270945
1.700000,11.870000,11.833333,-8.800000,1.256944,8.890000,-4.270945
1.600000,12.010000,12.000000,-8.600000,1.282125,8.930000,-4.420677
1.600000,12.210000,12.166667,-8.600000,1.302663,8.810000,-4.374332
1.400000,12.330000,12.333333,-8.800000,1.317875,8.970000,-4.413547
1.300000,12.450000,12.500000,-8.800000,1.333472,8.970000,-4.427807
1.600000,12.650000,12.666667,-8.800000,1.348697,8.910000,-4.431373
1.700000,12.770000,12.833333,-8.400000,1.364050,8.870000,-4.415330
1.600000,12.930000,13.000000,-8.400000,1.379413,8.950000,-4.363636
1.500000,13.190000,13.166667,-8.800000,1.394713,8.910000,-4.320856
1.500000,13.290000,13.333333,-9.000000,1.410310,8.890000,-4.295900
1.500000,13.490000,13.500000,-8.800000,1.426738,8.930000,-4.294118
1.600000,13.630000,13.666667,-8.600000,1.442179,8.950000,-4.276292
1.500000,13.850000,13.833333,-9.000000,1.476772,8.930000,-4.288770
1.400000,14.010000,14.000000,-8.800000,1.493509,8.930000,-4.294118
1.500000,14.210000,14.166667,-8.800000,1.508952,8.910000,-4.270945
1.600000,14.310000,14.333333,-8.800000,1.525596,8.910000,-4.269162
1.700000,14.550000,14.500000,-8.600000,1.541119,8.950000,-4.270945
1.700000,14.670000,14.666667,-8.800000,1.556684,8.890000,-4.278075
1.700000,14.890000,14.833333,-8.800000,1.573366,8.930000,-4.276292
1.600000,15.010000,15.000000,-9.200000,1.588870,8.930000,-4.297683
1.100000,15.150000,15.166667,-9.200000,1.605362,8.890000,-4.299465
1.500000,15.330000,15.333333,-8.800000,1.620785,8.890000,-4.335116
1.600000,15.490000,15.500000,-9.000000,1.637268,8.870000,-4.333333
1.200000,15.750000,15.666667,-8.600000,1.660942,8.970000,-4.315508
1.400000,15.730000,15.833333,-8.800000,1.670359,8.930000,-4.349376
1.400000,15.950000,16.000000,-8.600000,1.684782,8.950000,-4.406417
1.300000,16.130000,16.166667,-8.800000,1.701253,8.990000,-4.415330
1.400000,16.370000,16.333333,-9.200000,1.716755,8.950000,-4.424242
1.700000,16.490000,16.500000,-8.800000,1.733285,8.950000,-4.426025
1.500000,16.650000,16.666667,-9.000000,1.748731,8.910000,-4.426025
1.700000,16.870000,16.833333,-8.600000,1.773668,8.970000,-4.270945
1.400000,16.950000,17.000000,-9.000000,1.783805,8.910000,-4.415330
1.800000,17.110000,17.166667,-8.600000,1.797431,9.010000,-4.399287
1.600000,17.330000,17.333333,-8.600000,1.812789,8.930000,-4.372549
1.700000,17.490000,17.500000,-8.600000,1.829054,8.990000,-4.361854
1.500000,17.690000,17.666667,-8.600000,1.845721,9.010000,-4.356506
1.600000,17.910000,17.833333,-9.200000,1.871138,8.910000,-4.322638
1.400000,17.990000,18.000000,-8.600000,1.886493,8.950000,-4.374332
1.700000,18.090000,18.166667,-8.600000,1.895924,8.950000,-4.372549
1.700000,18.310000,18.333333,-8.800000,1.909467,9.010000,-4.294118
