# Date: 20210518
# Operator: DCC
# Notes: post test 
# Tap_cm: 1.0
# Sample: R+J 14
# Fit of Tap:
#	Ic = 23.9 A
#	n = 50 
#	Vc = 1.5 uV
#	Vfloor = 3.74 uV
#	R = 9.77 Ohms
Tap [uV],Shunt [A],Supply [A],Input_5 [uV],Time [S],Hall [A],Cernox [T]
1.300000,0.230000,0.000000,-9.200000,0.073609,8.790000,-4.304813
1.400000,0.290000,0.166667,-9.200000,0.107464,8.810000,-4.301248
1.500000,0.470000,0.333333,-8.800000,0.134057,8.830000,-4.395722
1.300000,0.490000,0.500000,-8.800000,0.144345,8.830000,-4.260250
1.800000,0.590000,0.666667,-8.800000,0.155121,8.810000,-4.367201
1.600000,0.830000,0.833333,-9.200000,0.171126,8.850000,-4.379679
1.200000,0.970000,1.000000,-8.800000,0.187097,8.790000,-4.388592
1.400000,1.250000,1.166667,-9.000000,0.212707,8.850000,-4.290553
1.400000,1.270000,1.333333,-8.800000,0.222746,8.830000,-4.338681
1.600000,1.470000,1.500000,-8.800000,0.235588,8.830000,-4.402852
1.600000,1.630000,1.666667,-9.000000,0.251028,8.830000,-4.395722
1.300000,1.850000,1.833333,-9.000000,0.267107,8.790000,-4.385027
1.500000,1.950000,2.000000,-8.800000,0.283178,8.830000,-4.390374
1.700000,1.970000,2.166667,-8.800000,0.299414,8.890000,-4.377897
1.500000,2.350000,2.333333,-8.800000,0.315684,8.890000,-4.365419
1.400000,2.490000,2.500000,-8.800000,0.330762,8.870000,-4.311943
1.300000,2.630000,2.666667,-8.800000,0.346783,8.850000,-4.299465
1.400000,2.830000,2.833333,-8.800000,0.363086,8.830000,-4.279857
1.400000,3.050000,3.000000,-9.000000,0.379762,8.810000,-4.292335
1.500000,3.070000,3.166667,-8.800000,0.394822,8.850000,-4.265597
1.500000,3.350000,3.333333,-9.200000,0.428836,8.830000,-4.274510
1.400000,3.510000,3.500000,-8.600000,0.445323,8.810000,-4.276292
