# Date: 20210518
# Operator: DCC
# Notes: post test 
# Tap_cm: 1.0
# Sample: R+J 14
# Fit of Tap:
#	Ic = 113 +/- 1.5 A
#	n = 50 +/- 1.2 
#	Vc = 1.5 uV
#	Vfloor = 1.97 +/- 5.1e+151 uV
#	R = 2.81 +/- 1.7e+146 Ohms
Tap [uV],Shunt [A],Supply [A],Input_5 [uV],Time [S],Hall [A],Cernox [T]
1.500000,0.250000,0.000000,-8.800000,0.080792,8.850000,-4.420677
1.300000,0.290000,0.166667,-8.800000,0.119946,8.790000,-4.324421
1.400000,0.450000,0.333333,-8.800000,0.136122,8.810000,-4.345811
1.300000,0.570000,0.500000,-8.800000,0.152250,8.810000,-4.363636
1.500000,0.730000,0.666667,-8.800000,0.168394,8.810000,-4.370766
1.500000,0.890000,0.833333,-8.800000,0.183686,8.810000,-4.401070
1.500000,1.070000,1.000000,-9.000000,0.200168,8.790000,-4.393939
1.500000,1.190000,1.166667,-9.000000,0.215679,8.770000,-4.408200
1.300000,1.390000,1.333333,-8.400000,0.236799,8.830000,-4.320856
1.400000,1.490000,1.500000,-9.400000,0.247645,8.810000,-4.413547
1.500000,1.670000,1.666667,-8.600000,0.263239,8.810000,-4.390374
1.500000,1.830000,1.833333,-8.600000,0.279717,8.850000,-4.393939
1.600000,1.990000,2.000000,-8.600000,0.295329,8.850000,-4.379679
1.400000,2.190000,2.166667,-8.800000,0.311896,8.850000,-4.365419
1.500000,2.450000,2.333333,-9.000000,0.336562,8.810000,-4.333333
1.500000,2.430000,2.500000,-9.000000,0.346803,8.830000,-4.393939
1.200000,2.670000,2.666667,-8.800000,0.359615,8.810000,-4.294118
1.600000,2.890000,2.833333,-9.400000,0.375686,8.810000,-4.281640
1.500000,3.030000,3.000000,-8.600000,0.392154,8.790000,-4.270945
1.600000,3.150000,3.166667,-8.600000,0.408049,8.810000,-4.267380
1.500000,3.390000,3.333333,-8.800000,0.430772,8.830000,-4.409982
1.400000,3.430000,3.500000,-8.400000,0.441141,8.790000,-4.265597
1.600000,3.650000,3.666667,-9.000000,0.456312,8.810000,-4.263815
1.500000,3.850000,3.833333,-8.800000,0.472297,8.750000,-4.270945
1.600000,4.030000,4.000000,-9.200000,0.488369,8.710000,-4.269162
1.500000,4.170000,4.166667,-9.200000,0.503598,8.790000,-4.311943
1.600000,4.350000,4.333333,-9.200000,0.519730,8.750000,-4.327986
1.400000,4.530000,4.500000,-8.800000,0.536411,8.810000,-4.324421
1.400000,4.670000,4.666667,-8.400000,0.551689,8.770000,-4.365419
1.500000,4.890000,4.833333,-8.800000,0.567662,8.750000,-4.377897
1.300000,5.030000,5.000000,-8.800000,0.583244,8.770000,-4.397504
1.400000,5.210000,5.166667,-8.600000,0.599766,8.770000,-4.395722
1.300000,5.330000,5.333333,-8.800000,0.615373,8.790000,-4.406417
1.300000,5.570000,5.500000,-8.600000,0.649757,8.830000,-4.395722
1.400000,5.690000,5.666667,-8.800000,0.666508,8.770000,-4.386809
1.500000,5.830000,5.833333,-9.000000,0.682299,8.850000,-4.385027
1.500000,6.070000,6.000000,-8.800000,0.698626,8.810000,-4.381462
1.400000,6.170000,6.166667,-8.800000,0.714233,8.790000,-4.374332
1.700000,6.350000,6.333333,-8.600000,0.729803,8.830000,-4.356506
1.700000,6.530000,6.500000,-8.800000,0.746558,8.810000,-4.367201
1.400000,6.630000,6.666667,-8.600000,0.762419,8.830000,-4.342246
1.500000,6.830000,6.833333,-9.000000,0.778038,8.870000,-4.313725
1.300000,7.010000,7.000000,-8.800000,0.793554,8.790000,-4.292335
1.300000,7.190000,7.166667,-8.800000,0.810099,8.830000,-4.299465
1.200000,7.330000,7.333333,-8.600000,0.830719,8.810000,-4.413547
1.500000,7.470000,7.500000,-8.800000,0.842441,8.810000,-4.286988
1.600000,7.650000,7.666667,-8.800000,0.858063,8.850000,-4.267380
1.600000,7.810000,7.833333,-10.000000,0.874104,8.870000,-4.258467
1.600000,7.990000,8.000000,-8.800000,0.890535,8.810000,-4.262032
1.300000,8.230000,8.166667,-8.800000,0.906488,8.790000,-4.260250
1.600000,8.410000,8.333333,-8.800000,0.936013,8.810000,-4.361854
1.600000,8.450000,8.500000,-8.800000,0.946785,8.810000,-4.393939
1.500000,8.610000,8.666667,-8.600000,0.956665,8.830000,-4.269162
1.300000,8.810000,8.833333,-8.800000,0.970454,8.830000,-4.326203
1.400000,9.010000,9.000000,-8.800000,0.986523,8.810000,-4.347594
1.400000,9.170000,9.166667,-8.600000,1.002721,8.790000,-4.360071
1.700000,9.350000,9.333333,-8.800000,1.018471,8.770000,-4.376114
1.600000,9.490000,9.500000,-8.800000,1.038737,8.750000,-4.290553
1.300000,9.590000,9.666667,-8.800000,1.050068,8.830000,-4.418895
1.500000,9.830000,9.833333,-8.600000,1.066569,8.770000,-4.422460
1.600000,9.970000,10.000000,-8.800000,1.082663,8.810000,-4.427807
1.600000,10.150000,10.166667,-9.000000,1.098625,8.790000,-4.422460
1.400000,10.410000,10.333333,-8.800000,1.119751,8.790000,-4.363636
1.600000,10.430000,10.500000,-8.600000,1.129663,8.870000,-4.386809
1.500000,10.670000,10.666667,-8.600000,1.149701,8.770000,-4.417112
1.300000,10.850000,10.833333,-9.200000,1.165344,8.810000,-4.413547
1.400000,10.990000,11.000000,-9.000000,1.182136,8.810000,-4.422460
1.400000,11.190000,11.166667,-8.800000,1.198542,8.830000,-4.424242
1.400000,11.350000,11.333333,-9.000000,1.214356,8.890000,-4.417112
1.600000,11.530000,11.500000,-8.800000,1.248678,8.830000,-4.422460
1.600000,11.730000,11.666667,-9.400000,1.265431,8.810000,-4.422460
