# Date: 20210518
# Operator: DCC
# Notes: post test 
# Tap_cm: 1.0
# Sample: DCC_Ni_019
# Fit of Tap:
#	Ic = 95.4 +/- 0.63 A
#	n = 40.7 +/- 3.6 
#	Vc = 1.5 uV
#	Vfloor = 21.6 +/- 0.41 uV
#	R = 0.121 +/- 0.0075 Ohms
Tap [uV],Shunt [A],Supply [A],Input_5 [uV],Time [S],Hall [A],Cernox [T]
1.600000,0.230000,0.000000,-8.800000,0.042222,8.830000,-4.333333
1.600000,0.290000,0.166667,-9.000000,0.056737,8.850000,-4.276292
1.400000,0.450000,0.333333,-9.200000,0.066958,8.810000,-4.249554
1.400000,0.550000,0.500000,-8.600000,0.076395,8.850000,-4.358289
1.600000,0.710000,0.666667,-9.200000,0.091863,8.910000,-4.326203
1.600000,0.970000,0.833333,-8.600000,0.107278,8.910000,-4.297683
1.700000,1.130000,1.000000,-8.800000,0.123658,8.890000,-4.276292
1.800000,1.290000,1.166667,-8.800000,0.140147,8.910000,-4.269162
1.200000,1.450000,1.333333,-9.200000,0.155519,8.850000,-4.238859
1.500000,1.630000,1.500000,-8.800000,0.171913,8.870000,-4.240642
1.400000,1.810000,1.666667,-8.600000,0.187290,8.870000,-4.219251
1.600000,2.030000,1.833333,-9.000000,0.211834,8.810000,-4.372549
1.900000,2.050000,2.000000,-8.800000,0.221210,8.850000,-4.238859
1.400000,2.330000,2.166667,-8.800000,0.235619,8.850000,-4.215686
1.600000,2.470000,2.333333,-8.800000,0.252009,8.850000,-4.217469
1.300000,2.670000,2.500000,-8.800000,0.267375,8.810000,-4.240642
1.600000,2.870000,2.666667,-9.200000,0.283787,8.810000,-4.254902
1.800000,3.030000,2.833333,-8.800000,0.308002,8.850000,-4.333333
1.400000,3.130000,3.000000,-9.200000,0.318320,8.830000,-4.238859
1.500000,3.310000,3.166667,-9.000000,0.331859,8.810000,-4.306595
1.700000,3.530000,3.333333,-8.800000,0.347289,8.830000,-4.324421
