# Date: 20210518
# Operator: DCC
# Notes: post test 
# Tap_cm: 1.0
# Sample: DCC_Ni_019
# Fit of Tap:
#	Ic = 21 A
#	n = 50 
#	Vc = 1.5 uV
#	Vfloor = 1.69 uV
#	R = 10 Ohms
Tap [uV],Shunt [A],Supply [A],Input_5 [uV],Time [S],Hall [A],Cernox [T]
1.500000,0.270000,0.000000,-9.000000,0.034531,8.870000,-4.267380
1.500000,0.270000,0.166667,-9.000000,0.044396,8.810000,-4.295900
1.600000,0.450000,0.333333,-8.800000,0.069485,8.870000,-4.311943
1.600000,0.550000,0.500000,-9.200000,0.079983,8.890000,-4.238859
1.400000,0.750000,0.666667,-8.400000,0.091518,8.870000,-4.367201
1.300000,1.010000,0.833333,-8.800000,0.108113,8.850000,-4.365419
1.500000,1.150000,1.000000,-9.000000,0.123824,8.870000,-4.368984
1.700000,1.270000,1.166667,-9.000000,0.139911,8.810000,-4.372549
1.600000,1.470000,1.333333,-9.000000,0.156498,8.790000,-4.368984
1.400000,1.650000,1.500000,-8.600000,0.171806,8.850000,-4.358289
1.500000,1.790000,1.666667,-8.800000,0.188111,8.830000,-4.360071
1.400000,1.970000,1.833333,-9.000000,0.212380,8.830000,-4.265597
1.200000,2.090000,2.000000,-9.000000,0.225137,8.850000,-4.356506
1.400000,2.330000,2.166667,-8.600000,0.236479,8.810000,-4.320856
1.600000,2.490000,2.333333,-9.000000,0.251800,8.890000,-4.274510
1.500000,2.670000,2.500000,-9.000000,0.268046,8.830000,-4.274510
1.600000,2.830000,2.666667,-8.600000,0.283596,8.850000,-4.249554
1.500000,2.930000,2.833333,-8.800000,0.300213,8.870000,-4.254902
1.500000,3.190000,3.000000,-8.800000,0.315913,8.870000,-4.233512
1.500000,3.310000,3.166667,-8.800000,0.331459,8.850000,-4.219251
1.400000,3.510000,3.333333,-8.600000,0.348435,8.810000,-4.226381
1.600000,3.710000,3.500000,-9.200000,0.374182,8.850000,-4.383244
1.400000,3.790000,3.666667,-8.800000,0.384957,8.830000,-4.285205
1.500000,4.030000,3.833333,-9.000000,0.405258,8.870000,-4.376114
1.500000,4.130000,4.000000,-8.800000,0.415382,8.850000,-4.235294
1.700000,4.430000,4.166667,-9.000000,0.428709,8.830000,-4.270945
1.700000,4.590000,4.333333,-9.200000,0.443940,8.830000,-4.303030
1.700000,4.770000,4.500000,-8.800000,0.460464,8.850000,-4.315508
1.400000,4.910000,4.666667,-8.800000,0.475682,8.890000,-4.349376
1.300000,5.050000,4.833333,-9.000000,0.491864,8.870000,-4.356506
1.300000,5.210000,5.000000,-9.200000,0.508368,8.790000,-4.358289
1.500000,5.450000,5.166667,-9.200000,0.524802,8.810000,-4.352941
1.500000,5.670000,5.333333,-8.600000,0.539842,8.790000,-4.372549
1.600000,5.830000,5.500000,-8.800000,0.556476,8.850000,-4.379679
1.300000,5.990000,5.666667,-8.600000,0.572145,8.850000,-4.374332
1.300000,6.150000,5.833333,-9.000000,0.591610,8.850000,-4.377897
1.600000,6.270000,6.000000,-8.800000,0.604242,8.870000,-4.358289
1.700000,6.470000,6.166667,-8.800000,0.619740,8.850000,-4.327986
1.400000,6.610000,6.333333,-8.800000,0.636257,8.870000,-4.324421
1.700000,6.890000,6.500000,-8.800000,0.666420,8.910000,-4.242424
1.500000,6.950000,6.666667,-8.800000,0.676603,8.850000,-4.335116
1.600000,7.150000,6.833333,-8.800000,0.686114,8.930000,-4.310160
1.800000,7.330000,7.000000,-8.800000,0.699704,8.870000,-4.242424
1.500000,7.550000,7.166667,-9.000000,0.716275,8.890000,-4.231729
1.500000,7.730000,7.333333,-8.800000,0.731835,8.850000,-4.226381
1.400000,7.830000,7.500000,-8.600000,0.748360,8.830000,-4.226381
1.400000,8.050000,7.666667,-8.800000,0.763937,8.810000,-4.237077
1.700000,8.250000,7.833333,-8.800000,0.783466,8.870000,-4.251337
1.700000,8.330000,8.000000,-8.800000,0.796116,8.830000,-4.269162
1.400000,8.550000,8.166667,-8.600000,0.811794,8.810000,-4.283422
1.300000,8.690000,8.333333,-9.000000,0.828369,8.850000,-4.283422
1.500000,8.890000,8.500000,-9.200000,0.843948,8.810000,-4.311943
1.600000,9.030000,8.666667,-8.800000,0.859968,8.890000,-4.333333
1.400000,9.230000,8.833333,-8.600000,0.875552,8.850000,-4.358289
1.400000,9.390000,9.000000,-8.800000,0.892147,8.830000,-4.368984
1.600000,9.510000,9.166667,-9.200000,0.907713,8.850000,-4.376114
1.500000,9.730000,9.333333,-9.000000,0.924281,8.830000,-4.383244
1.400000,9.910000,9.500000,-8.800000,0.939814,8.850000,-4.374332
1.500000,10.130000,9.666667,-8.600000,0.964888,8.870000,-4.219251
1.600000,10.230000,9.833333,-8.800000,0.985229,8.810000,-4.272727
1.300000,10.410000,10.000000,-8.800000,0.994789,8.830000,-4.279857
1.800000,10.590000,10.166667,-8.800000,1.004247,8.870000,-4.342246
1.500000,10.850000,10.333333,-8.800000,1.019888,8.890000,-4.304813
1.600000,10.970000,10.500000,-8.800000,1.036396,8.870000,-4.303030
1.500000,11.090000,10.666667,-9.200000,1.052068,8.850000,-4.269162
1.500000,11.350000,10.833333,-8.800000,1.067794,8.870000,-4.253119
1.300000,11.550000,11.000000,-8.600000,1.084370,8.810000,-4.249554
1.700000,11.810000,11.166667,-11.400000,1.098668,8.910000,-4.217469
1.400000,11.870000,11.333333,-11.200000,1.114007,8.850000,-4.222816
1.500000,12.050000,11.500000,-11.400000,1.130326,8.830000,-4.226381
1.400000,12.230000,11.666667,-11.400000,1.145639,8.830000,-4.251337
1.400000,12.430000,11.833333,-11.600000,1.162466,8.830000,-4.244207
1.400000,12.550000,12.000000,-11.400000,1.177859,8.830000,-4.283422
1.400000,12.710000,12.166667,-11.200000,1.194178,8.850000,-4.299465
1.500000,12.890000,12.333333,-8.800000,1.211478,8.770000,-4.292335
1.600000,13.030000,12.500000,-9.000000,1.228136,8.850000,-4.279857
1.500000,13.210000,12.666667,-8.800000,1.243704,8.810000,-4.313725
1.300000,13.430000,12.833333,-8.600000,1.268494,8.890000,-4.274510
1.500000,13.550000,13.000000,-9.000000,1.278860,8.810000,-4.267380
