# Date: 20210518
# Operator: DCC
# Notes: post test 
# Tap_cm: 1.0
# Sample: DCC_Ni_002
# Fit of Tap:
#	Ic = 9.25 A
#	n = 50 
#	Vc = 1.5 uV
#	Vfloor = 17 uV
#	R = 2.82 Ohms
Tap [uV],Shunt [A],Supply [A],Input_5 [uV],Time [S],Hall [A],Cernox [T]
1.400000,0.270000,0.000000,-9.000000,0.043577,8.770000,-4.288770
1.600000,0.290000,0.166667,-8.800000,0.059114,8.710000,-4.320856
1.600000,0.430000,0.333333,-8.600000,0.070101,8.890000,-4.361854
1.400000,0.550000,0.500000,-8.800000,0.080512,8.890000,-4.226381
1.700000,0.730000,0.666667,-9.400000,0.092122,8.810000,-4.331551
1.700000,1.050000,0.833333,-8.800000,0.108783,8.730000,-4.331551
1.400000,1.130000,1.000000,-8.800000,0.124508,8.850000,-4.342246
1.900000,1.230000,1.166667,-9.200000,0.140219,8.830000,-4.368984
1.500000,1.510000,1.333333,-9.000000,0.157004,8.830000,-4.367201
1.100000,1.710000,1.500000,-8.600000,0.172814,8.810000,-4.374332
1.600000,1.850000,1.666667,-8.800000,0.188421,8.870000,-4.383244
1.600000,1.950000,1.833333,-9.800000,0.204020,8.850000,-4.381462
1.700000,2.210000,2.000000,-9.000000,0.220702,8.850000,-4.377897
1.600000,2.290000,2.166667,-9.800000,0.251509,8.890000,-4.327986
1.400000,2.470000,2.333333,-8.800000,0.262140,8.830000,-4.267380
1.400000,2.570000,2.500000,-8.800000,0.272379,8.850000,-4.395722
1.500000,2.870000,2.666667,-8.800000,0.284926,8.830000,-4.324421
1.400000,3.110000,2.833333,-9.200000,0.300721,8.830000,-4.295900
1.500000,3.170000,3.000000,-8.600000,0.326202,8.790000,-4.335116
1.600000,3.290000,3.166667,-8.800000,0.337460,8.830000,-4.385027
1.600000,3.550000,3.333333,-8.800000,0.349002,8.890000,-4.247772
1.600000,3.730000,3.500000,-8.800000,0.364676,8.870000,-4.228164
1.400000,3.890000,3.666667,-9.400000,0.380380,8.870000,-4.231729
1.500000,3.990000,3.833333,-9.600000,0.396113,8.790000,-4.249554
1.600000,4.350000,4.000000,-9.200000,0.413435,8.830000,-4.238859
1.600000,4.410000,4.166667,-9.400000,0.428203,8.810000,-4.265597
1.500000,4.630000,4.333333,-8.600000,0.448464,8.830000,-4.228164
1.500000,4.750000,4.500000,-9.800000,0.460192,8.830000,-4.290553
1.500000,4.930000,4.666667,-9.000000,0.476798,8.830000,-4.292335
1.400000,5.030000,4.833333,-8.800000,0.491901,8.810000,-4.333333
1.400000,5.270000,5.000000,-8.400000,0.508100,8.830000,-4.347594
1.400000,5.390000,5.166667,-9.000000,0.524212,8.850000,-4.367201
1.400000,5.650000,5.333333,-8.800000,0.540306,8.830000,-4.367201
1.300000,5.770000,5.500000,-8.800000,0.556383,8.790000,-4.370766
1.600000,5.970000,5.666667,-8.800000,0.572427,8.870000,-4.392157
1.600000,6.130000,5.833333,-9.200000,0.588527,8.850000,-4.379679
1.500000,6.330000,6.000000,-8.800000,0.604616,8.890000,-4.374332
1.600000,6.510000,6.166667,-8.800000,0.630427,8.850000,-4.228164
1.400000,6.630000,6.333333,-9.000000,0.641252,8.770000,-4.347594
1.500000,6.850000,6.500000,-8.800000,0.661441,8.790000,-4.260250
1.500000,6.930000,6.666667,-9.200000,0.671628,8.830000,-4.377897
1.500000,7.150000,6.833333,-8.600000,0.684761,8.890000,-4.301248
1.600000,7.390000,7.000000,-9.000000,0.700871,8.870000,-4.286988
1.800000,7.530000,7.166667,-8.800000,0.716335,8.870000,-4.254902
1.800000,7.670000,7.333333,-8.800000,0.732582,8.870000,-4.251337
1.500000,7.810000,7.500000,-8.600000,0.748662,8.890000,-4.245989
1.500000,8.050000,7.666667,-8.600000,0.764733,8.870000,-4.229947
1.500000,8.210000,7.833333,-8.800000,0.780783,8.850000,-4.228164
1.500000,8.430000,8.000000,-8.800000,0.796870,8.850000,-4.221034
1.200000,8.610000,8.166667,-8.800000,0.811904,8.850000,-4.247772
1.600000,8.690000,8.333333,-9.000000,0.828031,8.790000,-4.263815
1.700000,8.910000,8.500000,-8.800000,0.844157,8.830000,-4.279857
1.400000,9.110000,8.666667,-8.600000,0.864027,8.870000,-4.226381
1.700000,9.170000,8.833333,-9.000000,0.876154,8.770000,-4.319073
1.800000,9.390000,9.000000,-8.600000,0.892214,8.830000,-4.331551
1.600000,9.550000,9.166667,-9.200000,0.922320,8.850000,-4.386809
1.500000,9.670000,9.333333,-9.200000,0.933200,8.850000,-4.267380
1.400000,9.850000,9.500000,-8.600000,0.943216,8.790000,-4.322638
1.400000,10.170000,9.666667,-9.400000,0.956319,8.790000,-4.379679
1.600000,10.370000,9.833333,-9.200000,0.973012,8.890000,-4.390374
1.800000,10.590000,10.000000,-9.200000,0.988622,8.830000,-4.383244
1.500000,10.590000,10.166667,-9.000000,1.004225,8.850000,-4.374332
1.600000,10.870000,10.333333,-9.200000,1.020433,8.790000,-4.363636
1.900000,10.970000,10.500000,-9.400000,1.036126,8.830000,-4.347594
1.700000,11.130000,10.666667,-8.600000,1.052682,8.870000,-4.347594
1.700000,11.330000,10.833333,-8.800000,1.072662,8.830000,-4.386809
1.600000,11.510000,11.000000,-8.800000,1.084742,8.870000,-4.292335
1.700000,11.730000,11.166667,-9.000000,1.100746,8.850000,-4.270945
1.500000,11.870000,11.333333,-9.000000,1.116881,8.870000,-4.267380
1.400000,12.030000,11.500000,-8.800000,1.132116,8.870000,-4.244207
1.200000,12.250000,11.666667,-8.600000,1.148262,8.870000,-4.237077
1.500000,12.350000,11.833333,-8.400000,1.164921,8.850000,-4.240642
1.600000,12.470000,12.000000,-9.000000,1.180189,8.870000,-4.242424
1.400000,12.710000,12.166667,-8.600000,1.196267,8.830000,-4.240642
1.600000,12.890000,12.333333,-9.000000,1.221085,8.850000,-4.372549
1.400000,12.970000,12.500000,-8.400000,1.231804,8.870000,-4.233512
1.400000,13.170000,12.666667,-8.800000,1.243870,8.810000,-4.290553
1.800000,13.370000,12.833333,-8.800000,1.259954,8.750000,-4.310160
1.500000,13.590000,13.000000,-8.600000,1.282306,8.810000,-4.238859
1.600000,13.690000,13.166667,-8.600000,1.292437,8.830000,-4.333333
1.500000,13.930000,13.333333,-8.600000,1.308472,8.830000,-4.342246
1.400000,14.170000,13.500000,-8.800000,1.324531,8.830000,-4.354724
1.600000,14.250000,13.666667,-8.600000,1.340571,8.770000,-4.368984
1.500000,14.490000,13.833333,-8.800000,1.356578,8.870000,-4.376114
1.700000,14.570000,14.000000,-8.800000,1.372630,8.790000,-4.383244
1.700000,14.850000,14.166667,-8.800000,1.388674,8.890000,-4.370766
1.500000,14.990000,14.333333,-8.800000,1.404701,8.870000,-4.374332
1.600000,15.130000,14.500000,-8.800000,1.421151,8.850000,-4.372549
1.500000,15.330000,14.666667,-8.600000,1.436310,8.870000,-4.342246
1.700000,15.530000,14.833333,-8.600000,1.452404,8.850000,-4.315508
1.400000,15.690000,15.000000,-8.800000,1.468544,8.930000,-4.304813
1.500000,15.870000,15.166667,-9.000000,1.491913,8.870000,-4.342246
1.500000,15.970000,15.333333,-8.600000,1.502061,8.890000,-4.313725
1.400000,16.190000,15.500000,-9.000000,1.527709,8.870000,-4.278075
1.600000,16.290000,15.666667,-8.800000,1.538432,8.910000,-4.374332
1.600000,16.430000,15.833333,-8.600000,1.548417,8.850000,-4.228164
1.600000,16.750000,16.000000,-8.800000,1.564508,8.850000,-4.226381
1.600000,16.890000,16.166667,-8.600000,1.580575,8.850000,-4.228164
1.600000,17.030000,16.333333,-8.800000,1.596636,8.850000,-4.233512
1.500000,17.230000,16.500000,-8.600000,1.612675,8.830000,-4.247772
1.500000,17.490000,16.666667,-8.800000,1.628737,8.810000,-4.254902
1.400000,17.630000,16.833333,-9.200000,1.644783,8.850000,-4.272727
1.400000,17.790000,17.000000,-9.000000,1.660806,8.810000,-4.295900
1.700000,17.930000,17.166667,-8.600000,1.677064,8.770000,-4.304813
1.600000,18.150000,17.333333,-8.800000,1.695456,8.850000,-4.251337
1.400000,18.310000,17.500000,-9.200000,1.712731,8.870000,-4.235294
1.900000,18.510000,17.666667,-8.800000,1.733654,8.870000,-4.263815
1.500000,18.630000,17.833333,-8.600000,1.746313,8.790000,-4.237077
1.500000,18.730000,18.000000,-8.600000,1.756379,8.870000,-4.381462
1.700000,19.010000,18.166667,-9.000000,1.772561,8.790000,-4.388592
1.600000,19.170000,18.333333,-9.000000,1.788646,8.850000,-4.386809
1.400000,19.390000,18.500000,-9.000000,1.804736,8.870000,-4.377897
1.700000,19.530000,18.666667,-9.000000,1.829695,8.830000,-4.242424
1.700000,19.650000,18.833333,-9.000000,1.840468,8.870000,-4.379679
1.500000,19.810000,19.000000,-8.600000,1.852524,8.890000,-4.326203
1.500000,20.010000,19.166667,-8.600000,1.868574,8.890000,-4.301248
1.500000,20.190000,19.333333,-8.600000,1.884656,8.850000,-4.279857
1.400000,20.350000,19.500000,-8.600000,1.900717,8.830000,-4.272727
1.700000,20.550000,19.666667,-8.400000,1.921210,8.890000,-4.368984
1.500000,20.730000,19.833333,-8.400000,1.932411,8.870000,-4.235294
1.500000,20.890000,20.000000,-8.600000,1.948452,8.870000,-4.224599
1.600000,21.030000,20.166667,-8.600000,1.964521,8.870000,-4.221034
1.600000,21.210000,20.333333,-8.600000,1.980540,8.830000,-4.212121
1.700000,21.370000,20.500000,-8.800000,1.996648,8.790000,-4.217469
1.300000,21.590000,20.666667,-8.600000,2.012742,8.850000,-4.233512
1.400000,21.750000,20.833333,-8.600000,2.028861,8.810000,-4.253119
1.700000,21.910000,21.000000,-8.800000,2.044011,8.810000,-4.290553
1.700000,22.070000,21.166667,-8.800000,2.060166,8.850000,-4.311943
1.500000,22.270000,21.333333,-8.600000,2.076236,8.810000,-4.327986
1.600000,22.430000,21.500000,-8.600000,2.092331,8.870000,-4.333333
1.600000,22.610000,21.666667,-8.400000,2.131678,8.890000,-4.226381
1.700000,22.810000,21.833333,-8.800000,2.148081,8.830000,-4.233512
1.400000,22.970000,22.000000,-9.000000,2.164161,8.830000,-4.242424
1.700000,23.110000,22.166667,-8.600000,2.180401,8.850000,-4.233512
1.600000,23.290000,22.333333,-9.000000,2.195481,8.790000,-4.267380
1.500000,23.450000,22.500000,-9.000000,2.212565,8.790000,-4.262032
1.600000,23.650000,22.666667,-8.600000,2.227849,8.810000,-4.294118
1.600000,23.790000,22.833333,-8.800000,2.243854,8.830000,-4.319073
1.700000,23.930000,23.000000,-8.800000,2.260007,8.890000,-4.331551
1.500000,24.150000,23.166667,-8.800000,2.276290,8.810000,-4.338681
1.500000,24.310000,23.333333,-8.400000,2.292445,8.810000,-4.356506
2.000000,24.490000,23.500000,-8.800000,2.316663,8.870000,-4.262032
1.500000,24.550000,23.666667,-8.800000,2.326644,8.830000,-4.329768
1.800000,24.850000,23.833333,-9.000000,2.339660,8.870000,-4.386809
1.700000,25.010000,24.000000,-8.800000,2.355781,8.790000,-4.386809
1.600000,25.150000,24.166667,-8.600000,2.371837,8.830000,-4.383244
1.800000,25.330000,24.333333,-8.800000,2.387945,8.850000,-4.374332
1.600000,25.510000,24.500000,-8.600000,2.403995,8.890000,-4.356506
1.700000,25.670000,24.666667,-8.800000,2.431176,8.830000,-4.233512
1.500000,25.850000,24.833333,-8.600000,2.441905,8.830000,-4.351159
1.600000,25.950000,25.000000,-8.600000,2.451892,8.830000,-4.288770
1.600000,26.230000,25.166667,-8.800000,2.468131,8.870000,-4.278075
1.500000,26.370000,25.333333,-8.800000,2.484321,8.810000,-4.269162
1.400000,26.550000,25.500000,-8.800000,2.500419,8.790000,-4.251337
1.700000,26.770000,25.666667,-8.800000,2.522960,8.750000,-4.365419
2.000000,26.850000,25.833333,-9.000000,2.533465,8.850000,-4.242424
1.400000,27.050000,26.000000,-8.600000,2.547863,8.850000,-4.231729
1.600000,27.230000,26.166667,-8.600000,2.564659,8.830000,-4.231729
1.600000,27.390000,26.333333,-8.800000,2.580697,8.770000,-4.242424
1.800000,27.570000,26.500000,-8.600000,2.596643,8.810000,-4.240642
1.600000,27.790000,26.666667,-8.600000,2.612638,8.810000,-4.251337
1.600000,27.930000,26.833333,-8.800000,2.627833,8.750000,-4.281640
1.800000,28.050000,27.000000,-8.800000,2.643960,8.770000,-4.299465
1.600000,28.210000,27.166667,-8.800000,2.660222,8.790000,-4.311943
1.800000,28.410000,27.333333,-8.800000,2.676901,8.810000,-4.319073
1.400000,28.550000,27.500000,-8.600000,2.692078,8.830000,-4.356506
1.900000,28.790000,27.666667,-8.400000,2.732502,8.890000,-4.249554
1.800000,28.890000,27.833333,-8.800000,2.748747,8.870000,-4.231729
1.800000,29.110000,28.000000,-8.600000,2.764801,8.850000,-4.219251
1.600000,29.250000,28.166667,-8.400000,2.780876,8.790000,-4.226381
1.500000,29.390000,28.333333,-8.600000,2.796977,8.870000,-4.238859
1.900000,29.490000,28.500000,-8.800000,2.813243,8.810000,-4.249554
1.600000,29.670000,28.666667,-9.000000,2.828364,8.790000,-4.281640
1.800000,30.170000,28.833333,-9.000000,2.844566,8.770000,-4.290553
1.700000,30.150000,29.000000,-8.800000,2.860687,8.790000,-4.306595
1.800000,30.430000,29.166667,-8.800000,2.876805,8.730000,-4.326203
1.900000,30.630000,29.333333,-8.800000,2.892829,8.830000,-4.331551
1.900000,30.670000,29.500000,-8.800000,2.917699,8.850000,-4.254902
