# Date: 20210518
# Operator: DCC
# Notes: post test 
# Tap_cm: 1.0
# Sample: DCC_Ni_002
# Fit of Tap:
#	Ic = 89 +/- 1 A
#	n = 50 +/- 0.94 
#	Vc = 1.5 uV
#	Vfloor = 14.3 +/- 5.8e+141 uV
#	R = 0.256 +/- 5.1e+136 Ohms
Tap [uV],Shunt [A],Supply [A],Input_5 [uV],Time [S],Hall [A],Cernox [T]
1.600000,0.250000,0.000000,-11.400000,0.037114,8.790000,-4.235294
1.700000,0.210000,0.083333,-11.200000,0.047208,8.830000,-4.374332
1.400000,0.250000,0.166667,-11.400000,0.058115,8.810000,-4.285205
1.400000,0.430000,0.250000,-11.400000,0.073463,8.850000,-4.258467
1.400000,0.430000,0.333333,-9.000000,0.091808,8.830000,-4.297683
1.500000,0.550000,0.416667,-9.000000,0.107350,8.750000,-4.270945
1.500000,0.610000,0.500000,-9.000000,0.123827,8.830000,-4.256684
1.700000,0.750000,0.583333,-8.800000,0.139241,8.810000,-4.247772
1.400000,0.750000,0.666667,-8.800000,0.155744,8.810000,-4.235294
1.400000,0.850000,0.750000,-9.200000,0.172164,8.850000,-4.231729
1.500000,1.010000,0.833333,-8.800000,0.187664,8.790000,-4.229947
1.500000,1.110000,0.916667,-8.800000,0.211300,8.810000,-4.370766
1.400000,1.110000,1.000000,-8.800000,0.220770,8.850000,-4.237077
1.700000,1.230000,1.083333,-8.800000,0.236199,8.810000,-4.256684
1.400000,1.270000,1.166667,-9.000000,0.251679,8.790000,-4.285205
1.400000,1.390000,1.250000,-9.200000,0.268086,8.830000,-4.290553
1.500000,1.430000,1.333333,-9.200000,0.283569,8.770000,-4.326203
1.500000,1.530000,1.416667,-8.800000,0.300008,8.810000,-4.329768
1.300000,1.650000,1.500000,-8.600000,0.315514,8.810000,-4.351159
1.600000,1.690000,1.583333,-8.800000,0.339932,8.850000,-4.237077
1.600000,1.790000,1.666667,-9.200000,0.350421,8.750000,-4.324421
1.300000,1.910000,1.750000,-9.000000,0.363424,8.830000,-4.379679
1.400000,1.990000,1.833333,-8.800000,0.379976,8.790000,-4.393939
2.000000,2.070000,1.916667,-9.600000,0.399728,8.810000,-4.336898
1.900000,2.250000,2.000000,-9.200000,0.416206,8.810000,-4.340463
1.600000,2.230000,2.083333,-9.800000,0.430906,8.770000,-4.377897
1.700000,2.350000,2.166667,-8.800000,0.445390,8.830000,-4.374332
1.400000,2.350000,2.250000,-9.000000,0.460760,8.890000,-4.354724
1.600000,2.450000,2.333333,-9.000000,0.475989,8.870000,-4.310160
1.300000,2.690000,2.416667,-9.000000,0.496052,8.870000,-4.386809
1.500000,2.690000,2.500000,-9.600000,0.511387,8.870000,-4.370766
1.700000,2.750000,2.583333,-9.200000,0.526686,8.830000,-4.320856
1.500000,2.830000,2.666667,-9.000000,0.541973,8.790000,-4.281640
1.700000,2.950000,2.750000,-8.800000,0.557354,8.930000,-4.256684
1.400000,3.030000,2.833333,-9.200000,0.572712,8.910000,-4.226381
1.600000,2.990000,2.916667,-9.200000,0.597692,8.810000,-4.376114
1.600000,3.190000,3.000000,-9.200000,0.612991,8.770000,-4.379679
1.400000,3.310000,3.083333,-9.000000,0.637267,8.770000,-4.224599
1.500000,3.290000,3.166667,-9.200000,0.652171,8.810000,-4.269162
1.600000,3.390000,3.250000,-8.800000,0.668463,8.810000,-4.286988
1.500000,3.590000,3.333333,-9.000000,0.684893,8.850000,-4.285205
1.600000,3.630000,3.416667,-8.800000,0.700305,8.850000,-4.333333
1.700000,3.670000,3.500000,-8.800000,0.716704,8.850000,-4.333333
1.400000,3.730000,3.583333,-8.800000,0.733181,8.890000,-4.331551
1.400000,3.890000,3.666667,-9.000000,0.748670,8.790000,-4.356506
1.600000,3.990000,3.750000,-9.000000,0.764977,8.870000,-4.360071
1.300000,4.090000,3.833333,-8.600000,0.789272,8.830000,-4.213904
1.500000,4.130000,3.916667,-8.800000,0.803737,8.790000,-4.237077
1.600000,4.170000,4.000000,-9.000000,0.813358,8.890000,-4.365419
0.900000,4.470000,4.083333,-8.800000,0.832290,8.870000,-4.352941
1.400000,4.550000,4.166667,-9.800000,0.847260,8.830000,-4.374332
1.700000,4.510000,4.250000,-8.600000,0.861939,8.790000,-4.365419
1.700000,4.570000,4.333333,-8.800000,0.877945,8.850000,-4.352941
1.400000,4.570000,4.416667,-9.400000,0.897207,8.790000,-4.379679
1.500000,4.790000,4.500000,-9.000000,0.912602,8.850000,-4.376114
1.400000,4.850000,4.583333,-9.000000,0.942571,8.890000,-4.290553
1.600000,4.910000,4.666667,-9.000000,0.958898,8.850000,-4.290553
1.500000,4.950000,4.750000,-8.800000,0.978288,8.810000,-4.367201
1.600000,5.050000,4.833333,-8.800000,0.990861,8.870000,-4.253119
1.300000,5.130000,4.916667,-8.800000,1.006261,8.850000,-4.235294
1.400000,5.250000,5.000000,-8.800000,1.022759,8.850000,-4.229947
1.500000,5.270000,5.083333,-8.800000,1.038199,8.830000,-4.233512
1.500000,5.390000,5.166667,-8.800000,1.054660,8.810000,-4.229947
1.400000,5.490000,5.250000,-8.600000,1.071066,8.770000,-4.229947
1.500000,5.650000,5.333333,-9.200000,1.086583,8.790000,-4.260250
1.400000,5.670000,5.416667,-9.800000,1.102982,8.850000,-4.260250
1.300000,5.850000,5.500000,-9.800000,1.119648,8.810000,-4.253119
1.700000,5.910000,5.583333,-9.600000,1.134865,8.790000,-4.290553
1.500000,5.950000,5.666667,-9.800000,1.151357,8.790000,-4.295900
1.600000,5.990000,5.750000,-9.200000,1.170963,8.830000,-4.231729
1.400000,6.110000,5.833333,-9.000000,1.186018,8.830000,-4.260250
1.500000,6.250000,5.916667,-9.000000,1.201272,8.830000,-4.301248
1.600000,6.310000,6.000000,-9.200000,1.214856,8.870000,-4.368984
1.600000,6.390000,6.083333,-8.800000,1.238851,8.850000,-4.221034
1.200000,6.470000,6.166667,-8.400000,1.248971,8.830000,-4.360071
1.600000,6.570000,6.250000,-9.000000,1.262471,8.750000,-4.367201
1.500000,6.650000,6.333333,-9.600000,1.278964,8.810000,-4.374332
1.500000,6.710000,6.416667,-8.800000,1.295129,8.850000,-4.356506
1.600000,6.850000,6.500000,-8.800000,1.310695,8.870000,-4.322638
1.700000,6.930000,6.583333,-8.800000,1.327319,8.850000,-4.331551
1.500000,7.010000,6.666667,-9.200000,1.351818,8.810000,-4.299465
1.600000,7.050000,6.750000,-8.600000,1.361298,8.870000,-4.352941
1.200000,7.150000,6.833333,-8.800000,1.374750,8.830000,-4.265597
1.600000,7.290000,6.916667,-8.800000,1.391169,8.830000,-4.256684
1.500000,7.350000,7.000000,-9.000000,1.406590,8.810000,-4.237077
1.500000,7.430000,7.083333,-8.800000,1.423040,8.830000,-4.224599
1.400000,7.530000,7.166667,-9.000000,1.438600,8.770000,-4.228164
1.600000,7.650000,7.250000,-9.200000,1.455009,8.770000,-4.229947
1.500000,7.710000,7.333333,-9.200000,1.470522,8.810000,-4.240642
1.400000,7.810000,7.416667,-8.600000,1.486949,8.810000,-4.260250
1.400000,7.890000,7.500000,-9.000000,1.502335,8.750000,-4.286988
1.500000,7.930000,7.583333,-8.800000,1.531196,8.770000,-4.392157
1.400000,8.050000,7.666667,-8.800000,1.551230,8.830000,-4.320856
1.700000,8.130000,7.750000,-9.000000,1.567812,8.810000,-4.335116
1.600000,8.330000,7.833333,-8.400000,1.583226,8.790000,-4.363636
1.500000,8.310000,7.916667,-8.600000,1.600239,8.810000,-4.336898
1.400000,8.350000,8.000000,-8.800000,1.615792,8.850000,-4.358289
1.500000,8.470000,8.083333,-9.200000,1.631195,8.790000,-4.370766
1.500000,8.590000,8.166667,-9.000000,1.647683,8.850000,-4.372549
1.500000,8.610000,8.250000,-9.000000,1.663066,8.830000,-4.372549
1.600000,8.710000,8.333333,-9.000000,1.679536,8.830000,-4.374332
1.500000,8.830000,8.416667,-9.200000,1.695945,8.810000,-4.363636
1.600000,8.950000,8.500000,-9.000000,1.711357,8.870000,-4.340463
1.400000,8.950000,8.583333,-9.000000,1.731038,8.830000,-4.367201
1.800000,9.090000,8.666667,-8.600000,1.743650,8.770000,-4.319073
1.400000,9.130000,8.750000,-9.200000,1.759185,8.870000,-4.279857
1.400000,9.290000,8.833333,-9.200000,1.775761,8.850000,-4.270945
1.500000,9.410000,8.916667,-8.800000,1.791228,8.850000,-4.258467
