# Date: 20210518
# Operator: DCC
# Notes: post test 
# Tap_cm: 1.0
# Sample: DCC_Ni_002
# Fit of Tap:
#	Ic = 13 A
#	n = 50 
#	Vc = 1.5 uV
#	Vfloor = 21.1 uV
#	R = 4.25 Ohms
Tap [uV],Shunt [A],Supply [A],Input_5 [uV],Time [S],Hall [A],Cernox [T]
1.500000,0.230000,0.000000,-9.200000,0.045129,8.890000,-4.303030
1.300000,0.250000,0.083333,-8.800000,0.060312,8.870000,-4.267380
1.300000,0.350000,0.166667,-8.800000,0.076673,8.830000,-4.265597
1.900000,0.370000,0.250000,-8.600000,0.092162,8.870000,-4.229947
1.700000,0.430000,0.333333,-9.000000,0.108696,8.890000,-4.224599
1.400000,0.570000,0.416667,-8.800000,0.124110,8.890000,-4.222816
1.500000,0.610000,0.500000,-8.800000,0.140622,8.890000,-4.221034
1.500000,0.710000,0.583333,-9.200000,0.157047,8.890000,-4.224599
1.900000,0.810000,0.666667,-9.000000,0.172563,8.870000,-4.231729
1.500000,0.830000,0.750000,-9.000000,0.188974,8.870000,-4.244207
1.600000,1.010000,0.833333,-9.000000,0.211088,9.050000,-4.306595
1.400000,1.090000,0.916667,-11.400000,0.218388,8.830000,-4.335116
1.500000,1.150000,1.000000,-11.400000,0.234729,8.970000,-4.347594
1.200000,1.230000,1.083333,-11.200000,0.251075,8.870000,-4.360071
1.700000,1.330000,1.166667,-11.600000,0.266422,8.830000,-4.383244
1.600000,1.390000,1.250000,-11.000000,0.283546,8.870000,-4.374332
1.500000,1.470000,1.333333,-11.400000,0.298715,8.890000,-4.385027
1.400000,1.390000,1.416667,-9.200000,0.316405,8.750000,-4.361854
1.500000,1.650000,1.500000,-9.200000,0.332825,8.830000,-4.368984
1.600000,1.710000,1.583333,-9.000000,0.348225,8.830000,-4.374332
1.500000,1.790000,1.666667,-9.000000,0.364687,8.870000,-4.368984
1.600000,1.850000,1.750000,-9.000000,0.380097,8.830000,-4.356506
1.600000,2.050000,1.833333,-8.800000,0.400021,8.790000,-4.370766
1.600000,2.050000,1.916667,-8.600000,0.412580,8.870000,-4.326203
1.500000,2.150000,2.000000,-8.600000,0.428986,8.870000,-4.322638
1.500000,2.250000,2.083333,-8.800000,0.444484,8.850000,-4.288770
1.600000,2.330000,2.166667,-9.000000,0.460908,8.890000,-4.274510
1.700000,2.430000,2.250000,-9.200000,0.476430,8.830000,-4.249554
1.700000,2.510000,2.333333,-8.800000,0.492431,8.830000,-4.233512
1.600000,2.570000,2.416667,-8.800000,0.508625,8.770000,-4.231729
1.400000,2.650000,2.500000,-9.000000,0.524713,8.810000,-4.228164
1.400000,2.730000,2.583333,-8.800000,0.541041,8.830000,-4.226381
1.600000,2.770000,2.666667,-9.400000,0.557401,8.850000,-4.221034
1.400000,2.950000,2.750000,-9.000000,0.581974,8.870000,-4.365419
1.500000,3.050000,2.833333,-9.400000,0.599857,8.890000,-4.379679
1.200000,3.110000,2.916667,-9.000000,0.617724,8.870000,-4.354724
1.500000,3.210000,3.000000,-8.800000,0.631362,8.850000,-4.368984
1.200000,3.210000,3.083333,-8.800000,0.641383,8.910000,-4.224599
1.500000,3.330000,3.166667,-9.200000,0.652350,8.890000,-4.331551
1.700000,3.450000,3.250000,-8.800000,0.668524,8.810000,-4.349376
1.300000,3.530000,3.333333,-9.000000,0.684514,8.850000,-4.360071
1.300000,3.610000,3.416667,-9.000000,0.700954,8.850000,-4.368984
1.700000,3.710000,3.500000,-9.200000,0.716649,8.850000,-4.395722
1.600000,3.790000,3.583333,-9.200000,0.732249,8.870000,-4.381462
1.500000,3.830000,3.666667,-9.200000,0.748717,8.870000,-4.368984
1.600000,4.010000,3.750000,-9.200000,0.764116,8.890000,-4.356506
1.500000,4.010000,3.833333,-8.800000,0.783674,8.890000,-4.368984
1.700000,4.170000,3.916667,-8.600000,0.796151,8.870000,-4.324421
1.500000,4.230000,4.000000,-8.600000,0.812794,8.890000,-4.317291
1.600000,4.410000,4.083333,-8.800000,0.828271,8.890000,-4.288770
1.400000,4.410000,4.166667,-8.800000,0.844725,8.910000,-4.278075
1.500000,4.530000,4.250000,-8.800000,0.860139,8.870000,-4.253119
1.700000,4.570000,4.333333,-9.000000,0.885783,8.850000,-4.327986
1.600000,4.710000,4.416667,-9.000000,0.895879,8.850000,-4.317291
1.400000,4.730000,4.500000,-8.800000,0.908415,8.810000,-4.217469
1.400000,4.830000,4.583333,-8.800000,0.924794,8.850000,-4.221034
