# Date: 20210518
# Operator: DCC
# Notes: post test 
# Tap_cm: 1.0
# Sample: 8PP
# Fit of Tap:
#	Ic = 136 +/- 0.18 A
#	n = 9.73 +/- 0.047 
#	Vc = 1.5 uV
#	Vfloor = 1.62 +/- 0.018 uV
#	R = 0.0156 +/- 0.00026 Ohms
Tap [uV],Shunt [A],Supply [A],Input_5 [uV],Time [S],Hall [A],Cernox [T]
1.600000,0.290000,0.000000,-11.600000,0.025452,8.850000,-4.308378
1.600000,0.310000,0.083333,-11.400000,0.040927,8.910000,-4.340463
1.600000,0.330000,0.166667,-9.000000,0.058395,8.910000,-4.319073
1.600000,0.370000,0.250000,-9.200000,0.075059,8.890000,-4.326203
1.500000,0.450000,0.333333,-9.000000,0.090764,8.930000,-4.349376
1.500000,0.530000,0.416667,-8.800000,0.107270,8.910000,-4.351159
1.400000,0.690000,0.500000,-8.800000,0.122856,8.870000,-4.377897
1.400000,0.750000,0.583333,-9.000000,0.139322,8.950000,-4.390374
1.600000,0.810000,0.666667,-9.200000,0.154942,8.850000,-4.406417
1.500000,0.910000,0.750000,-8.600000,0.170414,8.910000,-4.401070
1.900000,0.970000,0.833333,-9.000000,0.187160,8.890000,-4.402852
1.600000,1.050000,0.916667,-8.800000,0.211413,8.870000,-4.247772
1.700000,1.110000,1.000000,-9.000000,0.220984,8.870000,-4.399287
1.700000,1.230000,1.083333,-8.800000,0.245039,8.850000,-4.247772
1.400000,1.290000,1.166667,-9.200000,0.255227,8.870000,-4.399287
1.500000,1.370000,1.250000,-8.800000,0.266855,8.930000,-4.322638
1.700000,1.470000,1.333333,-8.800000,0.283306,8.970000,-4.311943
1.500000,1.510000,1.416667,-8.800000,0.298935,8.830000,-4.276292
1.600000,1.610000,1.500000,-8.800000,0.314402,8.890000,-4.245989
1.600000,1.710000,1.583333,-8.600000,0.331085,8.870000,-4.249554
1.600000,1.790000,1.666667,-8.800000,0.346730,8.890000,-4.238859
1.700000,1.890000,1.750000,-8.400000,0.363259,8.930000,-4.226381
1.400000,1.990000,1.833333,-8.800000,0.378871,8.890000,-4.238859
1.600000,2.050000,1.916667,-9.000000,0.400685,8.870000,-4.322638
1.500000,2.110000,2.000000,-8.800000,0.410400,8.890000,-4.260250
1.600000,2.230000,2.083333,-8.800000,0.427441,8.890000,-4.253119
1.800000,2.350000,2.166667,-9.000000,0.443418,8.830000,-4.270945
1.600000,2.350000,2.250000,-9.200000,0.459276,8.850000,-4.303030
1.600000,2.470000,2.333333,-9.800000,0.476632,8.850000,-4.292335
1.800000,2.570000,2.416667,-8.600000,0.491014,8.910000,-4.345811
1.700000,2.670000,2.500000,-9.000000,0.507464,8.910000,-4.360071
1.700000,2.730000,2.583333,-8.600000,0.538532,8.890000,-4.395722
1.500000,2.830000,2.666667,-8.800000,0.549532,8.890000,-4.283422
1.700000,2.890000,2.750000,-8.800000,0.559163,8.870000,-4.303030
1.500000,3.010000,2.833333,-8.800000,0.571011,8.870000,-4.392157
1.900000,3.050000,2.916667,-8.800000,0.590801,8.870000,-4.352941
