# Date: 20210518
# Operator: DCC
# Notes: post test 
# Tap_cm: 1.0
# Sample: 5PP
# Fit of Tap:
#	Ic = 183 A
#	n = 18 
#	Vc = 1.5 uV
#	Vfloor = 1.53 uV
#	R = 0.0001 Ohms
Tap [uV],Shunt [A],Supply [A],Input_5 [uV],Time [S],Hall [A],Cernox [T]
1.700000,0.270000,0.000000,-8.800000,0.042079,8.830000,-4.344029
1.400000,0.250000,0.083333,-9.000000,0.057290,8.830000,-4.379679
1.200000,0.290000,0.166667,-9.000000,0.067524,8.890000,-4.276292
1.500000,0.370000,0.250000,-8.800000,0.077212,8.810000,-4.303030
1.400000,0.430000,0.333333,-8.800000,0.091761,8.850000,-4.358289
1.200000,0.550000,0.416667,-8.800000,0.107424,8.870000,-4.370766
1.700000,0.610000,0.500000,-9.200000,0.124082,8.730000,-4.372549
1.400000,0.730000,0.583333,-9.400000,0.139784,8.810000,-4.379679
1.600000,0.810000,0.666667,-8.800000,0.155483,8.830000,-4.374332
1.600000,0.890000,0.750000,-8.800000,0.172209,8.870000,-4.372549
1.500000,0.970000,0.833333,-8.600000,0.188077,8.890000,-4.363636
1.700000,1.110000,0.916667,-8.800000,0.203656,8.910000,-4.345811
1.600000,1.110000,1.000000,-8.800000,0.220346,8.890000,-4.345811
1.400000,1.270000,1.083333,-9.200000,0.240502,8.850000,-4.368984
1.500000,1.230000,1.166667,-8.800000,0.252298,8.870000,-4.304813
1.300000,1.410000,1.250000,-8.800000,0.280420,8.870000,-4.215686
1.300000,1.450000,1.333333,-8.800000,0.290689,8.890000,-4.361854
1.400000,1.490000,1.416667,-8.800000,0.300368,8.870000,-4.244207
1.600000,1.650000,1.500000,-8.600000,0.315886,8.870000,-4.222816
1.600000,1.730000,1.583333,-8.600000,0.331488,8.870000,-4.213904
1.400000,1.850000,1.666667,-8.800000,0.348162,8.830000,-4.224599
1.500000,1.870000,1.750000,-9.000000,0.363737,8.890000,-4.224599
1.600000,1.970000,1.833333,-9.200000,0.380534,8.830000,-4.226381
1.500000,2.050000,1.916667,-9.000000,0.396333,8.850000,-4.228164
1.300000,2.150000,2.000000,-9.000000,0.411886,8.870000,-4.260250
1.600000,2.210000,2.083333,-9.200000,0.427503,8.870000,-4.288770
1.500000,2.370000,2.166667,-8.800000,0.446883,8.850000,-4.219251
1.300000,2.430000,2.250000,-8.800000,0.459496,8.870000,-4.329768
1.700000,2.490000,2.333333,-8.600000,0.476268,8.830000,-4.344029
1.400000,2.610000,2.416667,-8.800000,0.492006,8.810000,-4.354724
1.500000,2.670000,2.500000,-8.600000,0.507564,8.890000,-4.367201
1.400000,2.710000,2.583333,-8.600000,0.524297,8.870000,-4.368984
1.600000,2.830000,2.666667,-8.600000,0.539823,8.830000,-4.388592
1.500000,2.970000,2.750000,-8.800000,0.555464,8.870000,-4.388592
1.400000,3.030000,2.833333,-8.800000,0.579519,8.850000,-4.254902
1.400000,3.090000,2.916667,-9.000000,0.589841,8.910000,-4.392157
1.600000,3.170000,3.000000,-8.800000,0.603506,8.910000,-4.344029
1.700000,3.290000,3.083333,-8.600000,0.626493,8.750000,-4.319073
1.800000,3.370000,3.166667,-9.200000,0.636008,8.890000,-4.311943
1.500000,3.490000,3.250000,-9.200000,0.655508,8.890000,-4.377897
1.400000,3.530000,3.333333,-8.800000,0.667971,8.910000,-4.278075
1.700000,3.650000,3.416667,-9.000000,0.683382,8.850000,-4.245989
1.600000,3.670000,3.500000,-9.200000,0.699757,8.870000,-4.242424
1.600000,3.790000,3.583333,-9.200000,0.716232,8.870000,-4.231729
1.500000,3.870000,3.666667,-8.600000,0.731628,8.890000,-4.213904
1.500000,3.970000,3.750000,-8.600000,0.748001,8.910000,-4.219251
1.400000,4.070000,3.833333,-9.000000,0.763440,8.850000,-4.233512
1.700000,4.110000,3.916667,-9.000000,0.779845,8.830000,-4.237077
1.500000,4.270000,4.000000,-9.000000,0.795300,8.850000,-4.267380
1.500000,4.370000,4.083333,-9.200000,0.811687,8.810000,-4.267380
1.600000,4.430000,4.166667,-9.200000,0.828144,8.830000,-4.272727
1.600000,4.510000,4.250000,-9.200000,0.843527,8.830000,-4.311943
1.500000,4.590000,4.333333,-9.000000,0.862859,8.850000,-4.233512
1.700000,4.670000,4.416667,-8.800000,0.887373,8.930000,-4.356506
1.600000,4.770000,4.500000,-8.600000,0.897515,8.910000,-4.229947
1.300000,4.830000,4.583333,-9.200000,0.907940,8.930000,-4.383244
1.500000,4.930000,4.666667,-9.200000,0.923496,8.890000,-4.385027
1.300000,4.970000,4.750000,-9.000000,0.939894,8.890000,-4.379679
1.600000,5.050000,4.833333,-8.800000,0.955408,8.930000,-4.370766
1.500000,5.170000,4.916667,-8.800000,0.971814,8.910000,-4.365419
1.600000,5.270000,5.000000,-8.800000,0.987035,8.890000,-4.338681
1.500000,5.330000,5.083333,-11.400000,1.001355,8.890000,-4.278075
1.500000,5.430000,5.166667,-11.200000,1.017651,8.890000,-4.267380
1.600000,5.570000,5.250000,-11.600000,1.033932,8.850000,-4.254902
1.500000,5.650000,5.333333,-11.400000,1.050464,8.910000,-4.249554
1.400000,5.710000,5.416667,-10.800000,1.066173,8.870000,-4.244207
1.500000,5.730000,5.500000,-11.000000,1.081521,8.870000,-4.231729
1.600000,5.850000,5.583333,-11.600000,1.097817,8.870000,-4.231729
1.400000,5.830000,5.666667,-8.800000,1.115483,8.890000,-4.238859
1.500000,6.050000,5.750000,-8.400000,1.132175,8.870000,-4.244207
1.600000,6.130000,5.833333,-9.000000,1.147639,8.850000,-4.240642
1.400000,6.230000,5.916667,-8.600000,1.164092,8.850000,-4.237077
1.400000,6.310000,6.000000,-8.800000,1.188407,8.890000,-4.383244
1.500000,6.310000,6.083333,-8.800000,1.198514,8.910000,-4.240642
1.500000,6.450000,6.166667,-8.600000,1.211955,8.850000,-4.279857
1.600000,6.610000,6.250000,-9.000000,1.227430,8.870000,-4.315508
1.500000,6.610000,6.333333,-8.800000,1.243828,8.850000,-4.329768
1.500000,6.710000,6.416667,-9.000000,1.259260,8.850000,-4.365419
1.600000,6.870000,6.500000,-8.800000,1.278499,8.830000,-4.286988
1.400000,6.930000,6.583333,-8.800000,1.292035,8.810000,-4.367201
1.500000,7.030000,6.666667,-9.000000,1.307454,8.870000,-4.390374
1.400000,7.070000,6.750000,-9.000000,1.323842,8.810000,-4.393939
1.600000,7.190000,6.833333,-8.800000,1.339287,8.890000,-4.395722
1.600000,7.330000,6.916667,-9.000000,1.355662,8.870000,-4.393939
1.700000,7.370000,7.000000,-9.000000,1.372097,8.930000,-4.385027
1.700000,7.410000,7.083333,-8.600000,1.387709,8.970000,-4.363636
1.600000,7.530000,7.166667,-9.200000,1.404200,8.890000,-4.363636
1.900000,7.590000,7.250000,-8.800000,1.419611,8.850000,-4.329768
1.400000,7.710000,7.333333,-8.800000,1.436155,8.910000,-4.322638
1.500000,7.790000,7.416667,-9.000000,1.451530,8.850000,-4.279857
1.700000,7.910000,7.500000,-9.200000,1.489923,8.910000,-4.393939
1.700000,7.970000,7.583333,-9.000000,1.506519,8.870000,-4.401070
1.600000,8.070000,7.666667,-8.800000,1.521910,8.870000,-4.390374
1.600000,8.150000,7.750000,-8.800000,1.538444,8.950000,-4.386809
1.500000,8.270000,7.833333,-9.000000,1.553889,8.890000,-4.356506
1.600000,8.290000,7.916667,-8.800000,1.570471,8.910000,-4.356506
1.700000,8.410000,8.000000,-8.800000,1.585863,8.870000,-4.317291
1.400000,8.470000,8.083333,-9.000000,1.602314,8.890000,-4.306595
1.500000,8.550000,8.166667,-9.000000,1.618691,8.930000,-4.294118
1.400000,8.590000,8.250000,-9.000000,1.634351,8.890000,-4.262032
1.600000,8.850000,8.333333,-9.200000,1.649819,8.910000,-4.249554
1.400000,8.830000,8.416667,-9.000000,1.674365,8.890000,-4.390374
1.700000,8.790000,8.500000,-8.800000,1.683760,8.890000,-4.258467
1.600000,9.010000,8.583333,-8.600000,1.698252,8.870000,-4.233512
1.600000,9.070000,8.666667,-8.400000,1.714635,8.890000,-4.233512
1.400000,9.210000,8.750000,-9.000000,1.730109,8.870000,-4.238859
1.400000,9.230000,8.833333,-9.200000,1.746590,8.870000,-4.237077
1.600000,9.330000,8.916667,-9.200000,1.762059,8.870000,-4.272727
1.800000,9.410000,9.000000,-9.000000,1.786489,8.910000,-4.313725
1.500000,9.510000,9.083333,-8.800000,1.796563,8.870000,-4.244207
1.600000,9.570000,9.166667,-9.000000,1.810077,8.850000,-4.340463
1.500000,9.650000,9.250000,-8.800000,1.826463,8.870000,-4.358289
1.400000,9.750000,9.333333,-9.000000,1.841851,8.890000,-4.388592
1.300000,9.870000,9.416667,-8.800000,1.858334,8.850000,-4.395722
1.300000,9.970000,9.500000,-8.800000,1.878519,8.830000,-4.297683
1.500000,9.990000,9.583333,-9.000000,1.890129,8.910000,-4.392157
1.600000,10.130000,9.666667,-9.200000,1.906526,8.850000,-4.388592
1.400000,10.170000,9.750000,-8.800000,1.921914,8.930000,-4.379679
1.700000,10.230000,9.833333,-8.600000,1.938401,8.890000,-4.377897
1.600000,10.370000,9.916667,-8.800000,1.953761,8.910000,-4.342246
1.500000,10.490000,10.000000,-8.400000,1.970223,8.850000,-4.340463
1.600000,10.570000,10.083333,-8.600000,1.986617,8.910000,-4.340463
1.600000,10.630000,10.166667,-8.800000,2.002058,8.890000,-4.294118
1.500000,10.770000,10.250000,-9.200000,2.018448,8.870000,-4.292335
1.600000,10.850000,10.333333,-8.800000,2.033821,8.930000,-4.262032
1.900000,10.930000,10.416667,-8.800000,2.050246,8.850000,-4.265597
1.400000,11.030000,10.500000,-8.800000,2.089283,8.910000,-4.395722
1.700000,11.110000,10.583333,-8.600000,2.105889,8.950000,-4.399287
1.500000,11.250000,10.666667,-8.600000,2.121354,8.910000,-4.379679
1.500000,11.230000,10.750000,-8.800000,2.137878,8.910000,-4.368984
1.500000,11.350000,10.833333,-8.600000,2.153429,8.930000,-4.329768
1.400000,11.450000,10.916667,-8.800000,2.169825,8.890000,-4.319073
1.500000,11.530000,11.000000,-9.200000,2.185298,8.950000,-4.278075
1.600000,11.610000,11.083333,-8.800000,2.201690,8.910000,-4.279857
1.400000,11.670000,11.166667,-9.200000,2.217145,8.890000,-4.260250
1.600000,11.790000,11.250000,-8.800000,2.233530,8.930000,-4.249554
1.600000,11.890000,11.333333,-8.800000,2.248888,8.930000,-4.235294
1.400000,11.950000,11.416667,-8.800000,2.274565,8.870000,-4.397504
1.600000,11.970000,11.500000,-8.800000,2.284017,8.910000,-4.256684
1.600000,12.150000,11.583333,-8.800000,2.297418,8.870000,-4.237077
1.600000,12.270000,11.666667,-8.800000,2.313777,8.870000,-4.245989
1.500000,12.350000,11.750000,-9.200000,2.329263,8.830000,-4.276292
1.500000,12.390000,11.833333,-9.000000,2.345701,8.870000,-4.276292
1.600000,12.430000,11.916667,-9.000000,2.361121,8.810000,-4.320856
1.700000,12.570000,12.000000,-9.000000,2.383985,8.890000,-4.251337
1.300000,12.670000,12.083333,-9.200000,2.394291,8.850000,-4.322638
1.600000,12.750000,12.166667,-8.800000,2.409740,8.810000,-4.356506
1.400000,12.830000,12.250000,-9.200000,2.425192,8.890000,-4.377897
1.500000,12.850000,12.333333,-9.000000,2.441645,8.870000,-4.377897
1.400000,12.950000,12.416667,-9.000000,2.457090,8.910000,-4.385027
1.600000,13.050000,12.500000,-8.600000,2.476802,8.810000,-4.351159
1.500000,13.170000,12.583333,-8.800000,2.489376,8.870000,-4.392157
1.500000,13.250000,12.666667,-9.000000,2.505784,8.910000,-4.377897
1.600000,13.330000,12.750000,-9.200000,2.521215,8.850000,-4.354724
1.400000,13.430000,12.833333,-8.800000,2.537596,8.910000,-4.352941
1.600000,13.490000,12.916667,-8.600000,2.553485,8.890000,-4.322638
1.400000,13.610000,13.000000,-8.800000,2.569089,8.890000,-4.283422
1.400000,13.690000,13.083333,-8.800000,2.585514,8.850000,-4.269162
1.500000,13.750000,13.166667,-8.800000,2.600913,8.910000,-4.245989
1.500000,13.870000,13.250000,-8.800000,2.617382,8.850000,-4.244207
1.600000,13.950000,13.333333,-8.800000,2.634346,8.870000,-4.237077
1.700000,14.030000,13.416667,-8.800000,2.649874,8.850000,-4.217469
1.400000,14.110000,13.500000,-9.200000,2.689925,8.890000,-4.376114
1.500000,14.210000,13.583333,-8.800000,2.706494,8.890000,-4.376114
1.600000,14.290000,13.666667,-8.600000,2.721890,8.910000,-4.356506
1.500000,14.350000,13.750000,-8.800000,2.738341,8.910000,-4.351159
1.600000,14.530000,13.833333,-8.800000,2.753738,8.910000,-4.322638
1.600000,14.510000,13.916667,-8.600000,2.770161,8.870000,-4.313725
1.400000,14.630000,14.000000,-8.600000,2.786540,8.850000,-4.310160
1.400000,14.730000,14.083333,-8.600000,2.801920,8.890000,-4.276292
1.500000,14.830000,14.166667,-8.600000,2.818363,8.830000,-4.276292
1.700000,14.870000,14.250000,-8.600000,2.833751,8.890000,-4.245989
1.500000,14.970000,14.333333,-8.400000,2.850180,8.910000,-4.240642
1.600000,15.070000,14.416667,-9.200000,2.875303,8.870000,-4.385027
1.200000,15.130000,14.500000,-8.600000,2.884819,8.870000,-4.269162
