# Date: 20210518
# Operator: DCC
# Notes: post test 
# Tap_cm: 1.0
# Sample: 5PP
# Fit of Tap:
#	Ic = 6.79 A
#	n = 50 
#	Vc = 1.5 uV
#	Vfloor = 8.14 uV
#	R = 2.84 Ohms
Tap [uV],Shunt [A],Supply [A],Input_5 [uV],Time [S],Hall [A],Cernox [T]
1.400000,0.270000,0.000000,-8.800000,0.072160,8.830000,-4.390374
1.700000,0.270000,0.083333,-8.800000,0.093200,8.870000,-4.347594
1.500000,0.270000,0.166667,-8.800000,0.110204,8.870000,-4.335116
1.500000,0.410000,0.250000,-9.000000,0.125533,8.890000,-4.367201
1.200000,0.470000,0.333333,-8.800000,0.141657,8.890000,-4.386809
1.700000,0.450000,0.416667,-9.200000,0.156699,8.910000,-4.386809
1.600000,0.570000,0.500000,-9.000000,0.172738,8.850000,-4.388592
1.500000,0.710000,0.583333,-8.800000,0.188777,8.910000,-4.390374
1.400000,0.790000,0.666667,-9.200000,0.211859,8.850000,-4.276292
1.300000,0.890000,0.750000,-8.800000,0.221637,8.910000,-4.377897
1.700000,0.970000,0.833333,-8.800000,0.237688,8.890000,-4.374332
1.500000,0.990000,0.916667,-8.800000,0.252717,8.890000,-4.326203
1.400000,1.070000,1.000000,-8.800000,0.268777,8.850000,-4.290553
1.500000,1.130000,1.083333,-9.000000,0.285309,8.890000,-4.285205
1.600000,1.370000,1.166667,-8.800000,0.314826,8.850000,-4.226381
1.500000,1.430000,1.250000,-9.000000,0.325232,8.870000,-4.363636
1.300000,1.430000,1.333333,-8.800000,0.334920,8.930000,-4.279857
1.300000,1.550000,1.416667,-9.200000,0.350865,8.870000,-4.263815
1.500000,1.650000,1.500000,-8.800000,0.365476,8.910000,-4.237077
1.600000,1.710000,1.583333,-8.800000,0.380878,8.850000,-4.233512
1.300000,1.810000,1.666667,-9.000000,0.397274,8.870000,-4.226381
1.600000,1.890000,1.750000,-8.600000,0.416236,8.890000,-4.233512
1.700000,1.990000,1.833333,-9.200000,0.428731,8.850000,-4.270945
1.500000,2.050000,1.916667,-9.000000,0.445131,8.850000,-4.279857
1.700000,2.110000,2.000000,-8.600000,0.460583,8.830000,-4.327986
1.600000,2.250000,2.083333,-8.800000,0.476998,8.870000,-4.324421
1.700000,2.290000,2.166667,-8.800000,0.493430,8.870000,-4.329768
1.400000,2.390000,2.250000,-8.800000,0.508819,8.870000,-4.365419
1.400000,2.490000,2.333333,-8.800000,0.525180,8.890000,-4.372549
1.400000,2.630000,2.416667,-9.800000,0.541823,8.870000,-4.379679
1.500000,2.730000,2.500000,-9.000000,0.558064,8.850000,-4.377897
1.800000,2.730000,2.583333,-8.600000,0.573090,8.930000,-4.393939
1.500000,2.870000,2.666667,-8.800000,0.589147,8.870000,-4.386809
1.500000,2.950000,2.750000,-8.600000,0.626130,8.810000,-4.368984
1.300000,3.070000,2.833333,-8.800000,0.642321,8.830000,-4.383244
1.400000,3.090000,2.916667,-9.200000,0.658357,8.870000,-4.386809
1.300000,3.230000,3.000000,-9.200000,0.674388,8.830000,-4.392157
1.400000,3.310000,3.083333,-8.800000,0.690410,8.870000,-4.388592
1.600000,3.330000,3.166667,-9.000000,0.706464,8.890000,-4.390374
1.500000,3.450000,3.250000,-8.800000,0.722552,8.890000,-4.377897
1.600000,3.490000,3.333333,-9.000000,0.738557,8.850000,-4.377897
1.500000,3.610000,3.416667,-8.800000,0.754548,8.910000,-4.360071
1.600000,3.710000,3.500000,-8.800000,0.770573,8.850000,-4.347594
1.700000,3.770000,3.583333,-8.800000,0.786681,8.810000,-4.324421
1.700000,3.930000,3.666667,-8.600000,0.810911,8.830000,-4.322638
1.600000,3.970000,3.750000,-8.800000,0.820868,8.830000,-4.351159
1.600000,4.050000,3.833333,-8.800000,0.833923,8.850000,-4.245989
1.700000,4.170000,3.916667,-8.800000,0.850030,8.850000,-4.238859
1.600000,4.210000,4.000000,-8.800000,0.866052,8.830000,-4.231729
1.400000,4.350000,4.083333,-8.600000,0.882060,8.870000,-4.215686
1.500000,4.410000,4.166667,-8.600000,0.898148,8.890000,-4.222816
1.400000,4.510000,4.250000,-9.200000,0.924550,8.890000,-4.374332
1.500000,4.550000,4.333333,-9.200000,0.935154,8.870000,-4.263815
1.400000,4.690000,4.416667,-9.200000,0.946146,8.850000,-4.254902
1.400000,4.710000,4.500000,-8.800000,0.962119,8.890000,-4.283422
1.600000,4.830000,4.583333,-8.800000,0.978173,8.870000,-4.301248
1.700000,4.910000,4.666667,-9.000000,0.994252,8.890000,-4.315508
1.400000,4.950000,4.750000,-8.800000,1.014509,8.910000,-4.238859
1.500000,5.030000,4.833333,-9.000000,1.026663,8.890000,-4.347594
1.600000,5.170000,4.916667,-9.000000,1.043227,8.910000,-4.345811
1.300000,5.250000,5.000000,-9.000000,1.058289,8.850000,-4.388592
1.500000,5.330000,5.083333,-8.800000,1.074317,8.870000,-4.395722
1.700000,5.470000,5.166667,-9.000000,1.090289,8.890000,-4.395722
1.500000,5.590000,5.250000,-8.800000,1.106317,8.870000,-4.390374
1.500000,5.610000,5.333333,-9.000000,1.122342,8.910000,-4.388592
1.700000,5.710000,5.416667,-9.000000,1.138310,8.970000,-4.377897
1.600000,5.770000,5.500000,-8.800000,1.154262,8.930000,-4.352941
1.600000,5.930000,5.583333,-8.600000,1.170240,8.930000,-4.331551
1.500000,5.930000,5.666667,-9.000000,1.186239,8.890000,-4.299465
1.500000,6.030000,5.750000,-8.800000,1.226355,8.790000,-4.354724
1.400000,6.150000,5.833333,-8.800000,1.242690,8.850000,-4.360071
1.400000,6.210000,5.916667,-9.000000,1.258740,8.910000,-4.370766
1.600000,6.290000,6.000000,-8.800000,1.274853,8.850000,-4.381462
1.400000,6.390000,6.083333,-8.800000,1.290989,8.870000,-4.386809
1.800000,6.430000,6.166667,-9.000000,1.307136,8.850000,-4.393939
1.700000,6.590000,6.250000,-8.600000,1.322114,8.830000,-4.383244
1.600000,6.630000,6.333333,-8.800000,1.339273,8.930000,-4.379679
1.400000,6.690000,6.416667,-8.800000,1.354301,8.870000,-4.356506
1.300000,6.810000,6.500000,-8.800000,1.370259,8.930000,-4.336898
1.600000,6.950000,6.583333,-8.800000,1.386248,8.910000,-4.317291
1.600000,7.010000,6.666667,-8.600000,1.410876,8.890000,-4.344029
1.500000,7.030000,6.750000,-8.600000,1.420860,8.890000,-4.363636
1.500000,7.210000,6.833333,-8.800000,1.434887,8.890000,-4.274510
1.700000,7.310000,6.916667,-9.000000,1.450893,8.850000,-4.258467
1.400000,7.370000,7.000000,-8.800000,1.466925,8.850000,-4.251337
1.700000,7.430000,7.083333,-8.400000,1.482946,8.850000,-4.231729
1.500000,7.510000,7.166667,-8.600000,1.499001,8.870000,-4.224599
1.300000,7.710000,7.250000,-9.000000,1.525010,8.870000,-4.379679
1.600000,7.670000,7.333333,-9.200000,1.536076,8.850000,-4.294118
1.700000,7.730000,7.416667,-9.000000,1.546140,8.830000,-4.272727
1.600000,7.890000,7.500000,-9.000000,1.562097,8.770000,-4.304813
1.300000,7.950000,7.583333,-9.000000,1.579114,8.830000,-4.283422
1.700000,8.070000,7.666667,-9.000000,1.594134,8.830000,-4.336898
