# Date: 20210518
# Operator: DCC
# Notes: post test 
# Tap_cm: 1.0
# Sample: 153-392 (1) W> 1/3 SOX 865R
# Fit of Tap:
#	Ic = 9.71 A
#	n = 50 
#	Vc = 1.5 uV
#	Vfloor = 2.89 uV
#	R = 3.46 Ohms
Tap [uV],Shunt [A],Supply [A],Input_5 [uV],Time [S],Hall [A],Cernox [T]
1.400000,0.210000,0.000000,-8.800000,0.031669,8.790000,-4.274510
1.700000,0.270000,0.083333,-9.200000,0.044426,8.810000,-4.358289
1.600000,0.310000,0.166667,-8.600000,0.059622,8.870000,-4.370766
1.700000,0.370000,0.250000,-8.800000,0.075640,8.890000,-4.361854
1.600000,0.450000,0.333333,-9.200000,0.091711,8.830000,-4.349376
1.400000,0.530000,0.416667,-8.600000,0.107789,8.850000,-4.335116
1.500000,0.630000,0.500000,-8.600000,0.123867,8.870000,-4.317291
1.600000,0.710000,0.583333,-9.000000,0.139876,8.910000,-4.295900
1.400000,0.810000,0.666667,-8.800000,0.155776,8.870000,-4.272727
1.500000,0.890000,0.750000,-8.600000,0.171841,8.830000,-4.265597
1.600000,0.990000,0.833333,-9.000000,0.187973,8.790000,-4.237077
1.600000,1.090000,0.916667,-8.800000,0.204045,8.870000,-4.226381
1.500000,1.110000,1.000000,-8.600000,0.219913,8.830000,-4.222816
1.500000,1.210000,1.083333,-9.000000,0.243632,8.870000,-4.377897
1.400000,1.350000,1.166667,-8.800000,0.267741,8.810000,-4.229947
1.500000,1.390000,1.250000,-9.000000,0.284353,8.830000,-4.231729
1.400000,1.490000,1.333333,-9.000000,0.300089,8.850000,-4.245989
1.600000,1.570000,1.416667,-8.800000,0.315592,8.830000,-4.281640
1.400000,1.670000,1.500000,-9.200000,0.332064,8.830000,-4.288770
1.500000,1.690000,1.583333,-9.000000,0.347613,8.810000,-4.326203
1.600000,1.830000,1.666667,-9.000000,0.364080,8.790000,-4.329768
1.500000,1.870000,1.750000,-8.600000,0.379554,8.850000,-4.354724
1.300000,1.990000,1.833333,-8.800000,0.396027,8.830000,-4.358289
1.300000,2.070000,1.916667,-8.800000,0.412499,8.850000,-4.367201
1.400000,2.170000,2.000000,-9.000000,0.427950,8.810000,-4.370766
1.700000,2.230000,2.083333,-8.800000,0.451469,8.890000,-4.222816
1.600000,2.330000,2.166667,-8.800000,0.460914,8.890000,-4.372549
1.400000,2.390000,2.250000,-9.000000,0.476408,8.890000,-4.374332
1.500000,2.510000,2.333333,-8.600000,0.491841,8.910000,-4.349376
1.500000,2.530000,2.416667,-8.800000,0.508162,8.870000,-4.336898
1.600000,2.670000,2.500000,-8.800000,0.524057,8.870000,-4.319073
1.800000,2.690000,2.583333,-9.400000,0.554113,8.890000,-4.228164
1.200000,2.890000,2.666667,-8.800000,0.571461,8.890000,-4.235294
1.300000,2.910000,2.750000,-9.000000,0.585951,8.890000,-4.206774
1.400000,2.950000,2.833333,-9.000000,0.600711,8.830000,-4.215686
1.300000,3.130000,2.916667,-9.800000,0.615194,8.830000,-4.272727
1.600000,3.150000,3.000000,-8.800000,0.629823,8.810000,-4.327986
1.500000,3.270000,3.083333,-8.800000,0.644708,8.950000,-4.352941
1.300000,3.370000,3.166667,-8.600000,0.673001,8.890000,-4.276292
1.500000,3.470000,3.250000,-8.800000,0.692079,8.910000,-4.340463
1.400000,3.570000,3.333333,-8.600000,0.706575,8.870000,-4.269162
1.500000,3.670000,3.416667,-8.800000,0.721543,8.870000,-4.238859
1.500000,3.710000,3.500000,-8.800000,0.740684,8.910000,-4.313725
1.500000,3.790000,3.583333,-8.800000,0.753293,8.870000,-4.224599
1.300000,3.870000,3.666667,-8.800000,0.769864,8.910000,-4.228164
1.400000,3.970000,3.750000,-9.200000,0.785758,8.870000,-4.224599
1.500000,4.010000,3.833333,-9.000000,0.801718,8.870000,-4.228164
1.500000,4.110000,3.916667,-8.600000,0.817723,8.870000,-4.231729
1.600000,4.250000,4.000000,-9.200000,0.833343,8.830000,-4.249554
1.400000,4.450000,4.083333,-9.000000,0.871872,8.850000,-4.258467
1.500000,4.310000,4.166667,-9.000000,0.888482,8.850000,-4.247772
1.500000,4.450000,4.250000,-9.200000,0.904663,8.890000,-4.245989
1.800000,4.510000,4.333333,-8.800000,0.920670,8.850000,-4.233512
1.700000,4.670000,4.416667,-8.800000,0.936618,8.850000,-4.226381
1.500000,4.770000,4.500000,-8.200000,0.952076,8.870000,-4.224599
1.500000,4.870000,4.583333,-8.800000,0.968456,8.830000,-4.219251
1.500000,4.950000,4.666667,-8.800000,0.983870,8.850000,-4.228164
1.600000,4.990000,4.750000,-8.800000,1.000357,8.810000,-4.235294
1.400000,5.030000,4.833333,-9.400000,1.015801,8.850000,-4.274510
1.300000,5.190000,4.916667,-9.000000,1.032264,8.830000,-4.283422
1.400000,5.270000,5.000000,-8.600000,1.056674,8.890000,-4.299465
1.400000,5.310000,5.083333,-9.200000,1.066525,8.790000,-4.253119
1.700000,5.370000,5.166667,-8.800000,1.080547,8.810000,-4.324421
1.600000,5.470000,5.250000,-8.600000,1.096565,8.830000,-4.345811
1.500000,5.550000,5.333333,-8.800000,1.112624,8.830000,-4.347594
1.500000,5.670000,5.416667,-8.800000,1.128532,8.790000,-4.365419
1.500000,5.790000,5.500000,-8.800000,1.154584,8.830000,-4.251337
1.600000,5.910000,5.583333,-8.800000,1.164722,8.810000,-4.313725
1.700000,6.030000,5.666667,-9.400000,1.176528,8.830000,-4.372549
1.700000,6.050000,5.750000,-9.200000,1.193917,8.890000,-4.367201
1.600000,6.090000,5.833333,-8.800000,1.208483,8.890000,-4.345811
1.700000,6.170000,5.916667,-9.000000,1.223893,8.850000,-4.317291
1.500000,6.290000,6.000000,-8.800000,1.253701,8.810000,-4.226381
