# Date: 20210518
# Operator: DCC
# Notes: post test 
# Tap_cm: 1.0
# Sample: 153-392 (1) W> 1/3 SOX 865R
# Fit of Tap:
#	Ic = 89.6 +/- 0.2 A
#	n = 8.62 +/- 0.082 
#	Vc = 1.5 uV
#	Vfloor = 1.64 +/- 0.02 uV
#	R = 0.00112 +/- 0.00047 Ohms
Tap [uV],Shunt [A],Supply [A],Input_5 [uV],Time [S],Hall [A],Cernox [T]
1.800000,0.230000,0.000000,-8.800000,0.032547,8.930000,-4.335116
1.600000,0.230000,0.083333,-8.800000,0.045039,8.870000,-4.219251
1.700000,0.310000,0.166667,-8.800000,0.060029,8.850000,-4.203209
1.700000,0.370000,0.250000,-8.800000,0.076165,8.870000,-4.187166
1.500000,0.430000,0.333333,-9.200000,0.092197,8.890000,-4.196078
1.500000,0.530000,0.416667,-9.200000,0.108189,8.810000,-4.206774
1.600000,0.630000,0.500000,-9.000000,0.124233,8.810000,-4.231729
1.700000,0.810000,0.583333,-9.000000,0.140208,8.830000,-4.242424
1.800000,0.830000,0.666667,-8.800000,0.165912,8.890000,-4.331551
1.800000,0.910000,0.750000,-8.600000,0.176687,8.830000,-4.194296
1.700000,0.930000,0.833333,-9.000000,0.189165,8.850000,-4.269162
1.600000,1.070000,0.916667,-8.800000,0.212679,8.890000,-4.240642
1.500000,1.050000,1.000000,-8.800000,0.222729,8.810000,-4.262032
1.600000,1.210000,1.083333,-9.000000,0.236768,8.850000,-4.327986
1.600000,1.350000,1.166667,-8.800000,0.252826,8.850000,-4.351159
1.600000,1.410000,1.250000,-9.000000,0.268848,8.890000,-4.354724
1.700000,1.430000,1.333333,-8.600000,0.284916,8.870000,-4.358289
1.600000,1.530000,1.416667,-9.000000,0.300898,8.870000,-4.352941
1.500000,1.670000,1.500000,-8.800000,0.316937,8.910000,-4.354724
1.700000,1.650000,1.583333,-8.600000,0.332939,8.950000,-4.342246
1.700000,1.810000,1.666667,-8.600000,0.348968,8.910000,-4.327986
1.700000,1.910000,1.750000,-8.600000,0.365001,8.950000,-4.304813
1.600000,2.010000,1.833333,-8.800000,0.381037,8.910000,-4.288770
1.500000,2.050000,1.916667,-8.800000,0.401650,8.890000,-4.340463
1.400000,2.110000,2.000000,-8.600000,0.412887,8.750000,-4.237077
1.600000,2.230000,2.083333,-8.400000,0.428463,8.810000,-4.219251
1.700000,2.370000,2.166667,-8.800000,0.445168,8.830000,-4.221034
1.800000,2.410000,2.250000,-8.800000,0.471160,8.870000,-4.311943
1.400000,2.430000,2.333333,-8.800000,0.482181,8.930000,-4.322638
1.500000,2.550000,2.416667,-9.000000,0.492365,8.870000,-4.204991
1.600000,2.710000,2.500000,-8.800000,0.509077,8.810000,-4.208556
1.600000,2.710000,2.583333,-9.200000,0.525416,8.750000,-4.196078
1.400000,2.850000,2.666667,-9.200000,0.541011,8.750000,-4.219251
1.300000,2.930000,2.750000,-8.800000,0.556525,8.790000,-4.256684
1.600000,3.050000,2.833333,-9.000000,0.573132,8.730000,-4.256684
1.600000,3.090000,2.916667,-8.600000,0.593231,8.870000,-4.199643
1.500000,3.170000,3.000000,-8.800000,0.604896,8.830000,-4.308378
1.400000,3.270000,3.083333,-9.000000,0.620537,8.830000,-4.338681
1.400000,3.390000,3.166667,-9.000000,0.637117,8.890000,-4.331551
1.600000,3.470000,3.250000,-9.000000,0.652174,8.890000,-4.356506
1.700000,3.550000,3.333333,-8.800000,0.668179,8.870000,-4.361854
1.700000,3.550000,3.416667,-9.400000,0.685292,8.890000,-4.356506
1.600000,3.730000,3.500000,-8.800000,0.700549,8.910000,-4.347594
