# Date: 20210519
# Operator: DCC
# Notes: post test 
# Tap_cm: 1.0
# Sample: (2) SOX 365R 115-312
# Fit of Tap:
#	Ic = 154 +/- 0.091 A
#	n = 14.2 +/- 0.065 
#	Vc = 1.5 uV
#	Vfloor = 1.71 +/- 0.0077 uV
#	R = 0.00101 +/- 9.9e-05 Ohms
Tap [uV],Shunt [A],Supply [A],Input_5 [uV],Time [S],Hall [A],Cernox [T]
1.600000,0.250000,0.000000,-8.800000,0.031847,8.930000,-4.344029
1.800000,0.230000,0.083333,-9.000000,0.043759,8.850000,-4.249554
1.500000,0.290000,0.166667,-9.600000,0.059551,8.810000,-4.263815
1.600000,0.350000,0.250000,-9.200000,0.075456,8.730000,-4.288770
1.600000,0.430000,0.333333,-9.600000,0.091530,8.730000,-4.311943
1.700000,0.570000,0.416667,-9.000000,0.107591,8.810000,-4.336898
1.600000,0.610000,0.500000,-9.400000,0.123578,8.770000,-4.349376
1.900000,0.730000,0.583333,-9.400000,0.139550,8.810000,-4.377897
1.500000,0.790000,0.666667,-8.800000,0.164857,8.890000,-4.331551
1.500000,0.870000,0.750000,-8.800000,0.175339,8.830000,-4.290553
1.700000,0.970000,0.833333,-9.200000,0.187374,8.850000,-4.427807
1.800000,1.050000,0.916667,-9.200000,0.203441,8.890000,-4.429590
1.700000,1.110000,1.000000,-9.200000,0.219479,8.890000,-4.452763
1.800000,1.170000,1.083333,-9.200000,0.239626,8.850000,-4.385027
1.900000,1.270000,1.166667,-9.400000,0.251614,8.930000,-4.443850
1.400000,1.410000,1.250000,-9.600000,0.268367,8.950000,-4.454545
1.700000,1.470000,1.333333,-8.800000,0.283434,8.970000,-4.409982
1.900000,1.690000,1.416667,-8.800000,0.299963,8.930000,-4.408200
1.700000,1.650000,1.500000,-9.000000,0.315522,8.950000,-4.361854
1.600000,1.710000,1.583333,-9.800000,0.332054,8.910000,-4.356506
1.600000,1.850000,1.666667,-8.800000,0.349371,8.890000,-4.376114
1.900000,1.930000,1.750000,-9.800000,0.364294,8.930000,-4.313725
1.800000,1.970000,1.833333,-9.400000,0.379975,8.850000,-4.292335
1.500000,2.050000,1.916667,-9.600000,0.396209,8.890000,-4.290553
1.600000,2.150000,2.000000,-9.600000,0.412144,8.890000,-4.285205
1.700000,2.210000,2.083333,-9.800000,0.428344,8.870000,-4.285205
1.700000,2.350000,2.166667,-8.800000,0.463036,8.870000,-4.288770
1.500000,2.410000,2.250000,-9.000000,0.488279,8.890000,-4.436720
1.600000,2.510000,2.333333,-9.000000,0.504549,8.850000,-4.445633
1.800000,2.630000,2.416667,-8.800000,0.521055,8.870000,-4.449198
1.700000,2.690000,2.500000,-9.000000,0.536974,8.950000,-4.458111
1.400000,2.750000,2.583333,-9.200000,0.552787,8.950000,-4.468806
1.800000,2.830000,2.666667,-8.600000,0.568669,8.950000,-4.459893
1.800000,2.930000,2.750000,-9.400000,0.584678,9.010000,-4.447415
1.600000,3.050000,2.833333,-8.600000,0.600534,8.970000,-4.408200
1.900000,3.130000,2.916667,-9.200000,0.616498,8.990000,-4.404635
1.700000,3.190000,3.000000,-8.800000,0.632979,8.990000,-4.397504
1.600000,3.350000,3.083333,-8.600000,0.651932,8.950000,-4.445633
1.500000,3.430000,3.166667,-9.400000,0.664626,8.910000,-4.327986
1.600000,3.470000,3.250000,-8.800000,0.680285,8.870000,-4.297683
1.600000,3.570000,3.333333,-8.600000,0.696739,8.890000,-4.286988
1.700000,3.690000,3.416667,-8.800000,0.712170,8.870000,-4.272727
1.800000,3.690000,3.500000,-9.000000,0.728613,8.850000,-4.276292
1.300000,3.790000,3.583333,-9.000000,0.758600,8.810000,-4.317291
1.600000,3.870000,3.666667,-8.600000,0.773862,8.890000,-4.361854
1.700000,4.010000,3.750000,-8.600000,0.788516,8.870000,-4.422460
1.600000,4.030000,3.833333,-8.800000,0.803509,8.930000,-4.452763
1.700000,4.110000,3.916667,-8.800000,0.819508,8.930000,-4.449198
1.700000,4.230000,4.000000,-9.000000,0.834566,8.990000,-4.429590
1.500000,4.290000,4.083333,-8.800000,0.843957,8.810000,-4.258467
1.700000,4.370000,4.166667,-8.600000,0.863017,8.810000,-4.281640
1.500000,4.470000,4.250000,-8.600000,0.872510,8.890000,-4.395722
1.600000,4.610000,4.333333,-9.000000,0.888895,8.870000,-4.413547
1.700000,4.710000,4.416667,-9.000000,0.904380,8.890000,-4.440285
1.700000,4.770000,4.500000,-9.200000,0.920749,8.910000,-4.447415
1.800000,4.850000,4.583333,-9.800000,0.938949,8.890000,-4.420677
1.400000,4.890000,4.666667,-8.600000,0.952650,8.950000,-4.467023
1.700000,4.950000,4.750000,-8.600000,0.968209,8.950000,-4.452763
1.600000,5.110000,4.833333,-9.000000,0.984670,8.950000,-4.442068
1.700000,5.130000,4.916667,-8.600000,1.000214,8.910000,-4.409982
1.700000,5.250000,5.000000,-8.800000,1.016691,8.950000,-4.402852
1.600000,5.350000,5.083333,-8.600000,1.032168,8.890000,-4.354724
1.700000,5.390000,5.166667,-8.800000,1.067974,8.970000,-4.433155
1.700000,5.530000,5.250000,-8.800000,1.084626,8.990000,-4.429590
1.600000,5.590000,5.333333,-8.800000,1.100256,8.930000,-4.397504
1.800000,5.670000,5.416667,-9.000000,1.116735,8.930000,-4.392157
1.500000,5.770000,5.500000,-8.600000,1.132168,8.930000,-4.363636
1.600000,5.930000,5.583333,-8.600000,1.148583,8.910000,-4.356506
1.700000,5.970000,5.666667,-8.800000,1.164024,8.870000,-4.310160
1.800000,6.030000,5.750000,-8.800000,1.180467,8.890000,-4.297683
1.800000,6.130000,5.833333,-8.400000,1.195886,8.790000,-4.270945
1.700000,6.250000,5.916667,-9.000000,1.212366,8.850000,-4.265597
1.600000,6.230000,6.000000,-9.800000,1.228163,8.850000,-4.265597
1.800000,6.390000,6.083333,-8.600000,1.247055,8.830000,-4.288770
2.000000,6.490000,6.166667,-8.800000,1.264116,8.870000,-4.304813
1.800000,6.590000,6.250000,-8.600000,1.280219,8.850000,-4.285205
1.700000,6.670000,6.333333,-8.600000,1.295316,8.830000,-4.254902
1.700000,6.710000,6.416667,-8.800000,1.310818,8.790000,-4.260250
1.600000,6.810000,6.500000,-9.000000,1.325654,8.770000,-4.297683
1.900000,6.970000,6.583333,-9.800000,1.340380,8.750000,-4.360071
1.900000,6.910000,6.666667,-8.800000,1.373992,8.810000,-4.352941
1.800000,7.010000,6.750000,-9.200000,1.390494,8.770000,-4.354724
1.800000,7.210000,6.833333,-8.800000,1.406745,8.850000,-4.365419
1.600000,7.210000,6.916667,-9.200000,1.421747,8.870000,-4.417112
1.800000,7.270000,7.000000,-9.000000,1.437959,8.830000,-4.426025
1.600000,7.450000,7.083333,-9.000000,1.458499,8.790000,-4.311943
1.700000,7.530000,7.166667,-8.800000,1.470398,8.890000,-4.438503
1.800000,7.630000,7.250000,-8.800000,1.485882,8.950000,-4.445633
1.700000,7.730000,7.333333,-8.600000,1.502398,8.970000,-4.445633
1.700000,7.770000,7.416667,-8.400000,1.517877,8.970000,-4.424242
1.800000,7.850000,7.500000,-8.600000,1.534383,8.890000,-4.420677
1.900000,7.950000,7.583333,-8.800000,1.549915,9.030000,-4.377897
1.900000,8.030000,7.666667,-8.600000,1.566510,8.890000,-4.368984
1.800000,8.130000,7.750000,-8.600000,1.581942,8.930000,-4.333333
1.600000,8.250000,7.833333,-9.000000,1.598479,8.870000,-4.326203
1.800000,8.270000,7.916667,-8.800000,1.613963,8.850000,-4.290553
