# Date: 20210519
# Operator: DCC
# Notes: post test 
# Tap_cm: 1.0
# Sample: (2) SOX 365R 115-312
# Fit of Tap:
#	Ic = 154 +/- 0.093 A
#	n = 13.9 +/- 0.063 
#	Vc = 1.5 uV
#	Vfloor = 1.73 +/- 0.0078 uV
#	R = 0.000874 +/- 0.0001 Ohms
Tap [uV],Shunt [A],Supply [A],Input_5 [uV],Time [S],Hall [A],Cernox [T]
1.900000,0.250000,0.000000,-8.800000,0.038082,8.910000,-4.431373
1.800000,0.230000,0.083333,-8.800000,0.047944,8.850000,-4.274510
1.700000,0.350000,0.166667,-9.000000,0.060546,8.810000,-4.292335
1.800000,0.350000,0.250000,-9.000000,0.076018,8.810000,-4.327986
1.600000,0.450000,0.333333,-9.000000,0.092547,8.790000,-4.327986
1.900000,0.570000,0.416667,-8.600000,0.108062,8.810000,-4.360071
1.600000,0.630000,0.500000,-8.600000,0.124593,8.830000,-4.376114
1.700000,0.690000,0.583333,-8.800000,0.140097,8.770000,-4.408200
1.800000,0.770000,0.666667,-8.800000,0.156726,8.870000,-4.408200
1.700000,0.930000,0.750000,-8.800000,0.172336,8.910000,-4.413547
1.700000,0.970000,0.833333,-9.000000,0.189083,8.910000,-4.411765
1.800000,1.090000,0.916667,-9.000000,0.204763,8.930000,-4.426025
1.700000,1.110000,1.000000,-8.400000,0.248242,8.890000,-4.274510
1.700000,1.210000,1.083333,-8.800000,0.264612,8.890000,-4.272727
1.700000,1.310000,1.166667,-8.800000,0.279739,8.850000,-4.253119
1.800000,1.430000,1.250000,-8.800000,0.295736,8.790000,-4.262032
1.900000,1.430000,1.333333,-8.600000,0.311703,8.790000,-4.265597
1.600000,1.530000,1.416667,-8.600000,0.327852,8.810000,-4.272727
1.800000,1.750000,1.500000,-9.400000,0.343869,8.830000,-4.286988
1.900000,1.690000,1.583333,-9.000000,0.359724,8.810000,-4.306595
1.800000,1.830000,1.666667,-8.800000,0.375723,8.830000,-4.329768
1.800000,1.910000,1.750000,-8.600000,0.391707,8.930000,-4.363636
1.700000,2.050000,1.833333,-9.200000,0.407858,8.850000,-4.368984
1.800000,2.010000,1.916667,-8.800000,0.432621,8.910000,-4.269162
1.800000,2.110000,2.000000,-8.600000,0.442635,8.850000,-4.326203
1.800000,2.250000,2.083333,-8.800000,0.456621,8.850000,-4.415330
1.700000,2.350000,2.166667,-8.800000,0.471687,8.930000,-4.450980
1.700000,2.390000,2.250000,-8.600000,0.487949,8.930000,-4.454545
1.700000,2.510000,2.333333,-8.600000,0.503795,8.950000,-4.449198
1.900000,2.610000,2.416667,-8.800000,0.519648,8.970000,-4.431373
1.700000,2.690000,2.500000,-8.800000,0.546734,8.850000,-4.262032
1.600000,2.770000,2.583333,-8.800000,0.557514,8.830000,-4.385027
1.400000,2.830000,2.666667,-8.800000,0.567406,8.930000,-4.361854
1.600000,2.930000,2.750000,-8.800000,0.583800,8.850000,-4.354724
1.800000,3.050000,2.833333,-8.800000,0.598881,8.910000,-4.310160
1.600000,3.090000,2.916667,-8.800000,0.615640,8.890000,-4.306595
1.800000,3.210000,3.000000,-8.600000,0.635629,8.930000,-4.409982
1.700000,3.290000,3.083333,-8.400000,0.647481,8.830000,-4.260250
1.600000,3.310000,3.166667,-9.000000,0.663041,8.790000,-4.256684
1.600000,3.490000,3.250000,-9.000000,0.678622,8.810000,-4.262032
1.600000,3.550000,3.333333,-8.800000,0.695533,8.810000,-4.267380
1.600000,3.710000,3.416667,-9.000000,0.711360,8.810000,-4.279857
1.700000,3.670000,3.500000,-9.000000,0.726961,8.810000,-4.308378
1.700000,3.790000,3.583333,-8.600000,0.742608,8.810000,-4.344029
1.700000,3.910000,3.666667,-8.800000,0.759890,8.770000,-4.319073
1.800000,3.970000,3.750000,-8.600000,0.774988,8.850000,-4.365419
1.600000,4.030000,3.833333,-9.000000,0.791655,8.830000,-4.360071
1.500000,4.150000,3.916667,-8.800000,0.807870,8.870000,-4.377897
