# Date: 20210519
# Operator: DCC
# Notes: post test 
# Tap_cm: 1.0
# Sample: DCC_PbSn_034
# Fit of Tap:
#	Ic = 10.3 +/- 0.31 A
#	n = 50 +/- 2.9 
#	Vc = 1.5 uV
#	Vfloor = 1.78 +/- 3.1e+112 uV
#	R = 3.99 +/- 6.1e+111 Ohms
Tap [uV],Shunt [A],Supply [A],Input_5 [uV],Time [S],Hall [A],Cernox [T]
1.500000,0.210000,0.000000,-8.400000,0.043966,8.530000,-4.062389
1.500000,0.230000,0.083333,-9.200000,0.058452,8.730000,-4.130125
1.400000,0.310000,0.166667,-9.200000,0.068537,9.130000,-4.575758
1.500000,0.350000,0.250000,-9.000000,0.077988,8.470000,-4.087344
1.600000,0.490000,0.333333,-9.200000,0.091369,8.710000,-4.162210
1.500000,0.510000,0.416667,-9.000000,0.107958,8.810000,-4.162210
1.600000,0.630000,0.500000,-9.200000,0.123375,8.930000,-4.276292
1.800000,0.790000,0.583333,-9.000000,0.139786,8.950000,-4.294118
1.700000,0.850000,0.666667,-8.800000,0.156166,9.050000,-4.324421
1.500000,0.970000,0.750000,-8.600000,0.171648,9.130000,-4.443850
1.800000,0.990000,0.833333,-8.800000,0.187855,9.190000,-4.477718
1.700000,1.070000,0.916667,-8.600000,0.204044,9.190000,-4.508021
1.700000,1.110000,1.000000,-8.800000,0.220039,9.210000,-4.547237
1.600000,1.190000,1.083333,-8.800000,0.240239,8.890000,-4.244207
1.400000,1.230000,1.166667,-8.800000,0.252087,9.130000,-4.568627
1.600000,1.390000,1.250000,-8.800000,0.276246,8.610000,-4.071301
1.500000,1.490000,1.333333,-9.000000,0.286739,9.230000,-4.547237
1.600000,1.510000,1.416667,-8.600000,0.299733,8.870000,-4.486631
1.500000,1.750000,1.500000,-8.600000,0.315785,8.790000,-4.442068
1.600000,1.770000,1.583333,-8.800000,0.331974,8.690000,-4.386809
1.500000,1.810000,1.666667,-8.800000,0.348067,8.650000,-4.349376
1.500000,1.870000,1.750000,-8.800000,0.364048,8.590000,-4.274510
1.400000,1.990000,1.833333,-9.000000,0.380062,8.450000,-4.210339
1.500000,2.050000,1.916667,-8.800000,0.396045,8.470000,-4.169340
1.600000,2.150000,2.000000,-9.000000,0.412076,8.430000,-4.126560
1.500000,2.230000,2.083333,-9.000000,0.428073,8.390000,-4.092692
1.700000,2.330000,2.166667,-8.800000,0.447904,8.630000,-4.333333
1.700000,2.410000,2.250000,-8.800000,0.459793,8.490000,-4.073084
1.600000,2.490000,2.333333,-9.000000,0.475967,8.570000,-4.083779
1.500000,2.610000,2.416667,-9.000000,0.492053,8.690000,-4.121212
1.400000,2.730000,2.500000,-9.000000,0.508083,8.710000,-4.165775
1.600000,2.690000,2.583333,-8.800000,0.524314,8.810000,-4.201426
1.500000,2.770000,2.666667,-9.200000,0.540422,8.850000,-4.256684
1.700000,2.870000,2.750000,-9.600000,0.556449,8.970000,-4.313725
1.800000,3.050000,2.833333,-8.800000,0.581598,8.750000,-4.390374
1.600000,3.090000,2.916667,-8.600000,0.592322,8.650000,-4.124777
1.600000,3.110000,3.000000,-9.200000,0.604075,9.230000,-4.529412
1.800000,3.230000,3.083333,-8.800000,0.620078,9.250000,-4.556150
1.700000,3.310000,3.166667,-8.600000,0.636029,9.230000,-4.590018
