# Date: 20210519
# Operator: DCC
# Notes: post test 
# Tap_cm: 1.0
# Sample: DCC_PbSn_034
# Fit of Tap:
#	Ic = 29.7 +/- 0.56 A
#	n = 50 +/- 1.6 
#	Vc = 1.5 uV
#	Vfloor = 2.3 +/- 1.9e+49 uV
#	R = 2.31 +/- 1e+48 Ohms
Tap [uV],Shunt [A],Supply [A],Input_5 [uV],Time [S],Hall [A],Cernox [T]
1.700000,0.210000,0.000000,-8.800000,0.028335,8.410000,-4.160428
1.800000,0.270000,0.083333,-8.800000,0.044612,8.410000,-4.131907
1.400000,0.270000,0.166667,-8.800000,0.060855,8.410000,-4.105169
1.600000,0.370000,0.250000,-9.200000,0.075982,8.550000,-4.064171
1.400000,0.410000,0.333333,-8.800000,0.092086,8.530000,-4.074866
1.600000,0.530000,0.416667,-8.800000,0.108206,8.590000,-4.087344
1.400000,0.710000,0.500000,-9.200000,0.124499,8.710000,-4.110517
1.500000,0.770000,0.583333,-9.200000,0.140687,8.730000,-4.135472
1.500000,0.830000,0.666667,-9.000000,0.156831,8.810000,-4.172906
1.400000,0.890000,0.750000,-8.800000,0.171994,8.990000,-4.303030
1.500000,1.070000,0.833333,-9.000000,0.187896,9.050000,-4.377897
1.600000,1.070000,0.916667,-9.000000,0.204248,9.130000,-4.424242
1.600000,1.110000,1.000000,-8.800000,0.219980,9.210000,-4.486631
1.400000,1.190000,1.083333,-9.000000,0.240672,8.690000,-4.131907
1.700000,1.230000,1.166667,-8.800000,0.264937,8.850000,-4.467023
1.600000,1.370000,1.250000,-8.600000,0.275344,8.530000,-4.078431
1.600000,1.450000,1.333333,-9.000000,0.284759,9.190000,-4.588235
1.500000,1.530000,1.416667,-9.000000,0.300239,9.070000,-4.575758
1.500000,1.610000,1.500000,-8.600000,0.315680,8.970000,-4.508021
1.500000,1.690000,1.583333,-8.800000,0.332123,8.950000,-4.499109
1.600000,1.790000,1.666667,-9.000000,0.347561,8.770000,-4.409982
