# Date: 20210519
# Operator: DCC
# Notes: post test 
# Tap_cm: 1.0
# Sample: DCC_PbSn_034
# Fit of Tap:
#	Ic = 29.2 +/- 0.59 A
#	n = 50 +/- 1.6 
#	Vc = 1.5 uV
#	Vfloor = 10 +/- 3.6e+59 uV
#	R = 9.89 +/- 5.7e+54 Ohms
Tap [uV],Shunt [A],Supply [A],Input_5 [uV],Time [S],Hall [A],Cernox [T]
1.700000,0.190000,0.000000,-8.800000,0.029636,8.650000,-4.301248
1.500000,0.270000,0.083333,-8.800000,0.043510,8.450000,-4.092692
1.600000,0.230000,0.166667,-11.400000,0.058534,8.550000,-4.069519
1.800000,0.390000,0.250000,-11.200000,0.073892,8.650000,-4.114082
1.500000,0.490000,0.333333,-11.200000,0.090213,8.670000,-4.126560
1.600000,0.530000,0.416667,-11.400000,0.105499,8.830000,-4.231729
1.500000,0.650000,0.500000,-11.200000,0.121783,8.870000,-4.265597
1.500000,0.710000,0.583333,-11.200000,0.138059,8.930000,-4.306595
1.300000,0.770000,0.666667,-11.200000,0.153355,9.090000,-4.449198
1.200000,0.850000,0.750000,-11.600000,0.170679,9.010000,-4.383244
1.600000,0.990000,0.833333,-11.200000,0.185490,9.210000,-4.524064
1.500000,1.070000,0.916667,-11.600000,0.204268,9.010000,-4.354724
1.400000,1.130000,1.000000,-11.000000,0.217658,9.230000,-4.588235
1.500000,1.230000,1.083333,-12.000000,0.234068,9.230000,-4.584670
1.400000,1.290000,1.166667,-11.200000,0.249451,9.150000,-4.570410
1.600000,1.450000,1.250000,-9.400000,0.266863,9.090000,-4.579323
1.500000,1.490000,1.333333,-8.800000,0.283392,9.090000,-4.568627
1.700000,1.550000,1.416667,-9.200000,0.299812,9.090000,-4.566845
1.500000,1.670000,1.500000,-8.800000,0.315245,8.950000,-4.516934
1.400000,1.710000,1.583333,-8.600000,0.331655,8.970000,-4.497326
1.700000,1.810000,1.666667,-8.600000,0.348025,8.890000,-4.465241
1.700000,1.850000,1.750000,-8.800000,0.363492,8.750000,-4.351159
1.600000,1.990000,1.833333,-8.800000,0.379860,8.650000,-4.331551
1.600000,2.010000,1.916667,-9.200000,0.399792,9.130000,-4.572193
1.400000,2.130000,2.000000,-9.200000,0.411249,8.470000,-4.162210
1.700000,2.310000,2.083333,-9.200000,0.427653,8.470000,-4.142602
1.400000,2.370000,2.166667,-9.200000,0.444042,8.450000,-4.131907
1.700000,2.410000,2.250000,-9.000000,0.459424,8.450000,-4.069519
1.600000,2.490000,2.333333,-9.000000,0.484560,9.230000,-4.588235
1.400000,2.610000,2.416667,-9.000000,0.494799,8.550000,-4.176471
1.200000,2.730000,2.500000,-8.600000,0.507439,8.650000,-4.119430
1.500000,2.690000,2.583333,-9.200000,0.523854,8.690000,-4.131907
1.600000,2.850000,2.666667,-8.800000,0.539306,8.830000,-4.217469
1.700000,2.950000,2.750000,-9.400000,0.555747,8.870000,-4.233512
1.700000,3.070000,2.833333,-8.800000,0.572141,8.930000,-4.247772
1.700000,3.110000,2.916667,-8.600000,0.591330,8.630000,-4.080214
1.800000,3.210000,3.000000,-8.800000,0.603805,9.190000,-4.422460
1.900000,3.210000,3.083333,-8.600000,0.619276,9.250000,-4.515152
1.900000,3.390000,3.166667,-8.800000,0.635692,9.210000,-4.524064
1.800000,3.450000,3.250000,-8.800000,0.652060,9.230000,-4.536542
1.700000,3.550000,3.333333,-9.000000,0.667497,9.190000,-4.581105
1.700000,3.690000,3.416667,-9.200000,0.683886,9.110000,-4.579323
1.800000,3.710000,3.500000,-9.000000,0.699312,9.030000,-4.549020
1.900000,3.790000,3.583333,-8.800000,0.715686,9.010000,-4.524064
1.700000,3.910000,3.666667,-8.800000,0.732252,8.950000,-4.499109
2.000000,4.130000,3.750000,-8.800000,0.747853,8.930000,-4.447415
1.500000,4.050000,3.833333,-8.800000,0.776519,8.450000,-4.081996
1.900000,4.130000,3.916667,-8.800000,0.796519,8.650000,-4.326203
1.700000,4.250000,4.000000,-8.800000,0.812985,8.630000,-4.306595
1.500000,4.370000,4.083333,-9.000000,0.828540,8.490000,-4.199643
1.700000,4.410000,4.166667,-8.800000,0.844934,8.490000,-4.180036
1.700000,4.450000,4.250000,-8.800000,0.860400,8.450000,-4.110517
1.900000,4.590000,4.333333,-8.800000,0.876790,8.470000,-4.101604
1.900000,4.650000,4.416667,-9.400000,0.893641,8.470000,-4.099822
2.000000,4.750000,4.500000,-9.000000,0.909835,8.470000,-4.083779
2.000000,4.830000,4.583333,-8.600000,0.924852,8.610000,-4.092692
1.800000,4.910000,4.666667,-8.800000,0.940872,8.670000,-4.115865
1.800000,4.990000,4.750000,-9.000000,0.956856,8.770000,-4.160428
2.000000,5.070000,4.833333,-8.800000,0.976841,8.490000,-4.089127
1.900000,5.050000,4.916667,-9.000000,0.988849,8.890000,-4.247772
1.800000,5.310000,5.000000,-8.800000,1.004556,9.030000,-4.344029
2.200000,5.350000,5.083333,-8.600000,1.021207,9.070000,-4.345811
2.200000,5.390000,5.166667,-8.800000,1.036738,9.190000,-4.447415
2.100000,5.490000,5.250000,-8.800000,1.053481,9.170000,-4.456328
2.100000,5.590000,5.333333,-9.200000,1.078869,8.590000,-4.224599
2.200000,5.710000,5.416667,-8.800000,1.089323,8.870000,-4.212121
2.300000,5.730000,5.500000,-8.800000,1.100883,9.230000,-4.582888
2.200000,5.830000,5.583333,-9.000000,1.116510,9.090000,-4.568627
2.200000,5.970000,5.666667,-8.800000,1.133005,9.110000,-4.561497
2.200000,6.030000,5.750000,-8.800000,1.148566,8.970000,-4.509804
2.100000,6.150000,5.833333,-9.000000,1.172757,8.810000,-4.213904
2.300000,6.150000,5.916667,-8.800000,1.182368,9.030000,-4.536542
2.200000,6.310000,6.000000,-8.600000,1.196922,8.730000,-4.365419
2.300000,6.370000,6.083333,-9.000000,1.212521,8.590000,-4.260250
2.300000,6.490000,6.166667,-9.000000,1.229009,8.570000,-4.251337
2.100000,6.570000,6.250000,-8.800000,1.244618,8.430000,-4.165775
2.200000,6.650000,6.333333,-8.800000,1.261309,8.450000,-4.176471
2.400000,6.790000,6.416667,-9.000000,1.276832,8.530000,-4.114082
2.500000,6.830000,6.500000,-9.000000,1.293483,8.470000,-4.101604
2.600000,6.950000,6.583333,-8.600000,1.308996,8.530000,-4.078431
2.600000,7.050000,6.666667,-8.800000,1.324521,8.650000,-4.108734
2.500000,7.110000,6.750000,-9.000000,1.341002,8.650000,-4.101604
2.400000,7.230000,6.833333,-9.200000,1.356507,8.770000,-4.181818
2.700000,7.290000,6.916667,-8.600000,1.392536,8.530000,-4.069519
2.400000,7.330000,7.000000,-8.600000,1.408388,8.570000,-4.074866
2.700000,7.430000,7.083333,-8.800000,1.424882,8.650000,-4.080214
2.500000,7.530000,7.166667,-9.000000,1.440447,8.670000,-4.126560
2.600000,7.630000,7.250000,-9.000000,1.456931,8.690000,-4.131907
2.500000,7.710000,7.333333,-8.800000,1.472558,8.810000,-4.206774
2.600000,7.830000,7.416667,-9.000000,1.489402,8.850000,-4.212121
2.500000,7.910000,7.500000,-8.800000,1.505747,8.930000,-4.233512
2.600000,7.930000,7.583333,-8.800000,1.520955,9.130000,-4.386809
2.500000,8.010000,7.666667,-9.000000,1.537055,9.170000,-4.434938
2.500000,8.170000,7.750000,-8.400000,1.553150,9.230000,-4.475936
2.600000,8.250000,7.833333,-8.400000,1.574668,8.670000,-4.083779
2.400000,8.270000,7.916667,-8.800000,1.584755,9.210000,-4.568627
2.600000,8.390000,8.000000,-8.600000,1.600991,9.150000,-4.579323
2.600000,8.490000,8.083333,-8.800000,1.617106,9.170000,-4.572193
2.700000,8.570000,8.166667,-8.800000,1.633326,9.090000,-4.559715
3.100000,8.610000,8.250000,-8.600000,1.649430,9.010000,-4.543672
2.800000,8.710000,8.333333,-9.000000,1.678918,8.510000,-4.215686
2.800000,8.790000,8.416667,-8.800000,1.689793,8.850000,-4.174688
3.000000,8.850000,8.500000,-8.800000,1.699951,9.150000,-4.566845
2.900000,8.930000,8.583333,-8.600000,1.713002,8.630000,-4.301248
2.800000,9.070000,8.666667,-8.800000,1.729037,8.570000,-4.235294
3.000000,9.130000,8.750000,-8.800000,1.745296,8.510000,-4.201426
2.800000,9.290000,8.833333,-9.200000,1.761580,8.470000,-4.180036
3.100000,9.330000,8.916667,-8.800000,1.782762,9.050000,-4.550802
3.300000,9.370000,9.000000,-8.800000,1.792931,8.430000,-4.083779
3.200000,9.490000,9.083333,-8.600000,1.809036,8.570000,-4.069519
3.200000,9.550000,9.166667,-8.600000,1.825134,8.610000,-4.074866
2.800000,9.710000,9.250000,-8.600000,1.841267,8.650000,-4.099822
3.000000,9.790000,9.333333,-8.800000,1.857393,8.710000,-4.117647
2.800000,9.870000,9.416667,-9.200000,1.873625,8.810000,-4.158645
2.800000,9.950000,9.500000,-8.600000,1.889819,8.850000,-4.190731
3.100000,10.070000,9.583333,-8.800000,1.904936,9.030000,-4.317291
3.000000,10.190000,9.666667,-8.800000,1.921048,9.130000,-4.370766
3.200000,10.210000,9.750000,-9.000000,1.937100,9.190000,-4.436720
3.000000,10.290000,9.833333,-9.200000,1.953256,9.230000,-4.481283
3.000000,10.330000,9.916667,-8.800000,1.991249,8.670000,-4.094474
3.000000,10.470000,10.000000,-8.600000,2.007705,8.690000,-4.105169
3.200000,10.570000,10.083333,-9.000000,2.023878,8.730000,-4.126560
3.500000,10.650000,10.166667,-9.000000,2.038951,8.930000,-4.254902
3.300000,10.770000,10.250000,-8.800000,2.055164,9.030000,-4.288770
3.100000,10.830000,10.333333,-8.400000,2.071278,9.070000,-4.349376
3.300000,10.930000,10.416667,-8.600000,2.087415,9.150000,-4.409982
3.300000,10.990000,10.500000,-8.600000,2.103644,9.210000,-4.458111
3.200000,11.050000,10.583333,-8.400000,2.119873,9.230000,-4.483066
3.300000,11.190000,10.666667,-8.600000,2.134970,9.210000,-4.570410
3.500000,11.290000,10.750000,-8.600000,2.151131,9.210000,-4.595365
3.400000,11.370000,10.833333,-9.000000,2.174049,8.630000,-4.119430
3.500000,11.450000,10.916667,-8.800000,2.184124,9.170000,-4.588235
3.500000,11.510000,11.000000,-8.800000,2.199222,9.030000,-4.541889
3.400000,11.570000,11.083333,-8.800000,2.215407,8.950000,-4.515152
3.500000,11.650000,11.166667,-8.600000,2.231521,8.890000,-4.475936
3.500000,11.790000,11.250000,-8.600000,2.247870,8.810000,-4.456328
3.400000,11.910000,11.333333,-8.800000,2.278817,8.530000,-4.224599
3.500000,11.950000,11.416667,-9.000000,2.289758,8.810000,-4.190731
3.400000,12.030000,11.500000,-8.800000,2.299839,9.050000,-4.573975
3.200000,12.130000,11.583333,-9.000000,2.310988,8.490000,-4.144385
3.600000,12.230000,11.666667,-8.800000,2.327077,8.470000,-4.119430
3.400000,12.290000,11.750000,-8.800000,2.343327,8.450000,-4.098039
3.500000,12.430000,11.833333,-9.000000,2.359485,8.470000,-4.081996
3.600000,12.470000,11.916667,-8.400000,2.381348,8.870000,-4.467023
3.600000,12.530000,12.000000,-9.000000,2.395617,8.550000,-4.242424
3.700000,12.610000,12.083333,-8.800000,2.407448,8.630000,-4.103387
3.600000,12.730000,12.166667,-9.200000,2.422891,8.750000,-4.183601
3.800000,12.830000,12.250000,-8.600000,2.438474,8.930000,-4.279857
3.900000,12.870000,12.333333,-9.000000,2.455016,8.950000,-4.308378
3.700000,12.970000,12.416667,-8.800000,2.470514,9.130000,-4.427807
3.500000,13.070000,12.500000,-8.800000,2.487025,9.090000,-4.459893
4.000000,13.130000,12.583333,-8.200000,2.502781,9.230000,-4.513369
3.900000,13.230000,12.666667,-8.600000,2.518470,9.230000,-4.557932
3.900000,13.330000,12.750000,-8.800000,2.534956,9.230000,-4.559715
3.500000,13.410000,12.833333,-8.800000,2.550466,9.170000,-4.582888
3.700000,13.530000,12.916667,-8.800000,2.589698,8.830000,-4.187166
4.100000,13.570000,13.000000,-8.800000,2.605500,8.950000,-4.251337
4.000000,13.670000,13.083333,-8.800000,2.622034,8.990000,-4.270945
3.700000,13.790000,13.166667,-8.800000,2.637590,9.110000,-4.376114
3.900000,13.870000,13.250000,-8.600000,2.654182,9.110000,-4.399287
4.100000,13.950000,13.333333,-8.600000,2.669654,9.250000,-4.484848
4.000000,13.990000,13.416667,-8.600000,2.686251,9.230000,-4.486631
4.200000,14.130000,13.500000,-8.800000,2.701699,9.230000,-4.557932
4.000000,14.210000,13.583333,-8.600000,2.718296,9.230000,-4.557932
3.800000,14.270000,13.666667,-8.800000,2.733757,9.190000,-4.586453
3.800000,14.390000,13.750000,-8.600000,2.750520,9.190000,-4.590018
4.300000,14.510000,13.833333,-8.600000,2.774547,8.630000,-4.094474
3.900000,14.530000,13.916667,-8.800000,2.784059,9.210000,-4.595365
4.300000,14.650000,14.000000,-8.800000,2.797507,8.870000,-4.443850
4.200000,14.730000,14.083333,-8.800000,2.813993,8.870000,-4.417112
4.200000,14.810000,14.166667,-8.800000,2.829568,8.630000,-4.320856
4.200000,14.930000,14.250000,-8.800000,2.846219,8.690000,-4.315508
4.200000,14.970000,14.333333,-8.800000,2.871283,9.050000,-4.329768
4.300000,15.070000,14.416667,-8.800000,2.886506,9.270000,-4.470588
4.200000,15.190000,14.500000,-8.800000,2.896774,8.810000,-4.367201
4.000000,15.250000,14.583333,-9.000000,2.910412,8.490000,-4.126560
3.900000,15.350000,14.666667,-8.600000,2.925900,8.490000,-4.074866
4.200000,15.450000,14.750000,-8.600000,2.941415,8.610000,-4.087344
4.100000,15.550000,14.833333,-8.600000,2.957908,8.630000,-4.094474
4.400000,15.610000,14.916667,-8.600000,2.979689,8.670000,-4.335116
3.900000,15.710000,15.000000,-9.200000,2.990421,8.690000,-4.133690
4.200000,15.790000,15.083333,-9.000000,3.006141,8.810000,-4.190731
4.300000,15.850000,15.166667,-8.600000,3.021627,8.990000,-4.297683
4.400000,15.950000,15.250000,-8.600000,3.038231,8.970000,-4.303030
4.200000,16.010000,15.333333,-9.000000,3.053797,9.150000,-4.418895
4.200000,16.150000,15.416667,-8.800000,3.070413,9.150000,-4.429590
4.400000,16.130000,15.500000,-8.600000,3.085874,9.230000,-4.506239
4.500000,16.270000,15.583333,-8.400000,3.102450,9.210000,-4.518717
4.400000,16.370000,15.666667,-8.800000,3.117939,9.230000,-4.573975
4.300000,16.490000,15.750000,-9.000000,3.133497,9.150000,-4.581105
4.300000,16.570000,15.833333,-8.800000,3.149955,9.150000,-4.581105
4.500000,16.670000,15.916667,-8.600000,3.189486,8.790000,-4.203209
4.600000,16.730000,16.000000,-8.800000,3.205351,8.930000,-4.269162
4.500000,16.830000,16.083333,-8.600000,3.221854,8.930000,-4.283422
4.400000,16.870000,16.166667,-8.800000,3.237518,9.090000,-4.367201
4.500000,16.950000,16.250000,-8.600000,3.254389,9.090000,-4.361854
4.500000,17.050000,16.333333,-8.800000,3.269894,9.190000,-4.456328
4.600000,17.170000,16.416667,-8.400000,3.285453,9.190000,-4.531194
4.600000,17.250000,16.500000,-8.600000,3.301291,9.350000,-4.566845
4.500000,17.330000,16.583333,-11.200000,3.315603,9.130000,-4.566845
4.400000,17.450000,16.666667,-11.400000,3.331931,9.110000,-4.543672
4.400000,17.490000,16.750000,-11.000000,3.347246,8.910000,-4.456328
4.500000,17.590000,16.833333,-11.400000,3.366283,9.150000,-4.582888
4.600000,17.730000,16.916667,-11.000000,3.379657,8.730000,-4.361854
4.600000,17.770000,17.000000,-11.000000,3.395947,8.650000,-4.329768
4.700000,17.850000,17.083333,-11.000000,3.411267,8.590000,-4.201426
4.800000,17.930000,17.166667,-11.000000,3.427548,8.550000,-4.180036
4.900000,18.070000,17.250000,-11.400000,3.443899,8.470000,-4.146168
4.700000,18.150000,17.333333,-11.400000,3.459243,8.510000,-4.080214
4.700000,18.170000,17.416667,-11.400000,3.476786,8.430000,-4.121212
4.800000,18.490000,17.500000,-11.200000,3.491552,8.470000,-4.057041
4.700000,18.430000,17.583333,-8.800000,3.509888,8.430000,-4.085561
4.800000,18.470000,17.666667,-8.600000,3.525490,8.510000,-4.055258
4.800000,18.550000,17.750000,-8.800000,3.541975,8.490000,-4.069519
4.900000,18.650000,17.833333,-8.800000,3.557496,8.570000,-4.101604
4.700000,18.750000,17.916667,-8.800000,3.579662,8.650000,-4.336898
4.900000,18.830000,18.000000,-8.800000,3.589235,8.810000,-4.206774
4.700000,18.890000,18.083333,-8.800000,3.605807,8.810000,-4.221034
4.900000,18.990000,18.166667,-8.800000,3.621348,9.010000,-4.326203
4.900000,19.110000,18.250000,-8.800000,3.637789,9.050000,-4.336898
5.000000,19.150000,18.333333,-8.800000,3.653359,9.130000,-4.459893
5.000000,19.230000,18.416667,-8.800000,3.669825,9.150000,-4.465241
5.100000,19.330000,18.500000,-8.600000,3.685466,9.230000,-4.529412
5.100000,19.450000,18.583333,-8.400000,3.702023,9.250000,-4.536542
4.800000,19.590000,18.666667,-9.000000,3.717564,9.210000,-4.582888
4.700000,19.630000,18.750000,-9.000000,3.734036,9.170000,-4.586453
4.800000,19.710000,18.833333,-8.600000,3.749618,9.110000,-4.565062
5.000000,19.790000,18.916667,-8.800000,3.790575,8.650000,-4.119430
4.900000,19.850000,19.000000,-9.200000,3.806532,8.770000,-4.155080
4.900000,19.910000,19.083333,-9.200000,3.823068,8.750000,-4.155080
5.200000,20.010000,19.166667,-8.600000,3.838608,8.910000,-4.251337
5.200000,20.150000,19.250000,-9.000000,3.855283,8.930000,-4.262032
5.000000,20.190000,19.333333,-8.800000,3.870769,9.010000,-4.379679
5.200000,20.250000,19.416667,-8.600000,3.890770,9.210000,-4.483066
5.300000,20.330000,19.500000,-8.400000,3.902708,9.290000,-4.513369
5.300000,20.450000,19.583333,-8.800000,3.919424,9.210000,-4.513369
5.500000,20.510000,19.666667,-8.800000,3.934939,9.210000,-4.572193
5.300000,20.650000,19.750000,-8.800000,3.950495,9.210000,-4.609626
5.500000,20.750000,19.833333,-8.800000,3.975387,8.530000,-4.074866
5.400000,20.770000,19.916667,-8.600000,3.984833,9.250000,-4.572193
5.300000,20.850000,20.000000,-8.600000,3.998514,9.010000,-4.540107
5.400000,20.970000,20.083333,-8.800000,4.015192,8.990000,-4.534759
