# Date: 20210519
# Operator: DCC
# Notes: post test 
# Tap_cm: 1.0
# Sample: DCC_PbSn_034
# Fit of Tap:
#	Ic = 12.4 A
#	n = 50 
#	Vc = 1.5 uV
#	Vfloor = 2.37 uV
#	R = 4.52 Ohms
Tap [uV],Shunt [A],Supply [A],Input_5 [uV],Time [S],Hall [A],Cernox [T]
1.300000,0.230000,0.000000,-9.200000,0.029391,8.430000,-4.139037
1.700000,0.250000,0.083333,-9.200000,0.044206,8.450000,-4.065954
1.700000,0.310000,0.166667,-9.400000,0.068302,9.330000,-4.575758
1.500000,0.350000,0.250000,-11.200000,0.076058,8.550000,-4.078431
1.400000,0.430000,0.333333,-11.400000,0.089434,8.950000,-4.320856
1.500000,0.530000,0.416667,-11.600000,0.105784,9.010000,-4.354724
1.600000,0.610000,0.500000,-11.600000,0.122074,9.090000,-4.399287
1.500000,0.750000,0.583333,-8.800000,0.139299,9.070000,-4.376114
1.700000,0.810000,0.666667,-9.000000,0.155785,9.110000,-4.395722
1.400000,0.850000,0.750000,-8.800000,0.172205,9.130000,-4.424242
1.700000,0.990000,0.833333,-8.800000,0.187611,9.190000,-4.515152
1.600000,1.050000,0.916667,-9.000000,0.211157,8.470000,-4.071301
1.700000,1.070000,1.000000,-8.800000,0.220541,9.210000,-4.531194
1.500000,1.190000,1.083333,-8.800000,0.236018,9.190000,-4.582888
1.500000,1.290000,1.166667,-9.000000,0.251410,9.130000,-4.566845
1.500000,1.350000,1.250000,-8.600000,0.267873,9.050000,-4.559715
1.800000,1.430000,1.333333,-8.800000,0.284300,9.050000,-4.549020
1.600000,1.570000,1.416667,-8.800000,0.300490,8.870000,-4.522282
1.500000,1.590000,1.500000,-8.800000,0.316043,8.850000,-4.442068
1.600000,1.690000,1.583333,-8.800000,0.331462,8.670000,-4.322638
1.600000,1.850000,1.666667,-9.200000,0.362034,8.430000,-4.112299
1.600000,1.870000,1.750000,-8.800000,0.372546,9.050000,-4.397504
1.600000,2.010000,1.833333,-8.800000,0.382289,8.770000,-4.402852
1.400000,1.970000,1.916667,-9.000000,0.401837,9.130000,-4.582888
1.300000,2.110000,2.000000,-9.000000,0.411496,8.470000,-4.081996
1.600000,2.250000,2.083333,-8.600000,0.427603,8.470000,-4.064171
1.700000,2.330000,2.166667,-9.200000,0.444301,8.470000,-4.055258
1.700000,2.390000,2.250000,-8.800000,0.460308,8.530000,-4.073084
1.700000,2.490000,2.333333,-8.800000,0.476295,8.550000,-4.076649
1.400000,2.650000,2.416667,-9.200000,0.492299,8.630000,-4.117647
1.600000,2.650000,2.500000,-9.200000,0.508315,8.710000,-4.155080
1.500000,2.790000,2.583333,-9.000000,0.524276,8.770000,-4.208556
1.600000,2.810000,2.666667,-9.000000,0.540288,8.910000,-4.269162
1.700000,2.950000,2.750000,-9.000000,0.556967,8.950000,-4.278075
1.700000,3.010000,2.833333,-8.800000,0.572209,9.070000,-4.418895
1.800000,3.150000,2.916667,-9.400000,0.591590,8.710000,-4.160428
1.600000,3.190000,3.000000,-8.600000,0.603554,9.210000,-4.550802
1.500000,3.290000,3.083333,-8.800000,0.619626,9.150000,-4.582888
1.400000,3.390000,3.166667,-8.800000,0.635604,9.130000,-4.575758
1.500000,3.450000,3.250000,-9.200000,0.662230,8.430000,-4.110517
1.500000,3.590000,3.333333,-9.200000,0.672621,9.030000,-4.367201
1.500000,3.610000,3.416667,-9.200000,0.685439,9.090000,-4.568627
1.900000,3.690000,3.500000,-8.800000,0.699721,8.890000,-4.447415
1.600000,3.770000,3.583333,-8.800000,0.715847,8.830000,-4.406417
1.400000,3.910000,3.666667,-9.000000,0.732090,8.750000,-4.358289
1.600000,3.990000,3.750000,-8.800000,0.748217,8.630000,-4.297683
1.700000,4.030000,3.833333,-9.000000,0.764306,8.590000,-4.238859
1.600000,4.170000,3.916667,-9.800000,0.784158,8.990000,-4.531194
1.400000,4.230000,4.000000,-9.000000,0.796263,8.430000,-4.142602
1.500000,4.350000,4.083333,-9.200000,0.812314,8.410000,-4.117647
1.600000,4.390000,4.166667,-9.000000,0.828326,8.450000,-4.087344
1.800000,4.510000,4.250000,-8.800000,0.844296,8.470000,-4.062389
2.000000,4.550000,4.333333,-8.800000,0.860285,8.590000,-4.074866
2.000000,4.690000,4.416667,-8.800000,0.876283,8.590000,-4.085561
1.900000,4.730000,4.500000,-9.200000,0.892283,8.710000,-4.124777
1.600000,4.850000,4.583333,-8.800000,0.908297,8.770000,-4.167558
1.900000,4.950000,4.666667,-8.800000,0.924205,8.890000,-4.224599
2.100000,5.010000,4.750000,-9.200000,0.939674,9.050000,-4.326203
2.100000,5.010000,4.833333,-9.000000,0.964538,8.650000,-4.285205
2.000000,5.210000,4.916667,-9.000000,0.985420,9.170000,-4.577540
2.000000,5.250000,5.000000,-9.000000,0.995319,8.490000,-4.099822
2.100000,5.290000,5.083333,-8.800000,1.005143,9.230000,-4.458111
2.100000,5.410000,5.166667,-8.600000,1.020280,9.230000,-4.561497
1.900000,5.490000,5.250000,-9.000000,1.036030,9.170000,-4.590018
2.000000,5.570000,5.333333,-8.800000,1.053091,9.150000,-4.591800
2.200000,5.730000,5.416667,-8.600000,1.070234,9.310000,-4.559715
2.100000,5.730000,5.500000,-9.000000,1.084309,9.030000,-4.543672
2.300000,5.850000,5.583333,-8.800000,1.100551,8.990000,-4.532977
2.200000,5.970000,5.666667,-9.000000,1.116647,8.870000,-4.475936
2.200000,6.030000,5.750000,-9.000000,1.132360,8.790000,-4.388592
2.300000,6.110000,5.833333,-8.800000,1.148250,8.610000,-4.303030
2.000000,6.250000,5.916667,-8.400000,1.167162,8.930000,-4.524064
2.200000,6.290000,6.000000,-9.200000,1.179680,8.490000,-4.162210
2.300000,6.350000,6.083333,-8.800000,1.196119,8.450000,-4.149733
2.300000,6.470000,6.166667,-8.600000,1.211515,8.470000,-4.080214
2.100000,6.530000,6.250000,-8.400000,1.227995,8.490000,-4.067736
2.300000,6.610000,6.333333,-8.800000,1.243399,8.550000,-4.067736
2.500000,6.750000,6.416667,-8.800000,1.267934,9.050000,-4.543672
2.400000,6.870000,6.500000,-8.600000,1.278155,8.430000,-4.064171
2.500000,6.930000,6.583333,-8.600000,1.291757,8.750000,-4.135472
2.300000,6.970000,6.666667,-8.800000,1.308547,8.790000,-4.140820
2.500000,7.050000,6.750000,-8.800000,1.324071,8.870000,-4.233512
