# Date: 20210519
# Operator: DCC
# Notes: post test 
# Tap_cm: 1.0
# Sample: DCC_PbSn_034
# Fit of Tap:
#	Ic = 76.4 +/- 0.35 A
#	n = 35.4 +/- 2 
#	Vc = 1.5 uV
#	Vfloor = 8.36 +/- 0.23 uV
#	R = 0.0193 +/- 0.0054 Ohms
Tap [uV],Shunt [A],Supply [A],Input_5 [uV],Time [S],Hall [A],Cernox [T]
1.700000,0.250000,0.000000,-8.800000,0.038235,9.450000,-4.689840
1.800000,0.250000,0.083333,-8.600000,0.048958,8.550000,-4.377897
1.500000,0.290000,0.166667,-9.000000,0.061039,8.490000,-3.893048
1.500000,0.410000,0.250000,-9.000000,0.077026,8.510000,-3.921569
1.400000,0.450000,0.333333,-8.800000,0.093051,8.670000,-3.964349
1.600000,0.530000,0.416667,-8.800000,0.108076,9.030000,-4.178253
1.500000,0.690000,0.500000,-9.000000,0.124185,9.190000,-4.278075
1.700000,0.770000,0.583333,-8.600000,0.140621,9.190000,-4.320856
1.500000,0.790000,0.666667,-8.800000,0.156764,9.270000,-4.417112
1.500000,0.930000,0.750000,-8.600000,0.172588,9.470000,-4.559715
1.600000,0.990000,0.833333,-9.000000,0.188449,9.470000,-4.654189
1.700000,1.090000,0.916667,-8.800000,0.204589,9.490000,-4.704100
1.400000,1.090000,1.000000,-8.800000,0.220487,9.510000,-4.787879
1.600000,1.190000,1.083333,-8.800000,0.241095,9.110000,-4.226381
1.500000,1.290000,1.166667,-8.800000,0.252765,9.350000,-4.787879
1.500000,1.370000,1.250000,-9.000000,0.268608,9.210000,-4.759358
1.600000,1.510000,1.333333,-8.800000,0.284671,9.050000,-4.713012
1.500000,1.510000,1.416667,-8.800000,0.300511,8.890000,-4.618538
1.500000,1.790000,1.500000,-9.200000,0.327076,8.530000,-3.914439
1.700000,1.670000,1.583333,-8.600000,0.338046,9.530000,-4.696970
1.400000,1.790000,1.666667,-8.800000,0.348423,8.490000,-4.267380
1.400000,1.930000,1.750000,-9.000000,0.364545,8.370000,-4.188948
1.500000,2.010000,1.833333,-8.800000,0.380767,8.270000,-4.119430
1.600000,2.070000,1.916667,-9.000000,0.396622,8.290000,-4.014260
1.600000,2.130000,2.000000,-9.000000,0.417126,8.910000,-4.613191
1.600000,2.210000,2.083333,-9.000000,0.429988,8.290000,-4.019608
1.700000,2.330000,2.166667,-8.800000,0.450072,8.830000,-4.541889
1.500000,2.410000,2.250000,-9.000000,0.460475,8.530000,-3.894831
1.600000,2.510000,2.333333,-9.200000,0.476592,8.650000,-3.930481
1.400000,2.650000,2.416667,-8.600000,0.492594,8.750000,-4.000000
1.600000,2.690000,2.500000,-8.800000,0.508632,8.910000,-4.060606
1.500000,2.750000,2.583333,-9.200000,0.525620,8.830000,-4.024955
1.500000,2.810000,2.666667,-8.800000,0.540600,9.270000,-4.295900
1.700000,2.930000,2.750000,-8.600000,0.556594,9.310000,-4.424242
1.600000,3.050000,2.833333,-8.600000,0.572506,9.450000,-4.549020
1.700000,3.070000,2.916667,-8.800000,0.588593,9.470000,-4.627451
1.600000,3.250000,3.000000,-8.600000,0.618331,9.110000,-4.759358
1.300000,3.250000,3.083333,-9.200000,0.629349,8.290000,-3.955437
1.500000,3.290000,3.166667,-8.800000,0.639465,9.410000,-4.513369
1.400000,3.410000,3.250000,-9.200000,0.659049,8.850000,-4.019608
1.500000,3.510000,3.333333,-8.600000,0.669018,9.310000,-4.796791
1.600000,3.650000,3.416667,-9.000000,0.685012,9.190000,-4.755793
1.500000,3.710000,3.500000,-8.400000,0.701040,9.030000,-4.696970
1.600000,3.790000,3.583333,-8.400000,0.716070,8.690000,-4.458111
1.500000,3.930000,3.666667,-8.800000,0.732147,8.590000,-4.358289
1.300000,4.010000,3.750000,-9.000000,0.748198,8.470000,-4.229947
1.400000,4.070000,3.833333,-9.200000,0.764234,8.350000,-4.142602
1.500000,4.170000,3.916667,-9.200000,0.780246,8.270000,-4.060606
1.500000,4.330000,4.000000,-8.800000,0.796268,8.310000,-3.982175
1.700000,4.370000,4.083333,-8.800000,0.812374,8.350000,-3.912656
1.700000,4.390000,4.166667,-8.800000,0.828376,8.390000,-3.877005
1.400000,4.550000,4.250000,-8.800000,0.844670,8.410000,-3.880570
1.400000,4.630000,4.333333,-9.000000,0.864703,8.390000,-4.212121
1.300000,4.670000,4.416667,-8.800000,0.876657,8.650000,-3.923351
1.400000,4.750000,4.500000,-9.000000,0.892639,8.790000,-3.992870
1.700000,4.870000,4.583333,-9.400000,0.918366,9.150000,-4.746881
1.600000,4.890000,4.666667,-8.600000,0.929381,8.350000,-3.944742
1.500000,4.950000,4.750000,-9.000000,0.941093,9.090000,-4.212121
1.500000,5.050000,4.833333,-8.800000,0.956640,9.330000,-4.413547
1.700000,5.150000,4.916667,-8.800000,0.972561,9.410000,-4.549020
1.600000,5.270000,5.000000,-8.800000,0.988471,9.510000,-4.636364
1.600000,5.410000,5.083333,-8.800000,1.004593,9.490000,-4.700535
1.600000,5.470000,5.166667,-9.000000,1.020723,9.510000,-4.750446
1.300000,5.570000,5.250000,-8.600000,1.036794,9.410000,-4.789661
1.600000,5.630000,5.333333,-8.600000,1.052812,9.350000,-4.796791
1.700000,5.650000,5.416667,-8.800000,1.072700,9.470000,-4.522282
1.600000,5.770000,5.500000,-9.000000,1.084754,9.150000,-4.718360
1.400000,5.830000,5.583333,-8.800000,1.100792,8.990000,-4.664884
1.500000,5.950000,5.666667,-8.600000,1.116834,8.810000,-4.577540
1.600000,6.050000,5.750000,-8.600000,1.133005,8.750000,-4.502674
1.300000,6.190000,5.833333,-8.800000,1.148106,8.430000,-4.231729
1.500000,6.230000,5.916667,-9.000000,1.164132,8.350000,-4.131907
1.600000,6.270000,6.000000,-9.400000,1.180183,8.310000,-4.044563
1.600000,6.350000,6.083333,-8.800000,1.196220,8.290000,-3.969697
1.400000,6.470000,6.166667,-8.600000,1.221216,9.410000,-4.702317
1.600000,6.690000,6.250000,-9.000000,1.238853,9.490000,-4.582888
1.600000,6.650000,6.333333,-9.800000,1.254092,9.430000,-4.748663
1.800000,6.750000,6.416667,-9.000000,1.269116,9.170000,-4.793226
1.500000,6.930000,6.500000,-8.800000,1.287176,9.430000,-4.773619
1.400000,6.930000,6.583333,-8.800000,1.309687,8.650000,-3.941176
1.400000,6.990000,6.666667,-8.800000,1.329485,8.310000,-3.957219
1.400000,7.070000,6.750000,-8.600000,1.345575,8.310000,-3.896613
1.500000,7.230000,6.833333,-8.800000,1.361302,8.390000,-3.875223
1.400000,7.310000,6.916667,-9.000000,1.377188,8.510000,-3.887701
1.200000,7.310000,7.000000,-8.800000,1.393113,8.690000,-3.935829
1.600000,7.470000,7.083333,-8.800000,1.408906,8.830000,-4.024955
1.500000,7.550000,7.166667,-8.800000,1.424882,8.970000,-4.128342
1.600000,7.630000,7.250000,-8.800000,1.437986,9.450000,-4.682709
1.600000,7.690000,7.333333,-9.000000,1.454059,9.470000,-4.741533
1.400000,7.890000,7.416667,-8.800000,1.470098,9.450000,-4.786096
1.400000,7.910000,7.500000,-9.000000,1.492383,8.770000,-4.007130
1.600000,7.890000,7.583333,-9.000000,1.502397,9.290000,-4.771836
1.600000,8.010000,7.666667,-8.800000,1.527725,8.450000,-3.864528
1.700000,8.110000,7.750000,-8.600000,1.538360,9.470000,-4.638146
1.500000,8.190000,7.833333,-8.600000,1.550322,8.890000,-4.611408
1.600000,8.310000,7.916667,-8.400000,1.566283,8.710000,-4.491979
1.600000,8.410000,8.000000,-8.800000,1.582345,8.630000,-4.377897
1.600000,8.530000,8.083333,-8.800000,1.598347,8.450000,-4.267380
1.600000,8.570000,8.166667,-8.800000,1.614372,8.330000,-4.167558
1.600000,8.630000,8.250000,-9.000000,1.630515,8.310000,-4.085561
1.500000,8.670000,8.333333,-8.600000,1.645647,8.370000,-3.901961
1.700000,8.730000,8.416667,-8.800000,1.661700,8.390000,-3.862745
1.500000,8.890000,8.500000,-8.800000,1.677730,8.450000,-3.862745
1.400000,8.970000,8.583333,-9.000000,1.702952,9.350000,-4.787879
1.600000,9.010000,8.666667,-9.000000,1.712924,8.330000,-3.975045
1.500000,9.130000,8.750000,-8.800000,1.725897,8.750000,-3.971480
1.700000,9.270000,8.833333,-8.600000,1.744926,8.370000,-3.857398
1.400000,9.350000,8.916667,-8.800000,1.760808,8.470000,-3.871658
1.700000,9.430000,9.000000,-9.200000,1.774500,9.090000,-4.176471
1.500000,9.510000,9.083333,-8.800000,1.792712,8.690000,-3.966132
1.700000,9.550000,9.166667,-9.600000,1.818152,9.130000,-4.720143
1.500000,9.630000,9.250000,-8.800000,1.829007,8.330000,-3.914439
1.700000,9.690000,9.333333,-8.800000,1.838958,9.450000,-4.550802
1.700000,9.890000,9.416667,-8.600000,1.853949,9.530000,-4.746881
1.400000,9.910000,9.500000,-9.000000,1.870054,9.410000,-4.786096
1.400000,10.030000,9.583333,-8.800000,1.886212,9.350000,-4.793226
1.400000,10.130000,9.666667,-8.600000,1.902319,9.270000,-4.778966
1.600000,10.250000,9.750000,-11.000000,1.916217,8.930000,-4.552585
1.700000,10.270000,9.833333,-11.400000,1.931821,8.690000,-4.381462
1.400000,10.350000,9.916667,-11.400000,1.947390,8.510000,-4.174688
1.600000,10.490000,10.000000,-11.200000,1.963994,8.510000,-4.174688
1.600000,10.590000,10.083333,-11.600000,1.979558,8.370000,-4.026738
1.600000,10.650000,10.166667,-11.400000,1.996226,8.350000,-4.026738
1.500000,10.710000,10.250000,-8.800000,2.013738,8.330000,-4.078431
1.300000,10.830000,10.333333,-8.800000,2.029817,8.350000,-4.010695
1.600000,10.970000,10.416667,-8.600000,2.045845,8.350000,-3.948307
1.600000,10.990000,10.500000,-8.600000,2.061927,8.330000,-3.889483
1.600000,11.070000,10.583333,-8.800000,2.078038,8.410000,-3.877005
