# Date: 20210519
# Operator: DCC
# Notes: post test 
# Tap_cm: 1.0
# Sample: DCC_PbSn_034
# Fit of Tap:
#	Ic = 59.5 +/- 0.39 A
#	n = 5.94 +/- 0.1 
#	Vc = 1.5 uV
#	Vfloor = 1.69 +/- 0.039 uV
#	R = 0.018 +/- 0.0015 Ohms
Tap [uV],Shunt [A],Supply [A],Input_5 [uV],Time [S],Hall [A],Cernox [T]
1.800000,0.150000,0.000000,-9.000000,0.041983,8.950000,-4.627451
1.600000,0.210000,0.083333,-8.800000,0.055635,8.370000,-4.135472
1.400000,0.290000,0.166667,-9.000000,0.065748,9.110000,-4.221034
1.600000,0.370000,0.250000,-8.400000,0.075109,8.950000,-4.604278
1.700000,0.410000,0.333333,-8.600000,0.091627,8.890000,-4.579323
1.500000,0.530000,0.416667,-8.600000,0.108043,8.850000,-4.545455
1.600000,0.630000,0.500000,-9.200000,0.123561,8.570000,-4.352941
1.500000,0.710000,0.583333,-8.800000,0.140122,8.630000,-4.326203
1.500000,0.790000,0.666667,-9.000000,0.155635,8.370000,-4.128342
1.600000,0.910000,0.750000,-9.000000,0.172016,8.310000,-4.090909
1.500000,0.970000,0.833333,-8.800000,0.187492,8.310000,-3.948307
1.600000,1.030000,0.916667,-8.800000,0.214822,9.250000,-4.386809
1.500000,1.150000,1.000000,-8.800000,0.224213,8.650000,-4.456328
1.500000,1.150000,1.083333,-8.800000,0.235675,8.390000,-3.864528
1.600000,1.270000,1.166667,-8.800000,0.252025,8.450000,-3.869875
1.500000,1.410000,1.250000,-8.800000,0.268050,8.570000,-3.912656
1.400000,1.490000,1.333333,-9.000000,0.293513,9.230000,-4.764706
1.600000,1.510000,1.416667,-8.800000,0.303854,8.250000,-3.918004
1.500000,1.650000,1.500000,-8.800000,0.315810,9.030000,-4.210339
1.600000,1.770000,1.583333,-9.200000,0.331920,9.170000,-4.304813
1.500000,1.810000,1.666667,-8.800000,0.347950,9.250000,-4.422460
1.600000,1.890000,1.750000,-8.600000,0.363970,9.410000,-4.515152
1.600000,1.930000,1.833333,-8.800000,0.380006,9.490000,-4.606061
1.700000,2.050000,1.916667,-9.000000,0.403678,8.350000,-3.896613
1.600000,2.090000,2.000000,-8.600000,0.413289,9.430000,-4.623886
1.500000,2.210000,2.083333,-9.000000,0.427265,9.290000,-4.784314
1.500000,2.350000,2.166667,-9.000000,0.443958,9.290000,-4.782531
1.500000,2.390000,2.250000,-9.000000,0.460001,9.150000,-4.750446
1.600000,2.490000,2.333333,-8.800000,0.476010,9.070000,-4.696970
1.600000,2.590000,2.416667,-9.000000,0.492013,8.930000,-4.623886
1.600000,2.690000,2.500000,-8.600000,0.507655,8.650000,-4.456328
1.600000,2.730000,2.583333,-8.400000,0.525035,8.830000,-4.573975
1.400000,2.870000,2.666667,-8.800000,0.540014,8.430000,-4.308378
1.400000,3.010000,2.750000,-9.200000,0.555790,8.350000,-4.162210
1.600000,3.050000,2.833333,-9.200000,0.571757,8.330000,-4.067736
1.600000,3.110000,2.916667,-9.800000,0.609116,9.050000,-4.675579
1.700000,3.170000,3.000000,-8.800000,0.629870,9.470000,-4.627451
1.700000,3.270000,3.083333,-8.800000,0.645150,9.490000,-4.789661
1.300000,3.390000,3.166667,-9.000000,0.661088,9.350000,-4.786096
1.700000,3.450000,3.250000,-8.800000,0.676796,9.250000,-4.762923
1.600000,3.490000,3.333333,-8.800000,0.692459,9.090000,-4.679144
1.600000,3.590000,3.416667,-9.000000,0.704932,8.330000,-4.037433
1.500000,3.670000,3.500000,-8.800000,0.721380,8.310000,-4.012478
1.400000,3.790000,3.583333,-9.000000,0.737774,8.330000,-3.987522
1.600000,3.890000,3.666667,-8.800000,0.753142,8.330000,-3.884135
1.500000,4.030000,3.750000,-9.000000,0.769599,8.390000,-3.873440
1.600000,4.030000,3.833333,-8.800000,0.792551,9.070000,-4.691622
