# Date: 20210519
# Operator: DCC
# Notes: post test 
# Tap_cm: 1.0
# Sample: DCC_PbSn_034
# Fit of Tap:
#	Ic = 18.9 A
#	n = 50 
#	Vc = 1.5 uV
#	Vfloor = 11 uV
#	R = 0.11 Ohms
Tap [uV],Shunt [A],Supply [A],Input_5 [uV],Time [S],Hall [A],Cernox [T]
1.400000,0.250000,0.000000,-11.200000,0.028454,8.650000,-4.386809
1.500000,0.270000,0.083333,-11.600000,0.042058,8.330000,-3.942959
1.500000,0.350000,0.166667,-11.400000,0.059089,8.310000,-3.983957
1.700000,0.390000,0.250000,-11.200000,0.073919,8.410000,-3.875223
1.700000,0.390000,0.333333,-11.200000,0.090311,8.570000,-3.885918
1.500000,0.530000,0.416667,-8.600000,0.108059,8.330000,-3.880570
1.700000,0.590000,0.500000,-8.800000,0.124175,8.370000,-3.885918
1.500000,0.750000,0.583333,-9.000000,0.140295,8.450000,-3.909091
1.300000,0.790000,0.666667,-8.800000,0.156426,8.610000,-3.923351
1.700000,0.890000,0.750000,-9.200000,0.172347,8.750000,-4.005348
1.600000,0.970000,0.833333,-8.800000,0.187441,9.150000,-4.238859
1.500000,1.070000,0.916667,-8.800000,0.204370,9.230000,-4.185383
1.600000,1.130000,1.000000,-8.800000,0.220326,9.290000,-4.306595
1.500000,1.210000,1.083333,-9.000000,0.241526,8.390000,-3.871658
1.700000,1.250000,1.166667,-8.400000,0.251697,9.510000,-4.627451
1.600000,1.450000,1.250000,-8.600000,0.268063,9.530000,-4.677362
1.300000,1.510000,1.333333,-9.000000,0.284111,9.510000,-4.730838
1.500000,1.590000,1.416667,-9.200000,0.300154,9.470000,-4.787879
1.400000,1.630000,1.500000,-9.000000,0.316237,9.350000,-4.787879
1.500000,1.690000,1.583333,-8.800000,0.332672,9.330000,-4.795009
1.500000,1.830000,1.666667,-8.800000,0.361687,8.490000,-4.262032
1.500000,1.870000,1.750000,-9.000000,0.372654,8.730000,-3.976827
1.400000,1.990000,1.833333,-8.800000,0.382944,9.410000,-4.795009
1.400000,2.050000,1.916667,-8.800000,0.396544,8.770000,-4.532977
1.600000,2.170000,2.000000,-8.800000,0.412078,8.490000,-4.342246
1.600000,2.230000,2.083333,-8.800000,0.428852,8.550000,-4.354724
1.600000,2.370000,2.166667,-9.000000,0.449094,9.290000,-4.771836
1.500000,2.350000,2.250000,-8.600000,0.465263,9.250000,-4.759358
1.500000,2.470000,2.333333,-8.800000,0.476017,8.310000,-3.944742
1.700000,2.570000,2.416667,-8.800000,0.492040,8.350000,-3.880570
1.500000,2.670000,2.500000,-8.600000,0.508120,8.430000,-3.859180
1.800000,2.770000,2.583333,-8.800000,0.524425,8.450000,-3.862745
1.500000,2.830000,2.666667,-9.200000,0.540599,8.490000,-3.882353
1.600000,3.010000,2.750000,-8.800000,0.556672,8.610000,-3.905526
1.500000,3.050000,2.833333,-8.800000,0.572796,8.710000,-3.946524
1.700000,3.090000,2.916667,-8.800000,0.587853,9.110000,-4.181818
1.500000,3.230000,3.000000,-8.800000,0.603963,9.210000,-4.278075
1.600000,3.270000,3.083333,-8.800000,0.620773,9.110000,-4.247772
1.600000,3.310000,3.166667,-8.800000,0.636276,9.390000,-4.468806
1.400000,3.430000,3.250000,-9.200000,0.671007,9.170000,-4.224599
1.500000,3.570000,3.333333,-8.600000,0.686827,9.310000,-4.368984
1.600000,3.610000,3.416667,-8.800000,0.702849,9.470000,-4.477718
1.500000,3.690000,3.500000,-8.800000,0.719093,9.530000,-4.550802
1.600000,3.690000,3.583333,-9.200000,0.736055,9.430000,-4.506239
1.800000,3.850000,3.666667,-8.800000,0.751251,9.510000,-4.682709
1.200000,4.030000,3.750000,-8.800000,0.767276,9.550000,-4.746881
1.700000,4.010000,3.833333,-8.600000,0.783358,9.370000,-4.782531
1.400000,4.130000,3.916667,-8.600000,0.799450,9.330000,-4.784314
1.400000,4.270000,4.000000,-9.200000,0.815494,9.250000,-4.761141
1.500000,4.350000,4.083333,-9.200000,0.831609,9.170000,-4.727273
1.500000,4.450000,4.166667,-8.600000,0.855316,8.890000,-4.058824
1.500000,4.450000,4.250000,-9.000000,0.865335,9.210000,-4.759358
1.600000,4.590000,4.333333,-8.800000,0.879373,8.710000,-4.449198
1.500000,4.690000,4.416667,-8.800000,0.895427,8.570000,-4.335116
1.400000,4.790000,4.500000,-8.800000,0.911482,8.510000,-4.212121
1.400000,4.850000,4.583333,-9.000000,0.927504,8.390000,-4.119430
1.500000,4.930000,4.666667,-8.800000,0.943753,8.310000,-4.062389
1.600000,4.970000,4.750000,-8.800000,0.969494,9.370000,-4.502674
1.600000,5.010000,4.833333,-9.000000,0.980415,8.950000,-4.600713
1.600000,5.110000,4.916667,-8.600000,0.991503,8.410000,-3.866310
1.500000,5.290000,5.000000,-8.600000,1.007485,8.470000,-3.878788
1.400000,5.310000,5.083333,-8.800000,1.023497,8.670000,-3.898396
1.400000,5.450000,5.166667,-8.800000,1.039533,8.730000,-3.951872
1.400000,5.570000,5.250000,-9.000000,1.059435,8.330000,-3.950089
1.700000,5.630000,5.333333,-9.000000,1.071494,9.070000,-4.135472
1.600000,5.710000,5.416667,-8.800000,1.090661,8.530000,-3.860963
1.600000,5.710000,5.500000,-8.800000,1.102222,9.510000,-4.547237
1.600000,5.870000,5.583333,-8.800000,1.118635,9.530000,-4.590018
