# Date: 20210519
# Operator: DCC
# Notes: post test 
# Tap_cm: 1.0
# Sample: R+J 7
# Fit of Tap:
#	Ic = 175 +/- 0.098 A
#	n = 18.2 +/- 0.1 
#	Vc = 1.5 uV
#	Vfloor = 1.42 +/- 0.0092 uV
#	R = 0.0317 +/- 0.0001 Ohms
Tap [uV],Shunt [A],Supply [A],Input_5 [uV],Time [S],Hall [A],Cernox [T]
1.500000,0.390000,0.000000,-8.800000,0.034408,8.970000,-4.322638
1.500000,0.190000,0.083333,-9.200000,0.045415,9.070000,-4.582888
1.200000,0.290000,0.166667,-8.800000,0.060036,8.790000,-4.436720
1.500000,0.330000,0.250000,-8.600000,0.076818,8.810000,-4.449198
1.300000,0.350000,0.333333,-9.200000,0.092635,8.650000,-4.372549
1.300000,0.450000,0.416667,-9.000000,0.108276,8.590000,-4.276292
1.400000,0.590000,0.500000,-8.600000,0.125039,8.590000,-4.279857
1.400000,0.710000,0.583333,-8.800000,0.146399,9.130000,-4.606061
1.200000,0.770000,0.666667,-9.000000,0.156993,8.490000,-4.172906
1.500000,0.790000,0.750000,-9.000000,0.172765,8.430000,-4.126560
1.400000,0.970000,0.833333,-9.000000,0.198458,9.230000,-4.547237
1.700000,1.090000,0.916667,-8.800000,0.212765,9.110000,-4.588235
1.300000,1.130000,1.000000,-9.200000,0.229779,9.130000,-4.602496
1.500000,1.150000,1.083333,-9.000000,0.239780,8.470000,-4.139037
1.600000,1.250000,1.166667,-8.800000,0.251825,8.890000,-4.256684
1.300000,1.390000,1.250000,-9.000000,0.267907,8.990000,-4.313725
1.300000,1.490000,1.333333,-9.000000,0.283951,9.050000,-4.372549
1.400000,1.550000,1.416667,-8.800000,0.300176,9.110000,-4.418895
1.300000,1.590000,1.500000,-8.800000,0.316244,9.190000,-4.472371
1.400000,1.710000,1.583333,-8.800000,0.332254,9.210000,-4.515152
1.700000,1.810000,1.666667,-8.600000,0.348655,9.210000,-4.534759
1.500000,1.930000,1.750000,-9.000000,0.364761,9.230000,-4.573975
1.100000,1.910000,1.833333,-8.800000,0.379795,9.130000,-4.607843
1.600000,2.070000,1.916667,-8.800000,0.401491,8.930000,-4.308378
1.300000,2.110000,2.000000,-9.000000,0.412612,9.030000,-4.609626
1.600000,2.230000,2.083333,-8.600000,0.428608,8.970000,-4.582888
1.300000,2.330000,2.166667,-8.800000,0.444697,8.890000,-4.541889
1.500000,2.390000,2.250000,-8.800000,0.460769,8.870000,-4.493761
1.400000,2.490000,2.333333,-9.200000,0.475836,8.650000,-4.352941
1.500000,2.630000,2.416667,-8.800000,0.501489,8.950000,-4.292335
1.400000,2.650000,2.500000,-8.800000,0.512149,9.030000,-4.573975
1.400000,2.790000,2.583333,-9.000000,0.524116,8.470000,-4.199643
1.300000,2.790000,2.666667,-9.000000,0.540267,8.430000,-4.171123
1.500000,2.890000,2.750000,-9.200000,0.556431,8.430000,-4.139037
1.200000,3.050000,2.833333,-8.800000,0.572537,8.450000,-4.103387
1.600000,3.090000,2.916667,-8.800000,0.592164,8.630000,-4.297683
1.300000,3.250000,3.000000,-9.200000,0.604269,8.610000,-4.108734
1.300000,3.290000,3.083333,-9.200000,0.620293,8.650000,-4.144385
1.500000,3.370000,3.166667,-9.000000,0.636273,8.730000,-4.190731
1.600000,3.470000,3.250000,-9.200000,0.652291,8.810000,-4.224599
1.600000,3.530000,3.333333,-9.000000,0.668311,8.930000,-4.278075
1.600000,3.650000,3.416667,-9.200000,0.684360,9.030000,-4.340463
1.300000,3.730000,3.500000,-8.800000,0.700432,9.150000,-4.420677
1.400000,3.770000,3.583333,-8.600000,0.716450,9.210000,-4.470588
1.400000,3.910000,3.666667,-8.800000,0.732518,9.190000,-4.511586
1.500000,3.930000,3.750000,-8.800000,0.748492,9.190000,-4.563280
1.500000,4.070000,3.833333,-8.800000,0.764508,9.190000,-4.593583
1.500000,4.150000,3.916667,-9.000000,0.805054,8.550000,-4.114082
1.500000,4.230000,4.000000,-8.600000,0.821306,8.570000,-4.121212
1.200000,4.370000,4.083333,-9.000000,0.837345,8.650000,-4.135472
1.500000,4.430000,4.166667,-8.800000,0.853357,8.650000,-4.169340
1.300000,4.570000,4.250000,-8.800000,0.869442,8.850000,-4.206774
1.400000,4.590000,4.333333,-9.000000,0.885478,8.850000,-4.249554
1.500000,4.710000,4.416667,-8.800000,0.905802,8.410000,-4.094474
1.500000,4.750000,4.500000,-9.200000,0.918310,8.910000,-4.294118
1.600000,4.810000,4.583333,-9.000000,0.933443,9.090000,-4.449198
1.500000,4.890000,4.666667,-8.800000,0.949559,9.190000,-4.495544
1.400000,5.050000,4.750000,-9.600000,0.965690,9.230000,-4.532977
1.400000,5.130000,4.833333,-9.600000,0.989876,8.490000,-4.142602
1.400000,5.130000,4.916667,-8.600000,0.999972,9.150000,-4.468806
1.400000,5.310000,5.000000,-9.200000,1.012996,9.090000,-4.598930
1.700000,5.330000,5.083333,-9.000000,1.029031,9.030000,-4.577540
1.500000,5.470000,5.166667,-9.000000,1.045160,8.930000,-4.549020
1.400000,5.530000,5.250000,-8.800000,1.061414,8.910000,-4.513369
1.500000,5.650000,5.333333,-8.800000,1.077467,8.790000,-4.470588
1.300000,5.710000,5.416667,-9.000000,1.103096,8.670000,-4.187166
1.500000,5.750000,5.500000,-9.000000,1.113906,9.170000,-4.613191
1.400000,5.930000,5.583333,-9.000000,1.124983,8.470000,-4.244207
1.300000,5.990000,5.666667,-9.200000,1.141017,8.430000,-4.197861
1.200000,6.010000,5.750000,-9.000000,1.157079,8.490000,-4.169340
1.300000,6.130000,5.833333,-9.200000,1.173100,8.450000,-4.135472
1.300000,6.230000,5.916667,-8.800000,1.192937,8.670000,-4.379679
1.600000,6.250000,6.000000,-8.800000,1.205084,8.490000,-4.114082
1.400000,6.390000,6.083333,-8.800000,1.221100,8.570000,-4.112299
1.300000,6.510000,6.166667,-8.800000,1.237100,8.650000,-4.151515
1.500000,6.610000,6.250000,-9.000000,1.253128,8.710000,-4.187166
1.500000,6.650000,6.333333,-8.800000,1.269165,8.830000,-4.238859
1.500000,6.710000,6.416667,-8.800000,1.285243,8.910000,-4.292335
1.500000,6.850000,6.500000,-8.800000,1.301489,8.990000,-4.324421
1.200000,6.970000,6.583333,-8.800000,1.317565,9.050000,-4.388592
1.400000,6.970000,6.666667,-8.800000,1.333608,9.110000,-4.443850
1.500000,7.070000,6.750000,-9.200000,1.349689,9.230000,-4.506239
1.400000,7.150000,6.833333,-8.600000,1.365775,9.210000,-4.540107
1.600000,7.270000,6.916667,-8.800000,1.405400,8.510000,-4.106952
1.600000,7.350000,7.000000,-8.800000,1.421672,8.530000,-4.115865
1.200000,7.410000,7.083333,-9.000000,1.437831,8.570000,-4.128342
1.300000,7.570000,7.166667,-9.000000,1.453926,8.610000,-4.146168
1.200000,7.650000,7.250000,-9.200000,1.469928,8.730000,-4.176471
1.500000,7.710000,7.333333,-9.000000,1.486028,8.770000,-4.219251
1.400000,7.810000,7.416667,-8.600000,1.502048,8.890000,-4.279857
1.300000,7.930000,7.500000,-8.800000,1.518081,8.990000,-4.319073
1.500000,7.970000,7.583333,-8.800000,1.534044,9.070000,-4.406417
1.300000,8.030000,7.666667,-8.800000,1.550175,9.170000,-4.452763
1.700000,8.150000,7.750000,-8.800000,1.565327,9.250000,-4.549020
1.400000,8.210000,7.833333,-8.800000,1.589444,8.410000,-4.094474
1.300000,8.330000,7.916667,-8.800000,1.599496,9.230000,-4.509804
1.100000,8.370000,8.000000,-8.800000,1.613604,9.150000,-4.602496
1.300000,8.510000,8.083333,-9.200000,1.629679,9.110000,-4.584670
1.500000,8.550000,8.166667,-8.800000,1.645764,9.030000,-4.566845
1.300000,8.670000,8.250000,-9.000000,1.661823,8.910000,-4.529412
1.600000,8.710000,8.333333,-8.800000,1.677898,8.890000,-4.486631
1.100000,8.810000,8.416667,-9.200000,1.703661,8.710000,-4.139037
1.400000,8.930000,8.500000,-8.600000,1.714310,9.250000,-4.597148
1.300000,8.970000,8.583333,-8.800000,1.725312,8.550000,-4.244207
1.100000,9.110000,8.666667,-9.200000,1.741296,8.470000,-4.185383
1.100000,9.170000,8.750000,-8.800000,1.757268,8.450000,-4.149733
1.500000,9.270000,8.833333,-8.800000,1.773348,8.470000,-4.115865
1.500000,9.330000,8.916667,-9.000000,1.793392,8.750000,-4.386809
1.400000,9.410000,9.000000,-8.800000,1.805510,8.550000,-4.089127
1.300000,9.510000,9.083333,-8.800000,1.821650,8.570000,-4.101604
1.200000,9.550000,9.166667,-9.000000,1.837749,8.610000,-4.112299
1.300000,9.690000,9.250000,-8.800000,1.853812,8.750000,-4.140820
1.500000,9.810000,9.333333,-9.000000,1.869860,8.770000,-4.169340
1.600000,9.870000,9.416667,-9.200000,1.885940,8.890000,-4.221034
1.600000,9.930000,9.500000,-9.000000,1.901957,8.970000,-4.279857
1.300000,10.010000,9.583333,-8.800000,1.918026,9.030000,-4.344029
1.400000,10.110000,9.666667,-8.600000,1.934044,9.110000,-4.422460
1.200000,10.210000,9.750000,-8.600000,1.950076,9.170000,-4.488414
1.300000,10.270000,9.833333,-8.800000,1.966077,9.250000,-4.540107
1.500000,10.390000,9.916667,-8.800000,2.005059,8.550000,-4.105169
1.100000,10.470000,10.000000,-8.600000,2.021276,8.550000,-4.121212
1.400000,10.570000,10.083333,-8.800000,2.037282,8.670000,-4.151515
1.300000,10.670000,10.166667,-8.800000,2.053455,8.730000,-4.171123
1.600000,10.750000,10.250000,-8.800000,2.069629,8.810000,-4.213904
1.500000,10.850000,10.333333,-9.200000,2.085748,8.850000,-4.260250
1.500000,10.910000,10.416667,-8.800000,2.101823,8.970000,-4.315508
1.500000,10.970000,10.500000,-8.600000,2.116958,9.170000,-4.461676
1.400000,11.110000,10.583333,-8.600000,2.133009,9.250000,-4.509804
1.600000,11.150000,10.666667,-8.600000,2.149037,9.230000,-4.547237
1.200000,11.310000,10.750000,-9.200000,2.165031,9.230000,-4.575758
1.500000,11.330000,10.833333,-8.800000,2.189532,8.450000,-4.096257
1.500000,11.430000,10.916667,-8.800000,2.199613,9.250000,-4.516934
1.200000,11.550000,11.000000,-9.000000,2.213710,9.130000,-4.598930
1.600000,11.570000,11.083333,-8.800000,2.229754,9.110000,-4.593583
1.600000,11.670000,11.166667,-8.800000,2.245809,9.030000,-4.565062
1.300000,11.790000,11.250000,-8.600000,2.260839,8.830000,-4.445633
1.200000,11.890000,11.333333,-8.400000,2.276967,8.710000,-4.395722
