# Date: 20210519
# Operator: DCC
# Notes: post test 
# Tap_cm: 1.0
# Sample: 7 PP
# Fit of Tap:
#	Ic = 7.5 A
#	n = 50 
#	Vc = 1.5 uV
#	Vfloor = 2.67 uV
#	R = 0.618 Ohms
Tap [uV],Shunt [A],Supply [A],Input_5 [uV],Time [S],Hall [A],Cernox [T]
1.500000,0.190000,0.000000,-9.000000,0.056237,8.710000,-4.406417
1.600000,0.270000,0.083333,-9.000000,0.082682,8.750000,-4.094474
1.400000,0.290000,0.166667,-9.000000,0.093898,9.290000,-4.625668
1.400000,0.350000,0.250000,-9.000000,0.104127,8.370000,-4.178253
1.400000,0.450000,0.333333,-9.200000,0.119428,8.270000,-4.069519
1.200000,0.590000,0.416667,-8.400000,0.136178,8.330000,-4.067736
1.800000,0.610000,0.500000,-9.000000,0.151877,8.330000,-4.010695
1.400000,0.730000,0.583333,-9.000000,0.167289,8.590000,-4.019608
1.000000,0.790000,0.666667,-8.800000,0.183959,8.470000,-4.016043
1.500000,0.910000,0.750000,-8.800000,0.199325,8.730000,-4.085561
1.600000,1.030000,0.833333,-9.000000,0.215991,8.670000,-4.085561
1.600000,1.090000,0.916667,-9.000000,0.247285,9.130000,-4.303030
1.600000,1.110000,1.000000,-8.400000,0.257485,8.930000,-4.529412
1.100000,1.170000,1.083333,-9.000000,0.267369,8.490000,-4.019608
1.500000,1.250000,1.166667,-8.800000,0.279926,9.070000,-4.385027
1.600000,1.390000,1.250000,-8.800000,0.295160,9.330000,-4.536542
1.700000,1.470000,1.333333,-8.600000,0.311874,9.250000,-4.529412
1.600000,1.510000,1.416667,-8.800000,0.327269,9.330000,-4.622103
1.400000,1.670000,1.500000,-9.200000,0.344017,9.270000,-4.607843
1.300000,1.670000,1.583333,-9.200000,0.372104,8.530000,-4.251337
1.500000,1.730000,1.666667,-9.000000,0.382741,8.690000,-4.080214
1.300000,1.850000,1.750000,-9.200000,0.392998,9.230000,-4.645276
1.400000,1.990000,1.833333,-9.000000,0.407259,8.890000,-4.520499
1.500000,2.010000,1.916667,-8.600000,0.423928,8.890000,-4.536542
1.400000,2.190000,2.000000,-9.200000,0.448269,8.930000,-4.206774
1.600000,2.230000,2.083333,-8.600000,0.458367,9.130000,-4.613191
1.400000,2.310000,2.166667,-8.600000,0.471991,8.570000,-4.322638
1.500000,2.430000,2.250000,-9.000000,0.487227,8.410000,-4.158645
1.300000,2.450000,2.333333,-9.000000,0.503917,8.350000,-4.163993
1.300000,2.570000,2.416667,-8.800000,0.518929,8.390000,-4.046346
1.400000,2.690000,2.500000,-8.800000,0.535520,8.390000,-4.040998
1.700000,2.750000,2.583333,-8.600000,0.551113,8.430000,-4.021390
1.500000,2.830000,2.666667,-8.600000,0.567661,8.450000,-4.032086
1.200000,2.990000,2.750000,-9.600000,0.583276,8.610000,-4.055258
0.800000,3.090000,2.833333,-9.000000,0.600306,8.570000,-4.048128
1.600000,3.090000,2.916667,-8.800000,0.615918,8.690000,-4.105169
1.300000,3.210000,3.000000,-8.800000,0.631380,8.950000,-4.222816
1.600000,3.290000,3.083333,-8.800000,0.656753,8.850000,-4.486631
1.500000,3.330000,3.166667,-8.600000,0.683491,8.570000,-4.048128
1.700000,3.430000,3.250000,-9.000000,0.699497,8.670000,-4.081996
1.500000,3.490000,3.333333,-9.200000,0.715253,8.830000,-4.155080
1.500000,3.650000,3.416667,-8.800000,0.731986,8.830000,-4.140820
1.400000,3.670000,3.500000,-9.000000,0.747349,9.030000,-4.315508
1.400000,3.790000,3.583333,-9.000000,0.763442,9.150000,-4.365419
1.600000,3.870000,3.666667,-8.800000,0.779570,9.170000,-4.445633
1.700000,3.970000,3.750000,-8.600000,0.794621,9.350000,-4.586453
1.600000,3.990000,3.833333,-9.000000,0.811241,9.330000,-4.586453
1.200000,4.210000,3.916667,-8.800000,0.826764,9.270000,-4.647059
1.700000,4.270000,4.000000,-9.000000,0.843381,9.250000,-4.654189
1.500000,4.350000,4.083333,-8.800000,0.867509,8.470000,-4.017825
1.400000,4.410000,4.166667,-9.200000,0.877084,9.290000,-4.639929
1.500000,4.510000,4.250000,-8.800000,0.890622,8.950000,-4.524064
1.500000,4.590000,4.333333,-8.800000,0.907409,8.890000,-4.531194
1.300000,4.710000,4.416667,-8.600000,0.924019,8.930000,-4.531194
1.600000,4.750000,4.500000,-8.800000,0.939958,8.790000,-4.463458
1.500000,4.790000,4.583333,-10.000000,0.955253,8.590000,-4.292335
1.400000,4.970000,4.666667,-9.000000,0.982060,8.870000,-4.151515
1.200000,4.910000,4.750000,-8.800000,0.992630,9.210000,-4.634581
1.400000,5.090000,4.833333,-9.000000,1.003508,8.390000,-4.130125
1.400000,5.190000,4.916667,-9.000000,1.019108,8.370000,-4.044563
1.700000,5.290000,5.000000,-9.000000,1.034636,8.410000,-4.008913
1.400000,5.310000,5.083333,-8.400000,1.051237,8.450000,-4.010695
1.600000,5.430000,5.166667,-8.800000,1.075436,9.110000,-4.611408
1.700000,5.510000,5.250000,-8.800000,1.084948,8.390000,-4.007130
1.600000,5.610000,5.333333,-9.200000,1.098494,8.790000,-4.169340
1.500000,5.690000,5.416667,-8.800000,1.115103,8.870000,-4.180036
1.700000,5.770000,5.500000,-8.800000,1.130630,9.030000,-4.308378
1.300000,5.870000,5.583333,-9.000000,1.147178,9.050000,-4.326203
1.400000,5.990000,5.666667,-8.800000,1.162671,9.150000,-4.470588
1.700000,6.050000,5.750000,-8.600000,1.179671,9.150000,-4.438503
1.600000,6.170000,5.833333,-9.000000,1.197479,9.030000,-4.290553
1.700000,6.210000,5.916667,-8.800000,1.211422,9.350000,-4.573975
1.600000,6.250000,6.000000,-8.800000,1.227192,9.310000,-4.632799
1.300000,6.370000,6.083333,-8.800000,1.242743,9.130000,-4.638146
1.500000,6.470000,6.166667,-8.800000,1.284638,8.470000,-4.016043
1.500000,6.550000,6.250000,-9.000000,1.301974,8.370000,-4.023173
1.500000,6.610000,6.333333,-8.800000,1.349754,8.610000,-4.076649
1.700000,6.750000,6.416667,-9.000000,1.365759,8.790000,-4.140820
1.500000,6.870000,6.500000,-9.200000,1.381733,8.830000,-4.199643
1.800000,6.970000,6.583333,-9.200000,1.397398,9.070000,-4.310160
1.500000,6.990000,6.666667,-8.800000,1.413919,9.090000,-4.322638
1.600000,7.070000,6.750000,-8.800000,1.429502,9.210000,-4.459893
1.400000,7.190000,6.833333,-8.800000,1.445084,9.310000,-4.556150
1.100000,7.290000,6.916667,-8.800000,1.466503,8.630000,-4.067736
1.500000,7.350000,7.000000,-8.800000,1.477226,9.270000,-4.643494
1.500000,7.450000,7.083333,-8.600000,1.493775,9.230000,-4.641711
1.300000,7.530000,7.166667,-9.200000,1.509418,9.150000,-4.645276
1.800000,7.650000,7.250000,-9.200000,1.524968,9.030000,-4.606061
1.900000,7.730000,7.333333,-8.800000,1.541556,8.970000,-4.598930
1.400000,7.790000,7.416667,-8.800000,1.571572,8.450000,-4.242424
1.400000,7.890000,7.500000,-8.800000,1.581788,8.850000,-4.181818
1.700000,7.950000,7.583333,-8.600000,1.591399,8.990000,-4.579323
1.500000,8.030000,7.666667,-8.800000,1.605884,8.610000,-4.360071
1.600000,8.110000,7.750000,-8.600000,1.621427,8.430000,-4.228164
1.400000,8.210000,7.833333,-9.400000,1.636885,8.330000,-4.119430
1.600000,8.310000,7.916667,-9.000000,1.653435,8.370000,-4.105169
1.500000,8.390000,8.000000,-8.800000,1.673545,8.830000,-4.470588
1.600000,8.430000,8.083333,-8.800000,1.685129,8.410000,-4.007130
1.600000,8.570000,8.166667,-8.800000,1.701630,8.410000,-4.019608
1.300000,8.630000,8.250000,-8.800000,1.717430,8.470000,-4.040998
1.300000,8.670000,8.333333,-9.200000,1.733116,8.670000,-4.085561
1.500000,8.810000,8.416667,-9.000000,1.749660,8.650000,-4.098039
1.300000,8.890000,8.500000,-8.800000,1.765246,8.890000,-4.185383
1.500000,8.970000,8.583333,-9.200000,1.781731,8.830000,-4.212121
1.500000,9.090000,8.666667,-8.800000,1.797343,9.090000,-4.333333
1.300000,9.190000,8.750000,-8.800000,1.813855,9.010000,-4.349376
1.500000,9.290000,8.833333,-8.400000,1.829439,9.250000,-4.481283
1.400000,9.270000,8.916667,-8.600000,1.844973,9.250000,-4.584670
1.200000,9.430000,9.000000,-9.200000,1.881330,8.910000,-4.260250
1.400000,9.510000,9.083333,-9.200000,1.897187,9.110000,-4.361854
1.200000,9.630000,9.166667,-8.600000,1.913867,9.110000,-4.342246
1.400000,9.670000,9.250000,-8.800000,1.929258,9.270000,-4.493761
1.500000,9.730000,9.333333,-8.800000,1.945396,9.370000,-4.550802
1.400000,9.910000,9.416667,-8.600000,1.961091,9.330000,-4.609626
1.700000,9.930000,9.500000,-9.200000,1.976758,9.290000,-4.655971
1.700000,10.030000,9.583333,-8.800000,1.993419,9.270000,-4.655971
1.400000,10.130000,9.666667,-8.800000,2.008951,9.190000,-4.638146
1.500000,10.230000,9.750000,-8.800000,2.024543,8.990000,-4.586453
1.400000,10.250000,9.833333,-8.600000,2.041128,8.990000,-4.586453
1.400000,10.410000,9.916667,-9.000000,2.066472,8.650000,-4.099822
1.300000,10.430000,10.000000,-8.800000,2.075963,9.170000,-4.650624
1.500000,10.570000,10.083333,-9.000000,2.088541,8.530000,-4.295900
1.600000,10.630000,10.166667,-8.600000,2.105114,8.570000,-4.288770
1.500000,10.730000,10.250000,-9.000000,2.120639,8.430000,-4.160428
1.400000,10.870000,10.333333,-8.800000,2.137174,8.370000,-4.135472
1.500000,10.990000,10.416667,-8.600000,2.152727,8.370000,-4.057041
1.500000,11.010000,10.500000,-8.800000,2.176841,9.270000,-4.654189
1.500000,11.090000,10.583333,-8.600000,2.187149,8.350000,-4.131907
1.700000,11.170000,10.666667,-9.200000,2.200766,8.450000,-4.026738
1.600000,11.250000,10.750000,-8.600000,2.217538,8.450000,-4.033868
1.300000,11.330000,10.833333,-8.600000,2.233256,8.570000,-4.080214
1.500000,11.470000,10.916667,-8.800000,2.248791,8.830000,-4.171123
1.500000,11.570000,11.000000,-8.800000,2.268987,8.370000,-4.046346
1.700000,11.590000,11.083333,-9.200000,2.280610,9.070000,-4.331551
1.100000,11.750000,11.166667,-9.000000,2.297250,9.070000,-4.342246
1.300000,11.790000,11.250000,-8.800000,2.312768,9.210000,-4.472371
1.600000,11.970000,11.333333,-8.800000,2.329422,9.230000,-4.481283
1.700000,11.970000,11.416667,-8.600000,2.344948,9.290000,-4.577540
1.500000,12.090000,11.500000,-9.000000,2.360516,9.270000,-4.647059
