# Date: 20210519
# Operator: DCC
# Notes: post test 
# Tap_cm: 1.0
# Sample: 7 PP
# Fit of Tap:
#	Ic = 183 +/- 0.087 A
#	n = 22.1 +/- 0.14 
#	Vc = 1.5 uV
#	Vfloor = 1.58 +/- 0.0084 uV
#	R = 0.0197 +/- 8.7e-05 Ohms
Tap [uV],Shunt [A],Supply [A],Input_5 [uV],Time [S],Hall [A],Cernox [T]
1.600000,0.250000,0.000000,-8.800000,0.028864,8.490000,-4.014260
1.700000,0.290000,0.083333,-9.000000,0.044064,8.710000,-4.085561
1.500000,0.350000,0.166667,-8.800000,0.060141,8.810000,-4.128342
1.500000,0.470000,0.250000,-9.000000,0.076240,8.930000,-4.178253
1.600000,0.410000,0.333333,-9.000000,0.092370,9.010000,-4.231729
1.600000,0.510000,0.416667,-8.600000,0.117609,8.810000,-4.418895
1.600000,0.610000,0.500000,-8.800000,0.128448,8.550000,-4.003565
1.600000,0.710000,0.583333,-9.000000,0.140557,9.210000,-4.443850
1.300000,0.830000,0.666667,-8.600000,0.156409,9.290000,-4.518717
1.600000,0.890000,0.750000,-8.800000,0.172569,9.290000,-4.559715
1.400000,0.970000,0.833333,-9.000000,0.188375,9.310000,-4.607843
1.500000,1.090000,0.916667,-8.800000,0.204246,9.230000,-4.620321
1.700000,1.150000,1.000000,-9.000000,0.220303,9.190000,-4.613191
1.700000,1.250000,1.083333,-8.600000,0.241462,9.230000,-4.420677
1.500000,1.290000,1.166667,-8.600000,0.252807,9.050000,-4.606061
1.800000,1.370000,1.250000,-8.800000,0.268377,8.910000,-4.525847
1.400000,1.470000,1.333333,-8.800000,0.284329,8.730000,-4.433155
1.500000,1.590000,1.416667,-8.600000,0.300315,8.650000,-4.370766
1.500000,1.690000,1.500000,-9.000000,0.316323,8.530000,-4.290553
1.300000,1.670000,1.583333,-9.000000,0.332283,8.470000,-4.203209
1.500000,1.890000,1.666667,-9.200000,0.348372,8.390000,-4.149733
1.400000,1.910000,1.750000,-8.800000,0.364323,8.350000,-4.087344
1.400000,2.050000,1.833333,-8.800000,0.380355,8.430000,-4.044563
1.600000,2.050000,1.916667,-8.800000,0.410621,8.730000,-4.080214
1.500000,2.150000,2.000000,-9.400000,0.421841,9.330000,-4.613191
1.400000,2.230000,2.083333,-9.000000,0.432259,8.410000,-4.190731
