# Date: 20210519
# Operator: DCC
# Notes: post test 
# Tap_cm: 1.0
# Sample: 
# Fit of Tap:
#	Ic = 53 +/- 0.32 A
#	n = 49.8 +/- 4.2 
#	Vc = 1.5 uV
#	Vfloor = 2.4 +/- 1.7e+23 uV
#	R = 8.32 +/- 4.7e+08 Ohms
Tap [uV],Shunt [A],Supply [A],Input_5 [uV],Time [S],Hall [A],Cernox [T]
1.300000,0.210000,0.000000,-9.600000,0.041352,9.270000,-4.554367
1.100000,0.270000,0.083333,-9.200000,0.055738,9.110000,-4.559715
1.000000,0.270000,0.166667,-9.200000,0.066178,8.390000,-4.040998
1.300000,0.290000,0.250000,-8.600000,0.076069,9.230000,-4.454545
1.200000,0.390000,0.333333,-8.600000,0.092121,9.210000,-4.508021
1.200000,0.470000,0.416667,-8.600000,0.108397,9.250000,-4.527629
1.100000,0.670000,0.500000,-8.800000,0.124446,9.270000,-4.572193
1.200000,0.710000,0.583333,-8.800000,0.140488,9.250000,-4.595365
1.000000,0.790000,0.666667,-8.600000,0.156634,9.170000,-4.600713
1.000000,0.910000,0.750000,-8.800000,0.172667,9.150000,-4.584670
1.300000,1.010000,0.833333,-8.800000,0.188604,9.030000,-4.540107
1.100000,1.090000,0.916667,-8.800000,0.204133,8.830000,-4.442068
1.100000,1.110000,1.000000,-9.200000,0.220608,8.890000,-4.422460
1.100000,1.190000,1.083333,-8.800000,0.240492,9.250000,-4.565062
1.200000,1.250000,1.166667,-9.400000,0.264761,8.450000,-4.000000
1.000000,1.330000,1.250000,-8.600000,0.275350,9.270000,-4.497326
1.100000,1.450000,1.333333,-8.800000,0.285118,8.530000,-4.180036
1.000000,1.530000,1.416667,-9.200000,0.300160,8.450000,-4.057041
1.100000,1.690000,1.500000,-9.000000,0.316745,8.350000,-4.058824
1.200000,1.670000,1.583333,-8.800000,0.332344,8.390000,-3.998217
1.400000,1.710000,1.666667,-8.600000,0.347992,8.450000,-4.010695
1.200000,1.850000,1.750000,-8.600000,0.364145,8.570000,-4.030303
1.000000,1.970000,1.833333,-8.800000,0.380303,8.590000,-4.046346
1.300000,2.050000,1.916667,-8.800000,0.397334,8.610000,-4.024955
1.200000,2.130000,2.000000,-9.000000,0.412406,8.790000,-4.122995
1.300000,2.290000,2.083333,-8.800000,0.428569,8.890000,-4.174688
1.300000,2.330000,2.166667,-9.000000,0.448618,8.470000,-3.983957
1.100000,2.450000,2.250000,-8.800000,0.460486,9.150000,-4.313725
1.100000,2.450000,2.333333,-9.200000,0.476405,9.170000,-4.401070
1.200000,2.550000,2.416667,-8.600000,0.491926,9.250000,-4.491979
1.300000,2.750000,2.500000,-8.400000,0.508458,9.270000,-4.502674
1.100000,2.790000,2.583333,-8.800000,0.523968,9.230000,-4.566845
1.000000,2.830000,2.666667,-8.800000,0.540385,9.250000,-4.565062
1.200000,2.990000,2.750000,-8.800000,0.564454,8.530000,-4.000000
1.200000,3.050000,2.833333,-8.800000,0.574700,9.270000,-4.538324
1.400000,3.070000,2.916667,-8.800000,0.588330,9.010000,-4.506239
1.200000,3.190000,3.000000,-8.600000,0.603875,8.810000,-4.415330
1.200000,3.270000,3.083333,-8.800000,0.620335,8.790000,-4.401070
1.100000,3.390000,3.166667,-8.600000,0.635761,8.630000,-4.272727
1.100000,3.470000,3.250000,-8.800000,0.659121,9.250000,-4.474153
1.300000,3.510000,3.333333,-9.000000,0.668629,8.570000,-4.224599
1.100000,3.690000,3.416667,-8.800000,0.684154,8.450000,-4.117647
1.000000,3.750000,3.500000,-9.000000,0.700585,8.470000,-4.101604
1.200000,3.810000,3.583333,-8.800000,0.716188,8.410000,-4.035651
1.100000,3.950000,3.666667,-8.800000,0.732634,8.430000,-4.026738
1.000000,4.030000,3.750000,-8.800000,0.748216,8.470000,-4.014260
1.100000,4.010000,3.833333,-9.000000,0.763701,8.630000,-4.049911
1.000000,4.170000,3.916667,-9.200000,0.780239,8.650000,-4.053476
1.300000,4.250000,4.000000,-9.000000,0.795667,8.770000,-4.147950
0.800000,4.370000,4.083333,-9.200000,0.812078,8.830000,-4.162210
1.200000,4.470000,4.166667,-9.000000,0.828659,8.870000,-4.171123
0.900000,4.570000,4.250000,-9.200000,0.867700,8.410000,-4.155080
1.100000,4.630000,4.333333,-8.800000,0.884410,8.470000,-4.155080
1.200000,4.710000,4.416667,-9.000000,0.899935,8.490000,-4.080214
1.100000,4.770000,4.500000,-8.800000,0.916399,8.470000,-4.064171
1.300000,4.870000,4.583333,-8.800000,0.931897,8.470000,-4.017825
1.200000,4.930000,4.666667,-8.800000,0.948340,8.510000,-4.023173
1.100000,4.990000,4.750000,-8.800000,0.963755,8.670000,-4.065954
1.100000,5.150000,4.833333,-8.600000,0.980285,8.630000,-4.057041
1.000000,5.150000,4.916667,-9.000000,0.995738,8.870000,-4.133690
1.100000,5.350000,5.000000,-8.600000,1.012159,8.850000,-4.149733
1.000000,5.350000,5.083333,-8.800000,1.027581,9.030000,-4.288770
1.300000,5.350000,5.166667,-9.000000,1.052216,8.610000,-4.249554
1.000000,5.510000,5.250000,-9.000000,1.061782,8.910000,-4.196078
1.300000,5.570000,5.333333,-8.800000,1.076408,9.130000,-4.418895
1.200000,5.650000,5.416667,-8.400000,1.092021,9.290000,-4.504456
1.100000,5.810000,5.500000,-9.200000,1.107502,9.210000,-4.579323
1.100000,5.850000,5.583333,-8.800000,1.124026,9.190000,-4.582888
0.900000,5.990000,5.666667,-9.000000,1.139481,9.150000,-4.568627
1.400000,6.030000,5.750000,-9.000000,1.172350,9.090000,-4.547237
1.400000,6.110000,5.833333,-9.000000,1.189318,9.150000,-4.561497
1.200000,6.210000,5.916667,-9.000000,1.204924,9.030000,-4.500891
1.300000,6.330000,6.000000,-8.400000,1.220407,8.810000,-4.415330
1.200000,6.390000,6.083333,-8.600000,1.236935,8.830000,-4.390374
1.000000,6.530000,6.166667,-9.200000,1.256374,9.150000,-4.570410
1.200000,6.590000,6.250000,-9.000000,1.268977,8.650000,-4.258467
1.300000,6.630000,6.333333,-9.000000,1.284414,8.450000,-4.135472
1.100000,6.750000,6.416667,-8.800000,1.300905,8.410000,-4.126560
1.200000,6.810000,6.500000,-9.000000,1.316413,8.450000,-4.062389
1.000000,6.870000,6.583333,-9.000000,1.332020,8.550000,-4.014260
1.000000,7.010000,6.666667,-8.600000,1.348486,8.510000,-4.012478
1.100000,7.110000,6.750000,-8.800000,1.364059,8.590000,-4.039216
1.200000,7.190000,6.833333,-8.800000,1.380520,8.570000,-4.035651
0.900000,7.290000,6.916667,-9.000000,1.396047,8.770000,-4.115865
1.000000,7.330000,7.000000,-9.200000,1.412667,8.790000,-4.124777
1.200000,7.490000,7.083333,-9.200000,1.428190,8.950000,-4.235294
1.100000,7.550000,7.166667,-8.800000,1.468347,8.550000,-4.206774
1.200000,7.630000,7.250000,-8.800000,1.485093,8.550000,-4.197861
1.100000,7.710000,7.333333,-9.000000,1.500584,8.490000,-4.101604
1.300000,7.790000,7.416667,-9.000000,1.517105,8.410000,-4.089127
1.100000,7.930000,7.500000,-8.800000,1.532554,8.470000,-4.021390
1.000000,7.970000,7.583333,-8.800000,1.549234,8.450000,-4.023173
1.400000,8.010000,7.666667,-8.800000,1.564711,8.590000,-4.017825
0.700000,8.170000,7.750000,-9.200000,1.580366,8.610000,-4.062389
1.200000,8.270000,7.833333,-8.600000,1.596982,8.650000,-4.053476
1.100000,8.290000,7.916667,-8.600000,1.612484,8.850000,-4.139037
1.100000,8.390000,8.000000,-9.000000,1.629051,8.830000,-4.133690
1.100000,8.510000,8.083333,-8.600000,1.653208,8.730000,-4.326203
1.300000,8.530000,8.166667,-9.000000,1.662647,8.810000,-4.117647
1.200000,8.550000,8.250000,-8.400000,1.676263,9.270000,-4.445633
1.100000,8.710000,8.333333,-8.800000,1.692710,9.310000,-4.461676
1.100000,8.790000,8.416667,-8.800000,1.708439,9.230000,-4.532977
1.400000,8.910000,8.500000,-9.000000,1.725107,9.330000,-4.529412
1.200000,9.010000,8.583333,-8.800000,1.740600,9.250000,-4.581105
1.300000,9.090000,8.666667,-8.600000,1.765447,8.490000,-4.007130
1.100000,9.170000,8.750000,-8.600000,1.775616,9.290000,-4.491979
1.200000,9.250000,8.833333,-9.200000,1.789234,9.110000,-4.557932
1.100000,9.310000,8.916667,-8.600000,1.804684,8.970000,-4.491979
1.300000,9.430000,9.000000,-9.400000,1.820295,8.770000,-4.406417
1.200000,9.530000,9.083333,-8.600000,1.836960,8.790000,-4.401070
