# Date: 20210519
# Operator: DCC
# Notes: post test 
# Tap_cm: 1.0
# Sample: 
# Fit of Tap:
#	Ic = 8.72 A
#	n = 50 
#	Vc = 1.5 uV
#	Vfloor = 10.5 uV
#	R = 9.99 Ohms
Tap [uV],Shunt [A],Supply [A],Input_5 [uV],Time [S],Hall [A],Cernox [T]
1.500000,0.170000,0.000000,-8.800000,0.029766,8.450000,-4.192513
1.500000,0.290000,0.083333,-9.400000,0.044155,8.470000,-4.058824
1.400000,0.310000,0.166667,-9.400000,0.060223,8.430000,-4.053476
1.400000,0.450000,0.250000,-8.800000,0.077037,8.510000,-4.053476
1.400000,0.490000,0.333333,-8.800000,0.092842,8.590000,-4.069519
1.400000,0.530000,0.416667,-9.000000,0.108124,8.730000,-4.126560
1.300000,0.690000,0.500000,-8.800000,0.124833,8.770000,-4.122995
1.400000,0.710000,0.583333,-9.200000,0.140108,8.970000,-4.237077
1.400000,0.790000,0.666667,-9.200000,0.156903,8.890000,-4.233512
1.300000,0.870000,0.750000,-8.800000,0.172700,9.110000,-4.319073
1.400000,0.950000,0.833333,-8.800000,0.191028,8.810000,-4.176471
1.500000,1.070000,0.916667,-8.800000,0.204837,9.230000,-4.459893
1.600000,1.130000,1.000000,-8.800000,0.220083,9.310000,-4.566845
1.200000,1.170000,1.083333,-8.400000,0.259182,8.650000,-4.105169
1.300000,1.270000,1.166667,-8.800000,0.275683,8.670000,-4.115865
1.300000,1.390000,1.250000,-9.000000,0.291240,8.810000,-4.178253
1.300000,1.510000,1.333333,-9.000000,0.307677,8.830000,-4.190731
1.300000,1.550000,1.416667,-8.800000,0.323570,8.970000,-4.272727
1.500000,1.670000,1.500000,-9.200000,0.339685,9.070000,-4.317291
1.400000,1.690000,1.583333,-8.600000,0.355595,9.110000,-4.395722
1.600000,1.830000,1.666667,-8.800000,0.371586,9.270000,-4.465241
1.500000,1.890000,1.750000,-8.600000,0.387581,9.290000,-4.511586
1.300000,1.990000,1.833333,-8.600000,0.403583,9.310000,-4.561497
1.500000,2.050000,1.916667,-8.600000,0.419616,9.310000,-4.590018
1.800000,2.170000,2.000000,-8.600000,0.443607,8.510000,-4.080214
1.300000,2.230000,2.083333,-9.000000,0.453609,9.310000,-4.565062
1.300000,2.310000,2.166667,-9.200000,0.467581,9.130000,-4.602496
1.600000,2.370000,2.250000,-8.800000,0.483588,9.070000,-4.552585
1.600000,2.490000,2.333333,-8.800000,0.499723,9.030000,-4.522282
1.700000,2.550000,2.416667,-8.800000,0.515659,8.890000,-4.467023
1.300000,2.710000,2.500000,-9.200000,0.548652,8.670000,-4.418895
1.200000,2.770000,2.583333,-9.200000,0.558857,8.670000,-4.073084
1.200000,2.810000,2.666667,-8.800000,0.568199,9.170000,-4.582888
1.400000,2.910000,2.750000,-8.800000,0.579662,8.550000,-4.181818
1.400000,3.050000,2.833333,-9.000000,0.595137,8.470000,-4.098039
1.400000,3.110000,2.916667,-9.000000,0.611583,8.410000,-4.087344
1.400000,3.190000,3.000000,-9.000000,0.634318,9.070000,-4.568627
1.400000,3.250000,3.083333,-8.800000,0.643775,8.430000,-4.032086
1.600000,3.310000,3.166667,-8.600000,0.659151,8.550000,-4.044563
1.600000,3.450000,3.250000,-8.800000,0.675601,8.610000,-4.055258
1.300000,3.550000,3.333333,-9.000000,0.690968,8.770000,-4.137255
1.600000,3.670000,3.416667,-8.800000,0.707427,8.830000,-4.153298
1.500000,3.630000,3.500000,-9.000000,0.723820,8.790000,-4.185383
1.400000,3.790000,3.583333,-8.800000,0.739183,9.010000,-4.306595
1.500000,3.910000,3.666667,-9.000000,0.755996,8.990000,-4.292335
1.400000,4.030000,3.750000,-8.800000,0.778304,8.430000,-4.064171
1.400000,4.010000,3.833333,-8.600000,0.787815,9.190000,-4.426025
1.400000,4.110000,3.916667,-8.800000,0.803237,9.250000,-4.502674
1.700000,4.230000,4.000000,-8.800000,0.819713,9.210000,-4.522282
1.600000,4.350000,4.083333,-9.000000,0.856967,8.890000,-4.217469
1.500000,4.390000,4.166667,-8.800000,0.893262,8.530000,-4.046346
1.500000,4.470000,4.250000,-8.800000,0.910018,8.470000,-4.049911
1.500000,4.590000,4.333333,-8.800000,0.925523,8.650000,-4.080214
1.300000,4.710000,4.416667,-8.800000,0.941928,8.650000,-4.094474
1.200000,4.770000,4.500000,-9.200000,0.957359,8.830000,-4.183601
1.400000,4.830000,4.583333,-9.000000,0.973793,8.870000,-4.212121
1.800000,4.910000,4.666667,-8.800000,0.989154,9.050000,-4.342246
1.400000,4.970000,4.750000,-9.000000,1.005786,9.090000,-4.340463
1.800000,5.050000,4.833333,-9.000000,1.021273,9.250000,-4.467023
1.400000,5.210000,4.916667,-9.000000,1.040722,8.830000,-4.212121
