# Date: 20210519
# Operator: DCC
# Notes: post test 
# Tap_cm: 1.0
# Sample: (1) SOX 865-R
# Fit of Tap:
#	Ic = 14.2 A
#	n = 50 
#	Vc = 1.5 uV
#	Vfloor = 1.15 uV
#	R = 1.79 Ohms
Tap [uV],Shunt [A],Supply [A],Input_5 [uV],Time [S],Hall [A],Cernox [T]
1.400000,0.270000,0.000000,-9.200000,0.033261,9.370000,-4.780749
1.400000,0.250000,0.083333,-8.800000,0.044290,8.370000,-4.151515
1.500000,0.290000,0.166667,-9.000000,0.059857,8.270000,-4.016043
1.600000,0.410000,0.250000,-9.000000,0.076264,8.270000,-3.998217
1.500000,0.450000,0.333333,-8.800000,0.100883,9.450000,-4.707665
1.700000,0.550000,0.416667,-9.000000,0.111296,8.390000,-4.203209
1.600000,0.610000,0.500000,-8.600000,0.124004,8.410000,-3.891266
1.500000,0.710000,0.583333,-8.800000,0.140139,8.450000,-3.934046
1.500000,0.810000,0.666667,-8.800000,0.156167,8.590000,-3.982175
1.400000,0.910000,0.750000,-8.800000,0.172185,8.710000,-4.053476
1.500000,0.950000,0.833333,-9.000000,0.188177,8.910000,-4.151515
1.600000,1.090000,0.916667,-8.800000,0.212529,8.550000,-4.409982
1.500000,1.070000,1.000000,-9.000000,0.222408,8.670000,-4.026738
1.700000,1.190000,1.083333,-8.600000,0.236093,9.330000,-4.502674
1.600000,1.310000,1.166667,-8.800000,0.252101,9.450000,-4.582888
1.600000,1.350000,1.250000,-8.600000,0.268926,9.370000,-4.568627
1.700000,1.390000,1.333333,-9.000000,0.284070,9.430000,-4.737968
1.400000,1.490000,1.416667,-9.000000,0.300317,9.410000,-4.766488
1.300000,1.630000,1.500000,-8.800000,0.316399,9.330000,-4.777184
1.400000,1.690000,1.583333,-9.200000,0.332572,9.270000,-4.784314
1.400000,1.810000,1.666667,-8.600000,0.347432,8.970000,-4.664884
1.600000,1.850000,1.750000,-8.400000,0.363823,8.930000,-4.625668
1.500000,2.010000,1.833333,-8.800000,0.380220,8.850000,-4.591800
1.700000,2.070000,1.916667,-8.800000,0.407301,8.370000,-3.910873
1.700000,2.150000,2.000000,-8.800000,0.424167,8.370000,-3.907308
1.500000,2.170000,2.083333,-9.000000,0.433673,9.430000,-4.773619
1.500000,2.350000,2.166667,-9.000000,0.444067,8.290000,-4.130125
1.500000,2.450000,2.250000,-9.000000,0.460378,8.310000,-4.067736
1.500000,2.510000,2.333333,-8.800000,0.476092,8.250000,-3.964349
1.700000,2.610000,2.416667,-8.800000,0.491681,8.330000,-3.896613
1.600000,2.670000,2.500000,-9.000000,0.508652,8.250000,-3.901961
1.600000,2.730000,2.583333,-9.000000,0.524273,8.390000,-3.900178
1.500000,2.850000,2.666667,-9.200000,0.539990,8.530000,-3.935829
1.400000,2.970000,2.750000,-9.000000,0.555603,8.790000,-4.040998
1.600000,3.070000,2.833333,-8.800000,0.572147,8.770000,-4.048128
1.700000,3.130000,2.916667,-8.600000,0.595110,8.510000,-4.278075
1.600000,3.130000,3.000000,-9.200000,0.604699,8.990000,-4.183601
1.700000,3.290000,3.083333,-8.800000,0.620198,9.230000,-4.360071
1.600000,3.350000,3.166667,-8.800000,0.635752,9.390000,-4.556150
