# Date: 20210519
# Operator: DCC
# Notes: post test 
# Tap_cm: 1.0
# Sample: (1) SOX 865-R
# Fit of Tap:
#	Ic = 166 +/- 0.092 A
#	n = 17.4 +/- 0.11 
#	Vc = 1.5 uV
#	Vfloor = 1.58 +/- 0.0079 uV
#	R = 0.000101 +/- 9.3e-05 Ohms
Tap [uV],Shunt [A],Supply [A],Input_5 [uV],Time [S],Hall [A],Cernox [T]
1.600000,0.270000,0.000000,-9.000000,0.034431,9.410000,-4.698752
1.400000,0.270000,0.083333,-9.000000,0.044804,8.430000,-4.251337
1.400000,0.290000,0.166667,-8.800000,0.059871,8.310000,-4.026738
1.400000,0.410000,0.250000,-8.600000,0.085475,9.450000,-4.582888
1.500000,0.430000,0.333333,-8.400000,0.096288,8.670000,-4.493761
1.600000,0.550000,0.416667,-9.600000,0.108549,8.330000,-3.909091
1.700000,0.610000,0.500000,-9.600000,0.123887,8.510000,-3.903743
1.400000,0.730000,0.583333,-8.800000,0.140084,8.510000,-3.932264
1.500000,0.790000,0.666667,-9.200000,0.156154,8.630000,-3.978610
1.500000,0.910000,0.750000,-9.200000,0.172230,8.750000,-4.039216
1.500000,0.970000,0.833333,-9.000000,0.188292,8.890000,-4.114082
1.500000,1.110000,0.916667,-8.800000,0.204354,9.030000,-4.208556
1.700000,1.130000,1.000000,-8.800000,0.220352,9.150000,-4.313725
1.300000,1.230000,1.083333,-8.800000,0.240532,8.450000,-3.901961
1.500000,1.290000,1.166667,-9.000000,0.252572,9.390000,-4.502674
1.500000,1.390000,1.250000,-8.800000,0.268549,9.390000,-4.590018
1.600000,1.410000,1.333333,-8.400000,0.284573,9.410000,-4.661319
1.500000,1.550000,1.416667,-9.000000,0.300583,9.410000,-4.730838
1.200000,1.650000,1.500000,-9.000000,0.316586,9.350000,-4.773619
1.500000,1.630000,1.583333,-8.800000,0.332587,9.250000,-4.757576
1.900000,1.770000,1.666667,-9.000000,0.348581,9.130000,-4.725490
1.500000,1.890000,1.750000,-8.800000,0.364572,9.010000,-4.675579
1.400000,1.990000,1.833333,-8.800000,0.390312,8.470000,-3.912656
1.300000,2.030000,1.916667,-8.600000,0.401064,9.370000,-4.688057
1.600000,2.150000,2.000000,-8.800000,0.412298,8.510000,-4.376114
1.500000,2.290000,2.083333,-8.600000,0.428367,8.410000,-4.274510
1.500000,2.330000,2.166667,-8.600000,0.447875,8.970000,-4.688057
1.500000,2.450000,2.250000,-8.800000,0.459977,8.250000,-4.033868
1.500000,2.530000,2.333333,-9.000000,0.476035,8.230000,-3.976827
1.600000,2.570000,2.416667,-8.800000,0.492098,8.230000,-3.912656
1.500000,2.650000,2.500000,-8.800000,0.508081,8.310000,-3.884135
1.700000,2.790000,2.583333,-8.600000,0.524155,8.410000,-3.889483
1.600000,2.810000,2.666667,-8.400000,0.540242,8.550000,-3.921569
1.500000,2.950000,2.750000,-9.000000,0.556277,8.630000,-3.960784
1.600000,3.070000,2.833333,-9.000000,0.572335,8.750000,-4.017825
1.600000,3.130000,2.916667,-9.200000,0.588388,8.870000,-4.096257
1.600000,3.170000,3.000000,-8.800000,0.604452,9.030000,-4.188948
1.700000,3.350000,3.083333,-8.800000,0.620562,9.130000,-4.304813
1.700000,3.310000,3.166667,-8.800000,0.636763,9.210000,-4.367201
1.500000,3.450000,3.250000,-8.800000,0.656578,8.530000,-3.935829
1.700000,3.510000,3.333333,-8.800000,0.668634,9.410000,-4.597148
1.400000,3.650000,3.416667,-9.000000,0.693291,8.290000,-4.024955
1.500000,3.750000,3.500000,-9.000000,0.703958,9.170000,-4.276292
1.400000,3.790000,3.583333,-9.800000,0.716007,9.270000,-4.766488
1.500000,3.890000,3.666667,-9.000000,0.732134,9.190000,-4.746881
1.800000,4.010000,3.750000,-8.800000,0.748116,9.070000,-4.707665
1.600000,4.030000,3.833333,-8.800000,0.764221,8.950000,-4.650624
1.600000,4.150000,3.916667,-8.600000,0.780274,8.810000,-4.575758
1.700000,4.230000,4.000000,-8.800000,0.796330,8.730000,-4.484848
1.600000,4.350000,4.083333,-8.800000,0.812333,8.590000,-4.372549
1.500000,4.390000,4.166667,-9.200000,0.828351,8.410000,-4.258467
1.600000,4.550000,4.250000,-9.200000,0.844411,8.310000,-4.160428
1.700000,4.610000,4.333333,-8.600000,0.864360,9.010000,-4.650624
1.200000,4.690000,4.416667,-8.800000,0.877068,8.310000,-4.067736
1.600000,4.770000,4.500000,-8.600000,0.892224,8.270000,-3.907308
1.700000,4.830000,4.583333,-8.800000,0.908268,8.270000,-3.884135
1.800000,4.950000,4.666667,-9.000000,0.924336,8.370000,-3.887701
1.400000,4.950000,4.750000,-8.800000,0.940396,8.450000,-3.901961
1.600000,5.030000,4.833333,-9.000000,0.956503,8.510000,-3.932264
1.600000,5.150000,4.916667,-8.600000,0.984206,9.370000,-4.693405
1.400000,5.270000,5.000000,-8.800000,0.994889,8.350000,-4.213904
1.600000,5.330000,5.083333,-8.800000,1.004824,8.930000,-4.121212
1.800000,5.430000,5.166667,-8.600000,1.019914,9.250000,-4.395722
1.600000,5.550000,5.250000,-9.000000,1.035924,9.270000,-4.495544
1.800000,5.650000,5.333333,-8.800000,1.051999,9.410000,-4.575758
1.700000,5.690000,5.416667,-9.000000,1.071841,8.830000,-4.078431
1.600000,5.810000,5.500000,-9.000000,1.083840,9.370000,-4.737968
1.300000,5.870000,5.583333,-8.800000,1.099914,9.290000,-4.754011
1.500000,6.030000,5.666667,-9.000000,1.115905,9.230000,-4.750446
1.500000,5.970000,5.750000,-9.000000,1.132231,9.170000,-4.737968
1.700000,6.130000,5.833333,-8.800000,1.148393,9.090000,-4.709447
1.700000,6.230000,5.916667,-8.800000,1.164451,8.970000,-4.648841
1.500000,6.270000,6.000000,-8.800000,1.180512,8.830000,-4.586453
1.600000,6.450000,6.083333,-8.800000,1.196549,8.690000,-4.502674
1.800000,6.470000,6.166667,-8.800000,1.212561,8.650000,-4.404635
1.600000,6.590000,6.250000,-9.000000,1.228594,8.450000,-4.297683
1.400000,6.670000,6.333333,-8.800000,1.244646,8.330000,-4.187166
1.600000,6.770000,6.416667,-8.800000,1.260665,8.270000,-4.108734
1.500000,6.870000,6.500000,-9.000000,1.295323,8.470000,-4.304813
1.600000,6.930000,6.583333,-9.000000,1.311532,8.410000,-4.226381
1.600000,6.990000,6.666667,-8.800000,1.327616,8.290000,-4.139037
1.600000,7.130000,6.750000,-9.000000,1.343643,8.290000,-4.064171
1.400000,7.170000,6.833333,-8.800000,1.359627,8.210000,-3.989305
1.300000,7.250000,6.916667,-9.200000,1.376239,8.270000,-3.916221
1.600000,7.330000,7.000000,-8.600000,1.391408,8.370000,-3.878788
1.500000,7.470000,7.083333,-8.800000,1.407471,8.390000,-3.885918
1.500000,7.570000,7.166667,-9.200000,1.423524,8.510000,-3.921569
1.600000,7.630000,7.250000,-8.800000,1.439537,8.630000,-3.960784
1.400000,7.650000,7.333333,-9.000000,1.455587,8.730000,-4.035651
1.700000,7.770000,7.416667,-9.200000,1.478762,8.430000,-4.329768
1.300000,7.830000,7.500000,-8.800000,1.488863,8.790000,-4.046346
1.600000,7.950000,7.583333,-8.800000,1.503867,9.150000,-4.290553
1.800000,8.070000,7.666667,-8.800000,1.519922,9.250000,-4.409982
1.600000,8.110000,7.750000,-8.600000,1.535906,9.330000,-4.504456
1.600000,8.190000,7.833333,-9.000000,1.551957,9.430000,-4.584670
1.600000,8.250000,7.916667,-8.800000,1.567942,9.410000,-4.654189
1.300000,8.410000,8.000000,-8.800000,1.592616,8.230000,-3.926916
1.700000,8.430000,8.083333,-8.800000,1.603389,9.210000,-4.381462
1.700000,8.510000,8.166667,-9.000000,1.615764,9.210000,-4.752228
1.600000,8.850000,8.250000,-11.200000,1.630566,9.050000,-4.647059
1.500000,8.710000,8.333333,-11.600000,1.645218,8.710000,-4.356506
1.500000,8.830000,8.416667,-11.000000,1.660790,8.510000,-4.171123
1.700000,8.910000,8.500000,-11.200000,1.677765,8.490000,-4.217469
1.600000,8.970000,8.583333,-11.400000,1.693373,8.290000,-4.069519
1.400000,9.050000,8.666667,-11.600000,1.708962,8.270000,-3.946524
1.600000,9.150000,8.750000,-11.600000,1.725540,8.290000,-3.939394
1.400000,9.250000,8.833333,-8.800000,1.743417,8.270000,-4.023173
1.500000,9.310000,8.916667,-11.400000,1.759442,8.310000,-3.950089
1.600000,9.350000,9.000000,-9.000000,1.775498,8.290000,-3.891266
1.800000,9.510000,9.083333,-9.000000,1.791475,8.350000,-3.862745
1.800000,9.610000,9.166667,-8.800000,1.807511,8.390000,-3.873440
1.300000,9.670000,9.250000,-8.800000,1.823523,8.490000,-3.894831
1.500000,9.730000,9.333333,-8.800000,1.839542,8.650000,-3.959002
1.500000,9.890000,9.416667,-9.400000,1.855549,8.770000,-4.017825
1.400000,9.910000,9.500000,-8.800000,1.894388,8.290000,-4.149733
1.600000,10.030000,9.583333,-9.000000,1.910804,8.330000,-4.105169
1.500000,10.130000,9.666667,-9.600000,1.927630,8.350000,-4.130125
1.600000,10.230000,9.750000,-9.600000,1.943384,8.250000,-4.007130
1.700000,10.250000,9.833333,-9.400000,1.959102,8.290000,-3.901961
1.400000,10.350000,9.916667,-9.800000,1.974789,8.390000,-3.862745
1.800000,10.450000,10.000000,-9.400000,1.991610,8.390000,-3.868093
1.200000,10.590000,10.083333,-9.000000,2.006788,8.550000,-3.903743
1.200000,10.650000,10.166667,-9.000000,2.022833,8.670000,-3.953654
1.700000,10.690000,10.250000,-9.000000,2.038915,8.810000,-4.033868
1.600000,10.830000,10.333333,-9.000000,2.055196,8.870000,-4.074866
1.500000,10.990000,10.416667,-8.800000,2.079800,8.690000,-4.475936
1.500000,10.990000,10.500000,-8.800000,2.089940,8.550000,-3.934046
1.700000,11.070000,10.583333,-8.800000,2.102907,9.310000,-4.463458
1.600000,11.170000,10.666667,-8.800000,2.118968,9.410000,-4.559715
1.700000,11.230000,10.750000,-8.800000,2.135287,9.450000,-4.597148
1.600000,11.350000,10.833333,-9.200000,2.150403,9.410000,-4.748663
1.300000,11.430000,10.916667,-8.600000,2.166548,9.370000,-4.741533
1.500000,11.530000,11.000000,-8.800000,2.192100,8.270000,-3.877005
1.400000,11.590000,11.083333,-8.800000,2.202749,9.370000,-4.488414
1.600000,11.670000,11.166667,-8.800000,2.214747,9.050000,-4.679144
1.600000,11.810000,11.250000,-8.600000,2.230729,8.910000,-4.613191
1.500000,11.930000,11.333333,-8.800000,2.246706,8.790000,-4.515152
1.700000,11.930000,11.416667,-8.800000,2.262720,8.590000,-4.417112
1.400000,12.050000,11.500000,-9.000000,2.283065,9.310000,-4.746881
1.500000,12.130000,11.583333,-8.600000,2.294223,8.310000,-4.098039
1.500000,12.230000,11.666667,-9.200000,2.310248,8.310000,-4.003565
1.400000,12.310000,11.750000,-8.600000,2.326281,8.290000,-3.941176
1.500000,12.390000,11.833333,-8.800000,2.342321,8.290000,-3.891266
1.600000,12.490000,11.916667,-8.600000,2.358305,8.350000,-3.860963
1.600000,12.530000,12.000000,-8.800000,2.374379,8.410000,-3.862745
1.600000,12.630000,12.083333,-8.800000,2.390551,8.530000,-3.871658
1.700000,12.690000,12.166667,-8.800000,2.406655,8.570000,-3.903743
1.300000,12.810000,12.250000,-9.000000,2.422682,8.750000,-3.975045
1.600000,12.930000,12.333333,-8.800000,2.438770,8.810000,-4.046346
1.400000,13.010000,12.416667,-8.800000,2.454876,9.010000,-4.144385
1.300000,13.110000,12.500000,-9.000000,2.495010,8.430000,-4.228164
1.500000,13.190000,12.583333,-8.600000,2.511244,8.330000,-4.162210
1.600000,13.290000,12.666667,-8.800000,2.527335,8.310000,-4.083779
1.600000,13.390000,12.750000,-9.000000,2.543375,8.290000,-4.010695
1.500000,13.430000,12.833333,-9.000000,2.559389,8.250000,-3.939394
1.600000,13.490000,12.916667,-8.800000,2.575442,8.270000,-3.885918
