# Date: 20210519
# Operator: DCC
# Notes: post test 
# Tap_cm: 1.0
# Sample: DCC_Ni_010
# Fit of Tap:
#	Ic = 9.07 A
#	n = 50 
#	Vc = 1.5 uV
#	Vfloor = 23.1 uV
#	R = 3.89 Ohms
Tap [uV],Shunt [A],Supply [A],Input_5 [uV],Time [S],Hall [A],Cernox [T]
1.400000,0.290000,0.000000,-8.600000,0.081685,8.410000,-3.821747
1.700000,0.290000,0.083333,-9.200000,0.102731,8.330000,-4.140820
1.400000,0.310000,0.166667,-8.800000,0.113261,8.870000,-4.008913
1.800000,0.450000,0.250000,-8.800000,0.122719,9.110000,-4.707665
1.500000,0.370000,0.333333,-8.800000,0.135682,8.330000,-4.090909
1.800000,0.550000,0.416667,-8.800000,0.151677,8.290000,-3.994652
1.500000,0.650000,0.500000,-9.000000,0.167673,8.230000,-3.905526
1.500000,0.710000,0.583333,-9.000000,0.183983,8.230000,-3.871658
1.700000,0.770000,0.666667,-9.000000,0.199153,8.310000,-3.791444
1.600000,0.890000,0.750000,-8.800000,0.221278,8.730000,-4.500891
1.500000,1.010000,0.833333,-9.000000,0.231146,8.590000,-3.885918
1.500000,1.070000,0.916667,-8.800000,0.247299,8.710000,-3.923351
1.400000,1.150000,1.000000,-9.000000,0.263296,8.910000,-4.014260
1.500000,1.190000,1.083333,-9.000000,0.279247,9.050000,-4.139037
1.600000,1.330000,1.166667,-9.400000,0.295243,9.250000,-4.258467
1.700000,1.430000,1.250000,-8.800000,0.325429,9.550000,-4.743316
1.700000,1.510000,1.333333,-9.000000,0.336165,8.390000,-4.174688
1.500000,1.550000,1.416667,-10.000000,0.345981,9.010000,-4.112299
1.700000,1.630000,1.500000,-8.800000,0.359124,9.510000,-4.709447
1.700000,1.690000,1.583333,-8.800000,0.375192,9.530000,-4.777184
1.500000,1.790000,1.666667,-9.000000,0.391279,9.490000,-4.796791
1.500000,1.890000,1.750000,-8.800000,0.407234,9.390000,-4.775401
1.600000,2.130000,1.833333,-8.800000,0.426709,9.550000,-4.575758
1.300000,2.010000,1.916667,-8.600000,0.438689,8.950000,-4.625668
1.400000,2.070000,2.000000,-8.800000,0.455749,9.090000,-4.679144
1.500000,2.230000,2.083333,-8.400000,0.471390,8.790000,-4.529412
1.400000,2.350000,2.166667,-8.800000,0.487542,8.690000,-4.442068
1.600000,2.370000,2.250000,-9.000000,0.503587,8.550000,-4.331551
1.600000,2.530000,2.333333,-9.000000,0.519555,8.390000,-4.192513
1.400000,2.630000,2.416667,-9.000000,0.535722,8.350000,-4.099822
1.400000,2.650000,2.500000,-9.000000,0.550703,8.190000,-3.877005
2.000000,2.730000,2.583333,-8.800000,0.566905,8.210000,-3.828877
1.600000,2.870000,2.666667,-9.000000,0.583554,8.270000,-3.823529
1.800000,2.950000,2.750000,-8.800000,0.599351,8.370000,-3.796791
1.400000,3.010000,2.833333,-9.000000,0.635649,8.290000,-4.083779
1.700000,3.030000,2.916667,-9.200000,0.652136,8.230000,-4.040998
1.600000,3.190000,3.000000,-8.800000,0.668546,8.130000,-4.030303
1.500000,3.190000,3.083333,-8.800000,0.683709,8.230000,-3.846702
1.600000,3.270000,3.166667,-9.000000,0.699924,8.190000,-3.803922
1.500000,3.410000,3.250000,-9.000000,0.716236,8.230000,-3.805704
1.700000,3.530000,3.333333,-8.600000,0.732353,8.330000,-3.795009
1.600000,3.650000,3.416667,-8.800000,0.748557,8.370000,-3.811052
1.600000,3.670000,3.500000,-8.800000,0.763593,8.810000,-3.969697
1.500000,3.710000,3.583333,-8.800000,0.779599,8.870000,-4.076649
1.700000,3.830000,3.666667,-9.000000,0.795625,9.110000,-4.180036
1.700000,3.990000,3.750000,-8.600000,0.820713,8.650000,-4.411765
1.300000,4.030000,3.833333,-9.400000,0.831188,8.590000,-3.864528
1.700000,4.070000,3.916667,-9.000000,0.844094,9.450000,-4.484848
1.700000,4.210000,4.000000,-8.800000,0.860390,9.550000,-4.541889
1.700000,4.290000,4.083333,-8.800000,0.875468,9.530000,-4.734403
1.600000,4.370000,4.166667,-8.800000,0.891372,9.450000,-4.793226
1.600000,4.510000,4.250000,-8.800000,0.907896,9.470000,-4.791444
1.500000,4.650000,4.333333,-9.000000,0.932514,8.330000,-3.786096
1.400000,4.670000,4.416667,-8.800000,0.942608,9.590000,-4.668449
1.600000,4.750000,4.500000,-9.600000,0.956479,9.250000,-4.741533
1.400000,4.890000,4.583333,-9.800000,0.990519,9.350000,-4.773619
1.600000,4.930000,4.666667,-9.200000,1.006217,9.130000,-4.714795
1.600000,4.970000,4.750000,-8.600000,1.025733,9.550000,-4.693405
1.600000,5.030000,4.833333,-8.800000,1.038268,8.790000,-4.566845
1.700000,5.170000,4.916667,-8.600000,1.054945,8.810000,-4.568627
1.500000,5.290000,5.000000,-8.800000,1.069857,8.370000,-4.244207
1.700000,5.350000,5.083333,-8.800000,1.086457,8.410000,-4.226381
1.500000,5.370000,5.166667,-9.000000,1.101934,8.190000,-4.016043
1.600000,5.570000,5.250000,-9.200000,1.118382,8.190000,-3.996435
1.600000,5.590000,5.333333,-11.200000,1.132018,8.250000,-3.796791
1.500000,5.710000,5.416667,-11.200000,1.148321,8.350000,-3.805704
1.500000,5.770000,5.500000,-13.200000,1.164668,8.250000,-3.823529
1.500000,5.870000,5.583333,-11.000000,1.180084,8.610000,-3.935829
1.400000,5.970000,5.666667,-11.400000,1.196469,8.710000,-3.966132
1.400000,6.030000,5.750000,-11.200000,1.223645,9.510000,-4.777184
1.600000,6.130000,5.833333,-9.800000,1.232158,8.390000,-3.789661
1.500000,6.250000,5.916667,-9.200000,1.246711,8.830000,-3.978610
1.400000,6.310000,6.000000,-9.000000,1.262234,9.110000,-4.188948
1.400000,6.350000,6.083333,-8.800000,1.278733,9.170000,-4.212121
1.800000,6.470000,6.166667,-9.000000,1.294206,9.450000,-4.445633
1.600000,6.570000,6.250000,-8.600000,1.310644,9.470000,-4.486631
1.700000,6.670000,6.333333,-8.600000,1.326138,9.550000,-4.654189
1.500000,6.730000,6.416667,-9.000000,1.342553,9.590000,-4.686275
1.400000,6.870000,6.500000,-8.800000,1.358176,9.470000,-4.777184
1.500000,6.990000,6.583333,-9.000000,1.374214,9.370000,-4.780749
1.700000,6.990000,6.666667,-8.800000,1.390245,9.330000,-4.764706
1.700000,7.050000,6.750000,-8.800000,1.406206,9.150000,-4.725490
1.900000,7.150000,6.833333,-9.000000,1.425416,9.550000,-4.741533
1.800000,7.390000,6.916667,-8.600000,1.438021,8.790000,-4.520499
2.000000,7.290000,7.000000,-8.800000,1.454438,8.710000,-4.488414
1.500000,7.430000,7.083333,-8.800000,1.469853,8.410000,-4.238859
1.500000,7.550000,7.166667,-9.800000,1.486872,8.430000,-4.304813
1.700000,7.630000,7.250000,-9.400000,1.503069,8.410000,-4.215686
1.800000,7.730000,7.333333,-9.200000,1.528882,9.110000,-4.188948
1.800000,7.750000,7.416667,-8.800000,1.539280,9.030000,-4.693405
1.900000,7.890000,7.500000,-9.200000,1.549831,8.190000,-3.789661
2.000000,7.930000,7.583333,-9.000000,1.566245,8.250000,-3.793226
1.800000,8.010000,7.666667,-8.800000,1.582751,8.250000,-3.789661
1.400000,8.190000,7.750000,-9.000000,1.598193,8.450000,-3.832442
1.800000,8.250000,7.833333,-8.800000,1.620658,8.590000,-4.406417
1.800000,8.290000,7.916667,-8.600000,1.630119,8.810000,-4.001783
1.800000,8.410000,8.000000,-9.000000,1.646539,8.890000,-4.019608
1.800000,8.510000,8.083333,-9.000000,1.662003,9.190000,-4.256684
1.700000,8.550000,8.166667,-9.000000,1.678453,9.170000,-4.283422
1.800000,8.590000,8.250000,-9.000000,1.693926,9.510000,-4.506239
2.000000,8.690000,8.333333,-8.800000,1.710309,9.510000,-4.550802
1.800000,8.770000,8.416667,-8.600000,1.726678,9.530000,-4.595365
1.600000,8.890000,8.500000,-9.800000,1.742217,9.550000,-4.743316
1.900000,8.950000,8.583333,-8.800000,1.757800,9.470000,-4.796791
1.700000,9.070000,8.666667,-8.800000,1.774228,9.410000,-4.795009
1.600000,9.230000,8.750000,-9.200000,1.790646,9.390000,-4.798574
