# Date: 20210519
# Operator: DCC
# Notes: post test 
# Tap_cm: 1.0
# Sample: DCC_Ni_001
# Fit of Tap:
#	Ic = 98.9 +/- 1.1 A
#	n = 50 +/- 0.89 
#	Vc = 1.5 uV
#	Vfloor = 10.2 +/- 3e+64 uV
#	R = 6.15 +/- 1.7e+58 Ohms
Tap [uV],Shunt [A],Supply [A],Input_5 [uV],Time [S],Hall [A],Cernox [T]
1.700000,0.270000,0.000000,-8.800000,0.036721,8.970000,-4.565062
1.900000,0.210000,0.083333,-8.800000,0.047072,8.410000,-3.928699
1.700000,0.330000,0.166667,-8.800000,0.060225,9.090000,-4.256684
1.600000,0.390000,0.250000,-9.000000,0.076868,9.030000,-4.256684
1.900000,0.430000,0.333333,-8.800000,0.092726,9.130000,-4.368984
2.000000,0.570000,0.416667,-8.800000,0.108507,9.310000,-4.500891
1.600000,0.790000,0.500000,-11.400000,0.122728,9.630000,-4.695187
1.600000,0.730000,0.583333,-12.400000,0.140711,9.390000,-4.579323
1.700000,0.790000,0.666667,-11.400000,0.154084,9.210000,-4.680927
1.800000,0.890000,0.750000,-11.400000,0.170043,9.130000,-4.631016
1.700000,0.970000,0.833333,-11.200000,0.185963,8.990000,-4.563280
1.800000,1.330000,0.916667,-11.400000,0.204996,9.330000,-4.704100
1.800000,1.110000,1.000000,-11.400000,0.217948,8.710000,-4.367201
1.800000,1.190000,1.083333,-8.800000,0.236322,8.730000,-4.536542
2.000000,1.290000,1.166667,-9.000000,0.252861,8.730000,-4.525847
1.800000,1.370000,1.250000,-8.600000,0.268467,8.510000,-4.363636
1.700000,1.450000,1.333333,-9.200000,0.284011,8.450000,-4.208556
1.600000,1.590000,1.416667,-9.000000,0.300595,8.370000,-4.203209
1.800000,1.630000,1.500000,-9.200000,0.316132,8.290000,-4.065954
1.800000,1.730000,1.583333,-9.000000,0.332752,8.270000,-4.065954
1.800000,1.790000,1.666667,-8.800000,0.348389,8.290000,-3.960784
1.900000,1.850000,1.750000,-8.800000,0.363871,8.510000,-3.937611
