# Date: 20210519
# Operator: DCC
# Notes: post test 
# Tap_cm: 1.0
# Sample: DCC_Ni_011
# Fit of Tap:
#	Ic = 31 +/- 0.56 A
#	n = 50 +/- 1.6 
#	Vc = 1.5 uV
#	Vfloor = 25.5 +/- 7.7e+68 uV
#	R = 9.23 +/- 5.1e+67 Ohms
Tap [uV],Shunt [A],Supply [A],Input_5 [uV],Time [S],Hall [A],Cernox [T]
1.800000,0.190000,0.000000,-8.800000,0.043458,9.290000,-4.600713
1.700000,0.270000,0.083333,-9.000000,0.057880,9.010000,-4.556150
1.700000,0.310000,0.166667,-8.800000,0.068677,8.410000,-3.978610
1.600000,0.330000,0.250000,-8.800000,0.078618,9.270000,-4.463458
1.500000,0.450000,0.333333,-8.800000,0.092759,9.250000,-4.614973
1.700000,0.530000,0.416667,-8.800000,0.108116,9.090000,-4.577540
1.700000,0.630000,0.500000,-8.600000,0.124205,9.010000,-4.538324
1.600000,0.730000,0.583333,-8.800000,0.140572,8.990000,-4.520499
1.700000,0.810000,0.666667,-8.600000,0.156724,8.870000,-4.479501
1.600000,0.870000,0.750000,-8.600000,0.172774,8.770000,-4.406417
1.900000,1.030000,0.833333,-8.800000,0.188802,8.650000,-4.326203
1.700000,1.070000,0.916667,-9.000000,0.212076,9.250000,-4.456328
1.900000,1.110000,1.000000,-8.800000,0.222023,8.610000,-4.319073
1.700000,1.190000,1.083333,-8.800000,0.235979,8.390000,-4.032086
1.600000,1.290000,1.166667,-8.800000,0.251952,8.350000,-3.987522
1.900000,1.370000,1.250000,-8.800000,0.278460,9.290000,-4.459893
1.700000,1.470000,1.333333,-8.800000,0.293864,9.310000,-4.563280
1.600000,1.530000,1.416667,-8.800000,0.304642,8.510000,-4.219251
1.800000,1.650000,1.500000,-8.800000,0.316746,8.550000,-3.966132
1.600000,1.670000,1.583333,-9.200000,0.332736,8.650000,-4.000000
1.700000,1.790000,1.666667,-9.200000,0.348792,8.770000,-4.040998
1.600000,1.870000,1.750000,-9.200000,0.364777,8.810000,-4.114082
1.700000,1.990000,1.833333,-8.800000,0.380739,8.950000,-4.196078
1.800000,2.030000,1.916667,-8.800000,0.401370,8.410000,-3.957219
1.700000,2.130000,2.000000,-8.800000,0.412487,9.190000,-4.399287
1.600000,2.210000,2.083333,-8.600000,0.428460,9.330000,-4.461676
1.900000,2.310000,2.166667,-8.600000,0.444553,9.310000,-4.513369
1.600000,2.390000,2.250000,-8.800000,0.460578,9.270000,-4.565062
1.600000,2.510000,2.333333,-8.800000,0.476616,9.350000,-4.600713
1.300000,2.590000,2.416667,-9.000000,0.492612,9.210000,-4.609626
1.600000,2.690000,2.500000,-9.000000,0.508613,9.150000,-4.602496
2.000000,2.730000,2.583333,-9.000000,0.524756,9.050000,-4.577540
1.700000,2.830000,2.666667,-9.000000,0.540802,9.010000,-4.543672
1.900000,2.930000,2.750000,-8.800000,0.556805,8.950000,-4.493761
1.800000,3.050000,2.833333,-8.800000,0.583394,8.530000,-3.962567
1.800000,3.130000,2.916667,-8.800000,0.603774,8.390000,-4.137255
2.100000,3.130000,3.000000,-9.000000,0.613712,9.010000,-4.233512
2.100000,3.250000,3.083333,-8.800000,0.623648,8.910000,-4.513369
2.000000,3.370000,3.166667,-9.000000,0.636628,8.370000,-4.098039
2.000000,3.450000,3.250000,-8.800000,0.652594,8.390000,-4.040998
2.000000,3.570000,3.333333,-9.200000,0.668605,8.390000,-3.987522
2.000000,3.630000,3.416667,-8.600000,0.684622,8.430000,-3.950089
2.300000,3.690000,3.500000,-9.000000,0.700590,8.490000,-3.957219
2.100000,3.770000,3.583333,-8.800000,0.716627,8.490000,-3.973262
2.000000,3.830000,3.666667,-8.800000,0.732630,8.590000,-4.001783
1.800000,4.030000,3.750000,-9.200000,0.748627,8.690000,-4.060606
2.000000,4.090000,3.833333,-8.800000,0.764983,8.770000,-4.112299
2.200000,4.130000,3.916667,-8.600000,0.784763,8.370000,-3.959002
2.100000,4.230000,4.000000,-8.800000,0.796830,9.050000,-4.253119
2.200000,4.370000,4.083333,-8.800000,0.812813,9.150000,-4.344029
2.100000,4.350000,4.166667,-9.200000,0.828777,9.250000,-4.413547
2.000000,4.490000,4.250000,-8.800000,0.844739,9.270000,-4.483066
2.200000,4.650000,4.333333,-9.200000,0.860738,9.330000,-4.543672
2.400000,4.650000,4.416667,-9.400000,0.886032,8.370000,-4.058824
2.500000,4.790000,4.500000,-8.800000,0.896823,9.030000,-4.253119
2.400000,4.770000,4.583333,-8.800000,0.908831,9.170000,-4.623886
2.500000,4.910000,4.666667,-9.200000,0.924786,9.110000,-4.600713
2.700000,4.970000,4.750000,-8.800000,0.940751,8.950000,-4.561497
2.600000,5.110000,4.833333,-8.800000,0.956810,8.910000,-4.518717
3.000000,5.130000,4.916667,-8.600000,0.977363,9.270000,-4.550802
3.100000,5.210000,5.000000,-8.800000,0.988483,8.610000,-4.324421
2.900000,5.330000,5.083333,-8.800000,1.004514,8.570000,-4.263815
2.900000,5.430000,5.166667,-8.800000,1.020758,8.510000,-4.204991
2.800000,5.510000,5.250000,-9.000000,1.036844,8.430000,-4.147950
2.700000,5.590000,5.333333,-9.200000,1.052842,8.370000,-4.073084
2.800000,5.670000,5.416667,-9.000000,1.068860,8.390000,-4.030303
3.000000,5.750000,5.500000,-8.600000,1.084886,8.370000,-3.996435
3.100000,5.910000,5.583333,-8.600000,1.100877,8.370000,-3.976827
3.100000,5.950000,5.666667,-8.800000,1.116887,8.490000,-3.978610
3.000000,6.050000,5.750000,-8.600000,1.132874,8.590000,-4.014260
2.900000,6.150000,5.833333,-8.800000,1.148880,8.650000,-4.058824
3.100000,6.230000,5.916667,-9.000000,1.164875,8.730000,-4.114082
3.300000,6.330000,6.000000,-8.600000,1.200574,8.510000,-3.989305
3.200000,6.410000,6.083333,-8.800000,1.216811,8.490000,-4.003565
2.900000,6.490000,6.166667,-8.800000,1.232830,8.610000,-4.026738
3.200000,6.570000,6.250000,-9.000000,1.248842,8.650000,-4.069519
3.400000,6.650000,6.333333,-8.800000,1.264994,8.770000,-4.115865
3.600000,6.730000,6.416667,-9.000000,1.281229,8.850000,-4.151515
3.600000,6.810000,6.500000,-8.600000,1.296302,9.110000,-4.344029
3.800000,6.930000,6.583333,-8.800000,1.312314,9.190000,-4.417112
3.900000,6.990000,6.666667,-8.800000,1.328345,9.250000,-4.486631
3.900000,7.090000,6.750000,-8.800000,1.344370,9.330000,-4.529412
4.000000,7.210000,6.833333,-8.400000,1.360399,9.310000,-4.568627
4.100000,7.310000,6.916667,-9.000000,1.380407,8.970000,-4.217469
3.700000,7.370000,7.000000,-9.000000,1.392519,9.270000,-4.634581
4.000000,7.430000,7.083333,-8.800000,1.408540,9.150000,-4.632799
4.100000,7.510000,7.166667,-8.800000,1.424523,9.130000,-4.614973
4.100000,7.610000,7.250000,-9.000000,1.440511,8.970000,-4.577540
4.000000,7.670000,7.333333,-8.400000,1.456610,8.910000,-4.538324
3.900000,7.770000,7.416667,-8.800000,1.483010,8.550000,-4.007130
4.200000,7.830000,7.500000,-8.600000,1.493701,9.290000,-4.586453
4.000000,7.930000,7.583333,-8.600000,1.504726,8.590000,-4.324421
4.100000,8.130000,7.666667,-8.600000,1.520806,8.570000,-4.253119
4.000000,8.130000,7.750000,-9.200000,1.536893,8.410000,-4.181818
3.800000,8.270000,7.833333,-9.200000,1.552867,8.390000,-4.115865
4.100000,8.270000,7.916667,-8.800000,1.577953,9.370000,-4.509804
4.000000,8.330000,8.000000,-9.000000,1.588462,8.670000,-4.379679
4.100000,8.410000,8.083333,-9.200000,1.600531,8.470000,-3.991087
4.500000,8.570000,8.166667,-8.800000,1.616620,8.510000,-3.991087
4.500000,8.570000,8.250000,-8.800000,1.633006,8.530000,-3.996435
4.400000,8.730000,8.333333,-9.000000,1.648304,8.770000,-4.083779
4.500000,8.790000,8.416667,-8.800000,1.664379,8.850000,-4.130125
4.500000,8.870000,8.500000,-9.000000,1.680416,8.950000,-4.197861
4.600000,8.950000,8.583333,-8.800000,1.696558,9.070000,-4.258467
4.900000,9.090000,8.666667,-8.600000,1.712676,9.050000,-4.324421
4.800000,9.150000,8.750000,-8.800000,1.728819,9.170000,-4.399287
4.900000,9.230000,8.833333,-8.800000,1.744940,9.210000,-4.467023
