# Date: 20210519
# Operator: DCC
# Notes: post test 
# Tap_cm: 1.0
# Sample: DCC_Ni_004
# Fit of Tap:
#	Ic = 149 +/- 0.37 A
#	n = 16.5 +/- 0.26 
#	Vc = 1.5 uV
#	Vfloor = 1.33 +/- 0.059 uV
#	R = 0.0137 +/- 0.00073 Ohms
Tap [uV],Shunt [A],Supply [A],Input_5 [uV],Time [S],Hall [A],Cernox [T]
1.800000,0.230000,0.000000,-8.600000,0.037513,8.730000,-4.281640
1.700000,0.310000,0.083333,-9.000000,0.047582,8.770000,-4.153298
1.800000,0.270000,0.166667,-8.800000,0.060787,9.190000,-4.408200
1.800000,0.390000,0.250000,-8.800000,0.075467,9.090000,-4.495544
1.700000,0.470000,0.333333,-9.000000,0.092025,9.150000,-4.502674
1.600000,0.530000,0.416667,-9.000000,0.107778,9.130000,-4.490196
1.600000,0.630000,0.500000,-9.000000,0.124380,9.130000,-4.491979
1.800000,0.730000,0.583333,-9.000000,0.139908,9.030000,-4.449198
1.500000,0.770000,0.666667,-8.800000,0.164060,8.810000,-4.162210
1.700000,0.830000,0.750000,-9.000000,0.174375,9.110000,-4.479501
1.700000,0.990000,0.833333,-8.800000,0.188234,8.850000,-4.336898
1.700000,1.110000,0.916667,-8.600000,0.204415,8.690000,-4.297683
1.600000,1.150000,1.000000,-8.800000,0.219484,8.590000,-4.163993
1.700000,1.190000,1.083333,-9.000000,0.240700,9.070000,-4.472371
1.700000,1.330000,1.166667,-9.000000,0.251715,8.510000,-4.105169
1.700000,1.430000,1.250000,-9.200000,0.268097,8.510000,-4.094474
1.500000,1.450000,1.333333,-8.800000,0.284740,8.530000,-4.101604
1.800000,1.590000,1.416667,-8.800000,0.300108,8.550000,-4.064171
2.000000,1.630000,1.500000,-8.800000,0.316487,8.530000,-4.071301
1.600000,1.710000,1.583333,-8.800000,0.332072,8.670000,-4.087344
1.700000,1.790000,1.666667,-8.800000,0.347650,8.790000,-4.139037
1.700000,1.870000,1.750000,-8.800000,0.364124,8.770000,-4.151515
1.800000,1.970000,1.833333,-9.000000,0.379650,8.910000,-4.245989
1.700000,2.070000,1.916667,-8.800000,0.396151,8.950000,-4.260250
1.800000,2.130000,2.000000,-8.600000,0.411675,9.090000,-4.358289
1.600000,2.390000,2.083333,-10.800000,0.426885,9.130000,-4.431373
1.400000,2.390000,2.166667,-11.000000,0.449378,8.570000,-4.073084
1.700000,2.370000,2.250000,-11.200000,0.458187,9.130000,-4.497326
1.600000,2.470000,2.333333,-11.200000,0.473579,9.070000,-4.481283
1.700000,2.590000,2.416667,-11.400000,0.489912,9.030000,-4.468806
1.600000,2.790000,2.500000,-11.400000,0.506355,8.950000,-4.461676
1.700000,2.790000,2.583333,-11.200000,0.522077,8.970000,-4.408200
2.100000,2.930000,2.666667,-8.600000,0.540065,9.010000,-4.458111
1.800000,2.990000,2.750000,-8.800000,0.556905,8.930000,-4.463458
1.700000,3.050000,2.833333,-8.600000,0.572559,8.910000,-4.406417
1.600000,3.150000,2.916667,-8.400000,0.588158,8.770000,-4.329768
1.700000,3.190000,3.000000,-8.800000,0.604652,8.710000,-4.319073
1.800000,3.270000,3.083333,-9.000000,0.620693,8.630000,-4.265597
1.800000,3.450000,3.166667,-9.200000,0.636122,8.570000,-4.178253
1.700000,3.450000,3.250000,-9.000000,0.656011,8.930000,-4.422460
1.600000,3.510000,3.333333,-8.800000,0.667763,8.490000,-4.089127
1.600000,3.570000,3.416667,-9.200000,0.684655,8.550000,-4.099822
1.800000,3.710000,3.500000,-8.800000,0.700199,8.590000,-4.073084
1.900000,3.850000,3.583333,-9.000000,0.715733,8.610000,-4.089127
1.500000,3.890000,3.666667,-8.800000,0.732157,8.690000,-4.099822
1.800000,4.030000,3.750000,-8.600000,0.756406,8.990000,-4.436720
1.600000,4.030000,3.833333,-9.200000,0.766632,8.590000,-4.074866
1.600000,4.130000,3.916667,-9.200000,0.780071,8.850000,-4.228164
1.500000,4.270000,4.000000,-9.200000,0.795507,9.090000,-4.327986
1.700000,4.350000,4.083333,-9.000000,0.811997,9.110000,-4.340463
1.500000,4.470000,4.166667,-8.800000,0.827611,9.150000,-4.420677
1.800000,4.490000,4.250000,-9.000000,0.849535,8.590000,-4.073084
1.800000,4.590000,4.333333,-8.600000,0.860414,9.170000,-4.449198
1.700000,4.790000,4.416667,-9.000000,0.875490,9.170000,-4.502674
1.600000,4.810000,4.500000,-9.400000,0.891534,9.130000,-4.495544
1.900000,4.910000,4.583333,-9.200000,0.908125,9.090000,-4.484848
1.600000,4.950000,4.666667,-9.400000,0.924357,9.130000,-4.495544
