# Date: 20210519
# Operator: DCC
# Notes: post test 
# Tap_cm: 1.0
# Sample: DCC_Ni_010
# Fit of Tap:
#	Ic = 58.9 +/- 0.85 A
#	n = 50 +/- 1.1 
#	Vc = 1.5 uV
#	Vfloor = 6.58 +/- 2.5e+80 uV
#	R = 6.45 +/- 9.8e+75 Ohms
Tap [uV],Shunt [A],Supply [A],Input_5 [uV],Time [S],Hall [A],Cernox [T]
1.600000,0.230000,0.000000,-11.000000,0.044726,9.150000,-4.463458
1.700000,0.250000,0.083333,-11.200000,0.054996,8.670000,-4.335116
1.700000,0.270000,0.166667,-11.400000,0.063009,8.950000,-4.326203
1.400000,0.370000,0.250000,-11.400000,0.073784,9.010000,-4.491979
1.600000,0.470000,0.333333,-11.400000,0.090451,9.030000,-4.490196
1.700000,0.530000,0.416667,-11.200000,0.106080,8.930000,-4.418895
1.500000,0.590000,0.500000,-10.800000,0.121676,8.750000,-4.331551
1.600000,0.710000,0.583333,-8.800000,0.140597,8.890000,-4.477718
1.700000,0.730000,0.666667,-8.800000,0.156791,8.890000,-4.443850
1.500000,0.850000,0.750000,-8.800000,0.171832,8.610000,-4.304813
1.500000,0.970000,0.833333,-9.000000,0.187957,8.610000,-4.256684
1.500000,1.110000,0.916667,-8.800000,0.204029,8.570000,-4.210339
1.700000,1.130000,1.000000,-9.200000,0.220087,8.470000,-4.174688
1.500000,1.150000,1.083333,-8.800000,0.240450,8.890000,-4.465241
1.400000,1.350000,1.166667,-9.200000,0.252586,8.490000,-4.122995
1.700000,1.390000,1.250000,-8.800000,0.268620,8.490000,-4.089127
1.700000,1.430000,1.333333,-8.800000,0.284775,8.530000,-4.074866
1.700000,1.510000,1.416667,-8.800000,0.300806,8.530000,-4.067736
1.600000,1.630000,1.500000,-8.800000,0.316537,8.690000,-4.114082
1.400000,1.710000,1.583333,-8.800000,0.342613,9.050000,-4.550802
1.600000,1.770000,1.666667,-8.800000,0.353343,8.510000,-4.162210
1.500000,1.850000,1.750000,-9.000000,0.364392,8.870000,-4.228164
1.500000,1.970000,1.833333,-9.200000,0.380490,8.990000,-4.285205
1.500000,2.070000,1.916667,-8.800000,0.396568,9.010000,-4.335116
1.500000,2.150000,2.000000,-8.400000,0.412699,9.110000,-4.392157
1.700000,2.290000,2.083333,-9.000000,0.432398,8.690000,-4.133690
1.600000,2.350000,2.166667,-8.600000,0.444478,9.150000,-4.493761
1.700000,2.430000,2.250000,-8.400000,0.460606,9.150000,-4.524064
1.400000,2.490000,2.333333,-8.600000,0.476731,9.210000,-4.552585
1.500000,2.590000,2.416667,-8.800000,0.492804,9.130000,-4.561497
1.700000,2.670000,2.500000,-9.000000,0.507926,9.010000,-4.527629
1.800000,2.730000,2.583333,-9.000000,0.524035,8.950000,-4.491979
1.600000,2.790000,2.666667,-8.800000,0.540077,8.910000,-4.443850
1.700000,2.970000,2.750000,-8.800000,0.556130,8.750000,-4.390374
1.700000,3.030000,2.833333,-8.800000,0.572738,8.790000,-4.388592
1.600000,3.090000,2.916667,-9.000000,0.587990,8.630000,-4.256684
1.400000,3.210000,3.000000,-8.800000,0.604084,8.570000,-4.208556
1.600000,3.330000,3.083333,-9.000000,0.620170,8.450000,-4.181818
1.800000,3.330000,3.166667,-8.800000,0.654951,8.650000,-4.294118
1.700000,3.450000,3.250000,-8.800000,0.671181,8.590000,-4.247772
1.500000,3.510000,3.333333,-8.800000,0.687254,8.570000,-4.190731
1.700000,3.670000,3.416667,-8.600000,0.703338,8.510000,-4.156863
1.500000,3.710000,3.500000,-8.600000,0.719374,8.450000,-4.121212
1.800000,3.790000,3.583333,-9.000000,0.735428,8.470000,-4.099822
1.700000,3.890000,3.666667,-8.800000,0.751601,8.510000,-4.071301
1.700000,3.970000,3.750000,-8.800000,0.766742,8.610000,-4.071301
1.600000,4.050000,3.833333,-9.000000,0.782875,8.610000,-4.085561
1.700000,4.130000,3.916667,-9.200000,0.798992,8.690000,-4.108734
1.900000,4.230000,4.000000,-9.200000,0.815140,8.790000,-4.144385
2.100000,4.330000,4.083333,-9.000000,0.835684,8.490000,-4.101604
2.000000,4.450000,4.166667,-8.800000,0.846834,8.990000,-4.278075
1.800000,4.510000,4.250000,-8.800000,0.862869,9.090000,-4.340463
2.200000,4.570000,4.333333,-8.600000,0.878961,9.110000,-4.390374
2.000000,4.710000,4.416667,-8.600000,0.895032,9.190000,-4.436720
