# Date: 20210519
# Operator: DCC
# Notes: post test 
# Tap_cm: 1.0
# Sample: R+J 11
# Fit of Tap:
#	Ic = 167 A
#	n = 17.9 
#	Vc = 1.5 uV
#	Vfloor = 1.55 uV
#	R = 0.0001 Ohms
Tap [uV],Shunt [A],Supply [A],Input_5 [uV],Time [S],Hall [A],Cernox [T]
1.600000,0.250000,0.000000,-11.200000,0.025434,8.590000,-4.294118
1.800000,0.230000,0.083333,-11.200000,0.040999,8.370000,-4.135472
1.600000,0.330000,0.166667,-9.000000,0.058415,8.410000,-4.199643
1.300000,0.430000,0.250000,-9.200000,0.074830,8.350000,-4.169340
1.600000,0.450000,0.333333,-9.200000,0.091934,8.330000,-4.217469
1.400000,0.490000,0.416667,-8.800000,0.106503,8.230000,-3.973262
1.500000,0.650000,0.500000,-9.000000,0.122938,8.310000,-3.950089
1.700000,0.750000,0.583333,-9.000000,0.138425,8.350000,-3.909091
1.600000,0.810000,0.666667,-8.400000,0.154879,8.370000,-3.914439
1.900000,0.870000,0.750000,-8.800000,0.171284,8.390000,-3.914439
1.400000,1.030000,0.833333,-9.000000,0.186700,8.570000,-3.980392
1.600000,1.110000,0.916667,-8.800000,0.217067,9.190000,-4.379679
1.600000,1.170000,1.000000,-8.800000,0.227254,8.850000,-4.518717
1.500000,1.290000,1.083333,-9.000000,0.246395,9.290000,-4.700535
1.500000,1.270000,1.166667,-8.800000,0.255805,8.270000,-3.934046
1.600000,1.390000,1.250000,-8.800000,0.267245,9.190000,-4.344029
1.600000,1.430000,1.333333,-8.600000,0.282666,9.370000,-4.518717
1.600000,1.570000,1.416667,-8.800000,0.299273,9.330000,-4.524064
1.800000,1.670000,1.500000,-9.200000,0.314706,9.410000,-4.632799
1.400000,1.710000,1.583333,-8.800000,0.331148,9.450000,-4.654189
1.300000,1.870000,1.666667,-8.800000,0.347359,9.390000,-4.688057
1.500000,1.950000,1.750000,-9.000000,0.362914,9.290000,-4.684492
1.900000,1.970000,1.833333,-9.200000,0.378470,9.030000,-4.634581
1.600000,2.070000,1.916667,-8.800000,0.394891,8.990000,-4.616756
1.700000,2.170000,2.000000,-8.800000,0.411331,9.030000,-4.593583
1.600000,2.270000,2.083333,-8.400000,0.426782,8.730000,-4.434938
1.600000,2.310000,2.166667,-9.200000,0.445731,9.210000,-4.661319
1.700000,2.370000,2.250000,-8.600000,0.459324,8.530000,-4.324421
1.600000,2.470000,2.333333,-9.000000,0.474741,8.350000,-4.144385
1.600000,2.610000,2.416667,-8.800000,0.491210,8.310000,-4.121212
1.600000,2.690000,2.500000,-9.000000,0.517500,9.050000,-4.279857
1.500000,2.710000,2.583333,-9.200000,0.527639,8.870000,-4.552585
1.600000,2.810000,2.666667,-9.200000,0.539290,8.250000,-3.928699
1.400000,2.990000,2.750000,-8.800000,0.554810,8.370000,-3.912656
1.700000,3.050000,2.833333,-8.800000,0.571264,8.370000,-3.919786
1.400000,3.090000,2.916667,-9.200000,0.586714,8.610000,-3.987522
1.500000,3.210000,3.000000,-8.800000,0.603396,8.570000,-3.982175
1.400000,3.290000,3.083333,-8.800000,0.618878,8.830000,-4.098039
1.600000,3.390000,3.166667,-8.800000,0.635345,8.870000,-4.128342
2.000000,3.430000,3.250000,-8.800000,0.654506,8.390000,-3.932264
1.600000,3.630000,3.333333,-9.000000,0.667084,9.190000,-4.363636
1.800000,3.670000,3.416667,-9.000000,0.682488,9.390000,-4.532977
1.900000,3.690000,3.500000,-9.000000,0.698968,9.390000,-4.550802
1.600000,3.790000,3.583333,-9.000000,0.714418,9.410000,-4.668449
1.400000,3.930000,3.666667,-8.600000,0.730826,9.390000,-4.689840
1.600000,4.050000,3.750000,-8.800000,0.747303,9.390000,-4.707665
1.500000,4.010000,3.833333,-8.600000,0.762728,9.250000,-4.709447
1.600000,4.150000,3.916667,-9.000000,0.779276,9.210000,-4.696970
1.800000,4.250000,4.000000,-8.600000,0.794693,8.990000,-4.611408
1.700000,4.310000,4.083333,-9.000000,0.819153,8.730000,-4.062389
1.400000,4.370000,4.166667,-9.000000,0.829348,9.230000,-4.688057
1.600000,4.490000,4.250000,-8.800000,0.843405,8.610000,-4.452763
1.400000,4.630000,4.333333,-9.000000,0.862683,9.230000,-4.695187
1.500000,4.710000,4.416667,-8.800000,0.875331,8.450000,-4.253119
1.800000,4.770000,4.500000,-9.200000,0.890760,8.270000,-4.096257
1.600000,4.870000,4.583333,-10.000000,0.907495,8.230000,-4.105169
1.300000,4.950000,4.666667,-9.200000,0.923201,8.290000,-3.989305
1.600000,4.950000,4.750000,-9.200000,0.938649,8.290000,-3.919786
1.500000,5.050000,4.833333,-8.600000,0.955154,8.350000,-3.919786
1.500000,5.150000,4.916667,-9.000000,0.970597,8.410000,-3.950089
1.500000,5.290000,5.000000,-9.200000,0.987087,8.470000,-3.944742
1.500000,5.290000,5.083333,-9.000000,1.002565,8.690000,-4.051693
1.200000,5.450000,5.166667,-9.200000,1.019068,8.710000,-4.058824
1.600000,5.510000,5.250000,-9.000000,1.034460,8.990000,-4.228164
1.500000,5.710000,5.333333,-8.600000,1.050960,9.030000,-4.249554
1.500000,5.690000,5.416667,-9.000000,1.070241,8.470000,-3.950089
1.700000,5.710000,5.500000,-8.800000,1.082726,9.330000,-4.483066
1.600000,5.890000,5.583333,-8.400000,1.099909,9.210000,-4.409982
1.700000,6.030000,5.666667,-9.000000,1.123784,8.210000,-4.051693
1.300000,6.050000,5.750000,-9.200000,1.133905,9.150000,-4.308378
1.700000,6.090000,5.833333,-8.800000,1.146373,9.270000,-4.693405
1.500000,6.230000,5.916667,-8.600000,1.162797,9.290000,-4.684492
1.500000,6.270000,6.000000,-9.200000,1.179300,9.270000,-4.680927
1.500000,6.370000,6.083333,-8.600000,1.194720,9.010000,-4.607843
1.700000,6.510000,6.166667,-9.000000,1.211200,9.030000,-4.588235
1.700000,6.570000,6.250000,-8.800000,1.226614,8.730000,-4.429590
1.600000,6.650000,6.333333,-8.600000,1.243008,8.630000,-4.401070
1.600000,6.730000,6.416667,-8.800000,1.258556,8.450000,-4.222816
1.700000,6.870000,6.500000,-8.800000,1.280900,9.450000,-4.648841
1.700000,6.910000,6.583333,-9.200000,1.290311,8.290000,-4.035651
1.400000,7.030000,6.666667,-9.000000,1.306767,8.270000,-4.014260
1.500000,7.090000,6.750000,-9.000000,1.323271,8.270000,-4.000000
1.500000,7.230000,6.833333,-8.800000,1.338695,8.330000,-3.909091
1.400000,7.270000,6.916667,-8.800000,1.355355,8.310000,-3.905526
1.600000,7.310000,7.000000,-9.200000,1.370844,8.390000,-3.916221
1.500000,7.470000,7.083333,-9.200000,1.387325,8.430000,-3.914439
1.500000,7.530000,7.166667,-9.200000,1.412435,9.230000,-4.668449
1.500000,7.590000,7.250000,-8.800000,1.427424,8.910000,-4.554367
1.800000,7.710000,7.333333,-9.000000,1.437595,8.390000,-3.921569
1.600000,7.810000,7.416667,-8.800000,1.451170,9.030000,-4.215686
1.500000,7.950000,7.500000,-9.000000,1.466625,9.230000,-4.401070
1.500000,7.990000,7.583333,-9.200000,1.491122,8.350000,-4.137255
1.500000,8.010000,7.666667,-9.000000,1.500669,9.130000,-4.283422
1.700000,8.090000,7.750000,-8.800000,1.515147,9.470000,-4.579323
1.700000,8.250000,7.833333,-9.200000,1.530583,9.430000,-4.679144
1.500000,8.250000,7.916667,-8.800000,1.547039,9.370000,-4.693405
1.600000,8.430000,8.000000,-8.600000,1.562470,9.230000,-4.682709
1.500000,8.510000,8.083333,-8.800000,1.578856,9.210000,-4.670232
1.600000,8.570000,8.166667,-8.600000,1.595935,9.290000,-4.682709
1.700000,8.590000,8.250000,-8.600000,1.610473,8.850000,-4.520499
1.600000,8.690000,8.333333,-8.800000,1.626898,8.810000,-4.491979
1.600000,8.830000,8.416667,-8.800000,1.643381,8.750000,-4.461676
1.500000,8.910000,8.500000,-9.000000,1.658815,8.490000,-4.290553
1.400000,8.950000,8.583333,-8.800000,1.675273,8.430000,-4.258467
1.600000,9.070000,8.666667,-8.600000,1.693912,8.910000,-4.534759
1.500000,9.130000,8.750000,-8.800000,1.720061,8.610000,-3.951872
1.600000,9.270000,8.833333,-9.000000,1.735297,8.870000,-4.096257
1.600000,9.290000,8.916667,-8.800000,1.745409,9.190000,-4.657754
1.600000,9.310000,9.000000,-8.800000,1.754795,8.370000,-3.907308
1.900000,9.510000,9.083333,-9.000000,1.771266,8.370000,-3.903743
1.600000,9.550000,9.166667,-8.800000,1.786682,8.550000,-3.942959
1.700000,9.650000,9.250000,-9.000000,1.803146,8.650000,-3.967914
1.500000,9.770000,9.333333,-9.200000,1.818570,8.870000,-4.092692
1.700000,9.890000,9.416667,-9.000000,1.835039,8.930000,-4.122995
1.500000,9.910000,9.500000,-9.000000,1.850669,9.110000,-4.263815
1.700000,10.030000,9.583333,-9.200000,1.867293,9.150000,-4.269162
1.700000,10.110000,9.666667,-8.800000,1.882703,9.350000,-4.449198
1.600000,10.170000,9.750000,-9.000000,1.899264,9.370000,-4.474153
1.500000,10.270000,9.833333,-8.800000,1.918815,8.770000,-4.062389
1.600000,10.310000,9.916667,-8.800000,1.931340,9.390000,-4.614973
1.600000,10.490000,10.000000,-8.800000,1.946821,9.350000,-4.688057
1.600000,10.590000,10.083333,-9.000000,1.963375,9.390000,-4.684492
1.600000,10.630000,10.166667,-8.800000,1.978858,9.150000,-4.657754
1.500000,10.710000,10.250000,-8.800000,1.995345,9.170000,-4.655971
1.600000,10.890000,10.333333,-9.000000,2.018699,8.810000,-4.064171
1.500000,10.930000,10.416667,-8.800000,2.028824,9.170000,-4.648841
1.600000,10.990000,10.500000,-8.800000,2.043378,8.750000,-4.433155
1.700000,11.110000,10.583333,-9.000000,2.058827,8.510000,-4.288770
1.500000,11.170000,10.666667,-9.000000,2.075285,8.450000,-4.262032
1.600000,11.210000,10.750000,-9.200000,2.090710,8.290000,-4.081996
