# Date: 20210519
# Operator: DCC
# Notes: post test 
# Tap_cm: 1.0
# Sample: 6-PP
# Fit of Tap:
#	Ic = 160 +/- 1.2 A
#	n = 48.2 +/- 3.2 
#	Vc = 1.5 uV
#	Vfloor = 26.5 +/- 1.1e+14 uV
#	R = 4.87 +/- 7.3e+03 Ohms
Tap [uV],Shunt [A],Supply [A],Input_5 [uV],Time [S],Hall [A],Cernox [T]
1.500000,0.230000,0.000000,-8.800000,0.028344,9.390000,-4.802139
1.600000,0.250000,0.083333,-8.800000,0.044039,9.230000,-4.780749
1.700000,0.250000,0.166667,-9.000000,0.063407,8.970000,-4.679144
1.800000,0.370000,0.250000,-8.800000,0.076217,8.950000,-4.672014
1.600000,0.510000,0.333333,-8.800000,0.101089,8.650000,-3.985740
1.600000,0.470000,0.416667,-9.200000,0.111251,9.310000,-4.795009
1.800000,0.610000,0.500000,-9.000000,0.123829,8.350000,-4.290553
1.700000,0.750000,0.583333,-8.600000,0.140316,8.410000,-4.251337
1.700000,0.790000,0.666667,-9.000000,0.155898,8.190000,-4.065954
1.700000,0.830000,0.750000,-8.600000,0.171364,8.130000,-3.941176
1.500000,0.990000,0.833333,-8.800000,0.187878,8.210000,-3.909091
1.700000,1.110000,0.916667,-8.600000,0.203312,8.270000,-3.832442
1.500000,1.110000,1.000000,-8.800000,0.219849,8.330000,-3.852050
1.700000,1.210000,1.083333,-8.600000,0.239894,8.370000,-4.199643
1.500000,1.290000,1.166667,-9.200000,0.251448,8.550000,-3.941176
1.700000,1.410000,1.250000,-9.000000,0.267998,8.630000,-3.948307
1.900000,1.430000,1.333333,-9.200000,0.283657,8.870000,-4.085561
1.700000,1.550000,1.416667,-9.200000,0.300204,8.910000,-4.103387
1.700000,1.650000,1.500000,-8.800000,0.315838,9.210000,-4.301248
1.700000,1.650000,1.583333,-9.000000,0.331308,9.410000,-4.506239
1.600000,1.790000,1.666667,-8.800000,0.347876,9.450000,-4.529412
1.600000,1.850000,1.750000,-8.600000,0.363312,9.490000,-4.696970
1.600000,1.930000,1.833333,-8.800000,0.379847,9.450000,-4.705882
1.800000,2.050000,1.916667,-8.600000,0.403796,8.250000,-3.873440
1.600000,2.150000,2.000000,-9.000000,0.414180,9.470000,-4.579323
1.600000,2.270000,2.083333,-9.200000,0.427852,9.350000,-4.811052
1.700000,2.310000,2.166667,-8.800000,0.447276,9.490000,-4.618538
1.600000,2.350000,2.250000,-9.000000,0.459886,9.130000,-4.741533
1.500000,2.530000,2.333333,-8.800000,0.475419,8.850000,-4.597148
1.700000,2.610000,2.416667,-9.000000,0.491923,8.810000,-4.575758
1.500000,2.710000,2.500000,-9.000000,0.507387,8.530000,-4.376114
1.700000,2.710000,2.583333,-8.800000,0.524421,8.570000,-4.427807
1.600000,2.870000,2.666667,-9.200000,0.540173,8.410000,-4.251337
1.400000,2.990000,2.750000,-9.000000,0.555700,8.290000,-4.073084
1.400000,3.050000,2.833333,-9.200000,0.572211,8.230000,-4.046346
1.600000,3.110000,2.916667,-9.200000,0.587815,8.210000,-3.930481
1.800000,3.210000,3.000000,-9.000000,0.604290,8.210000,-3.919786
1.600000,3.310000,3.083333,-8.400000,0.619829,8.310000,-3.848485
1.500000,3.330000,3.166667,-8.800000,0.636269,8.310000,-3.846702
1.400000,3.430000,3.250000,-8.800000,0.655904,8.250000,-4.085561
1.500000,3.530000,3.333333,-8.800000,0.667451,8.730000,-3.992870
1.800000,3.650000,3.416667,-8.800000,0.684312,8.770000,-3.966132
1.700000,3.690000,3.500000,-8.800000,0.709123,8.910000,-4.636364
1.700000,3.790000,3.583333,-9.000000,0.719320,8.330000,-3.830660
1.800000,3.930000,3.666667,-8.800000,0.731966,9.230000,-4.331551
1.900000,4.030000,3.750000,-8.800000,0.747475,9.430000,-4.543672
1.700000,4.050000,3.833333,-8.800000,0.763958,9.450000,-4.572193
1.800000,4.130000,3.916667,-8.600000,0.780085,9.470000,-4.643494
1.700000,4.250000,4.000000,-8.800000,0.795669,9.470000,-4.766488
1.600000,4.310000,4.083333,-9.000000,0.812159,9.410000,-4.775401
1.500000,4.410000,4.166667,-9.000000,0.827651,9.350000,-4.787879
1.500000,4.510000,4.250000,-9.000000,0.844102,9.270000,-4.793226
1.600000,4.610000,4.333333,-8.600000,0.863716,9.510000,-4.616756
1.800000,4.650000,4.416667,-8.800000,0.876242,9.090000,-4.713012
1.700000,4.750000,4.500000,-8.400000,0.891829,8.810000,-4.582888
1.700000,4.810000,4.583333,-8.800000,0.907310,8.490000,-4.381462
1.600000,4.930000,4.666667,-8.400000,0.923796,8.470000,-4.336898
1.600000,4.950000,4.750000,-9.000000,0.940219,8.390000,-4.290553
1.400000,5.030000,4.833333,-8.800000,0.955891,8.230000,-4.098039
1.400000,5.130000,4.916667,-9.000000,0.971380,8.170000,-3.966132
1.900000,5.350000,5.000000,-9.000000,0.999143,9.110000,-4.249554
1.800000,5.310000,5.083333,-8.800000,1.009328,9.050000,-4.698752
1.800000,5.370000,5.166667,-8.800000,1.019936,8.250000,-3.857398
1.800000,5.530000,5.250000,-8.800000,1.035624,8.410000,-3.873440
1.800000,5.650000,5.333333,-8.800000,1.052160,8.390000,-3.869875
1.700000,5.670000,5.416667,-8.800000,1.071999,8.210000,-4.067736
1.400000,5.810000,5.500000,-9.200000,1.083571,8.870000,-4.078431
1.500000,5.890000,5.583333,-8.600000,1.100097,8.870000,-4.092692
1.400000,5.990000,5.666667,-8.800000,1.115600,9.170000,-4.281640
1.500000,6.030000,5.750000,-8.800000,1.132077,9.170000,-4.310160
2.100000,6.110000,5.833333,-8.800000,1.147571,9.430000,-4.531194
1.700000,6.190000,5.916667,-8.600000,1.164009,9.430000,-4.556150
1.900000,6.330000,6.000000,-9.000000,1.179493,9.490000,-4.704100
1.700000,6.410000,6.083333,-8.600000,1.196026,9.430000,-4.721925
1.600000,6.490000,6.166667,-8.600000,1.211509,9.390000,-4.803922
1.700000,6.670000,6.250000,-9.000000,1.228005,9.330000,-4.796791
1.700000,6.610000,6.333333,-9.000000,1.243483,9.210000,-4.755793
1.500000,6.710000,6.416667,-9.000000,1.259989,9.170000,-4.748663
1.700000,6.830000,6.500000,-8.800000,1.282489,9.090000,-4.210339
1.400000,6.950000,6.583333,-8.800000,1.302281,8.350000,-3.836007
1.700000,6.930000,6.666667,-8.600000,1.318356,8.550000,-3.875223
1.500000,7.070000,6.750000,-9.200000,1.329116,9.490000,-4.730838
