# Date: 20210519
# Operator: DCC
# Notes: post test 
# Tap_cm: 1.0
# Sample: 6-PP
# Fit of Tap:
#	Ic = 160 +/- 1.5 A
#	n = 48.4 +/- 3.9 
#	Vc = 1.5 uV
#	Vfloor = 7.26 +/- 1.5e+35 uV
#	R = 9.52 +/- 6e+25 Ohms
Tap [uV],Shunt [A],Supply [A],Input_5 [uV],Time [S],Hall [A],Cernox [T]
1.600000,0.270000,0.000000,-8.800000,0.037083,9.530000,-4.584670
1.600000,0.210000,0.083333,-8.800000,0.047071,8.470000,-4.347594
1.700000,0.270000,0.166667,-8.800000,0.059619,8.310000,-3.830660
1.600000,0.410000,0.250000,-8.800000,0.076123,8.330000,-3.837790
1.600000,0.470000,0.333333,-8.600000,0.091795,8.470000,-3.869875
1.500000,0.530000,0.416667,-9.200000,0.107296,8.730000,-3.969697
1.400000,0.630000,0.500000,-9.000000,0.123800,8.770000,-3.983957
1.500000,0.790000,0.583333,-9.000000,0.151019,9.430000,-4.798574
1.700000,0.830000,0.666667,-9.000000,0.161966,8.290000,-4.048128
1.600000,0.810000,0.750000,-9.000000,0.171544,9.290000,-4.379679
1.900000,0.990000,0.833333,-8.600000,0.188103,9.330000,-4.395722
1.600000,1.090000,0.916667,-9.000000,0.203672,9.530000,-4.566845
1.800000,1.090000,1.000000,-8.800000,0.220208,9.510000,-4.593583
1.600000,1.230000,1.083333,-8.800000,0.240134,8.890000,-4.032086
1.700000,1.330000,1.166667,-9.000000,0.251747,9.490000,-4.782531
1.400000,1.410000,1.250000,-9.200000,0.268239,9.550000,-4.780749
1.500000,1.430000,1.333333,-9.000000,0.283831,9.370000,-4.768271
1.600000,1.550000,1.416667,-8.800000,0.299312,9.130000,-4.691622
1.500000,1.630000,1.500000,-8.800000,0.315826,9.090000,-4.677362
1.600000,1.710000,1.583333,-8.400000,0.331281,8.790000,-4.504456
1.600000,1.790000,1.666667,-9.000000,0.347822,8.710000,-4.465241
1.600000,1.870000,1.750000,-9.000000,0.363298,8.410000,-4.262032
1.500000,2.010000,1.833333,-8.800000,0.379821,8.450000,-4.231729
1.700000,2.070000,1.916667,-8.800000,0.395302,8.270000,-4.055258
1.300000,2.130000,2.000000,-8.800000,0.412469,8.370000,-4.119430
1.500000,2.230000,2.083333,-8.800000,0.428094,8.290000,-3.971480
1.600000,2.370000,2.166667,-8.600000,0.462591,8.370000,-4.158645
1.600000,2.370000,2.250000,-9.000000,0.478986,8.310000,-4.115865
1.500000,2.490000,2.333333,-8.800000,0.494607,8.230000,-3.967914
1.700000,2.590000,2.416667,-8.800000,0.511103,8.270000,-3.951872
1.800000,2.670000,2.500000,-8.800000,0.526624,8.250000,-3.850267
1.600000,2.690000,2.583333,-9.200000,0.543116,8.330000,-3.846702
1.700000,2.890000,2.666667,-8.800000,0.558692,8.430000,-3.857398
1.700000,2.990000,2.750000,-8.600000,0.575179,8.470000,-3.862745
1.600000,2.990000,2.833333,-8.800000,0.590693,8.710000,-3.953654
1.500000,3.090000,2.916667,-9.000000,0.607199,8.770000,-3.971480
1.500000,3.230000,3.000000,-9.000000,0.622828,9.010000,-4.139037
1.600000,3.330000,3.083333,-9.200000,0.646306,8.410000,-4.228164
1.800000,3.350000,3.166667,-9.000000,0.656109,9.110000,-4.140820
1.800000,3.450000,3.250000,-9.400000,0.674141,8.690000,-3.946524
1.600000,3.510000,3.333333,-8.800000,0.686784,9.570000,-4.613191
1.600000,3.690000,3.416667,-8.600000,0.702203,9.590000,-4.737968
2.000000,3.730000,3.500000,-8.800000,0.718711,9.590000,-4.739750
1.700000,3.770000,3.583333,-8.800000,0.735171,9.510000,-4.759358
1.400000,3.870000,3.666667,-8.800000,0.760043,8.230000,-3.844920
1.700000,3.970000,3.750000,-9.000000,0.770125,9.510000,-4.582888
1.700000,4.030000,3.833333,-9.000000,0.782666,9.070000,-4.704100
1.700000,4.130000,3.916667,-8.800000,0.799080,9.030000,-4.684492
1.700000,4.230000,4.000000,-8.800000,0.814527,8.770000,-4.509804
1.700000,4.350000,4.083333,-8.800000,0.830981,8.650000,-4.467023
1.400000,4.410000,4.166667,-9.200000,0.854644,9.370000,-4.784314
1.600000,4.450000,4.250000,-9.000000,0.864155,8.670000,-4.445633
1.600000,4.610000,4.333333,-9.200000,0.878641,8.270000,-4.069519
1.600000,4.690000,4.416667,-9.200000,0.895029,8.250000,-4.028520
1.700000,4.690000,4.500000,-9.000000,0.910641,8.210000,-3.900178
1.600000,4.830000,4.583333,-8.800000,0.927162,8.210000,-3.880570
1.700000,4.950000,4.666667,-8.600000,0.942656,8.310000,-3.823529
1.400000,4.970000,4.750000,-8.800000,0.959048,8.350000,-3.825312
1.600000,5.050000,4.833333,-9.200000,0.974491,8.530000,-3.889483
1.500000,5.150000,4.916667,-8.800000,0.990920,8.570000,-3.916221
1.500000,5.250000,5.000000,-9.200000,1.006318,8.910000,-4.078431
1.700000,5.370000,5.083333,-9.000000,1.022775,8.950000,-4.126560
1.700000,5.450000,5.166667,-11.000000,1.058220,8.390000,-3.839572
1.500000,5.530000,5.250000,-11.200000,1.075052,8.310000,-3.846702
1.600000,5.650000,5.333333,-11.200000,1.091075,8.450000,-3.875223
1.700000,5.710000,5.416667,-11.600000,1.107025,8.590000,-3.946524
1.500000,5.770000,5.500000,-11.600000,1.122396,8.830000,-4.139037
1.600000,5.910000,5.583333,-11.400000,1.138909,8.890000,-4.158645
1.400000,5.950000,5.666667,-9.200000,1.156089,9.050000,-4.212121
1.800000,6.010000,5.750000,-8.800000,1.173103,8.870000,-4.064171
1.400000,6.170000,5.833333,-9.000000,1.189587,8.950000,-4.087344
1.600000,6.250000,5.916667,-8.800000,1.205146,9.190000,-4.278075
1.600000,6.290000,6.000000,-8.800000,1.221225,9.290000,-4.402852
1.600000,6.410000,6.083333,-9.200000,1.240160,8.770000,-4.012478
1.700000,6.510000,6.166667,-9.400000,1.256890,8.810000,-4.001783
1.600000,6.570000,6.250000,-8.800000,1.271018,9.370000,-4.434938
1.500000,6.650000,6.333333,-8.800000,1.284579,9.430000,-4.791444
1.500000,6.750000,6.416667,-9.000000,1.299961,9.230000,-4.764706
1.500000,6.870000,6.500000,-9.000000,1.316359,9.170000,-4.748663
1.600000,6.890000,6.583333,-9.400000,1.332805,9.150000,-4.725490
1.800000,7.030000,6.666667,-9.000000,1.357153,8.630000,-3.951872
1.700000,7.030000,6.750000,-9.000000,1.367223,9.330000,-4.780749
1.700000,7.150000,6.833333,-8.800000,1.380731,8.650000,-4.447415
1.400000,7.290000,6.916667,-8.800000,1.396134,8.410000,-4.215686
1.700000,7.330000,7.000000,-8.800000,1.412747,8.370000,-4.201426
1.700000,7.450000,7.083333,-9.200000,1.428271,8.270000,-4.028520
2.000000,7.550000,7.166667,-8.600000,1.447831,8.790000,-4.522282
1.700000,7.630000,7.250000,-8.800000,1.460310,8.210000,-3.882353
