# Date: 20210519
# Operator: DCC
# Notes: post test 
# Tap_cm: 1.0
# Sample: 3-PP
# Fit of Tap:
#	Ic = 93.5 +/- 0.93 A
#	n = 50 +/- 0.94 
#	Vc = 1.5 uV
#	Vfloor = 2.1 +/- 1e+68 uV
#	R = 9 +/- 9e+65 Ohms
Tap [uV],Shunt [A],Supply [A],Input_5 [uV],Time [S],Hall [A],Cernox [T]
1.500000,0.230000,0.000000,-9.000000,0.037346,9.470000,-4.602496
1.700000,0.290000,0.083333,-9.000000,0.047887,8.370000,-4.231729
1.700000,0.330000,0.166667,-8.800000,0.060878,8.330000,-3.919786
1.500000,0.330000,0.250000,-9.200000,0.075928,8.590000,-3.975045
1.700000,0.430000,0.333333,-8.800000,0.091910,8.750000,-4.040998
1.600000,0.530000,0.416667,-8.800000,0.107894,8.890000,-4.121212
1.500000,0.670000,0.500000,-8.800000,0.124924,8.830000,-4.078431
1.600000,0.730000,0.583333,-8.600000,0.140009,9.190000,-4.286988
1.700000,0.790000,0.666667,-9.000000,0.156022,9.290000,-4.386809
1.800000,0.910000,0.750000,-8.800000,0.172945,9.250000,-4.347594
1.500000,0.930000,0.833333,-8.800000,0.188021,9.410000,-4.550802
1.700000,1.150000,0.916667,-8.800000,0.213309,8.310000,-4.078431
1.500000,1.150000,1.000000,-8.800000,0.223618,9.190000,-4.244207
1.400000,1.210000,1.083333,-8.800000,0.249301,8.710000,-4.440285
1.500000,1.270000,1.166667,-9.400000,0.260364,8.430000,-3.932264
1.500000,1.370000,1.250000,-8.600000,0.270834,9.470000,-4.588235
1.600000,1.410000,1.333333,-8.800000,0.284942,9.210000,-4.643494
1.800000,1.530000,1.416667,-8.800000,0.300377,8.990000,-4.561497
1.300000,1.690000,1.500000,-8.600000,0.319157,9.370000,-4.677362
1.700000,1.670000,1.583333,-9.000000,0.332811,8.750000,-4.477718
1.800000,1.770000,1.666667,-8.800000,0.348785,8.590000,-4.385027
1.500000,1.890000,1.750000,-9.000000,0.364860,8.410000,-4.299465
1.500000,1.990000,1.833333,-9.000000,0.380843,8.410000,-4.194296
1.700000,2.030000,1.916667,-9.000000,0.401773,9.330000,-4.661319
1.600000,2.090000,2.000000,-9.000000,0.412134,8.270000,-3.978610
1.600000,2.250000,2.083333,-9.200000,0.429234,8.250000,-4.016043
1.800000,2.330000,2.166667,-9.200000,0.444727,8.310000,-3.939394
1.600000,2.410000,2.250000,-9.200000,0.462952,8.230000,-4.053476
1.700000,2.490000,2.333333,-9.000000,0.476816,8.430000,-3.934046
1.500000,2.630000,2.416667,-8.600000,0.492712,8.570000,-3.975045
1.600000,2.710000,2.500000,-9.000000,0.508839,8.730000,-4.012478
1.600000,2.770000,2.583333,-8.800000,0.536831,9.530000,-4.643494
1.700000,2.750000,2.666667,-9.800000,0.548098,8.490000,-4.283422
1.300000,2.870000,2.750000,-9.000000,0.558435,8.770000,-4.039216
1.700000,3.010000,2.833333,-8.600000,0.572745,9.250000,-4.367201
1.700000,3.150000,2.916667,-8.800000,0.592688,8.690000,-3.967914
1.700000,3.170000,3.000000,-8.600000,0.604395,9.530000,-4.563280
1.600000,3.270000,3.083333,-8.600000,0.620939,9.450000,-4.572193
1.600000,3.370000,3.166667,-8.600000,0.636887,9.490000,-4.639929
1.400000,3.450000,3.250000,-8.800000,0.652711,9.390000,-4.679144
1.400000,3.590000,3.333333,-8.800000,0.668875,9.350000,-4.672014
1.800000,3.670000,3.416667,-8.800000,0.684828,9.230000,-4.643494
1.600000,3.730000,3.500000,-8.800000,0.700851,9.110000,-4.614973
1.800000,3.790000,3.583333,-8.600000,0.716902,8.910000,-4.572193
1.500000,3.910000,3.666667,-8.800000,0.731937,8.530000,-4.363636
1.400000,3.970000,3.750000,-9.000000,0.747969,8.510000,-4.283422
1.600000,4.070000,3.833333,-9.000000,0.764004,8.370000,-4.194296
1.500000,4.130000,3.916667,-9.000000,0.783720,8.990000,-4.588235
1.500000,4.270000,4.000000,-8.800000,0.796880,8.310000,-4.142602
1.600000,4.370000,4.083333,-9.000000,0.811991,8.230000,-3.989305
1.600000,4.450000,4.166667,-8.600000,0.837219,9.530000,-4.611408
1.400000,4.430000,4.250000,-9.200000,0.847930,8.450000,-4.279857
1.400000,4.630000,4.333333,-8.600000,0.859977,8.410000,-3.946524
1.500000,4.650000,4.416667,-9.000000,0.875957,8.550000,-3.975045
1.300000,4.730000,4.500000,-9.400000,0.892048,8.690000,-4.017825
1.600000,4.810000,4.583333,-9.000000,0.908246,8.790000,-4.060606
1.500000,4.930000,4.666667,-9.200000,0.924330,8.950000,-4.142602
1.500000,4.990000,4.750000,-8.800000,0.940327,9.110000,-4.226381
1.700000,5.070000,4.833333,-8.800000,0.956372,9.250000,-4.317291
