# Date: 20210519
# Operator: DCC
# Notes: post test 
# Tap_cm: 1.0
# Sample: 3-PP
# Fit of Tap:
#	Ic = 7.67 A
#	n = 50 
#	Vc = 1.5 uV
#	Vfloor = 13.8 uV
#	R = 8.46 Ohms
Tap [uV],Shunt [A],Supply [A],Input_5 [uV],Time [S],Hall [A],Cernox [T]
1.400000,0.290000,0.000000,-9.000000,0.035812,8.390000,-4.051693
1.600000,0.250000,0.083333,-8.600000,0.056005,8.750000,-4.395722
1.300000,0.330000,0.166667,-11.400000,0.069901,8.230000,-4.101604
1.700000,0.350000,0.250000,-9.200000,0.080819,9.010000,-4.224599
1.300000,0.450000,0.333333,-9.000000,0.092437,9.290000,-4.614973
1.500000,0.490000,0.416667,-8.800000,0.108995,9.070000,-4.609626
1.700000,0.610000,0.500000,-8.600000,0.124742,9.010000,-4.581105
1.400000,0.790000,0.583333,-8.600000,0.141134,8.970000,-4.566845
1.900000,0.790000,0.666667,-8.800000,0.156822,8.770000,-4.493761
1.600000,0.870000,0.750000,-8.600000,0.172459,8.730000,-4.376114
1.400000,0.950000,0.833333,-8.800000,0.189095,8.630000,-4.376114
1.800000,1.090000,0.916667,-8.800000,0.212753,9.230000,-4.401070
1.600000,1.190000,1.000000,-8.600000,0.223055,8.730000,-4.443850
1.600000,1.230000,1.083333,-8.800000,0.236638,8.310000,-4.115865
1.500000,1.270000,1.166667,-9.000000,0.252162,8.430000,-4.039216
1.600000,1.390000,1.250000,-9.000000,0.268784,8.270000,-4.032086
1.800000,1.430000,1.333333,-8.600000,0.284413,8.390000,-3.994652
1.800000,1.510000,1.416667,-8.600000,0.300916,8.410000,-3.996435
1.700000,1.690000,1.500000,-9.000000,0.315932,8.590000,-4.065954
1.400000,1.730000,1.583333,-9.000000,0.332024,8.770000,-4.108734
1.700000,1.770000,1.666667,-8.600000,0.357313,8.970000,-4.524064
1.500000,1.830000,1.750000,-8.800000,0.368105,8.370000,-4.001783
1.600000,1.990000,1.833333,-8.800000,0.380141,9.030000,-4.304813
1.600000,2.030000,1.916667,-9.000000,0.401743,8.330000,-4.010695
1.700000,2.130000,2.000000,-9.000000,0.412797,9.150000,-4.408200
1.700000,2.210000,2.083333,-9.000000,0.428911,9.190000,-4.459893
1.500000,2.370000,2.166667,-8.800000,0.444692,9.210000,-4.532977
1.500000,2.410000,2.250000,-8.600000,0.460346,9.370000,-4.595365
1.900000,2.490000,2.333333,-8.800000,0.477043,9.250000,-4.586453
1.400000,2.590000,2.416667,-8.600000,0.492697,9.110000,-4.607843
1.800000,2.710000,2.500000,-8.800000,0.508230,9.190000,-4.581105
1.900000,2.750000,2.583333,-8.800000,0.524801,8.930000,-4.563280
1.600000,2.810000,2.666667,-8.800000,0.540393,8.890000,-4.488414
1.700000,2.910000,2.750000,-8.600000,0.557002,8.790000,-4.491979
