# Date: 20210519
# Operator: DCC
# Notes: post test 
# Tap_cm: 1.0
# Sample: 3-PP
# Fit of Tap:
#	Ic = 86.2 +/- 0.99 A
#	n = 50 +/- 0.95 
#	Vc = 1.5 uV
#	Vfloor = 21.3 +/- 5.5e+72 uV
#	R = 9.67 +/- 9.1e+66 Ohms
Tap [uV],Shunt [A],Supply [A],Input_5 [uV],Time [S],Hall [A],Cernox [T]
1.500000,0.250000,0.000000,-10.000000,0.090594,8.890000,-4.208556
1.500000,0.250000,0.083333,-8.800000,0.136262,9.370000,-4.618538
1.700000,0.290000,0.166667,-8.800000,0.152547,9.350000,-4.641711
1.400000,0.410000,0.250000,-9.000000,0.168113,9.210000,-4.647059
1.500000,0.350000,0.333333,-8.800000,0.184550,9.150000,-4.638146
1.500000,0.510000,0.416667,-8.800000,0.200107,9.010000,-4.581105
1.700000,0.630000,0.500000,-8.800000,0.220047,9.350000,-4.593583
1.800000,0.730000,0.583333,-8.800000,0.233097,8.970000,-4.550802
1.800000,0.790000,0.666667,-8.600000,0.248211,8.670000,-4.388592
1.600000,0.890000,0.750000,-9.000000,0.264227,8.530000,-4.306595
1.400000,0.970000,0.833333,-9.000000,0.281042,8.590000,-4.320856
1.600000,1.070000,0.916667,-8.800000,0.298572,8.750000,-4.420677
1.600000,1.090000,1.000000,-8.800000,0.313959,8.510000,-4.276292
1.500000,1.230000,1.083333,-9.200000,0.329242,8.350000,-4.124777
1.500000,1.310000,1.166667,-9.000000,0.344792,8.370000,-4.049911
1.600000,1.370000,1.250000,-8.800000,0.376668,8.470000,-4.016043
1.600000,1.390000,1.333333,-9.000000,0.407562,8.810000,-4.147950
1.600000,1.570000,1.416667,-9.000000,0.422826,9.090000,-4.292335
1.500000,1.670000,1.500000,-8.800000,0.438246,9.290000,-4.456328
1.700000,1.690000,1.583333,-9.200000,0.453660,9.310000,-4.561497
1.700000,1.730000,1.666667,-9.400000,0.469052,9.290000,-4.631016
1.700000,1.950000,1.750000,-9.000000,0.484581,9.130000,-4.616756
1.600000,2.010000,1.833333,-9.200000,0.499859,8.930000,-4.547237
1.500000,2.050000,1.916667,-8.800000,0.515274,8.790000,-4.402852
1.500000,2.150000,2.000000,-8.600000,0.530604,8.490000,-4.262032
1.500000,2.290000,2.083333,-9.000000,0.546095,8.390000,-4.122995
1.500000,2.310000,2.166667,-9.000000,0.561541,8.370000,-4.042781
1.700000,2.390000,2.250000,-9.200000,0.576944,8.410000,-4.014260
1.500000,2.510000,2.333333,-9.200000,0.594841,8.350000,-4.057041
1.700000,2.590000,2.416667,-9.200000,0.617232,9.090000,-4.602496
1.700000,2.710000,2.500000,-8.800000,0.633793,9.050000,-4.593583
1.700000,2.710000,2.583333,-8.800000,0.649249,8.890000,-4.495544
1.500000,2.870000,2.666667,-9.200000,0.673487,8.970000,-4.226381
1.700000,2.890000,2.750000,-9.000000,0.683581,9.070000,-4.573975
1.600000,3.050000,2.833333,-9.000000,0.697139,8.510000,-4.254902
1.500000,3.030000,2.916667,-9.000000,0.713580,8.490000,-4.222816
1.500000,3.190000,3.000000,-8.800000,0.729070,8.390000,-4.126560
1.700000,3.270000,3.083333,-9.200000,0.745486,8.410000,-4.112299
1.500000,3.350000,3.166667,-9.000000,0.761940,8.370000,-4.089127
1.700000,3.470000,3.250000,-8.800000,0.781131,8.610000,-4.349376
1.600000,3.550000,3.333333,-9.000000,0.793620,8.390000,-4.021390
1.700000,3.650000,3.416667,-11.200000,0.807090,8.770000,-4.169340
1.500000,3.690000,3.500000,-11.400000,0.823398,8.810000,-4.204991
1.600000,3.770000,3.583333,-11.600000,0.839732,8.850000,-4.235294
1.800000,3.930000,3.666667,-11.600000,0.855161,9.110000,-4.390374
1.600000,4.010000,3.750000,-11.200000,0.871571,9.150000,-4.420677
1.500000,4.070000,3.833333,-11.200000,0.887900,9.190000,-4.452763
1.500000,4.130000,3.916667,-9.000000,0.905233,9.210000,-4.438503
1.700000,4.290000,4.000000,-8.800000,0.921660,9.210000,-4.458111
1.700000,4.330000,4.083333,-8.600000,0.937133,9.350000,-4.563280
1.700000,4.410000,4.166667,-8.600000,0.953581,9.330000,-4.577540
1.900000,4.510000,4.250000,-8.800000,0.987967,9.310000,-4.477718
1.700000,4.570000,4.333333,-8.600000,1.004593,9.290000,-4.474153
1.700000,4.710000,4.416667,-8.800000,1.020119,9.350000,-4.575758
1.800000,4.730000,4.500000,-8.600000,1.036535,9.350000,-4.586453
1.500000,4.830000,4.583333,-8.600000,1.052010,9.290000,-4.629234
1.500000,4.950000,4.666667,-8.800000,1.068426,9.230000,-4.627451
1.600000,4.950000,4.750000,-8.800000,1.083887,9.090000,-4.602496
1.700000,5.090000,4.833333,-9.200000,1.100327,9.050000,-4.581105
1.600000,5.130000,4.916667,-9.000000,1.116122,8.930000,-4.504456
1.500000,5.270000,5.000000,-8.800000,1.132612,8.890000,-4.491979
1.700000,5.330000,5.083333,-8.600000,1.148095,8.670000,-4.354724
1.600000,5.430000,5.166667,-8.800000,1.167355,9.090000,-4.595365
1.700000,5.510000,5.250000,-9.000000,1.179937,8.430000,-4.190731
1.800000,5.590000,5.333333,-8.800000,1.196358,8.450000,-4.169340
1.400000,5.690000,5.416667,-9.000000,1.211835,8.390000,-4.067736
1.700000,5.770000,5.500000,-8.600000,1.228235,8.350000,-4.049911
1.700000,5.850000,5.583333,-9.000000,1.243652,8.450000,-3.998217
1.700000,6.010000,5.666667,-8.800000,1.269173,9.270000,-4.606061
1.700000,6.010000,5.750000,-9.000000,1.279331,8.370000,-4.133690
1.600000,6.210000,5.833333,-8.800000,1.291949,8.610000,-4.051693
1.700000,6.210000,5.916667,-9.000000,1.308490,8.610000,-4.071301
1.800000,6.310000,6.000000,-9.000000,1.323986,8.830000,-4.172906
1.700000,6.370000,6.083333,-9.200000,1.341411,8.710000,-4.101604
1.500000,6.510000,6.166667,-8.800000,1.365580,8.830000,-4.468806
1.700000,6.530000,6.250000,-9.200000,1.375090,8.670000,-4.083779
2.000000,6.590000,6.333333,-8.800000,1.388494,9.170000,-4.427807
1.800000,6.770000,6.416667,-8.800000,1.403930,9.350000,-4.547237
1.900000,6.810000,6.500000,-8.600000,1.420367,9.330000,-4.568627
1.800000,6.930000,6.583333,-8.800000,1.435893,9.310000,-4.634581
1.700000,6.990000,6.666667,-9.200000,1.452282,9.290000,-4.652406
1.600000,7.130000,6.750000,-9.200000,1.467695,9.170000,-4.641711
1.400000,7.210000,6.833333,-9.000000,1.484107,9.090000,-4.627451
1.900000,7.270000,6.916667,-8.800000,1.500510,9.110000,-4.613191
1.700000,7.350000,7.000000,-8.800000,1.515983,8.890000,-4.516934
1.900000,7.390000,7.083333,-9.000000,1.532390,8.810000,-4.502674
1.900000,7.570000,7.166667,-8.800000,1.547785,8.650000,-4.354724
1.800000,7.570000,7.250000,-8.800000,1.581375,8.670000,-4.379679
1.700000,7.730000,7.333333,-8.800000,1.598144,8.690000,-4.392157
2.000000,7.830000,7.416667,-8.600000,1.613744,8.570000,-4.263815
1.800000,7.930000,7.500000,-9.200000,1.629243,8.370000,-4.140820
1.700000,7.930000,7.583333,-9.000000,1.645676,8.370000,-4.122995
1.900000,8.070000,7.666667,-9.200000,1.662164,8.310000,-4.106952
1.800000,8.170000,7.750000,-8.800000,1.677575,8.390000,-4.028520
1.900000,8.270000,7.833333,-8.800000,1.693990,8.370000,-4.021390
1.900000,8.330000,7.916667,-9.000000,1.709390,8.490000,-4.024955
1.900000,8.410000,8.000000,-9.000000,1.725781,8.490000,-4.044563
1.900000,8.470000,8.083333,-9.000000,1.741157,8.750000,-4.124777
1.800000,8.610000,8.166667,-8.800000,1.764707,8.710000,-4.386809
1.800000,8.630000,8.250000,-9.000000,1.774209,8.790000,-4.140820
1.600000,8.690000,8.333333,-8.800000,1.789617,9.010000,-4.279857
1.700000,8.850000,8.416667,-9.000000,1.806070,9.070000,-4.310160
1.900000,8.930000,8.500000,-8.600000,1.821470,9.250000,-4.472371
1.900000,8.950000,8.583333,-8.800000,1.837937,9.250000,-4.481283
1.700000,9.050000,8.666667,-8.800000,1.853334,9.270000,-4.586453
1.700000,9.170000,8.750000,-9.000000,1.877979,8.350000,-4.069519
1.900000,9.230000,8.833333,-8.600000,1.888268,9.190000,-4.447415
1.900000,9.310000,8.916667,-8.800000,1.901856,9.310000,-4.641711
1.900000,9.390000,9.000000,-9.000000,1.917298,9.150000,-4.616756
2.200000,9.550000,9.083333,-8.800000,1.933688,9.090000,-4.598930
2.200000,9.550000,9.166667,-8.600000,1.950149,9.050000,-4.584670
2.100000,9.630000,9.250000,-8.800000,1.969629,9.250000,-4.595365
2.400000,9.770000,9.333333,-8.800000,1.982149,8.830000,-4.470588
2.300000,9.870000,9.416667,-8.800000,1.997547,8.530000,-4.335116
2.300000,9.910000,9.500000,-9.000000,2.013967,8.530000,-4.304813
2.100000,10.090000,9.583333,-8.600000,2.029356,8.350000,-4.163993
2.100000,10.090000,9.666667,-9.200000,2.045808,8.370000,-4.130125
2.000000,10.190000,9.750000,-9.400000,2.061691,8.350000,-4.083779
2.400000,10.270000,9.833333,-8.600000,2.077221,8.390000,-4.023173
2.200000,10.330000,9.916667,-8.800000,2.093654,8.410000,-4.014260
2.400000,10.470000,10.000000,-8.800000,2.110733,8.350000,-4.021390
2.100000,10.570000,10.083333,-9.000000,2.125283,8.550000,-4.049911
2.100000,10.590000,10.166667,-9.000000,2.141724,8.590000,-4.058824
2.300000,10.770000,10.250000,-9.200000,2.179643,8.410000,-4.187166
2.100000,10.810000,10.333333,-8.800000,2.196281,8.410000,-4.187166
1.900000,10.950000,10.416667,-8.800000,2.211698,8.390000,-4.081996
2.200000,11.030000,10.500000,-8.800000,2.228220,8.390000,-4.080214
2.200000,11.070000,10.583333,-8.800000,2.243639,8.410000,-4.017825
2.300000,11.130000,10.666667,-8.800000,2.260106,8.410000,-4.014260
2.200000,11.250000,10.750000,-9.000000,2.275492,8.550000,-4.044563
2.300000,11.370000,10.833333,-9.000000,2.291940,8.550000,-4.055258
2.200000,11.430000,10.916667,-9.000000,2.308356,8.630000,-4.067736
2.300000,11.550000,11.000000,-9.000000,2.323826,8.850000,-4.172906
2.300000,11.630000,11.083333,-9.200000,2.340225,8.890000,-4.203209
2.300000,11.670000,11.166667,-8.800000,2.365801,8.890000,-4.499109
2.100000,11.750000,11.250000,-8.800000,2.375249,8.550000,-4.049911
2.400000,11.910000,11.333333,-9.200000,2.387694,9.270000,-4.481283
2.500000,11.990000,11.416667,-8.800000,2.404108,9.330000,-4.511586
2.500000,12.050000,11.500000,-8.800000,2.419531,9.350000,-4.604278
2.400000,12.150000,11.583333,-8.800000,2.436033,9.330000,-4.616756
2.400000,12.270000,11.666667,-9.000000,2.451452,9.230000,-4.632799
2.200000,12.330000,11.750000,-9.000000,2.475214,8.550000,-4.060606
2.300000,12.350000,11.833333,-8.800000,2.485312,9.270000,-4.632799
