# Date: 20210519
# Operator: DCC
# Notes: post test 
# Tap_cm: 1.0
# Sample: 3-PP
# Fit of Tap:
#	Ic = 87.3 +/- 0.99 A
#	n = 50 +/- 0.95 
#	Vc = 1.5 uV
#	Vfloor = 1.37 +/- 8e+70 uV
#	R = 0.14 +/- 8.3e+68 Ohms
Tap [uV],Shunt [A],Supply [A],Input_5 [uV],Time [S],Hall [A],Cernox [T]
1.600000,0.310000,0.000000,-9.000000,0.035263,8.530000,-4.288770
1.500000,0.270000,0.083333,-9.000000,0.045119,8.890000,-4.183601
1.500000,0.290000,0.166667,-9.000000,0.059516,9.190000,-4.454545
1.600000,0.410000,0.250000,-9.200000,0.075892,9.310000,-4.477718
1.700000,0.450000,0.333333,-8.800000,0.091546,9.350000,-4.566845
2.000000,0.570000,0.416667,-8.800000,0.107953,9.350000,-4.582888
1.700000,0.650000,0.500000,-8.600000,0.136704,8.870000,-4.454545
1.400000,0.650000,0.583333,-8.800000,0.146823,8.650000,-4.048128
1.500000,0.770000,0.666667,-8.800000,0.156305,9.250000,-4.629234
1.600000,0.850000,0.750000,-8.800000,0.171741,9.130000,-4.591800
1.600000,0.970000,0.833333,-8.800000,0.188234,9.090000,-4.586453
1.300000,1.090000,0.916667,-9.200000,0.211813,8.910000,-4.185383
1.900000,1.090000,1.000000,-8.600000,0.221400,9.050000,-4.568627
1.600000,1.230000,1.083333,-8.800000,0.235870,8.670000,-4.358289
1.300000,1.270000,1.166667,-9.000000,0.251362,8.510000,-4.221034
1.500000,1.410000,1.250000,-9.800000,0.267795,8.490000,-4.203209
1.400000,1.490000,1.333333,-9.000000,0.284334,8.450000,-4.178253
1.400000,1.530000,1.416667,-9.200000,0.299783,8.450000,-4.090909
1.400000,1.630000,1.500000,-8.800000,0.316259,8.390000,-4.069519
1.500000,1.770000,1.583333,-9.000000,0.331698,8.370000,-4.014260
1.700000,1.770000,1.666667,-8.800000,0.348497,8.370000,-4.023173
1.900000,1.890000,1.750000,-8.800000,0.364117,8.490000,-4.030303
1.400000,1.950000,1.833333,-8.800000,0.379572,8.650000,-4.064171
1.900000,2.070000,1.916667,-8.800000,0.401514,8.550000,-4.240642
1.500000,2.130000,2.000000,-9.000000,0.412088,8.830000,-4.135472
1.800000,2.190000,2.083333,-9.000000,0.437481,8.970000,-4.524064
1.800000,2.270000,2.166667,-8.600000,0.447609,8.470000,-4.005348
1.500000,2.350000,2.250000,-9.200000,0.460136,9.130000,-4.333333
1.600000,2.510000,2.333333,-8.800000,0.475753,9.310000,-4.465241
1.600000,2.570000,2.416667,-8.800000,0.492267,9.330000,-4.481283
1.800000,2.690000,2.500000,-9.400000,0.507937,9.270000,-4.565062
1.500000,2.750000,2.583333,-9.000000,0.523523,9.330000,-4.629234
1.700000,2.890000,2.666667,-9.000000,0.540047,9.350000,-4.627451
1.400000,2.950000,2.750000,-9.000000,0.555478,9.210000,-4.618538
