# Date: 20210520
# Operator: DCC
# Notes: post test 
# Tap_cm: 1.0
# Sample: SOX_120_5
# Fit of Tap:
#	Ic = 10 +/- 0.11 A
#	n = 40.7 +/- 6.9 
#	Vc = 1.5 uV
#	Vfloor = 7.05 +/- 0.48 uV
#	R = 0.0822 +/- 0.085 Ohms
Tap [uV],Shunt [A],Supply [A],Input_5 [uV],Time [S],Hall [A],Cernox [T]
1.000000,0.250000,0.000000,-11.600000,0.052934,9.190000,-4.424242
0.800000,0.230000,0.083333,-11.000000,0.072611,8.610000,-4.085561
1.000000,0.230000,0.166667,-11.000000,0.084342,9.530000,-4.606061
1.100000,0.370000,0.250000,-11.000000,0.099997,9.590000,-4.650624
1.100000,0.430000,0.333333,-9.800000,0.118640,9.390000,-4.545455
1.000000,0.530000,0.416667,-10.200000,0.134595,9.350000,-4.597148
0.900000,0.670000,0.500000,-9.800000,0.150732,9.410000,-4.632799
0.900000,0.770000,0.583333,-9.600000,0.166743,9.310000,-4.636364
1.000000,0.810000,0.666667,-10.200000,0.182781,9.250000,-4.638146
1.100000,0.850000,0.750000,-9.600000,0.198783,9.190000,-4.622103
0.900000,1.090000,0.833333,-10.000000,0.214556,8.970000,-4.561497
1.000000,1.070000,0.916667,-9.000000,0.251072,9.370000,-4.606061
1.100000,1.110000,1.000000,-8.800000,0.267306,9.370000,-4.634581
0.900000,1.250000,1.083333,-8.800000,0.283468,9.290000,-4.650624
0.900000,1.330000,1.166667,-8.800000,0.299607,9.250000,-4.650624
1.400000,1.370000,1.250000,-9.000000,0.315610,9.230000,-4.629234
1.300000,1.450000,1.333333,-9.200000,0.331641,9.110000,-4.600713
1.000000,1.530000,1.416667,-8.800000,0.347600,9.030000,-4.547237
1.100000,1.670000,1.500000,-8.600000,0.363563,8.850000,-4.481283
1.100000,1.710000,1.583333,-9.000000,0.379441,8.730000,-4.388592
1.000000,1.790000,1.666667,-9.000000,0.395588,8.570000,-4.317291
1.000000,1.890000,1.750000,-8.800000,0.411717,8.510000,-4.238859
0.900000,2.070000,1.833333,-9.000000,0.433429,9.330000,-4.638146
0.900000,2.050000,1.916667,-9.000000,0.443200,8.370000,-4.067736
1.000000,2.150000,2.000000,-8.800000,0.459225,8.390000,-4.028520
1.000000,2.250000,2.083333,-8.800000,0.475345,8.370000,-3.996435
1.200000,2.330000,2.166667,-8.400000,0.490903,8.490000,-4.003565
1.200000,2.410000,2.250000,-8.800000,0.507329,8.510000,-4.014260
0.700000,2.530000,2.333333,-9.200000,0.532716,9.250000,-4.647059
0.900000,2.570000,2.416667,-8.800000,0.542918,8.350000,-4.048128
0.800000,2.710000,2.500000,-9.000000,0.555390,8.850000,-4.140820
0.900000,2.790000,2.583333,-9.000000,0.570870,9.070000,-4.272727
