# Date: 20210520
# Operator: DCC
# Notes: post test 
# Tap_cm: 1.0
# Sample: SOX_120_5
# Fit of Tap:
#	Ic = 11.6 +/- 0.34 A
#	n = 14.9 +/- 3.4 
#	Vc = 1.5 uV
#	Vfloor = 11.3 +/- 0.42 uV
#	R = 0.518 +/- 0.071 Ohms
Tap [uV],Shunt [A],Supply [A],Input_5 [uV],Time [S],Hall [A],Cernox [T]
0.800000,0.250000,0.000000,-9.200000,0.081201,9.310000,-4.643494
1.100000,0.250000,0.083333,-8.600000,0.111010,8.670000,-4.393939
1.000000,0.250000,0.166667,-9.000000,0.121174,8.650000,-4.069519
0.800000,0.370000,0.250000,-8.800000,0.131085,9.210000,-4.648841
1.000000,0.430000,0.333333,-8.800000,0.145041,8.790000,-4.472371
1.200000,0.530000,0.416667,-8.600000,0.160483,8.550000,-4.320856
0.900000,0.610000,0.500000,-8.600000,0.176804,8.550000,-4.274510
1.000000,0.830000,0.583333,-9.800000,0.192497,8.370000,-4.174688
1.000000,0.770000,0.666667,-8.600000,0.216463,9.350000,-4.591800
1.200000,0.850000,0.750000,-8.800000,0.244127,8.630000,-4.370766
1.200000,0.970000,0.833333,-8.800000,0.264087,9.230000,-4.643494
1.100000,1.070000,0.916667,-9.200000,0.284314,9.170000,-4.465241
1.100000,1.110000,1.000000,-9.600000,0.299797,9.330000,-4.577540
1.000000,1.250000,1.083333,-9.200000,0.316200,9.370000,-4.597148
1.000000,1.350000,1.166667,-9.200000,0.332103,9.350000,-4.641711
0.700000,1.430000,1.250000,-9.800000,0.347727,9.250000,-4.641711
1.100000,1.470000,1.333333,-10.000000,0.363500,9.150000,-4.616756
0.900000,1.470000,1.416667,-9.800000,0.379315,8.930000,-4.566845
0.700000,1.550000,1.500000,-8.600000,0.397511,9.250000,-4.655971
0.800000,1.690000,1.583333,-8.800000,0.414672,9.270000,-4.661319
1.000000,1.810000,1.666667,-9.000000,0.430982,9.230000,-4.661319
