# Date: 20210520
# Operator: DCC
# Notes: post test 
# Tap_cm: 1.0
# Sample: SOX_180_5
# Fit of Tap:
#	Ic = 10 +/- 0.025 A
#	n = 68.1 +/- 3.5 
#	Vc = 1.5 uV
#	Vfloor = -1.06 +/- 0.28 uV
#	R = 0.0001 +/- 0.048 Ohms
Tap [uV],Shunt [A],Supply [A],Input_5 [uV],Time [S],Hall [A],Cernox [T]
-1.200000,0.270000,0.000000,-8.800000,0.029649,8.430000,-4.035651
-1.000000,0.250000,0.083333,-9.000000,0.043040,8.570000,-3.919786
-1.100000,0.290000,0.166667,-9.000000,0.059099,8.650000,-3.969697
-1.100000,0.390000,0.250000,-8.800000,0.075242,8.750000,-4.024955
-0.900000,0.470000,0.333333,-9.000000,0.091418,8.890000,-4.085561
-1.100000,0.590000,0.416667,-9.200000,0.111945,8.370000,-3.935829
-1.000000,0.650000,0.500000,-8.800000,0.137328,9.450000,-4.659537
-0.800000,0.690000,0.583333,-8.600000,0.154410,9.390000,-4.607843
-0.800000,0.770000,0.666667,-8.800000,0.164386,8.510000,-4.210339
-1.100000,0.850000,0.750000,-9.000000,0.174073,8.930000,-4.174688
-0.700000,0.970000,0.833333,-8.600000,0.187076,9.350000,-4.666667
-1.000000,1.130000,0.916667,-8.600000,0.202726,9.350000,-4.721925
-1.000000,1.150000,1.000000,-9.000000,0.227425,8.450000,-3.884135
-1.200000,1.150000,1.083333,-8.800000,0.236892,9.450000,-4.693405
-1.100000,1.310000,1.166667,-8.600000,0.250586,9.070000,-4.627451
-1.000000,1.450000,1.250000,-8.800000,0.267071,9.030000,-4.609626
-1.000000,1.430000,1.333333,-8.800000,0.282716,8.850000,-4.481283
-1.000000,1.530000,1.416667,-8.600000,0.299292,8.770000,-4.465241
-0.800000,1.630000,1.500000,-9.200000,0.314812,8.610000,-4.286988
-1.000000,1.690000,1.583333,-8.800000,0.331353,8.530000,-4.260250
-1.100000,1.830000,1.666667,-8.800000,0.346799,8.430000,-4.094474
-1.200000,1.870000,1.750000,-9.000000,0.364509,8.510000,-4.242424
-1.000000,1.990000,1.833333,-8.800000,0.379267,8.390000,-4.005348
-0.900000,2.070000,1.916667,-8.600000,0.395389,8.350000,-3.955437
-0.800000,2.170000,2.000000,-8.600000,0.411011,8.430000,-3.905526
-1.000000,2.210000,2.083333,-9.000000,0.446084,8.390000,-4.019608
-1.000000,2.330000,2.166667,-9.000000,0.462762,8.410000,-4.014260
-1.000000,2.350000,2.250000,-8.800000,0.478317,8.350000,-3.909091
-1.000000,2.510000,2.333333,-9.400000,0.495475,8.310000,-3.959002
-0.700000,2.570000,2.416667,-8.600000,0.510886,8.450000,-3.893048
-1.300000,2.690000,2.500000,-9.000000,0.527416,8.450000,-3.891266
-1.200000,2.710000,2.583333,-8.800000,0.543120,8.590000,-3.918004
-1.000000,2.830000,2.666667,-9.400000,0.559578,8.650000,-3.928699
-1.000000,2.930000,2.750000,-9.400000,0.575230,8.810000,-4.019608
-1.000000,3.050000,2.833333,-8.800000,0.590541,9.070000,-4.203209
-1.300000,3.150000,2.916667,-9.200000,0.607297,9.030000,-4.204991
-1.000000,3.190000,3.000000,-8.800000,0.627606,8.410000,-3.887701
-1.000000,3.230000,3.083333,-9.000000,0.639380,9.230000,-4.406417
-1.000000,3.350000,3.166667,-8.800000,0.660424,8.470000,-3.900178
-0.900000,3.410000,3.250000,-8.600000,0.670577,9.330000,-4.668449
-1.000000,3.530000,3.333333,-9.000000,0.690572,9.030000,-4.190731
-0.900000,3.690000,3.416667,-8.600000,0.706606,9.190000,-4.290553
-0.900000,3.690000,3.500000,-8.800000,0.738570,9.410000,-4.509804
-0.800000,3.750000,3.583333,-8.800000,0.754747,9.410000,-4.572193
-1.100000,3.890000,3.666667,-8.800000,0.776089,8.590000,-3.939394
-1.300000,4.010000,3.750000,-8.600000,0.792344,8.710000,-3.962567
-1.000000,4.110000,3.833333,-9.200000,0.808582,8.790000,-4.005348
-0.800000,4.110000,3.916667,-8.800000,0.828300,8.410000,-3.891266
-1.100000,4.250000,4.000000,-8.800000,0.856969,9.090000,-4.254902
-1.100000,4.370000,4.083333,-8.800000,0.873018,9.210000,-4.360071
-1.100000,4.430000,4.166667,-9.200000,0.889292,9.230000,-4.422460
-1.000000,4.490000,4.250000,-8.600000,0.906035,9.270000,-4.401070
-0.900000,4.610000,4.333333,-9.000000,0.927395,8.450000,-3.896613
-1.000000,4.650000,4.416667,-8.600000,0.937076,9.470000,-4.686275
-0.800000,4.730000,4.500000,-8.800000,0.953299,9.390000,-4.721925
-1.200000,4.830000,4.583333,-9.000000,0.969548,9.370000,-4.730838
-1.000000,4.930000,4.666667,-8.800000,0.985546,9.310000,-4.732620
-1.000000,4.990000,4.750000,-8.800000,1.001571,9.230000,-4.707665
-1.000000,5.050000,4.833333,-8.600000,1.030786,8.510000,-4.176471
-0.800000,5.150000,4.916667,-8.400000,1.060459,8.450000,-3.896613
-1.100000,5.290000,5.000000,-8.800000,1.076452,8.530000,-3.923351
-1.100000,5.330000,5.083333,-8.600000,1.092598,8.630000,-3.957219
-1.000000,5.430000,5.166667,-8.600000,1.108975,8.730000,-3.980392
-1.100000,5.510000,5.250000,-8.600000,1.125074,8.790000,-4.037433
-0.900000,5.630000,5.333333,-8.800000,1.141400,8.930000,-4.080214
-1.400000,5.710000,5.416667,-9.000000,1.158504,8.790000,-4.032086
-1.200000,5.790000,5.500000,-8.800000,1.174616,8.870000,-4.098039
