# Date: 20210520
# Operator: DCC
# Notes: post test 
# Tap_cm: 1.0
# Sample: SOX_180_5
# Fit of Tap:
#	Ic = 10 +/- 0.01 A
#	n = 130 +/- 6.1 
#	Vc = 1.5 uV
#	Vfloor = -0.764 +/- 0.11 uV
#	R = 0.0001 +/- 0.021 Ohms
Tap [uV],Shunt [A],Supply [A],Input_5 [uV],Time [S],Hall [A],Cernox [T]
-0.600000,0.190000,0.000000,-11.200000,0.094731,8.490000,-3.918004
-0.800000,0.090000,0.083333,-11.000000,0.121936,9.410000,-4.657754
-0.500000,0.290000,0.166667,-11.200000,0.138264,9.370000,-4.686275
-0.700000,0.230000,0.250000,-11.000000,0.153980,9.370000,-4.745098
-0.800000,0.350000,0.333333,-8.800000,0.172026,9.410000,-4.677362
-0.600000,0.550000,0.416667,-9.000000,0.188610,9.370000,-4.684492
-0.800000,0.550000,0.500000,-8.800000,0.204198,9.290000,-4.734403
-0.500000,0.630000,0.583333,-9.000000,0.219745,9.130000,-4.702317
-0.700000,0.830000,0.666667,-8.600000,0.241605,9.150000,-4.303030
-0.800000,0.890000,0.750000,-8.800000,0.254704,9.310000,-4.732620
-0.600000,0.910000,0.833333,-8.600000,0.268425,8.890000,-4.602496
-0.700000,1.050000,0.916667,-9.200000,0.294235,8.630000,-3.971480
-0.500000,1.130000,1.000000,-10.200000,0.309908,8.810000,-4.058824
-0.700000,1.150000,1.083333,-8.800000,0.320952,9.330000,-4.730838
-0.500000,1.210000,1.166667,-8.800000,0.332316,8.450000,-4.163993
-0.500000,1.330000,1.250000,-8.800000,0.347880,8.370000,-4.030303
-0.700000,1.430000,1.333333,-9.000000,0.364454,8.350000,-4.019608
-0.700000,1.450000,1.416667,-9.200000,0.380002,8.350000,-3.921569
-0.600000,1.630000,1.500000,-8.800000,0.396642,8.370000,-3.918004
-0.400000,1.630000,1.583333,-9.000000,0.412287,8.390000,-3.896613
-1.100000,1.770000,1.666667,-9.000000,0.427854,8.610000,-3.932264
-0.700000,1.890000,1.750000,-8.800000,0.449361,8.510000,-4.222816
-0.700000,1.890000,1.833333,-9.200000,0.459767,8.770000,-4.062389
-0.800000,2.030000,1.916667,-8.800000,0.476355,8.930000,-4.071301
-0.800000,2.070000,2.000000,-8.800000,0.491933,9.110000,-4.224599
-0.500000,2.210000,2.083333,-9.400000,0.508862,9.070000,-4.190731
-0.600000,2.310000,2.166667,-8.800000,0.524473,9.270000,-4.367201
-0.700000,2.270000,2.250000,-9.000000,0.540148,9.390000,-4.506239
-0.600000,2.370000,2.333333,-9.000000,0.555769,9.430000,-4.629234
-0.600000,2.550000,2.416667,-8.600000,0.572559,9.390000,-4.618538
-0.700000,2.730000,2.500000,-8.600000,0.599814,8.610000,-4.310160
-0.700000,2.730000,2.583333,-9.000000,0.610800,8.610000,-3.951872
-0.900000,2.790000,2.666667,-9.000000,0.620993,9.330000,-4.727273
-0.900000,2.930000,2.750000,-8.800000,0.636608,9.230000,-4.704100
-0.800000,3.050000,2.833333,-8.600000,0.657657,9.210000,-4.386809
-1.000000,3.190000,2.916667,-8.800000,0.667755,8.750000,-4.509804
-0.700000,3.230000,3.000000,-8.800000,0.683976,8.710000,-4.431373
-0.700000,3.250000,3.083333,-8.800000,0.700089,8.570000,-4.360071
-0.800000,3.370000,3.166667,-8.600000,0.716182,8.450000,-4.256684
-0.700000,3.450000,3.250000,-8.800000,0.732273,8.410000,-4.163993
-0.800000,3.610000,3.333333,-9.200000,0.748359,8.350000,-4.089127
-0.800000,3.650000,3.416667,-8.800000,0.764404,8.330000,-4.030303
-0.800000,3.670000,3.500000,-9.000000,0.780447,8.350000,-3.973262
-0.600000,3.770000,3.583333,-8.800000,0.796474,8.330000,-3.921569
-0.600000,3.830000,3.666667,-8.600000,0.812624,8.370000,-3.898396
-0.900000,3.990000,3.750000,-8.800000,0.827722,8.510000,-3.937611
-0.700000,4.050000,3.833333,-9.200000,0.843856,8.710000,-3.978610
-0.800000,4.130000,3.916667,-9.000000,0.864528,8.330000,-4.040998
-0.600000,4.210000,4.000000,-9.000000,0.875587,8.990000,-4.174688
-0.700000,4.390000,4.083333,-9.200000,0.900838,8.730000,-4.475936
-0.900000,4.370000,4.166667,-8.600000,0.911558,8.510000,-3.898396
-0.800000,4.450000,4.250000,-8.800000,0.923582,9.370000,-4.477718
-0.700000,4.570000,4.333333,-8.400000,0.939583,9.350000,-4.561497
-0.700000,4.690000,4.416667,-8.800000,0.955583,9.390000,-4.636364
-0.900000,4.770000,4.500000,-8.800000,0.971595,9.390000,-4.689840
-0.800000,4.850000,4.583333,-8.800000,0.987635,9.330000,-4.730838
-0.700000,4.890000,4.666667,-8.800000,1.003653,9.230000,-4.720143
-0.700000,4.970000,4.750000,-8.800000,1.019704,9.150000,-4.700535
-0.900000,5.030000,4.833333,-8.600000,1.035748,9.050000,-4.650624
-0.700000,5.150000,4.916667,-8.600000,1.051754,8.910000,-4.582888
-0.800000,5.250000,5.000000,-8.600000,1.072749,9.390000,-4.577540
-0.600000,5.310000,5.083333,-8.600000,1.083920,8.750000,-4.418895
-0.700000,5.430000,5.166667,-8.400000,1.099931,8.570000,-4.338681
-0.700000,5.490000,5.250000,-8.800000,1.116009,8.430000,-4.237077
-1.000000,5.670000,5.333333,-8.800000,1.132042,8.350000,-4.146168
-0.600000,5.650000,5.416667,-9.200000,1.148114,8.330000,-4.076649
-0.800000,5.750000,5.500000,-8.800000,1.164170,8.310000,-4.005348
-0.800000,5.890000,5.583333,-8.800000,1.180186,8.310000,-3.948307
-0.600000,5.970000,5.666667,-8.800000,1.205695,9.370000,-4.614973
-0.700000,6.050000,5.750000,-8.800000,1.216349,8.550000,-4.297683
-0.900000,6.130000,5.833333,-8.800000,1.228362,8.470000,-3.894831
-0.900000,6.250000,5.916667,-8.600000,1.244349,8.610000,-3.928699
-0.800000,6.310000,6.000000,-8.800000,1.260446,8.710000,-3.966132
-0.900000,6.410000,6.083333,-8.600000,1.282619,8.450000,-4.237077
-0.700000,6.430000,6.166667,-8.800000,1.292608,8.890000,-4.115865
-0.800000,6.550000,6.250000,-8.800000,1.307637,9.230000,-4.379679
-0.600000,6.630000,6.333333,-8.800000,1.323841,9.290000,-4.456328
-0.600000,6.710000,6.416667,-8.800000,1.339879,9.370000,-4.540107
-0.700000,6.790000,6.500000,-8.600000,1.355980,9.350000,-4.606061
-0.600000,6.930000,6.583333,-8.600000,1.371968,9.350000,-4.670232
-0.800000,6.990000,6.666667,-9.000000,1.394054,8.670000,-3.982175
-1.000000,7.090000,6.750000,-8.400000,1.406454,9.310000,-4.552585
-0.800000,7.150000,6.833333,-8.800000,1.419548,9.110000,-4.711230
-0.800000,7.290000,6.916667,-8.800000,1.435559,9.030000,-4.659537
-0.700000,7.330000,7.000000,-8.600000,1.451570,8.870000,-4.593583
-0.800000,7.430000,7.083333,-8.600000,1.467616,8.790000,-4.509804
-0.700000,7.550000,7.166667,-8.800000,1.502845,9.130000,-4.705882
-0.600000,7.650000,7.250000,-8.600000,1.518427,8.970000,-4.611408
-0.900000,7.690000,7.333333,-9.000000,1.534341,8.830000,-4.534759
-0.600000,7.810000,7.416667,-8.800000,1.550445,8.690000,-4.454545
-0.700000,7.870000,7.500000,-8.600000,1.566566,8.610000,-4.361854
-0.900000,7.930000,7.583333,-8.800000,1.582685,8.530000,-4.265597
-0.800000,8.070000,7.666667,-9.000000,1.598719,8.370000,-4.167558
-0.800000,8.110000,7.750000,-9.000000,1.614721,8.350000,-4.096257
-0.900000,8.230000,7.833333,-8.800000,1.630726,8.310000,-4.012478
-0.700000,8.350000,7.916667,-8.800000,1.646733,8.270000,-3.941176
-0.900000,8.430000,8.000000,-8.800000,1.662727,8.350000,-3.898396
-0.700000,8.450000,8.083333,-8.800000,1.678729,8.410000,-3.894831
-0.600000,8.570000,8.166667,-8.800000,1.699889,8.590000,-4.358289
-0.700000,8.610000,8.250000,-8.800000,1.710934,8.590000,-3.942959
-0.800000,8.650000,8.333333,-9.000000,1.727008,8.650000,-3.992870
-0.800000,8.830000,8.416667,-8.800000,1.743005,8.790000,-4.062389
-0.800000,8.910000,8.500000,-9.000000,1.759079,8.950000,-4.153298
-1.000000,8.970000,8.583333,-9.000000,1.775125,9.110000,-4.244207
