# Date: 20210520
# Operator: DCC
# Notes: post test 
# Tap_cm: 1.0
# Sample: SOX_400_5
# Fit of Tap:
#	Ic = 16.8 +/- 0.0072 A
#	n = 224 +/- 13 
#	Vc = 1.5 uV
#	Vfloor = 0.659 +/- 0.033 uV
#	R = 0.0168 +/- 0.0034 Ohms
Tap [uV],Shunt [A],Supply [A],Input_5 [uV],Time [S],Hall [A],Cernox [T]
0.700000,0.230000,0.000000,-9.400000,0.042254,8.590000,-4.429590
0.500000,0.210000,0.083333,-8.800000,0.058138,8.690000,-4.338681
0.600000,0.270000,0.166667,-8.600000,0.069315,8.570000,-4.033868
0.900000,0.310000,0.250000,-9.000000,0.080224,9.290000,-4.586453
0.700000,0.450000,0.333333,-8.400000,0.093355,8.970000,-4.547237
0.600000,0.510000,0.416667,-8.600000,0.109330,8.850000,-4.477718
0.600000,0.650000,0.500000,-8.600000,0.126421,8.910000,-4.532977
0.700000,0.750000,0.583333,-9.000000,0.140299,8.490000,-4.199643
0.700000,0.790000,0.666667,-8.600000,0.158442,8.750000,-4.374332
0.500000,0.830000,0.750000,-8.800000,0.173837,8.590000,-4.237077
0.500000,0.990000,0.833333,-9.200000,0.188889,8.410000,-4.096257
0.500000,1.050000,0.916667,-9.000000,0.207038,8.570000,-4.221034
0.900000,1.090000,1.000000,-8.800000,0.224324,8.630000,-4.294118
0.900000,1.150000,1.083333,-9.000000,0.244336,9.130000,-4.602496
0.700000,1.290000,1.166667,-9.400000,0.259943,9.010000,-4.540107
1.000000,1.370000,1.250000,-8.600000,0.275574,8.770000,-4.431373
0.700000,1.490000,1.333333,-8.800000,0.291016,8.610000,-4.303030
0.600000,1.430000,1.416667,-9.000000,0.306955,8.550000,-4.212121
0.700000,1.690000,1.500000,-8.800000,0.332740,9.070000,-4.306595
0.500000,1.710000,1.583333,-8.800000,0.354054,8.450000,-3.987522
0.700000,1.790000,1.666667,-8.800000,0.374790,8.670000,-4.335116
0.600000,1.970000,1.750000,-8.800000,0.389789,8.450000,-4.163993
0.800000,1.990000,1.833333,-8.800000,0.407946,8.690000,-4.336898
0.800000,2.030000,1.916667,-8.600000,0.429915,9.330000,-4.597148
0.500000,2.190000,2.000000,-8.800000,0.444817,9.210000,-4.629234
0.600000,2.250000,2.083333,-9.200000,0.459954,9.010000,-4.549020
0.400000,2.350000,2.166667,-8.800000,0.474832,8.670000,-4.367201
0.900000,2.390000,2.250000,-9.000000,0.489808,8.470000,-4.163993
0.700000,2.470000,2.333333,-9.000000,0.504827,8.430000,-4.044563
0.900000,2.570000,2.416667,-8.800000,0.519866,8.510000,-4.012478
0.400000,2.670000,2.500000,-8.600000,0.534968,8.750000,-4.085561
0.800000,2.730000,2.583333,-9.200000,0.549938,9.010000,-4.254902
0.700000,2.870000,2.666667,-8.600000,0.565579,9.190000,-4.397504
1.200000,2.950000,2.750000,-8.600000,0.580813,9.270000,-4.531194
0.800000,3.030000,2.833333,-8.800000,0.599562,9.130000,-4.354724
0.700000,3.070000,2.916667,-9.200000,0.621956,8.370000,-4.078431
0.600000,3.250000,3.000000,-9.200000,0.652008,8.730000,-4.055258
0.600000,3.290000,3.083333,-9.000000,0.672921,8.470000,-4.160428
0.500000,3.350000,3.166667,-9.000000,0.687672,8.450000,-4.010695
0.700000,3.390000,3.250000,-9.000000,0.700302,8.990000,-4.197861
0.800000,3.590000,3.333333,-8.600000,0.715835,9.210000,-4.338681
0.800000,3.650000,3.416667,-8.600000,0.732351,9.150000,-4.361854
0.600000,3.690000,3.500000,-8.600000,0.747844,9.310000,-4.497326
0.600000,3.750000,3.583333,-9.000000,0.764352,9.350000,-4.509804
0.600000,3.890000,3.666667,-9.000000,0.784243,8.810000,-4.139037
0.800000,4.010000,3.750000,-9.000000,0.795842,9.350000,-4.639929
0.800000,4.070000,3.833333,-8.800000,0.812933,9.290000,-4.611408
0.600000,4.190000,3.916667,-9.200000,0.827855,9.190000,-4.620321
0.700000,4.250000,4.000000,-8.800000,0.844798,9.210000,-4.622103
0.900000,4.310000,4.083333,-8.800000,0.860938,9.110000,-4.607843
0.800000,4.390000,4.166667,-8.600000,0.876900,9.050000,-4.570410
0.900000,4.530000,4.250000,-8.800000,0.892692,8.930000,-4.509804
0.500000,4.630000,4.333333,-8.600000,0.908790,8.810000,-4.443850
0.800000,4.710000,4.416667,-9.400000,0.939868,8.510000,-4.187166
0.600000,4.810000,4.500000,-9.400000,0.955875,8.410000,-4.122995
0.800000,4.850000,4.583333,-9.400000,0.987861,8.430000,-4.026738
0.900000,4.890000,4.666667,-9.400000,1.003659,8.410000,-3.996435
0.900000,4.990000,4.750000,-9.200000,1.019738,8.530000,-4.010695
0.800000,5.050000,4.833333,-8.800000,1.035809,8.590000,-4.032086
0.500000,5.230000,4.916667,-9.400000,1.051598,8.650000,-4.081996
0.800000,5.230000,5.000000,-9.400000,1.067838,8.790000,-4.115865
0.800000,5.330000,5.083333,-9.600000,1.083671,8.870000,-4.194296
0.600000,5.390000,5.166667,-9.200000,1.099848,8.970000,-4.251337
0.600000,5.510000,5.250000,-9.000000,1.226949,9.050000,-4.595365
0.800000,5.690000,5.333333,-8.600000,1.278894,9.270000,-4.641711
0.600000,5.690000,5.416667,-8.800000,1.294949,9.230000,-4.636364
0.800000,5.850000,5.500000,-9.200000,1.311238,9.190000,-4.625668
0.800000,5.890000,5.583333,-8.600000,1.326903,9.110000,-4.584670
0.700000,5.970000,5.666667,-9.000000,1.352121,8.630000,-4.049911
0.700000,6.030000,5.750000,-9.000000,1.361746,9.230000,-4.645276
0.800000,6.110000,5.833333,-8.800000,1.374280,8.650000,-4.333333
0.900000,6.270000,5.916667,-8.600000,1.390845,8.630000,-4.317291
0.800000,6.310000,6.000000,-8.800000,1.407069,8.550000,-4.265597
0.700000,6.390000,6.083333,-10.400000,1.516913,8.830000,-4.208556
0.900000,6.470000,6.166667,-8.800000,1.563080,9.370000,-4.602496
0.800000,6.670000,6.250000,-8.600000,1.581033,9.290000,-4.495544
0.600000,6.670000,6.333333,-10.200000,1.695873,9.170000,-4.639929
0.800000,6.730000,6.416667,-9.200000,1.724672,8.710000,-4.388592
0.500000,6.810000,6.500000,-9.200000,1.744661,9.150000,-4.638146
0.500000,6.970000,6.583333,-8.600000,1.761228,9.230000,-4.627451
1.000000,7.010000,6.666667,-8.800000,1.776820,9.030000,-4.577540
1.000000,7.130000,6.750000,-8.800000,1.793297,9.030000,-4.573975
0.900000,7.230000,6.833333,-8.600000,1.808863,8.870000,-4.483066
0.800000,7.310000,6.916667,-8.600000,1.833906,8.850000,-4.153298
0.800000,7.330000,7.000000,-8.800000,1.844191,9.170000,-4.614973
0.600000,7.430000,7.083333,-8.600000,1.856823,8.530000,-4.229947
0.900000,7.550000,7.166667,-8.400000,1.873305,8.490000,-4.212121
0.800000,7.650000,7.250000,-9.200000,1.888806,8.450000,-4.110517
0.800000,7.650000,7.333333,-8.800000,1.905338,8.390000,-4.101604
0.800000,7.810000,7.416667,-8.600000,1.925418,8.850000,-4.461676
1.100000,7.870000,7.500000,-8.800000,1.937167,8.390000,-3.994652
0.800000,7.950000,7.583333,-8.800000,1.952770,8.510000,-4.010695
