# Date: 20210520
# Operator: DCC
# Notes: post test 
# Tap_cm: 1.0
# Sample: SOX_360_5
# Fit of Tap:
#	Ic = 14.1 A
#	n = 37.9 
#	Vc = 1.5 uV
#	Vfloor = 1.7 uV
#	R = 0.126 Ohms
Tap [uV],Shunt [A],Supply [A],Input_5 [uV],Time [S],Hall [A],Cernox [T]
1.800000,0.170000,0.000000,-8.800000,0.033096,8.690000,-4.121212
1.900000,0.250000,0.083333,-9.000000,0.043332,9.230000,-4.614973
2.300000,0.230000,0.166667,-8.800000,0.060083,9.250000,-4.614973
2.000000,0.450000,0.250000,-8.800000,0.085091,8.490000,-4.039216
2.300000,0.430000,0.333333,-11.400000,0.096575,9.070000,-4.381462
2.100000,0.550000,0.416667,-11.000000,0.106282,8.890000,-4.436720
2.100000,0.610000,0.500000,-11.200000,0.122240,8.770000,-4.361854
2.000000,0.690000,0.583333,-11.200000,0.137841,8.590000,-4.237077
2.000000,0.770000,0.666667,-11.600000,0.153656,8.550000,-4.158645
2.100000,0.870000,0.750000,-9.400000,0.171948,8.550000,-4.276292
2.100000,0.990000,0.833333,-9.000000,0.188380,8.590000,-4.256684
2.100000,1.070000,0.916667,-9.400000,0.211480,9.250000,-4.532977
2.000000,1.170000,1.000000,-8.800000,0.221095,8.470000,-4.199643
1.900000,1.250000,1.083333,-9.000000,0.236653,8.430000,-4.110517
2.100000,1.270000,1.166667,-8.800000,0.251913,8.410000,-4.048128
2.300000,1.350000,1.250000,-8.600000,0.267964,8.550000,-4.048128
1.700000,1.490000,1.333333,-8.800000,0.284033,8.570000,-4.053476
2.000000,1.530000,1.416667,-8.800000,0.300070,8.670000,-4.076649
2.100000,1.630000,1.500000,-9.200000,0.316139,8.770000,-4.119430
1.900000,1.690000,1.583333,-8.800000,0.332832,8.730000,-4.119430
1.800000,1.850000,1.666667,-9.200000,0.348861,8.810000,-4.167558
2.200000,1.930000,1.750000,-8.600000,0.364714,8.950000,-4.247772
2.300000,1.910000,1.833333,-8.600000,0.390747,8.930000,-4.497326
2.000000,2.030000,1.916667,-9.200000,0.404550,8.530000,-4.210339
2.300000,2.150000,2.000000,-9.000000,0.421834,8.610000,-4.265597
2.100000,2.190000,2.083333,-9.000000,0.432011,8.790000,-4.180036
2.100000,2.310000,2.166667,-9.200000,0.444108,9.230000,-4.573975
2.100000,2.390000,2.250000,-9.200000,0.460283,9.250000,-4.597148
2.000000,2.490000,2.333333,-8.800000,0.476765,9.190000,-4.590018
2.300000,2.590000,2.416667,-9.200000,0.492743,9.170000,-4.591800
2.100000,2.710000,2.500000,-8.800000,0.508831,9.050000,-4.575758
2.000000,2.830000,2.583333,-8.800000,0.533272,8.650000,-4.080214
1.800000,2.870000,2.666667,-9.000000,0.543501,9.190000,-4.593583
2.300000,2.930000,2.750000,-8.800000,0.558768,9.070000,-4.568627
2.200000,3.050000,2.833333,-9.200000,0.575048,9.050000,-4.559715
1.800000,3.150000,2.916667,-9.000000,0.593405,9.270000,-4.613191
2.000000,3.170000,3.000000,-9.000000,0.616034,8.730000,-4.114082
2.100000,3.270000,3.083333,-8.600000,0.631832,8.850000,-4.185383
2.000000,3.350000,3.166667,-8.800000,0.647860,9.030000,-4.251337
1.900000,3.450000,3.250000,-9.000000,0.663537,9.110000,-4.352941
2.000000,3.550000,3.333333,-8.800000,0.689388,8.670000,-4.365419
2.300000,3.630000,3.416667,-8.600000,0.711063,9.250000,-4.561497
1.900000,3.710000,3.500000,-8.800000,0.728110,9.350000,-4.541889
2.000000,3.790000,3.583333,-8.600000,0.744369,9.250000,-4.563280
2.100000,3.890000,3.666667,-8.800000,0.761032,9.290000,-4.557932
2.000000,3.990000,3.750000,-8.800000,0.780413,9.090000,-4.336898
1.900000,4.110000,3.833333,-10.200000,0.803965,8.490000,-4.171123
2.100000,4.150000,3.916667,-9.800000,0.820341,8.430000,-4.144385
2.100000,4.270000,4.000000,-8.800000,0.836741,8.450000,-4.110517
2.000000,4.430000,4.083333,-9.600000,0.852895,8.470000,-4.081996
2.100000,4.390000,4.166667,-8.800000,0.863129,9.110000,-4.393939
2.000000,4.550000,4.250000,-8.800000,0.989566,8.710000,-4.401070
2.100000,4.590000,4.333333,-10.200000,1.128209,9.230000,-4.516934
2.000000,4.650000,4.416667,-8.800000,1.156018,8.710000,-4.360071
2.200000,4.730000,4.500000,-9.000000,1.166058,8.690000,-4.101604
2.000000,4.850000,4.583333,-9.000000,1.186226,8.450000,-4.089127
2.300000,4.870000,4.666667,-8.400000,1.196185,9.170000,-4.418895
2.200000,4.950000,4.750000,-8.600000,1.207853,8.970000,-4.527629
2.100000,5.050000,4.833333,-8.600000,1.222949,8.730000,-4.401070
2.100000,5.170000,4.916667,-9.000000,1.238960,8.670000,-4.335116
1.900000,5.290000,5.000000,-9.000000,1.254956,8.590000,-4.253119
2.000000,5.350000,5.083333,-8.600000,1.280356,9.110000,-4.324421
1.800000,5.410000,5.166667,-8.800000,1.291036,8.910000,-4.518717
2.100000,5.490000,5.250000,-9.000000,1.303067,8.450000,-4.114082
2.100000,5.650000,5.333333,-8.800000,1.319020,8.410000,-4.073084
2.100000,5.650000,5.416667,-8.800000,1.335023,8.490000,-4.033868
2.200000,5.770000,5.500000,-8.800000,1.351027,8.530000,-4.030303
2.000000,5.870000,5.583333,-9.000000,1.376056,9.150000,-4.575758
2.200000,5.930000,5.666667,-9.000000,1.392233,9.150000,-4.575758
2.300000,6.030000,5.750000,-9.000000,1.408865,9.130000,-4.579323
2.200000,6.110000,5.833333,-9.000000,1.425471,9.130000,-4.581105
2.200000,6.170000,5.916667,-8.600000,1.545206,9.290000,-4.486631
2.000000,6.290000,6.000000,-8.800000,1.567019,8.610000,-4.049911
2.100000,6.390000,6.083333,-9.600000,1.608575,9.090000,-4.561497
2.200000,6.470000,6.166667,-9.000000,1.624903,9.050000,-4.545455
2.200000,6.630000,6.250000,-8.600000,1.640986,8.990000,-4.516934
2.100000,6.630000,6.333333,-8.800000,1.657037,8.870000,-4.465241
2.000000,6.710000,6.416667,-8.800000,1.673061,8.830000,-4.409982
2.200000,6.870000,6.500000,-8.600000,1.689103,8.690000,-4.349376
2.100000,6.950000,6.583333,-8.800000,1.705744,8.670000,-4.351159
2.000000,7.050000,6.666667,-8.800000,1.720910,8.490000,-4.203209
2.000000,7.110000,6.750000,-9.000000,1.737212,8.430000,-4.180036
2.000000,7.150000,6.833333,-8.800000,1.752391,8.430000,-4.074866
1.900000,7.310000,6.916667,-9.200000,1.775893,9.150000,-4.588235
2.100000,7.330000,7.000000,-8.800000,1.785884,8.430000,-4.076649
2.200000,7.430000,7.083333,-9.200000,1.800954,8.510000,-4.042781
1.900000,7.490000,7.166667,-9.200000,1.816954,8.590000,-4.053476
