# Date: 20210520
# Operator: DCC
# Notes: post test 
# Tap_cm: 1.0
# Sample: SOX_300_5
# Fit of Tap:
#	Ic = 15.2 +/- 0.019 A
#	n = 102 +/- 5.3 
#	Vc = 1.5 uV
#	Vfloor = 1.01 +/- 0.093 uV
#	R = 0.0766 +/- 0.011 Ohms
Tap [uV],Shunt [A],Supply [A],Input_5 [uV],Time [S],Hall [A],Cernox [T]
1.300000,0.270000,0.000000,-8.600000,0.041506,8.990000,-4.495544
1.200000,0.310000,0.083333,-11.400000,0.053775,8.510000,-4.108734
0.700000,0.270000,0.166667,-11.000000,0.061536,9.330000,-4.550802
1.100000,0.370000,0.250000,-11.000000,0.073860,8.910000,-4.440285
1.000000,0.430000,0.333333,-11.200000,0.090161,8.830000,-4.401070
1.000000,0.550000,0.416667,-11.000000,0.105461,8.630000,-4.238859
1.100000,0.630000,0.500000,-11.000000,0.121790,8.610000,-4.206774
1.000000,0.790000,0.583333,-8.600000,0.140136,8.730000,-4.354724
1.200000,0.770000,0.666667,-8.600000,0.156237,8.610000,-4.288770
1.000000,0.930000,0.750000,-8.600000,0.172250,8.550000,-4.206774
1.000000,1.010000,0.833333,-9.200000,0.188185,8.470000,-4.153298
1.100000,1.090000,0.916667,-9.200000,0.204205,8.450000,-4.101604
1.100000,1.110000,1.000000,-9.200000,0.220251,8.430000,-4.060606
1.200000,1.210000,1.083333,-8.800000,0.241065,8.850000,-4.449198
1.000000,1.310000,1.166667,-8.800000,0.271322,8.430000,-4.117647
1.000000,1.390000,1.250000,-9.200000,0.287284,8.410000,-4.067736
1.000000,1.510000,1.333333,-8.800000,0.303329,8.430000,-4.028520
1.200000,1.490000,1.416667,-8.600000,0.319375,8.470000,-4.007130
1.000000,1.650000,1.500000,-8.800000,0.335396,8.490000,-4.007130
1.100000,1.690000,1.583333,-8.800000,0.351408,8.550000,-4.024955
0.800000,1.870000,1.666667,-8.600000,0.367522,8.630000,-4.055258
1.000000,1.930000,1.750000,-8.800000,0.383502,8.690000,-4.101604
1.100000,1.990000,1.833333,-8.800000,0.399453,8.850000,-4.167558
0.800000,2.110000,1.916667,-8.800000,0.416248,8.790000,-4.153298
0.800000,2.170000,2.000000,-8.600000,0.434688,8.570000,-4.030303
1.000000,2.190000,2.083333,-9.000000,0.451058,8.570000,-4.046346
1.000000,2.370000,2.166667,-9.000000,0.463567,9.250000,-4.434938
1.100000,2.390000,2.250000,-9.000000,0.480083,9.270000,-4.456328
1.000000,2.430000,2.333333,-8.800000,0.495699,9.310000,-4.531194
0.900000,2.610000,2.416667,-8.800000,0.511197,9.310000,-4.591800
0.900000,2.710000,2.500000,-8.800000,0.527669,9.270000,-4.582888
0.900000,2.750000,2.583333,-8.600000,0.543689,9.170000,-4.573975
0.900000,2.830000,2.666667,-8.800000,0.568108,8.530000,-4.017825
1.300000,2.930000,2.750000,-8.800000,0.578447,9.310000,-4.549020
1.200000,2.970000,2.833333,-8.600000,0.591448,8.890000,-4.442068
1.100000,3.110000,2.916667,-8.600000,0.607658,8.850000,-4.385027
1.200000,3.210000,3.000000,-8.800000,0.623971,8.750000,-4.347594
1.000000,3.330000,3.083333,-8.600000,0.640167,8.650000,-4.294118
1.000000,3.390000,3.166667,-9.400000,0.659748,9.090000,-4.547237
1.100000,3.450000,3.250000,-8.800000,0.671673,8.450000,-4.121212
0.900000,3.590000,3.333333,-8.800000,0.687198,8.410000,-4.035651
1.000000,3.670000,3.416667,-8.600000,0.703637,8.410000,-4.023173
1.100000,3.690000,3.500000,-9.000000,0.719150,8.470000,-3.982175
1.000000,3.790000,3.583333,-8.800000,0.736298,8.470000,-3.989305
1.300000,3.890000,3.666667,-8.600000,0.751964,8.530000,-3.994652
0.900000,4.030000,3.750000,-8.800000,0.767449,8.750000,-4.057041
1.200000,4.070000,3.833333,-8.800000,0.783976,8.730000,-4.060606
0.900000,4.190000,3.916667,-9.000000,0.799417,8.930000,-4.174688
1.000000,4.230000,4.000000,-8.800000,0.815927,8.930000,-4.187166
1.100000,4.310000,4.083333,-9.000000,0.831456,9.170000,-4.308378
1.100000,4.390000,4.166667,-8.800000,0.847134,9.270000,-4.415330
0.900000,4.510000,4.250000,-8.800000,0.881481,9.150000,-4.311943
1.000000,4.630000,4.333333,-8.600000,0.898287,9.130000,-4.303030
1.000000,4.690000,4.416667,-9.000000,0.914238,9.230000,-4.390374
1.100000,4.730000,4.500000,-8.800000,0.929725,9.310000,-4.495544
1.100000,4.850000,4.583333,-8.800000,0.945673,9.370000,-4.540107
1.100000,4.930000,4.666667,-8.800000,0.961620,9.310000,-4.584670
1.200000,4.990000,4.750000,-8.800000,0.977561,9.270000,-4.590018
0.800000,5.050000,4.833333,-9.000000,0.993687,9.270000,-4.575758
1.000000,5.150000,4.916667,-9.000000,1.009674,9.110000,-4.540107
1.100000,5.270000,5.000000,-8.600000,1.025627,9.010000,-4.497326
1.100000,5.290000,5.083333,-8.800000,1.041566,8.930000,-4.436720
1.000000,5.490000,5.166667,-8.600000,1.061336,9.230000,-4.582888
1.000000,5.530000,5.250000,-9.000000,1.073446,8.670000,-4.283422
1.000000,5.610000,5.333333,-8.800000,1.089372,8.530000,-4.203209
1.000000,5.670000,5.416667,-9.000000,1.106319,8.610000,-4.226381
0.800000,5.830000,5.500000,-9.000000,1.122307,8.510000,-4.167558
1.100000,5.890000,5.583333,-9.200000,1.139284,8.430000,-4.188948
1.200000,5.990000,5.666667,-8.400000,1.163756,9.270000,-4.438503
1.000000,6.030000,5.750000,-8.600000,1.179234,9.310000,-4.531194
0.900000,6.130000,5.833333,-8.800000,1.199223,8.910000,-4.226381
1.000000,6.210000,5.916667,-8.600000,1.214011,9.170000,-4.440285
1.100000,6.250000,6.000000,-8.600000,1.230400,9.250000,-4.467023
1.100000,6.350000,6.083333,-8.800000,1.247181,9.250000,-4.442068
1.000000,6.490000,6.166667,-8.800000,1.262772,9.330000,-4.527629
1.000000,6.650000,6.250000,-8.800000,1.282275,9.010000,-4.270945
1.200000,6.570000,6.333333,-8.800000,1.298844,8.990000,-4.269162
1.000000,6.730000,6.416667,-8.600000,1.314294,9.190000,-4.417112
1.200000,6.830000,6.500000,-8.800000,1.330802,9.190000,-4.424242
1.000000,6.930000,6.583333,-9.000000,1.346229,9.230000,-4.520499
1.200000,7.010000,6.666667,-8.800000,1.362643,9.310000,-4.531194
1.100000,7.110000,6.750000,-8.800000,1.378123,9.290000,-4.593583
1.000000,7.230000,6.833333,-8.800000,1.394529,9.250000,-4.590018
0.900000,7.310000,6.916667,-9.000000,1.410953,9.230000,-4.579323
1.400000,7.370000,7.000000,-8.800000,1.426344,9.030000,-4.541889
1.300000,7.410000,7.083333,-9.000000,1.442771,9.010000,-4.518717
1.300000,7.510000,7.166667,-9.200000,1.476524,9.150000,-4.541889
1.300000,7.670000,7.250000,-8.800000,1.493274,9.130000,-4.540107
1.200000,7.730000,7.333333,-8.800000,1.508909,8.950000,-4.467023
1.100000,7.790000,7.416667,-8.800000,1.524357,8.750000,-4.360071
1.100000,7.850000,7.500000,-8.600000,1.540825,8.730000,-4.342246
1.000000,7.930000,7.583333,-8.800000,1.557245,8.650000,-4.310160
1.000000,8.050000,7.666667,-8.800000,1.572656,8.470000,-4.183601
1.100000,8.150000,7.750000,-8.800000,1.589111,8.510000,-4.162210
1.000000,8.270000,7.833333,-8.800000,1.604528,8.390000,-4.064171
0.800000,8.330000,7.916667,-8.800000,1.620923,8.390000,-4.048128
1.100000,8.390000,8.000000,-9.000000,1.636334,8.450000,-4.008913
1.100000,8.490000,8.083333,-9.200000,1.662260,9.250000,-4.581105
1.000000,8.510000,8.166667,-9.200000,1.671669,8.450000,-4.087344
1.200000,8.570000,8.250000,-9.000000,1.685147,8.570000,-4.033868
1.000000,8.770000,8.333333,-8.800000,1.700552,8.770000,-4.126560
1.000000,8.830000,8.416667,-9.200000,1.717097,8.790000,-4.139037
1.000000,8.890000,8.500000,-8.800000,1.732501,8.990000,-4.265597
1.000000,8.970000,8.583333,-8.600000,1.749196,9.010000,-4.265597
1.200000,9.050000,8.666667,-8.800000,1.773988,8.610000,-4.301248
1.100000,9.090000,8.750000,-9.000000,1.784225,8.690000,-4.098039
1.300000,9.230000,8.833333,-9.000000,1.796770,9.250000,-4.504456
1.000000,9.270000,8.916667,-8.600000,1.813234,9.290000,-4.509804
1.100000,9.410000,9.000000,-8.800000,1.828831,9.290000,-4.568627
0.800000,9.530000,9.083333,-8.600000,1.845259,9.250000,-4.579323
1.000000,9.610000,9.166667,-8.600000,1.865094,9.130000,-4.352941
1.300000,9.610000,9.250000,-9.000000,1.876603,9.010000,-4.532977
1.400000,9.770000,9.333333,-8.800000,1.893095,9.030000,-4.516934
1.300000,9.830000,9.416667,-8.800000,1.908518,8.770000,-4.413547
1.100000,9.890000,9.500000,-8.800000,1.924968,8.810000,-4.390374
1.000000,10.050000,9.583333,-8.600000,1.940379,8.590000,-4.251337
1.100000,10.090000,9.666667,-8.800000,1.957215,8.610000,-4.269162
0.900000,10.230000,9.750000,-9.000000,1.972681,8.410000,-4.147950
1.200000,10.230000,9.833333,-9.000000,1.989779,8.550000,-4.190731
0.900000,10.410000,9.916667,-9.200000,2.005326,8.390000,-4.092692
1.100000,10.490000,10.000000,-8.600000,2.020843,8.410000,-4.024955
1.200000,10.610000,10.083333,-8.800000,2.037281,8.430000,-4.003565
1.100000,10.670000,10.166667,-8.600000,2.077277,9.130000,-4.568627
1.000000,10.750000,10.250000,-8.800000,2.093980,9.110000,-4.573975
1.100000,10.810000,10.333333,-8.800000,2.109418,8.950000,-4.502674
1.100000,10.890000,10.416667,-8.800000,2.125882,8.910000,-4.488414
0.900000,10.990000,10.500000,-8.600000,2.141358,8.770000,-4.361854
1.100000,11.090000,10.583333,-8.800000,2.157847,8.730000,-4.356506
0.900000,11.290000,10.666667,-9.000000,2.173320,8.550000,-4.217469
1.000000,11.290000,10.750000,-8.800000,2.189789,8.530000,-4.181818
1.100000,11.390000,10.833333,-8.800000,2.205210,8.350000,-4.074866
0.900000,11.450000,10.916667,-8.800000,2.221617,8.430000,-4.058824
0.800000,11.530000,11.000000,-8.800000,2.238408,8.370000,-4.076649
1.100000,11.590000,11.083333,-9.000000,2.262125,9.270000,-4.588235
0.900000,11.710000,11.166667,-8.400000,2.271528,8.410000,-4.058824
1.200000,11.770000,11.250000,-8.800000,2.286075,8.510000,-4.014260
0.900000,11.890000,11.333333,-8.800000,2.301470,8.650000,-4.081996
0.900000,11.990000,11.416667,-8.800000,2.317927,8.710000,-4.099822
