# Date: 20210520
# Operator: DCC
# Notes: post test 
# Tap_cm: 1.0
# Sample: SOX_300_5
# Fit of Tap:
#	Ic = 8.78 +/- 0.27 A
#	n = 50 +/- 2.6 
#	Vc = 1.5 uV
#	Vfloor = 23 +/- 4.7e+78 uV
#	R = 0.00636 +/- 2.2e+75 Ohms
Tap [uV],Shunt [A],Supply [A],Input_5 [uV],Time [S],Hall [A],Cernox [T]
1.200000,0.350000,0.000000,-11.400000,0.029883,9.250000,-4.607843
1.400000,0.250000,0.083333,-11.200000,0.041491,8.530000,-4.174688
1.200000,0.330000,0.166667,-11.000000,0.057824,8.450000,-4.144385
1.200000,0.390000,0.250000,-11.400000,0.074158,8.450000,-4.117647
1.300000,0.430000,0.333333,-11.400000,0.089525,8.430000,-4.035651
1.100000,0.550000,0.416667,-11.400000,0.105858,8.450000,-4.030303
1.100000,0.590000,0.500000,-9.200000,0.123348,8.470000,-4.053476
1.400000,0.730000,0.583333,-8.800000,0.139888,8.490000,-4.046346
1.400000,0.790000,0.666667,-8.600000,0.155361,8.490000,-4.051693
1.400000,0.890000,0.750000,-8.800000,0.171897,8.550000,-4.057041
1.100000,0.970000,0.833333,-9.000000,0.187337,8.730000,-4.114082
1.500000,1.130000,0.916667,-8.800000,0.203822,8.730000,-4.149733
1.500000,1.090000,1.000000,-8.800000,0.219264,8.870000,-4.249554
1.400000,1.190000,1.083333,-9.000000,0.248739,9.290000,-4.591800
1.100000,1.310000,1.166667,-9.000000,0.263866,9.190000,-4.611408
0.900000,1.350000,1.250000,-8.800000,0.274277,8.390000,-4.101604
1.300000,1.430000,1.333333,-8.600000,0.283824,9.250000,-4.484848
1.600000,1.570000,1.416667,-9.000000,0.299285,9.310000,-4.565062
1.400000,1.650000,1.500000,-9.000000,0.315845,9.290000,-4.577540
1.200000,1.710000,1.583333,-8.800000,0.331289,9.270000,-4.629234
1.100000,1.790000,1.666667,-8.600000,0.347825,9.250000,-4.627451
1.200000,1.890000,1.750000,-9.200000,0.363265,9.130000,-4.604278
1.600000,2.010000,1.833333,-8.800000,0.379747,9.050000,-4.598930
1.700000,2.070000,1.916667,-8.600000,0.396150,9.050000,-4.575758
1.500000,2.170000,2.000000,-8.400000,0.411663,8.870000,-4.493761
1.300000,2.230000,2.083333,-9.000000,0.428133,8.890000,-4.474153
1.100000,2.370000,2.166667,-8.800000,0.447323,9.230000,-4.616756
1.400000,2.410000,2.250000,-8.800000,0.459950,8.590000,-4.315508
1.200000,2.450000,2.333333,-9.000000,0.475396,8.430000,-4.192513
1.200000,2.590000,2.416667,-8.800000,0.491878,8.430000,-4.180036
1.300000,2.710000,2.500000,-8.600000,0.507311,8.410000,-4.087344
1.400000,2.750000,2.583333,-8.800000,0.523959,8.430000,-4.071301
1.200000,2.870000,2.666667,-8.800000,0.548510,9.290000,-4.607843
1.200000,2.950000,2.750000,-9.000000,0.558804,8.470000,-4.185383
1.400000,3.030000,2.833333,-8.800000,0.571302,8.570000,-4.087344
0.900000,3.130000,2.916667,-8.800000,0.587887,8.630000,-4.090909
1.300000,3.210000,3.000000,-8.800000,0.603358,8.850000,-4.176471
1.500000,3.330000,3.083333,-9.000000,0.619882,8.850000,-4.183601
1.400000,3.350000,3.166667,-8.800000,0.643282,8.650000,-4.290553
1.200000,3.450000,3.250000,-8.800000,0.652824,8.930000,-4.229947
1.300000,3.530000,3.333333,-8.800000,0.667245,9.250000,-4.475936
1.500000,3.650000,3.416667,-8.600000,0.683664,9.330000,-4.486631
1.500000,3.690000,3.500000,-8.800000,0.700157,9.270000,-4.504456
1.400000,3.810000,3.583333,-8.800000,0.715675,9.330000,-4.586453
1.300000,3.890000,3.666667,-8.800000,0.732077,9.290000,-4.604278
1.200000,3.990000,3.750000,-8.800000,0.747542,9.230000,-4.620321
1.300000,4.070000,3.833333,-8.600000,0.764040,9.170000,-4.614973
1.400000,4.150000,3.916667,-9.000000,0.779589,9.050000,-4.566845
1.500000,4.250000,4.000000,-8.600000,0.796120,9.070000,-4.561497
1.400000,4.330000,4.083333,-8.800000,0.811622,8.870000,-4.461676
1.400000,4.390000,4.166667,-8.400000,0.828060,8.810000,-4.449198
1.300000,4.490000,4.250000,-8.800000,0.862618,9.030000,-4.547237
1.200000,4.630000,4.333333,-9.000000,0.879257,9.030000,-4.534759
1.400000,4.710000,4.416667,-8.600000,0.894782,8.810000,-4.440285
1.400000,4.750000,4.500000,-8.600000,0.911236,8.790000,-4.426025
1.300000,4.810000,4.583333,-8.800000,0.926725,8.550000,-4.286988
1.400000,4.890000,4.666667,-8.800000,0.943162,8.550000,-4.256684
1.200000,4.990000,4.750000,-8.600000,0.958630,8.410000,-4.151515
1.300000,5.070000,4.833333,-8.600000,0.975094,8.350000,-4.133690
1.200000,5.170000,4.916667,-8.800000,0.990511,8.410000,-4.055258
1.400000,5.270000,5.000000,-8.600000,1.006983,8.430000,-4.049911
1.300000,5.290000,5.083333,-8.600000,1.022505,8.490000,-4.037433
1.200000,5.370000,5.166667,-8.800000,1.043172,8.590000,-4.251337
1.200000,5.490000,5.250000,-8.800000,1.054814,8.650000,-4.071301
1.100000,5.630000,5.333333,-9.000000,1.071316,8.630000,-4.076649
1.300000,5.650000,5.416667,-9.200000,1.086820,8.850000,-4.176471
1.400000,5.810000,5.500000,-8.800000,1.103228,8.830000,-4.197861
1.200000,5.890000,5.583333,-8.800000,1.118721,9.050000,-4.313725
1.300000,5.990000,5.666667,-8.800000,1.148254,9.230000,-4.602496
1.200000,6.050000,5.750000,-9.200000,1.158410,8.450000,-4.128342
1.400000,6.050000,5.833333,-8.600000,1.167851,9.210000,-4.427807
1.200000,6.230000,5.916667,-8.800000,1.183266,9.290000,-4.525847
1.400000,6.270000,6.000000,-8.800000,1.198783,9.310000,-4.595365
1.400000,6.390000,6.083333,-9.400000,1.215263,9.230000,-4.604278
1.300000,6.470000,6.166667,-8.800000,1.230857,9.210000,-4.602496
1.200000,6.550000,6.250000,-8.600000,1.250511,9.270000,-4.484848
1.700000,6.590000,6.333333,-8.800000,1.263026,9.070000,-4.568627
1.500000,6.750000,6.416667,-8.600000,1.278553,8.870000,-4.470588
1.300000,6.830000,6.500000,-8.800000,1.295072,8.770000,-4.458111
1.300000,6.950000,6.583333,-9.000000,1.310530,8.670000,-4.333333
1.300000,7.030000,6.666667,-9.600000,1.327101,8.670000,-4.320856
1.300000,7.090000,6.750000,-9.200000,1.342739,8.510000,-4.212121
1.200000,7.210000,6.833333,-9.000000,1.359205,8.470000,-4.181818
