# Date: 20210520
# Operator: DCC
# Notes: post test 
# Tap_cm: 1.0
# Sample: SOX_240_5
# Fit of Tap:
#	Ic = 8.79 +/- 0.32 A
#	n = 50 +/- 3 
#	Vc = 1.5 uV
#	Vfloor = 19.9 +/- 1.5e+53 uV
#	R = 6.41 +/- 1.7e+51 Ohms
Tap [uV],Shunt [A],Supply [A],Input_5 [uV],Time [S],Hall [A],Cernox [T]
0.800000,0.250000,0.000000,-8.600000,0.032090,9.170000,-4.336898
1.300000,0.230000,0.083333,-8.600000,0.052896,8.390000,-3.962567
1.100000,0.330000,0.166667,-9.400000,0.066800,8.870000,-4.156863
1.200000,0.350000,0.250000,-11.400000,0.074759,8.770000,-4.363636
1.200000,0.450000,0.333333,-11.200000,0.090066,8.550000,-4.199643
1.400000,0.490000,0.416667,-11.400000,0.106135,8.490000,-4.139037
1.100000,0.630000,0.500000,-11.400000,0.122063,8.410000,-4.076649
1.200000,0.730000,0.583333,-11.400000,0.138046,8.350000,-4.014260
0.900000,0.790000,0.666667,-11.600000,0.154090,8.390000,-3.971480
1.200000,0.910000,0.750000,-11.600000,0.170060,8.390000,-3.950089
1.200000,0.970000,0.833333,-11.400000,0.186142,8.390000,-3.960784
1.100000,1.110000,0.916667,-11.200000,0.203849,8.390000,-3.962567
1.100000,1.150000,1.000000,-11.200000,0.218291,8.610000,-4.010695
1.400000,1.270000,1.083333,-8.600000,0.236154,8.510000,-3.966132
1.300000,1.270000,1.166667,-9.000000,0.251729,8.610000,-4.021390
1.200000,1.410000,1.250000,-8.800000,0.267713,8.790000,-4.078431
1.400000,1.470000,1.333333,-9.200000,0.283637,8.930000,-4.165775
1.400000,1.590000,1.416667,-9.000000,0.299592,9.030000,-4.240642
1.000000,1.670000,1.500000,-8.800000,0.315630,9.110000,-4.304813
1.200000,1.710000,1.583333,-8.800000,0.331621,9.210000,-4.385027
1.200000,1.770000,1.666667,-8.800000,0.357102,8.470000,-4.203209
1.100000,1.950000,1.750000,-8.800000,0.367609,8.790000,-4.099822
1.200000,1.950000,1.833333,-8.800000,0.379742,9.310000,-4.563280
1.100000,2.030000,1.916667,-8.800000,0.401020,8.710000,-4.078431
1.100000,2.130000,2.000000,-9.200000,0.411985,9.290000,-4.595365
1.300000,2.270000,2.083333,-8.800000,0.427720,9.150000,-4.577540
1.000000,2.330000,2.166667,-8.800000,0.444593,9.210000,-4.575758
1.600000,2.410000,2.250000,-8.600000,0.460098,9.010000,-4.525847
1.200000,2.470000,2.333333,-8.800000,0.475595,8.810000,-4.431373
1.200000,2.650000,2.416667,-8.800000,0.492157,8.790000,-4.415330
