# Date: 20210520
# Operator: DCC
# Notes: post test 
# Tap_cm: 1.0
# Sample: SOX_240_5
# Fit of Tap:
#	Ic = 8.38 +/- 0.34 A
#	n = 50 +/- 3.2 
#	Vc = 1.5 uV
#	Vfloor = 8.87 +/- 2.8e+129 uV
#	R = 0.235 +/- 1.2e+129 Ohms
Tap [uV],Shunt [A],Supply [A],Input_5 [uV],Time [S],Hall [A],Cernox [T]
1.300000,0.270000,0.000000,-8.800000,0.033616,8.390000,-4.142602
1.400000,0.290000,0.083333,-9.000000,0.043527,9.010000,-4.288770
1.500000,0.290000,0.166667,-8.800000,0.060058,9.070000,-4.315508
1.700000,0.370000,0.250000,-8.800000,0.075700,9.190000,-4.443850
1.600000,0.390000,0.333333,-8.800000,0.103677,8.870000,-4.529412
1.600000,0.510000,0.416667,-8.800000,0.113868,8.450000,-4.003565
1.500000,0.610000,0.500000,-8.600000,0.123339,9.290000,-4.622103
1.500000,0.730000,0.583333,-9.200000,0.139776,9.250000,-4.632799
1.300000,0.850000,0.666667,-8.800000,0.155318,9.170000,-4.625668
1.500000,0.910000,0.750000,-9.200000,0.171831,9.090000,-4.613191
1.800000,0.950000,0.833333,-9.000000,0.187909,9.050000,-4.593583
1.500000,1.110000,0.916667,-8.800000,0.211459,8.830000,-4.162210
1.900000,1.110000,1.000000,-8.800000,0.221406,9.070000,-4.607843
1.700000,1.190000,1.083333,-8.800000,0.235718,8.630000,-4.409982
1.600000,1.350000,1.166667,-9.000000,0.251852,8.610000,-4.335116
1.600000,1.430000,1.250000,-9.000000,0.267875,8.490000,-4.251337
1.500000,1.450000,1.333333,-9.000000,0.283772,8.390000,-4.169340
1.500000,1.570000,1.416667,-8.800000,0.299738,8.330000,-4.105169
1.600000,1.670000,1.500000,-9.200000,0.315883,8.390000,-4.069519
1.900000,1.710000,1.583333,-9.200000,0.331933,8.370000,-4.019608
1.300000,1.790000,1.666667,-8.800000,0.347842,8.430000,-3.989305
1.700000,1.930000,1.750000,-8.600000,0.363742,8.490000,-3.991087
1.400000,2.010000,1.833333,-9.200000,0.379734,8.570000,-4.024955
1.600000,2.030000,1.916667,-8.800000,0.407153,9.310000,-4.593583
1.900000,2.110000,2.000000,-8.600000,0.424156,9.270000,-4.577540
1.600000,2.250000,2.083333,-9.200000,0.433669,8.410000,-4.156863
1.600000,2.310000,2.166667,-9.000000,0.444123,8.890000,-4.228164
1.700000,2.430000,2.250000,-9.000000,0.459627,9.170000,-4.381462
1.600000,2.550000,2.333333,-8.800000,0.476050,9.170000,-4.395722
1.600000,2.570000,2.416667,-8.600000,0.491523,9.350000,-4.506239
1.600000,2.670000,2.500000,-8.600000,0.507982,9.310000,-4.525847
1.700000,2.750000,2.583333,-8.600000,0.523565,9.330000,-4.611408
1.400000,2.830000,2.666667,-8.800000,0.540002,9.330000,-4.614973
1.500000,2.910000,2.750000,-8.800000,0.555539,9.190000,-4.625668
1.700000,3.050000,2.833333,-9.000000,0.572107,9.190000,-4.622103
1.700000,3.130000,2.916667,-8.800000,0.587651,9.030000,-4.566845
