# Date: 20210520
# Operator: DCC
# Notes: post test 
# Tap_cm: 1.0
# Sample: SOX_60_5
# Fit of Tap:
#	Ic = 2.83 +/- 0.24 A
#	n = 50 +/- 8 
#	Vc = 1.5 uV
#	Vfloor = 1.16 +/- 2e+87 uV
#	R = 7.62 +/- 5.1e+89 Ohms
Tap [uV],Shunt [A],Supply [A],Input_5 [uV],Time [S],Hall [A],Cernox [T]
1.300000,0.250000,0.000000,-11.400000,0.024764,9.290000,-4.450980
1.300000,0.090000,0.083333,-9.800000,0.042139,9.290000,-4.417112
1.500000,0.270000,0.166667,-9.000000,0.058790,9.290000,-4.426025
1.300000,0.410000,0.250000,-8.800000,0.075229,9.310000,-4.442068
1.500000,0.430000,0.333333,-9.000000,0.090785,9.310000,-4.525847
1.100000,0.550000,0.416667,-8.800000,0.107264,9.310000,-4.534759
1.300000,0.690000,0.500000,-9.000000,0.122749,9.250000,-4.566845
1.300000,0.750000,0.583333,-8.800000,0.139168,9.230000,-4.563280
1.500000,0.790000,0.666667,-8.800000,0.154587,9.110000,-4.532977
1.700000,0.890000,0.750000,-9.000000,0.171066,9.070000,-4.529412
1.300000,0.950000,0.833333,-8.800000,0.186494,8.870000,-4.429590
1.400000,1.070000,0.916667,-8.800000,0.202900,8.810000,-4.404635
1.400000,1.130000,1.000000,-9.000000,0.218327,8.610000,-4.265597
1.400000,1.190000,1.083333,-8.800000,0.247545,8.410000,-3.976827
1.400000,1.290000,1.166667,-9.200000,0.262325,8.650000,-4.058824
1.300000,1.390000,1.250000,-9.000000,0.272451,9.210000,-4.579323
1.200000,1.430000,1.333333,-9.000000,0.282920,8.390000,-4.057041
1.300000,1.550000,1.416667,-9.000000,0.298418,8.370000,-3.983957
1.600000,1.670000,1.500000,-8.800000,0.315022,8.370000,-3.976827
1.300000,1.670000,1.583333,-8.600000,0.330465,8.470000,-3.976827
1.400000,1.770000,1.666667,-8.800000,0.346960,8.470000,-3.982175
1.300000,1.830000,1.750000,-8.600000,0.362429,8.650000,-4.048128
1.300000,1.990000,1.833333,-9.200000,0.378922,8.690000,-4.049911
1.400000,2.130000,1.916667,-8.800000,0.394325,8.950000,-4.163993
1.500000,2.150000,2.000000,-9.000000,0.410816,8.970000,-4.178253
1.600000,2.270000,2.083333,-9.200000,0.427246,9.030000,-4.203209
1.200000,2.310000,2.166667,-8.800000,0.446231,8.610000,-4.005348
1.400000,2.390000,2.250000,-8.800000,0.458802,9.270000,-4.406417
1.300000,2.450000,2.333333,-8.800000,0.475234,9.270000,-4.431373
1.400000,2.570000,2.416667,-9.000000,0.490721,9.370000,-4.515152
1.400000,2.690000,2.500000,-8.800000,0.507158,9.330000,-4.527629
1.300000,2.770000,2.583333,-9.200000,0.522566,9.250000,-4.565062
1.800000,2.810000,2.666667,-9.400000,0.548239,8.370000,-3.969697
1.400000,2.890000,2.750000,-9.200000,0.558419,9.290000,-4.438503
1.500000,2.950000,2.833333,-8.400000,0.571004,9.050000,-4.513369
1.500000,3.110000,2.916667,-8.800000,0.586474,8.890000,-4.415330
1.500000,3.210000,3.000000,-8.800000,0.602944,8.850000,-4.401070
1.400000,3.290000,3.083333,-9.400000,0.618374,8.590000,-4.260250
1.300000,3.390000,3.166667,-9.000000,0.642591,9.210000,-4.363636
1.200000,3.390000,3.250000,-9.000000,0.652068,8.630000,-4.299465
1.200000,3.550000,3.333333,-9.000000,0.666493,8.330000,-4.067736
1.500000,3.650000,3.416667,-9.200000,0.682911,8.350000,-4.053476
1.400000,3.690000,3.500000,-9.400000,0.698334,8.370000,-3.976827
1.100000,3.810000,3.583333,-9.000000,0.714871,8.370000,-3.964349
1.400000,3.850000,3.666667,-9.000000,0.731269,8.410000,-3.959002
1.400000,3.990000,3.750000,-8.800000,0.746690,8.490000,-3.980392
1.300000,4.050000,3.833333,-8.600000,0.763109,8.530000,-3.992870
4.700000,4.150000,3.916667,-9.400000,0.778531,8.730000,-4.076649
8.600000,4.250000,4.000000,-8.800000,0.795327,8.770000,-4.069519
11.500000,4.350000,4.083333,-8.800000,0.811209,8.850000,-4.139037
13.800000,4.430000,4.166667,-8.600000,0.826814,9.050000,-4.253119
17.900000,4.490000,4.250000,-8.800000,0.863315,8.490000,-3.983957
19.600000,4.610000,4.333333,-8.800000,0.880086,8.470000,-3.983957
20.400000,4.710000,4.416667,-8.800000,0.895518,8.710000,-4.049911
21.200000,4.750000,4.500000,-8.600000,0.912025,8.730000,-4.064171
