# Date: 20210520
# Operator: DCC
# Notes: post test 
# Tap_cm: 1.0
# Sample: SOX_60_5
# Fit of Tap:
#	Ic = 3.96 +/- 0.03 A
#	n = 18.2 +/- 1 
#	Vc = 1.5 uV
#	Vfloor = 1.75 +/- 0.18 uV
#	R = 0.0001 +/- 0.09 Ohms
Tap [uV],Shunt [A],Supply [A],Input_5 [uV],Time [S],Hall [A],Cernox [T]
1.600000,0.250000,0.000000,-11.200000,0.025633,9.110000,-4.545455
1.900000,0.230000,0.083333,-11.600000,0.041025,8.950000,-4.454545
2.000000,0.270000,0.166667,-11.200000,0.057343,8.890000,-4.417112
1.600000,0.410000,0.250000,-8.600000,0.074359,8.750000,-4.408200
1.800000,0.470000,0.333333,-9.000000,0.090823,8.710000,-4.395722
2.000000,0.550000,0.416667,-8.800000,0.107359,8.730000,-4.377897
1.800000,0.630000,0.500000,-9.200000,0.122825,8.530000,-4.226381
1.800000,0.730000,0.583333,-9.000000,0.139496,8.510000,-4.204991
1.800000,0.810000,0.666667,-8.600000,0.155011,8.330000,-4.114082
1.800000,0.890000,0.750000,-8.600000,0.170545,8.390000,-4.023173
1.900000,0.990000,0.833333,-8.800000,0.186972,8.350000,-4.008913
1.900000,1.050000,0.916667,-8.800000,0.202639,8.350000,-3.983957
1.700000,1.130000,1.000000,-9.000000,0.219185,8.410000,-3.980392
1.900000,1.230000,1.083333,-8.800000,0.239243,8.510000,-4.190731
1.900000,1.330000,1.166667,-8.600000,0.263787,9.250000,-4.431373
1.800000,1.410000,1.250000,-9.000000,0.273974,8.730000,-4.363636
1.700000,1.390000,1.333333,-8.800000,0.283482,8.730000,-4.112299
1.700000,1.550000,1.416667,-8.800000,0.298944,8.950000,-4.229947
1.800000,1.650000,1.500000,-8.600000,0.314622,9.150000,-4.335116
1.700000,1.670000,1.583333,-8.800000,0.331118,9.170000,-4.360071
1.800000,1.770000,1.666667,-8.800000,0.346591,9.310000,-4.472371
1.900000,1.910000,1.750000,-8.800000,0.363057,9.310000,-4.490196
2.000000,1.990000,1.833333,-8.800000,0.378488,9.350000,-4.579323
1.900000,2.030000,1.916667,-8.400000,0.394924,9.290000,-4.593583
1.700000,2.150000,2.000000,-8.600000,0.410450,9.190000,-4.586453
1.900000,2.250000,2.083333,-8.800000,0.427063,9.190000,-4.590018
1.800000,2.310000,2.166667,-8.800000,0.447153,9.230000,-4.426025
1.900000,2.310000,2.250000,-8.600000,0.458800,8.950000,-4.499109
1.900000,2.510000,2.333333,-8.600000,0.475407,8.950000,-4.506239
1.800000,2.590000,2.416667,-9.200000,0.490899,8.750000,-4.402852
1.900000,2.710000,2.500000,-8.600000,0.507445,8.730000,-4.383244
1.900000,2.730000,2.583333,-8.600000,0.522914,8.510000,-4.240642
1.800000,2.850000,2.666667,-8.800000,0.547926,9.150000,-4.336898
2.100000,2.910000,2.750000,-8.800000,0.563058,9.370000,-4.499109
2.000000,3.010000,2.833333,-9.000000,0.573336,8.630000,-4.303030
1.800000,3.110000,2.916667,-9.000000,0.586861,8.350000,-4.024955
1.700000,3.210000,3.000000,-8.800000,0.603414,8.390000,-4.014260
2.200000,3.270000,3.083333,-9.000000,0.618865,8.470000,-4.000000
2.000000,3.330000,3.166667,-9.200000,0.635392,8.530000,-4.001783
1.700000,3.470000,3.250000,-9.200000,0.654727,8.390000,-4.105169
1.800000,3.510000,3.333333,-8.800000,0.667356,8.690000,-4.062389
1.800000,3.630000,3.416667,-9.200000,0.682802,8.870000,-4.163993
1.900000,3.690000,3.500000,-9.200000,0.699699,8.890000,-4.146168
1.900000,3.790000,3.583333,-8.800000,0.715301,9.030000,-4.267380
1.800000,3.850000,3.666667,-8.800000,0.730934,9.210000,-4.395722
1.900000,3.950000,3.750000,-9.000000,0.747076,9.310000,-4.445633
1.800000,3.990000,3.833333,-8.800000,0.763381,9.310000,-4.483066
3.600000,4.150000,3.916667,-8.800000,0.779247,9.330000,-4.550802
8.300000,4.230000,4.000000,-8.600000,0.795356,9.390000,-4.581105
11.800000,4.370000,4.083333,-9.000000,0.810936,9.310000,-4.604278
15.100000,4.450000,4.166667,-8.800000,0.826688,9.190000,-4.593583
20.900000,4.570000,4.250000,-8.800000,0.867205,8.670000,-4.085561
