# Date: 20210520
# Operator: DCC
# Notes: post test 
# Tap_cm: 1.0
# Sample: SOX_60_5
# Fit of Tap:
#	Ic = 4.74 +/- 0.001 A
#	n = 1e+03 +/- 76 
#	Vc = 1.5 uV
#	Vfloor = 2.17 +/- 0.045 uV
#	R = 0.00157 +/- 0.017 Ohms
Tap [uV],Shunt [A],Supply [A],Input_5 [uV],Time [S],Hall [A],Cernox [T]
1.900000,0.270000,0.000000,-9.000000,0.039997,9.150000,-4.265597
2.100000,0.310000,0.083333,-11.000000,0.049111,8.930000,-4.443850
2.000000,0.270000,0.166667,-11.600000,0.057490,8.710000,-4.135472
1.900000,0.390000,0.250000,-11.600000,0.073812,8.810000,-4.165775
2.300000,0.450000,0.333333,-11.600000,0.090163,8.870000,-4.192513
2.200000,0.530000,0.416667,-11.400000,0.105526,9.090000,-4.349376
2.200000,0.670000,0.500000,-11.400000,0.121849,9.190000,-4.388592
2.100000,0.750000,0.583333,-11.400000,0.138187,9.170000,-4.429590
2.400000,0.750000,0.666667,-11.000000,0.153528,9.290000,-4.538324
2.200000,0.890000,0.750000,-8.800000,0.171876,9.230000,-4.445633
2.400000,1.010000,0.833333,-8.600000,0.187469,9.250000,-4.529412
2.100000,1.070000,0.916667,-8.800000,0.203950,9.350000,-4.549020
2.200000,1.110000,1.000000,-8.800000,0.225327,8.630000,-4.081996
2.300000,1.190000,1.083333,-8.800000,0.235912,9.250000,-4.614973
1.900000,1.290000,1.166667,-8.800000,0.251474,9.210000,-4.598930
2.200000,1.390000,1.250000,-8.800000,0.267968,9.130000,-4.586453
2.400000,1.490000,1.333333,-8.800000,0.283567,9.010000,-4.522282
2.100000,1.590000,1.416667,-8.600000,0.300250,8.990000,-4.529412
1.900000,1.630000,1.500000,-9.000000,0.329348,8.370000,-4.099822
2.200000,1.690000,1.583333,-8.800000,0.339694,9.050000,-4.306595
2.300000,1.770000,1.666667,-9.200000,0.349177,8.710000,-4.427807
2.100000,1.890000,1.750000,-8.600000,0.363695,8.470000,-4.188948
2.100000,2.010000,1.833333,-8.800000,0.380222,8.410000,-4.171123
2.100000,2.070000,1.916667,-8.800000,0.395791,8.370000,-4.074866
2.300000,2.170000,2.000000,-8.600000,0.412300,8.370000,-4.060606
2.200000,2.210000,2.083333,-9.000000,0.431869,8.670000,-4.340463
2.300000,2.330000,2.166667,-8.800000,0.443566,8.450000,-3.996435
2.200000,2.410000,2.250000,-8.800000,0.460058,8.450000,-3.987522
2.200000,2.510000,2.333333,-8.600000,0.475644,8.610000,-4.053476
2.100000,2.610000,2.416667,-9.000000,0.492167,8.650000,-4.064171
2.100000,2.730000,2.500000,-9.800000,0.508345,8.750000,-4.108734
2.200000,2.730000,2.583333,-9.000000,0.524247,8.830000,-4.165775
2.400000,2.850000,2.666667,-8.800000,0.539957,9.010000,-4.278075
2.200000,2.950000,2.750000,-8.800000,0.555678,9.170000,-4.392157
2.200000,3.010000,2.833333,-8.600000,0.572257,9.190000,-4.392157
2.200000,3.110000,2.916667,-8.800000,0.587813,9.310000,-4.488414
2.200000,3.230000,3.000000,-8.600000,0.603352,9.310000,-4.572193
2.500000,3.330000,3.083333,-8.800000,0.636845,9.310000,-4.565062
2.300000,3.350000,3.166667,-8.600000,0.653575,9.330000,-4.561497
2.200000,3.470000,3.250000,-9.000000,0.669051,9.250000,-4.607843
2.200000,3.530000,3.333333,-8.600000,0.684638,9.110000,-4.579323
2.300000,3.670000,3.416667,-9.200000,0.701158,9.130000,-4.579323
2.100000,3.670000,3.500000,-8.600000,0.716742,8.930000,-4.515152
2.300000,3.770000,3.583333,-9.000000,0.733274,8.910000,-4.502674
2.000000,3.870000,3.666667,-9.000000,0.748787,8.730000,-4.383244
2.100000,3.990000,3.750000,-8.800000,0.765300,8.710000,-4.358289
2.300000,4.010000,3.833333,-9.000000,0.780819,8.490000,-4.229947
2.100000,4.130000,3.916667,-8.800000,0.797612,8.510000,-4.245989
2.300000,4.250000,4.000000,-8.400000,0.813246,8.410000,-4.135472
2.100000,4.290000,4.083333,-8.600000,0.832915,8.870000,-4.447415
2.000000,4.430000,4.166667,-8.800000,0.845597,8.350000,-4.048128
2.500000,4.470000,4.250000,-8.800000,0.861098,8.390000,-3.992870
2.100000,4.590000,4.333333,-8.600000,0.876630,8.470000,-3.989305
2.200000,4.730000,4.416667,-8.600000,0.893127,8.510000,-4.001783
2.200000,4.730000,4.500000,-9.000000,0.908664,8.650000,-4.057041
27.400000,4.750000,4.583333,-8.600000,0.933364,8.910000,-4.502674
