# Date: 20210520
# Operator: DCC
# Notes: post test 
# Tap_cm: 1.0
# Sample: SOX_1_4
# Fit of Tap:
#	Ic = 27.2 A
#	n = 183 
#	Vc = 1.5 uV
#	Vfloor = 1.83 uV
#	R = 0.008 Ohms
Tap [uV],Shunt [A],Supply [A],Input_5 [uV],Time [S],Hall [A],Cernox [T]
1.700000,0.230000,0.000000,-14.000000,0.045117,8.390000,-4.003565
1.900000,0.270000,0.083333,-13.000000,0.060366,8.610000,-4.062389
1.800000,0.430000,0.166667,-11.200000,0.077131,8.610000,-4.042781
1.800000,0.470000,0.250000,-11.600000,0.092840,8.750000,-4.106952
1.800000,0.470000,0.333333,-12.600000,0.108561,8.890000,-4.201426
1.700000,0.650000,0.416667,-9.200000,0.126286,8.870000,-4.124777
2.000000,0.650000,0.500000,-9.000000,0.143149,8.810000,-4.101604
1.800000,0.710000,0.583333,-8.800000,0.159038,8.930000,-4.183601
1.800000,0.810000,0.666667,-9.000000,0.175163,8.990000,-4.245989
1.800000,0.850000,0.750000,-8.800000,0.191316,9.130000,-4.327986
1.700000,0.970000,0.833333,-9.000000,0.216427,8.610000,-4.283422
2.000000,1.090000,0.916667,-8.600000,0.231743,8.450000,-4.155080
1.900000,1.110000,1.000000,-8.800000,0.262233,8.450000,-4.014260
1.800000,1.190000,1.083333,-8.800000,0.282791,8.590000,-4.256684
1.800000,1.250000,1.166667,-8.800000,0.297304,8.450000,-4.074866
1.900000,1.430000,1.250000,-8.800000,0.312057,8.490000,-4.016043
1.700000,1.430000,1.333333,-9.000000,0.327144,8.710000,-4.073084
1.900000,1.570000,1.416667,-9.200000,0.342270,8.950000,-4.190731
2.000000,1.630000,1.500000,-8.800000,0.361979,8.510000,-4.014260
1.700000,1.670000,1.583333,-9.000000,0.377087,8.710000,-4.069519
1.800000,1.750000,1.666667,-8.800000,0.392172,8.990000,-4.197861
2.000000,1.890000,1.750000,-8.800000,0.412068,8.570000,-4.001783
1.900000,1.910000,1.833333,-9.000000,0.425304,9.010000,-4.215686
1.900000,2.090000,1.916667,-8.800000,0.440466,9.210000,-4.383244
1.900000,2.090000,2.000000,-9.000000,0.454209,9.310000,-4.570410
1.900000,2.250000,2.083333,-9.200000,0.470749,9.290000,-4.586453
1.700000,2.290000,2.166667,-9.000000,0.486303,9.190000,-4.559715
1.900000,2.470000,2.250000,-9.000000,0.501784,9.010000,-4.499109
1.900000,2.530000,2.333333,-8.600000,0.518214,9.030000,-4.470588
1.900000,2.590000,2.416667,-8.800000,0.544655,8.550000,-4.017825
2.000000,2.690000,2.500000,-8.800000,0.554762,9.310000,-4.554367
1.800000,2.750000,2.583333,-9.000000,0.566209,8.670000,-4.274510
1.800000,2.810000,2.666667,-8.800000,0.591303,9.070000,-4.265597
1.700000,2.850000,2.750000,-8.600000,0.601016,8.830000,-4.388592
1.800000,3.070000,2.833333,-9.000000,0.614049,8.430000,-4.074866
2.000000,3.130000,2.916667,-9.000000,0.630557,8.370000,-4.060606
1.800000,3.210000,3.000000,-8.800000,0.646046,8.410000,-4.007130
1.800000,3.270000,3.083333,-8.800000,0.662462,8.450000,-3.996435
1.900000,3.350000,3.166667,-8.800000,0.677925,8.530000,-4.012478
2.100000,3.410000,3.250000,-9.200000,0.694351,8.570000,-4.012478
1.900000,3.510000,3.333333,-9.200000,0.709747,8.770000,-4.081996
1.800000,3.630000,3.416667,-8.800000,0.726627,8.770000,-4.074866
1.600000,3.670000,3.500000,-8.800000,0.742745,8.930000,-4.117647
1.900000,3.890000,3.583333,-8.800000,0.758748,8.970000,-4.171123
