# Date: 20200212
# Operator: JLC
# Notes: SP2 pretest
# Tap_cm: 6.0
# Sample: SOX 363-C (463-794) -
# Fit of Tap:
#	Ic = 162 +/- 0.029 A
#	n = 41 +/- 0.45 
#	Vc = 6 uV
#	Vfloor = -0.624 +/- 0.0037 uV
Supply [A],Tap [uV],Shunt [A],Time [S]
0.000000,-1.000000,5.379570,0.044507
0.023333,-1.000000,5.721130,0.066289
0.046667,-1.000000,4.781840,0.069821
0.070000,-0.800000,5.721130,0.073198
0.093333,-0.900000,5.294180,0.076569
0.116667,-0.800000,5.379570,0.079942
0.140000,-1.300000,5.891910,0.083330
0.163333,-1.000000,5.123400,0.086707
0.186667,-0.900000,5.721130,0.090080
0.210000,-1.300000,4.696450,0.093452
0.233333,-0.900000,5.550350,0.096826
0.256667,-0.900000,5.977300,0.100195
0.280000,-1.000000,4.952620,0.103569
0.303333,-0.600000,5.891910,0.106943
0.326667,-1.100000,4.781840,0.110309
0.350000,-1.100000,5.977300,0.113688
0.373333,-1.000000,5.977300,0.117068
0.396667,-1.000000,5.038010,0.120454
0.420000,-0.700000,5.550350,0.123826
0.443333,-1.100000,4.781840,0.127195
0.466667,-0.800000,6.062690,0.130568
0.490000,-0.600000,6.062690,0.133936
0.513333,-0.900000,4.952620,0.137311
0.536667,-1.100000,5.977300,0.140682
0.560000,-0.800000,5.038010,0.144071
0.583333,-1.100000,6.148080,0.147448
0.606667,-0.900000,6.062690,0.150875
0.630000,-1.000000,4.781840,0.154413
0.653333,-1.000000,5.891910,0.157916
0.676667,-1.200000,5.550350,0.161292
0.700000,-0.900000,6.062690,0.164661
0.723333,-1.100000,6.148080,0.168080
0.746667,-1.100000,4.952620,0.171591
0.770000,-1.000000,5.977300,0.175091
0.793333,-0.900000,4.952620,0.178466
0.816667,-1.300000,6.318860,0.181942
0.840000,-1.000000,5.379570,0.185505
0.863333,-0.900000,6.062690,0.190585
0.886667,-0.900000,5.464960,0.194102
0.910000,-1.000000,6.318860,0.197504
0.933333,-1.300000,6.148080,0.200953
0.956667,-1.200000,5.123400,0.204424
0.980000,-1.100000,5.038010,0.210268
1.003333,-1.100000,6.062690,0.213721
1.026667,-0.900000,6.489640,0.217289
1.050000,-0.800000,6.148080,0.223106
1.073333,-0.800000,5.721130,0.226541
1.096667,-1.000000,5.294180,0.229958
1.120000,-0.800000,6.318860,0.233490
1.143333,-1.100000,5.294180,0.243592
1.166667,-0.900000,6.404250,0.249756
1.190000,-0.700000,6.148080,0.256639
1.213333,-1.000000,5.294180,0.260061
1.236667,-1.000000,5.891910,0.263544
1.260000,-0.700000,6.318860,0.267072
1.283333,-0.900000,6.148080,0.273481
1.306667,-1.000000,5.294180,0.276916
1.330000,-1.100000,6.233470,0.280343
1.353333,-1.100000,6.318860,0.283864
1.376667,-0.800000,6.318860,0.290235
1.400000,-1.200000,5.123400,0.293683
1.423333,-1.100000,6.575030,0.297238
1.446667,-1.100000,5.635740,0.303590
1.470000,-1.000000,6.233470,0.307023
1.493333,-1.000000,5.294180,0.310427
1.516667,-1.200000,6.745810,0.313951
1.540000,-0.800000,5.721130,0.320308
1.563333,-1.100000,6.318860,0.323736
1.586667,-0.800000,5.635740,0.327148
1.610000,-1.200000,6.489640,0.330671
1.633333,-0.800000,5.721130,0.337119
1.656667,-1.000000,6.404250,0.340542
1.680000,-0.900000,5.379570,0.343970
1.703333,-0.900000,6.831200,0.347501
1.726667,-1.000000,5.550350,0.353835
1.750000,-1.200000,6.233470,0.357279
1.773333,-1.100000,5.721130,0.360728
1.796667,-1.000000,6.575030,0.364257
1.820000,-0.900000,5.721130,0.370629
1.843333,-1.200000,6.404250,0.374149
1.866667,-1.000000,6.148080,0.377689
1.890000,-0.900000,6.745810,0.384031
1.913333,-0.800000,5.464960,0.387471
1.936667,-1.100000,6.660420,0.390850
1.960000,-0.900000,5.891910,0.394243
1.983333,-1.100000,7.001980,0.397616
2.006667,-1.000000,6.745810,0.400989
2.030000,-1.100000,5.635740,0.404364
2.053333,-0.900000,6.575030,0.407747
2.076667,-0.900000,6.318860,0.411128
2.100000,-1.100000,6.575030,0.414500
2.123333,-1.000000,6.660420,0.417871
2.146667,-0.600000,5.550350,0.421240
2.170000,-0.900000,6.831200,0.424616
2.193333,-1.200000,5.977300,0.427990
2.216667,-0.700000,6.831200,0.431356
2.240000,-1.000000,6.745810,0.434727
2.263333,-0.900000,5.635740,0.438102
2.286667,-0.900000,6.745810,0.441470
2.310000,-1.000000,5.977300,0.444864
2.333333,-0.900000,6.916590,0.448234
2.356667,-1.100000,6.404250,0.451601
2.380000,-1.000000,6.062690,0.454980
2.403333,-1.000000,6.745810,0.458349
2.426667,-0.900000,5.891910,0.461744
2.450000,-0.900000,6.831200,0.465114
2.473333,-1.000000,5.977300,0.468511
2.496667,-0.900000,6.404250,0.471895
2.520000,-1.100000,6.745810,0.475269
2.543333,-1.100000,5.891910,0.478643
2.566667,-1.300000,6.831200,0.482010
2.590000,-0.800000,6.233470,0.485381
2.613333,-1.200000,6.831200,0.488748
2.636667,-0.800000,6.745810,0.492120
2.660000,-1.100000,5.891910,0.495490
2.683333,-1.000000,6.916590,0.498857
2.706667,-0.700000,6.148080,0.502225
2.730000,-1.100000,6.745810,0.505596
2.753333,-1.100000,6.916590,0.508968
2.776667,-0.700000,6.062690,0.512333
2.800000,-1.000000,7.258150,0.515705
2.823333,-1.200000,6.318860,0.519077
2.846667,-1.200000,6.745810,0.522469
2.870000,-0.900000,6.831200,0.525846
2.893333,-1.000000,5.977300,0.529213
2.916667,-0.800000,7.172760,0.532605
2.940000,-0.900000,6.062690,0.535995
2.963333,-0.900000,6.148080,0.545980
2.986667,-1.200000,7.258150,0.549813
3.010000,-1.000000,6.489640,0.553153
3.033333,-1.000000,7.172760,0.556443
3.056667,-1.000000,6.660420,0.559728
3.080000,-0.800000,6.404250,0.563040
3.103333,-1.000000,7.428930,0.566337
3.126667,-0.900000,6.233470,0.569622
3.150000,-0.800000,7.087370,0.572909
3.173333,-1.000000,7.087370,0.576207
3.196667,-1.100000,6.318860,0.579495
3.220000,-1.300000,7.343540,0.582801
3.243333,-0.900000,6.233470,0.586096
3.266667,-0.900000,7.087370,0.589385
3.290000,-0.800000,7.343540,0.592682
3.313333,-1.200000,6.318860,0.595984
3.336667,-0.900000,7.428930,0.599281
3.360000,-0.900000,6.404250,0.602601
3.383333,-1.100000,7.258150,0.605894
3.406667,-1.000000,7.087370,0.609175
3.430000,-1.000000,6.318860,0.612494
3.453333,-1.000000,7.343540,0.615815
3.476667,-0.800000,6.489640,0.619121
3.500000,-1.100000,7.343540,0.622402
3.523333,-0.900000,7.343540,0.625700
3.546667,-0.700000,6.148080,0.628996
3.570000,-1.000000,7.428930,0.632296
3.593333,-0.900000,6.575030,0.635588
3.616667,-0.700000,7.258150,0.638878
3.640000,-0.900000,7.428930,0.642174
3.663333,-0.900000,6.575030,0.645473
3.686667,-0.900000,7.770490,0.648759
3.710000,-0.900000,6.575030,0.652052
3.733333,-0.900000,7.514320,0.655347
3.756667,-0.900000,7.343540,0.658633
3.780000,-1.100000,6.233470,0.661932
3.803333,-0.700000,7.770490,0.665222
3.826667,-0.900000,6.745810,0.668507
3.850000,-0.800000,7.172760,0.671834
3.873333,-0.900000,7.514320,0.675143
3.896667,-0.800000,6.745810,0.678443
3.920000,-1.000000,7.599710,0.681757
3.943333,-1.100000,6.745810,0.685053
3.966667,-0.900000,6.745810,0.688346
3.990000,-0.700000,7.428930,0.691633
4.013333,-1.000000,6.745810,0.694942
4.036667,-1.300000,7.685100,0.698241
4.060000,-0.800000,7.087370,0.701539
4.083333,-1.000000,6.575030,0.704834
4.106667,-1.000000,7.514320,0.708127
4.130000,-1.000000,7.087370,0.711414
4.153333,-1.100000,7.685100,0.714708
4.176667,-1.300000,7.599710,0.717999
4.200000,-0.900000,6.660420,0.721294
4.223333,-1.000000,7.770490,0.724586
4.246667,-0.800000,7.343540,0.727870
4.270000,-0.900000,7.855880,0.731161
4.293333,-0.900000,7.770490,0.734450
4.316667,-0.800000,6.660420,0.737735
4.340000,-1.000000,7.770490,0.741043
4.363333,-0.700000,7.258150,0.744340
4.386667,-0.600000,8.112050,0.747630
4.410000,-0.900000,7.770490,0.750921
4.433333,-1.200000,6.745810,0.754220
4.456667,-0.900000,7.941270,0.757507
4.480000,-0.900000,7.087370,0.760798
4.503333,-0.900000,8.026660,0.764119
4.526667,-0.800000,8.112050,0.767402
4.550000,-0.800000,6.916590,0.770693
4.573333,-1.100000,7.941270,0.774024
4.596667,-0.800000,6.916590,0.777320
4.620000,-0.900000,8.197440,0.780600
4.643333,-1.000000,8.282830,0.783899
4.666667,-1.100000,7.001980,0.787190
4.690000,-1.000000,7.855880,0.790490
4.713333,-0.900000,6.745810,0.793801
4.736667,-0.800000,8.282830,0.797094
4.760000,-0.900000,8.026660,0.800379
4.783333,-1.100000,7.172760,0.803675
4.806667,-0.700000,8.026660,0.806966
4.830000,-1.000000,6.916590,0.810263
4.853333,-0.800000,8.197440,0.813553
4.876667,-0.800000,8.197440,0.816833
4.900000,-1.000000,7.087370,0.820126
4.923333,-0.800000,7.855880,0.823423
4.946667,-1.000000,7.172760,0.826709
4.970000,-1.100000,7.685100,0.829998
4.993333,-1.000000,8.197440,0.833312
5.016667,-0.900000,7.941270,0.840357
5.040000,-1.300000,7.770490,0.846700
5.063333,-1.100000,8.368220,0.850475
5.086667,-1.100000,7.258150,0.853826
5.110000,-1.000000,8.368220,0.857160
5.133333,-1.000000,7.343540,0.860472
5.156667,-1.000000,8.453610,0.863773
5.180000,-1.300000,8.368220,0.867078
5.203333,-0.900000,7.343540,0.870365
5.226667,-1.100000,8.197440,0.873666
5.250000,-1.200000,7.258150,0.876965
5.273333,-1.000000,8.539000,0.880272
5.296667,-0.800000,8.282830,0.883569
5.320000,-1.100000,7.514320,0.886857
5.343333,-1.200000,8.026660,0.890254
5.366667,-1.200000,7.343540,0.893677
5.390000,-1.100000,8.453610,0.897007
5.413333,-1.000000,8.539000,0.900306
5.436667,-0.600000,7.343540,0.903621
5.460000,-0.900000,8.368220,0.906926
5.483333,-1.000000,7.172760,0.910214
