# Date: 20200212
# Operator: JLC
# Notes: SP2 pretest
# Tap_cm: 6.0
# Sample: SOX 363-C (463-794) -
# Fit of Tap:
#	Ic = 162 +/- 0.021 A
#	n = 39.9 +/- 0.39 
#	Vc = 6 uV
#	Vfloor = -0.558 +/- 0.0043 uV
Supply [A],Tap [uV],Shunt [A],Time [S]
0.000000,-1.000000,6.148080,0.054033
0.023333,-0.900000,5.379570,0.074746
0.046667,-0.600000,6.233470,0.078264
0.070000,-1.000000,5.721130,0.081567
0.093333,-1.000000,5.294180,0.084870
0.116667,-1.000000,6.062690,0.088158
0.140000,-1.100000,5.294180,0.091446
0.163333,-0.800000,6.062690,0.094736
0.186667,-0.900000,6.148080,0.098028
0.210000,-0.900000,5.635740,0.101320
0.233333,-1.000000,6.318860,0.104614
0.256667,-0.900000,5.977300,0.114250
0.280000,-0.800000,5.464960,0.118028
0.303333,-0.900000,6.318860,0.121353
0.326667,-0.900000,5.294180,0.124656
0.350000,-0.900000,5.977300,0.127946
0.373333,-0.700000,6.404250,0.131249
0.396667,-0.800000,5.379570,0.134545
0.420000,-0.600000,6.318860,0.137838
0.443333,-0.900000,5.464960,0.141130
0.466667,-0.900000,6.404250,0.144415
0.490000,-0.800000,5.891910,0.147704
0.513333,-0.600000,5.379570,0.151011
0.536667,-0.900000,6.318860,0.154299
0.560000,-0.800000,5.379570,0.157586
0.583333,-1.000000,6.233470,0.160872
0.606667,-1.000000,6.233470,0.164167
0.630000,-0.900000,5.123400,0.167451
0.653333,-0.800000,6.148080,0.170736
0.676667,-0.900000,5.464960,0.174051
0.700000,-0.800000,5.891910,0.177339
0.723333,-0.900000,6.148080,0.180624
0.746667,-0.900000,5.294180,0.183914
0.770000,-0.800000,6.575030,0.187202
0.793333,-0.600000,5.464960,0.190495
0.816667,-0.900000,6.318860,0.193792
0.840000,-0.800000,6.233470,0.197091
0.863333,-0.700000,5.464960,0.200383
0.886667,-1.000000,6.489640,0.203673
0.910000,-0.700000,5.550350,0.206964
0.933333,-0.800000,5.977300,0.210249
0.956667,-0.900000,6.404250,0.213539
0.980000,-0.700000,5.635740,0.216835
1.003333,-1.000000,6.660420,0.220131
1.026667,-0.600000,5.806520,0.223427
1.050000,-0.800000,5.721130,0.226718
1.073333,-0.800000,6.318860,0.230004
1.096667,-0.800000,5.550350,0.233324
1.120000,-0.900000,6.575030,0.236619
1.143333,-0.700000,5.891910,0.239901
1.166667,-0.800000,5.464960,0.243184
1.190000,-0.800000,6.404250,0.246472
1.213333,-0.900000,6.148080,0.249753
1.236667,-0.900000,6.660420,0.253039
1.260000,-0.800000,6.660420,0.256325
1.283333,-0.900000,5.550350,0.259613
1.306667,-0.700000,6.575030,0.262892
1.330000,-1.000000,6.404250,0.266179
1.353333,-0.600000,6.916590,0.269472
1.376667,-0.800000,6.831200,0.272765
1.400000,-1.000000,5.379570,0.276058
1.423333,-1.200000,6.575030,0.279348
1.446667,-0.900000,6.062690,0.282657
1.470000,-0.700000,6.916590,0.285944
1.493333,-0.800000,6.660420,0.289231
1.516667,-0.700000,5.721130,0.292538
1.540000,-1.000000,6.916590,0.295828
1.563333,-1.000000,6.062690,0.299116
1.586667,-0.900000,7.087370,0.302399
1.610000,-0.800000,6.916590,0.305685
1.633333,-0.900000,5.977300,0.308970
1.656667,-1.000000,6.745810,0.312255
1.680000,-1.000000,6.062690,0.315545
1.703333,-0.800000,7.001980,0.318837
1.726667,-1.000000,7.087370,0.322126
1.750000,-0.800000,6.062690,0.325417
1.773333,-0.900000,6.916590,0.328703
1.796667,-0.900000,6.148080,0.331994
1.820000,-1.000000,6.575030,0.335286
1.843333,-0.900000,7.087370,0.338566
1.866667,-1.100000,5.977300,0.341875
1.890000,-0.600000,6.916590,0.345160
1.913333,-0.900000,6.489640,0.348449
1.936667,-0.700000,6.404250,0.351762
1.960000,-0.800000,7.001980,0.355055
1.983333,-0.900000,6.318860,0.358338
2.006667,-0.700000,7.172760,0.361623
2.030000,-0.800000,6.575030,0.364907
2.053333,-0.900000,6.062690,0.368199
2.076667,-0.700000,7.258150,0.371495
2.100000,-0.700000,6.148080,0.374784
2.123333,-1.000000,7.001980,0.378068
2.146667,-0.800000,7.087370,0.381353
2.170000,-1.100000,6.404250,0.384646
2.193333,-0.800000,7.343540,0.387929
2.216667,-1.200000,6.148080,0.391222
2.240000,-0.900000,6.916590,0.394512
2.263333,-0.900000,7.001980,0.397796
2.286667,-0.900000,6.318860,0.401111
2.310000,-0.600000,7.172760,0.404397
2.333333,-0.700000,7.087370,0.414232
2.356667,-0.800000,6.318860,0.418115
2.380000,-1.000000,7.172760,0.421507
2.403333,-1.100000,6.404250,0.424913
2.426667,-0.600000,7.258150,0.428298
2.450000,-1.000000,6.660420,0.431676
2.473333,-0.800000,6.575030,0.435079
2.496667,-0.800000,7.343540,0.438466
2.520000,-1.000000,6.404250,0.441878
2.543333,-0.800000,7.172760,0.445255
2.566667,-0.900000,6.575030,0.448629
2.590000,-1.000000,7.258150,0.452003
2.613333,-0.600000,7.343540,0.455390
2.636667,-0.800000,6.575030,0.458767
2.660000,-1.000000,7.172760,0.462149
2.683333,-1.200000,6.660420,0.465537
2.706667,-1.000000,7.343540,0.468924
2.730000,-0.900000,7.428930,0.472311
2.753333,-0.500000,6.318860,0.475700
2.776667,-0.900000,7.258150,0.479092
2.800000,-0.700000,6.745810,0.482464
2.823333,-0.900000,7.685100,0.485844
2.846667,-0.900000,7.428930,0.489216
2.870000,-0.700000,6.489640,0.492629
2.893333,-0.900000,7.343540,0.496015
2.916667,-1.000000,6.831200,0.499391
2.940000,-0.800000,7.685100,0.502796
2.963333,-1.200000,7.343540,0.506199
2.986667,-0.800000,6.318860,0.509577
3.010000,-0.700000,7.514320,0.515661
3.033333,-0.900000,8.026660,0.519223
3.056667,-0.900000,7.685100,0.522680
3.080000,-1.000000,6.745810,0.526080
3.103333,-1.100000,7.514320,0.529454
3.126667,-0.900000,7.258150,0.532837
3.150000,-0.600000,7.685100,0.536219
3.173333,-1.000000,7.770490,0.539596
3.196667,-0.900000,6.575030,0.542976
3.220000,-0.900000,7.599710,0.546369
3.243333,-0.700000,7.258150,0.549756
3.266667,-1.000000,7.770490,0.553133
3.290000,-0.600000,7.343540,0.556519
3.313333,-0.800000,6.660420,0.559891
3.336667,-0.800000,7.258150,0.563263
3.360000,-0.900000,6.831200,0.566638
3.383333,-1.100000,7.855880,0.570008
3.406667,-0.900000,6.831200,0.573422
3.430000,-0.800000,7.087370,0.576811
3.453333,-0.800000,7.599710,0.580206
3.476667,-1.000000,6.831200,0.583602
3.500000,-1.000000,7.855880,0.586992
3.523333,-1.000000,6.916590,0.590382
3.546667,-0.600000,7.599710,0.593761
3.570000,-0.800000,7.514320,0.597135
3.593333,-0.700000,6.916590,0.600511
3.616667,-0.800000,7.855880,0.603893
3.640000,-1.100000,6.831200,0.607275
3.663333,-0.800000,7.599710,0.610662
3.686667,-1.000000,7.770490,0.614050
3.710000,-0.800000,6.831200,0.617424
3.733333,-0.800000,8.026660,0.620804
3.756667,-0.600000,7.087370,0.624219
