# Date: 20200212
# Operator: JLC
# Notes: SP2 pretest
# Tap_cm: 6.0
# Sample: SOX 363-C (463-794)-3
# Fit of Tap:
#	Ic = 162 +/- 0.034 A
#	n = 38.5 +/- 0.41 
#	Vc = 6 uV
#	Vfloor = 0.754 +/- 0.0032 uV
Supply [A],Tap [uV],Shunt [A],Time [S]
0.000000,0.300000,6.404250,0.045211
0.023333,0.200000,6.148080,0.076911
0.046667,0.300000,6.148080,0.081087
0.070000,0.600000,6.148080,0.084563
0.093333,0.700000,6.062690,0.087973
0.116667,0.600000,6.233470,0.091286
0.140000,0.300000,6.404250,0.094574
0.163333,0.500000,6.318860,0.098745
0.186667,0.400000,5.977300,0.105352
0.210000,0.200000,6.489640,0.108733
0.233333,0.500000,6.318860,0.112289
0.256667,0.600000,5.977300,0.115757
0.280000,0.200000,6.148080,0.121670
0.303333,0.400000,6.233470,0.125022
0.326667,0.400000,6.404250,0.129091
0.350000,0.400000,6.233470,0.132542
0.373333,0.300000,6.233470,0.138306
0.396667,0.300000,5.891910,0.141688
0.420000,0.400000,6.489640,0.145745
0.443333,0.400000,6.233470,0.149253
0.466667,0.500000,6.233470,0.155045
0.490000,0.400000,6.404250,0.158405
0.513333,0.300000,6.404250,0.162449
0.536667,0.700000,6.318860,0.165892
0.560000,0.200000,6.148080,0.171758
0.583333,0.200000,6.233470,0.175524
0.606667,0.300000,6.489640,0.178996
0.630000,0.500000,6.148080,0.184804
0.653333,0.400000,6.318860,0.188155
0.676667,0.500000,6.233470,0.192221
0.700000,0.300000,6.660420,0.195679
0.723333,0.400000,6.148080,0.201654
0.746667,0.600000,6.233470,0.204995
0.770000,0.500000,6.489640,0.209058
0.793333,0.500000,6.489640,0.212518
0.816667,0.500000,6.489640,0.218847
0.840000,0.300000,6.318860,0.222209
0.863333,0.400000,6.745810,0.225859
0.886667,0.400000,6.660420,0.229339
0.910000,0.300000,6.489640,0.235690
0.933333,0.500000,6.062690,0.239522
0.956667,0.200000,6.745810,0.242989
0.980000,0.600000,6.318860,0.249354
1.003333,0.600000,6.745810,0.252723
1.026667,0.600000,6.318860,0.256303
