# Date: 20200212
# Operator: JLC
# Notes: SP2 pretest
# Tap_cm: 6.0
# Sample: SOX 363-C (463-794)-4
# Fit of Tap:
#	Ic = 167 +/- 0.011 A
#	n = 76.4 +/- 0.71 
#	Vc = 6 uV
#	Vfloor = -1.34 +/- 0.0029 uV
Supply [A],Tap [uV],Shunt [A],Time [S]
0.000000,-1.700000,5.123400,0.053448
0.023333,-1.600000,4.952620,0.078295
0.046667,-1.500000,5.294180,0.082475
0.070000,-1.700000,5.208790,0.085993
0.093333,-1.600000,5.038010,0.089408
0.116667,-1.500000,5.294180,0.092921
0.140000,-1.400000,4.952620,0.096406
0.163333,-1.900000,5.208790,0.099783
0.186667,-1.500000,4.867230,0.103201
0.210000,-1.700000,4.952620,0.106747
0.233333,-1.700000,4.867230,0.114127
0.256667,-1.600000,5.208790,0.117633
0.280000,-1.400000,4.952620,0.121061
0.303333,-1.600000,5.038010,0.124572
0.326667,-1.400000,4.781840,0.130442
0.350000,-1.300000,5.379570,0.133885
0.373333,-1.500000,5.038010,0.137303
0.396667,-1.500000,5.123400,0.140832
0.420000,-1.500000,5.038010,0.146661
0.443333,-1.600000,5.294180,0.150096
0.466667,-1.400000,4.867230,0.153524
0.490000,-1.700000,5.123400,0.157027
0.513333,-1.600000,4.867230,0.163481
0.536667,-1.700000,5.294180,0.166919
0.560000,-1.200000,5.038010,0.170524
0.583333,-1.600000,4.867230,0.176908
0.606667,-1.400000,4.952620,0.180395
0.630000,-1.400000,5.294180,0.183810
0.653333,-1.600000,5.123400,0.187340
0.676667,-1.100000,5.038010,0.193787
0.700000,-1.500000,5.038010,0.197211
0.723333,-1.300000,5.379570,0.200612
0.746667,-1.600000,5.123400,0.204127
0.770000,-1.400000,4.952620,0.210579
0.793333,-1.700000,5.379570,0.217872
0.816667,-1.700000,5.208790,0.224049
0.840000,-1.500000,5.294180,0.230864
0.863333,-1.200000,5.379570,0.234481
0.886667,-1.700000,5.294180,0.240906
0.910000,-1.400000,5.294180,0.244342
0.933333,-1.000000,5.294180,0.247735
0.956667,-1.400000,5.294180,0.251320
0.980000,-1.300000,5.379570,0.257671
1.003333,-1.400000,5.038010,0.261162
1.026667,-1.600000,5.208790,0.264571
1.050000,-1.600000,5.379570,0.268138
1.073333,-1.400000,5.379570,0.274508
1.096667,-1.500000,5.294180,0.278001
1.120000,-1.600000,5.550350,0.281419
1.143333,-1.200000,5.379570,0.284931
1.166667,-1.500000,5.208790,0.291390
1.190000,-1.500000,5.464960,0.294829
1.213333,-1.200000,5.550350,0.298266
1.236667,-1.300000,5.464960,0.301751
1.260000,-1.500000,5.379570,0.310356
1.283333,-1.400000,5.379570,0.313935
1.306667,-1.400000,5.550350,0.317466
1.330000,-1.600000,5.379570,0.323922
1.353333,-1.800000,5.294180,0.327382
1.376667,-1.400000,5.464960,0.330937
1.400000,-1.300000,5.550350,0.337321
1.423333,-1.700000,5.550350,0.340747
1.446667,-1.500000,5.464960,0.344119
1.470000,-1.300000,5.379570,0.347485
1.493333,-1.600000,5.635740,0.350850
1.516667,-1.600000,5.891910,0.354225
1.540000,-1.500000,5.635740,0.357613
1.563333,-1.500000,5.550350,0.361167
1.586667,-1.500000,5.635740,0.364616
1.610000,-1.500000,5.635740,0.368031
1.633333,-1.600000,5.550350,0.371406
1.656667,-1.200000,5.635740,0.374774
1.680000,-1.500000,5.635740,0.378154
1.703333,-1.500000,5.806520,0.381538
1.726667,-1.600000,5.806520,0.384905
1.750000,-1.600000,5.721130,0.388278
1.773333,-1.500000,5.891910,0.391649
1.796667,-1.700000,5.464960,0.395022
1.820000,-1.600000,5.806520,0.398388
1.843333,-1.500000,5.891910,0.401761
1.866667,-1.300000,5.806520,0.405132
1.890000,-1.600000,5.721130,0.408502
1.913333,-1.700000,5.635740,0.411881
1.936667,-1.600000,6.062690,0.415254
1.960000,-1.600000,5.635740,0.418620
1.983333,-1.500000,5.635740,0.421984
2.006667,-1.400000,5.635740,0.425355
2.030000,-1.500000,5.635740,0.428753
2.053333,-1.100000,5.977300,0.432132
2.076667,-1.600000,5.806520,0.435505
2.100000,-1.600000,5.891910,0.438895
2.123333,-1.500000,5.891910,0.442267
2.146667,-1.600000,5.891910,0.445631
2.170000,-1.600000,6.148080,0.449001
2.193333,-1.500000,6.062690,0.452372
2.216667,-1.600000,5.635740,0.455736
2.240000,-1.600000,5.891910,0.459103
2.263333,-1.600000,5.806520,0.462471
2.286667,-1.600000,6.062690,0.465834
2.310000,-1.600000,5.891910,0.469205
2.333333,-1.100000,5.635740,0.472577
2.356667,-1.400000,5.977300,0.475949
2.380000,-1.400000,5.891910,0.479318
2.403333,-1.500000,6.062690,0.482691
2.426667,-1.700000,6.318860,0.486061
2.450000,-1.500000,5.891910,0.489421
2.473333,-1.400000,6.233470,0.492795
2.496667,-1.600000,5.635740,0.496183
2.520000,-1.600000,6.233470,0.499575
2.543333,-1.400000,6.233470,0.502947
2.566667,-1.500000,5.806520,0.506318
2.590000,-1.300000,5.891910,0.509690
2.613333,-1.600000,6.489640,0.516895
2.636667,-1.600000,5.977300,0.523239
2.660000,-1.600000,6.148080,0.527137
2.683333,-1.600000,6.233470,0.530538
